FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
Mup19,Cops9,Ugt1a7c,Snora3,Scn1b,Slc1a4,ENSMUSG00000017204,Col11a2,Tmod1,Actg2,Gm16157,Tap1,St3gal3,Polr2m,Atg13,Thyn1,,D7Ertd443e
Srd5a1,Akr1c19,Clic5,Tc2n,Srrm4,Cdh3,Slc36a2,Hspa1a,Cyp4f18,Snora31,Vcam1,Map3k21,Ftcd,Abcf3,Ppm1l,Rbpms2,,Nlrp3
Atp2b2,Dynlt1b,Zc3h8,Nlrp1c-ps,Cbfa2t3,Olfml3,Srpx,Cbr2,Abra,Mybpc1,Prim2,Dgkh,Ip6k1,Lamc1,Mrpl40,Pdcd6,,Ifi208
Lepr,Anp32b,Acpp,Zfp995,Fam83g,Slc41a1,Lrrn1,Fam83a,Aldh1a3,Ckmt1,Usp18,Mtres1,Larp1,Slc29a1,Adpgk,Marveld1,,Aoc2
Atox1,Cyp7b1,Zfp90,Brms1l,Faap24,S1pr3,Dmkn,Mas1,Poln,Upp1,Lyrm2,Zfp846,Ssr4,Pgd,Mmadhc,Pou2f1,,Map10
Selenbp2,Polr2i,Pkib,Dtwd2,Pik3cg,Lamb3,Ccn5,ENSMUSG00000043430,Grhl3,Tnnt3,Rab11fip2,Zfp839,Tm4sf4,Polr2l,Dusp11,Fbxl5,,Olfr395
Gm14403,Snord17,Cpeb1,Myct1,4933404O12Rik,Pfkp,Klhl38,Whrn,Tmed6,Klf5,Haus6,Zfp612,Apol9b,Eif3g,Smad2,Fam149b,,Zfp879
Gm14327,Slc35d2,Snhg16,A730017L22Rik,Zfp775,Dagla,Rbfox1,Grin3b,Dach2,Akap6,Spata2,Usp28,Tpmt,Anapc2,Nipsnap3b,Ifrd1,,Gm13375
Sulf2,Slc66a1,Thsd4,H2bc13,Ell3,Cyba,Tbx15,Npy,Serpina3i,Xirp2,Pde3a,Rnasel,Smarcd2,Zfp646,Zfp322a,Gbp3,,Foxc1
Mug2,Gbp11,Ikzf1,H2bc15,Sema6c,Kdf1,Gdpd3,ENSMUSG00000074199,Snord8,Nos1,Fbxo45,Ncoa7,Kdr,Dgkz,Ahcyl2,Tra2a,,Cenpn
Timm13,Abcb1a,Snora44,AI506816,1110028F11Rik,Ikbip,Cldn4,Olfr1388,Itgb1bp2,Tmod2,Rbks,Atp6v0d2,Psmd2,Hdhd2,Eed,Celf2,,Slc26a4
Csad,Alad,Olfr1034,Snora5c,Jdp2,Oas1a,Six1,Epdr1,Cacnb1,Abca12,Vopp1,Spindoc,Tmem176b,Adcy9,Srp14,Rad17,,Rgs7
H4c4,Zfp970,Cep83os,E2f7,Rnf113a2,Ssbp4,Klk1,Rtl8c,Adipoq,Sln,Kif2a,Tomm34,Ubqln4,C77080,Clk1,Ptpn4,,Runx3
Sco2,Eno1b,Abcg3,Pnpla1,Aatk,Pira2,Pla2g4e,Eno2,Ackr3,Myom2,Nrros,Zfp467,Rpl37,Brap,Cnst,Ccdc186,,Grik2
Sqle,Snora74a,C3ar1,Zfp882,Pigf,Il10ra,Fabp3,Nectin4,Clic3,Tppp3,Stau2,Zfp873,Trappc12,Arpc4,Slc43a3,Prxl2a,,Olfr1410
Slc2a5,Mt2,Olfr45,AI662270,Zfp7,Gngt2,Aldh1a2,Apol6,Gm9696,Pnliprp1,Slc7a6os,Psmg4,Sema4g,Ftsj3,Cry2,Gpc4,,Chaf1b
Cux2,Rpl28,Rmi2,Gm1976,Slc25a29,Zfp511,Clcn1,Asprv1,Gm16062,Dtna,Armcx2,Homez,Slc38a10,Epha2,Foxo1,Esco1,,F630042J09Rik
A930015D03Rik,Serpina11,Parp8,Hyls1,Apobr,Mogat1,Mcpt4,Tmem190,Fxyd6,Actn2,Lysmd4,Pkig,S100a10,Keap1,Casp3,Cux1,,BC025920
Mup12,Vnn1,Btc,Itgb3bp,Atp6v0e2,Ankrd13b,Slc30a3,Aldh3a1,Kcnab2,Acta1,Ccdc167,Eogt,Map2k2,Nudcd3,Tmem131l,Plrg1,,Bnip5
Slc15a4,Pyroxd2,Prr12,Olfr907,H2-M3,Pidd1,Rgma,ENSMUSG00000045545,Six4,Ldb3,Gm14305,Rhob,Crat,Eif3h,Zfp260,Hltf,,B230206H07Rik
4930470H14Rik,Samd9l,Donson,Vmn1r46,Rfx4,Mcm2,Myoz1,Aoc3,Cnn1,Myh4,Nepro,Caln1,Cox5b,Ext2,Dis3l,Mccc1,,Zfp566
Wfdc17,Ndufb4,Greb1l,Zfp59,Rims3,Dync2i2,Methig1,C1qtnf9,P3h4,Ctsk,Prmt9,Arl6ip6,Sparc,Emc10,Txndc9,Cxxc5,,Vmn1r234
Ntrk2,Neil2,Cxcl10,Ccne2,Hmmr,P3h3,Gpx2,ENSMUSG00000044594,Anxa9,Meg3,Dut,Rpp40,Sympk,Sin3b,Dclre1a,Zfand1,,Jakmip1
Cry1,Nr1d1,Fbxl12,Prkab2,Sfmbt2,Smco4,Myl2,Wnt7b,Vill,Tnnc2,Rttn,Emp2,Pfkl,Nop53,Cntrl,Abhd12,,Nr2f1
Cyp2a4,Ltbp4,Gpm6a,Lipt2,Sirt6,Rassf2,Calml3,Speer9-ps1,Myom1,Myh1,Zfp119b,Zbtb26,St3gal4,Brd3,Isca2,Trim12c,,Tmprss11b
Hddc3,Ndufa11,Xlr3a,Crym,B3galnt1,Bambi,Irx3,ENSMUSG00000031757,Chil3,Sgcd,Emcn,Tmem41a,Dop1b,Shfl,Uqcc1,Rsrc1,,Stx19
Creld2,Gbp10,2500004C02Rik,Dync2i1,Rsph4a,Isyna1,Rpl3l,Myl7,Snord49a,Eef1a2,Utp11,Bcl2,Nmt1,Pfdn1,Arhgef7,Phactr4,,A630076J17Rik
Hspg2,Rpl39,Clec4n,Snhg3,Tjap1,Sufu,Ankrd35,P2rx5,Plcd3,Slco5a1,Prmt6,Mppe1,Ldhd,Pigq,Hint3,Rap2a,,Cdca2
Morf4l1-ps1,Gpat3,Trim30d,Rnf150,Pold1,Ankrd23,Coro6,Boc,Obscn,Igdcc4,Gimap4,Nmnat3,Ankrd11,Nup210,Ttc33,Mxi1,,Mpped2
Pcp4l1,Rnf152,Cd300c2,Col5a3,Gys1,Htra3,Kcnj14,Csta1,Ace2,Atp5g2,Smad1,A430033K04Rik,Psen2,Cep170b,Adh7,Clip1,,Phf11a
Rpl29,Iah1,Slfn8,Ms4a6b,Plppr2,Cfap126,Ccl11,Gm839,Rhbdl1,Klf4,Sdccag8,Tmem42,Stat6,Dnmt3a,Nsd2,Plaa,,BC048671
Srp54b,Sult2a1,Gm15446,Gucy2c,Mylk3,Zfp503,Dsg1b,Kif12,Arg2,Perm1,Msrb2,Tnfsf10,Aspscr1,Strn4,Rnf115,Lyz2,,Cntn3
Serpina4-ps1,Sult1c2,Gem,Prkcb,Cchcr1,Plekhh2,2010106E10Rik,Ptrh1,Fxyd3,Tnnc1,Maml1,AU041133,Crip2,Wdr81,Pcgf3,Syf2,,Kcnma1
