FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
Vnn3,,Olfr986,Epb41l3,Mxra8,Trmt12,,,Cmya5,,Fam174a,E2f8,Ecm1,Ap1m1,Hnrnpa0,Rbm28,,
Fabp4,,Clec12a,Anxa3,Angptl7,Cdk20,,,Dok3,,Polh,Abhd10,AU022252,Aars,Cdc40,Kdm5a,,
Rpl21,,Ifit1bl1,Galnt7,Col20a1,P2rx7,,,Tmem119,,Cd53,Exosc1,Uhrf1bp1,Atp13a1,Ttll4,Nap1l1,,
Lonrf3,,Haus8,B3galt6,Adamtsl4,Faim,,,Ctsk,,Tlr3,Itga8,Vamp8,Tef,Xpnpep3,Rmi1,,
Angptl8,,Adamts5,Vmn1r88,Il15,Sh3pxd2b,,,Meg3,,Ripk4,Hpf1,Mgat1,Avpr1a,Rassf3,Tank,,
Tpm3,,B230217O12Rik,Zfp108,Gm19461,Ldb2,,,Morn4,,Fam50a,Nckap1l,Tmem242,Nags,Gna13,Emc3,,
Slco1a4,,2610035D17Rik,Sestd1,Phlda3,Tspan3,,,Hs3st6,,Bcl2l11,Rpp30,Snrnp70,Fam234b,Ocln,Rfc1,,
Serpina6,,Dlgap1,A330049N07Rik,Rtl8a,Ndor1,,,Plk5,,Alg14,Zfp867,Ern1,Eci1,Ifi27,Cmtm4,,
Rtn4rl1,,Rrm2,Ccdc15,Hmga1,Naf1,,,Reg2,,Ccdc125,Gm16548,Tubb4b,Plxnb2,Nfyb,Vezf1,,
Nipal1,,Ces4a,Btg3,Smyd3,Corin,,,Marveld3,,Efcab2,Ccdc32,Mif4gd,Atg7,Nostrin,Pabpn1,,
Neb,,H3c2,Phf11c,Dusp28,Lmnb1,,,Ank1,,Coro7,Star,Ttc36,Pex16,Clec14a,Apbb2,,
Slc25a4,,Glb1l,Dlg4,Cage1,Fam171a2,,,Dcdc2b,,Ttc21b,Inpp5d,Med8,Cd81,Slc12a6,Vps50,,
H2-Q7,,Chrna4,Poli,Dcaf15,Dennd1c,,,2900009J06Rik,,Smim19,Mettl14,Pcsk7,Gdf2,Dcaf17,Sdcbp,,
Klhdc7a,,Apbb1ip,Tlr7,Pop7,Pik3r3,,,Gm8909,,Elk1,Abr,Tufm,Slc35b1,Git2,Cmtm6,,
Ndufb7,,Cep70,H3c11,Dhrs9,Dvl2,,,Myl6b,,Iqcc,Dnajc24,Slc25a1,Abca2,Ddx21,Ranbp1,,
Rpl35a,,Xkr6,Spon2,Dph6,Phf13,,,Hcst,,Vamp4,Utp23,Galt,Mrpl27,Pex1,Ppfibp2,,
Mup1,,Mettl18,Zfp772,D430019H16Rik,Tbc1d22b,,,Lmcd1,,Alg2,Tex30,Cd151,Hint1,Stx12,Ehbp1,,
Zfp982,,1700034P13Rik,Olfr1459,Zfp658,Klhl33,,,Tnnc2,,Reep5,Cfap418,Naprt,Ift20,Gbp7,Shtn1,,
H2-K2,,Zfp52,Gm14057,Tsacc,Slco3a1,,,Myh1,,Hinfp,Ifit2,Mcm3ap,Smim20,Ssh2,Tfpi2,,
Ndufs4,,Ccdc62,4930481A15Rik,Hunk,Syt12,,,Sgcd,,Prcp,Acad12,Myh9,Get3,Mboat7,Wdr59,,
Hbb-bt,,Cpa6,Fam171b,Btbd8,Cdca4,,,Eef1a2,,Ogfod1,Trmt10a,Mccc2,Ppm1g,Swt1,Agfg2,,
,,Lilrb4a,Gm7609,Cd19,Klhl6,,,Blk,,Taf11,Zfp948,Gstk1,Ncor2,Prrc1,Spg11,,
,,Fitm1,Rprl3,Fam98c,Timd4,,,Crygn,,Sorl1,Ubxn2b,Med13l,Mrpl20,Cobl,Chkb,,
,,Cyp2c55,Cd34,Ttll3,D130017N08Rik,,,Shisa2,,Alms1,Eef2kmt,Rpn2,Zc3h18,Tcim,Eml4,,
,,Ogn,Rgs2,Mageh1,Fcgbp,,,Gpnmb,,Crtc2,Tmem50b,Cdc37,Zfp598,Fam20b,Xpo6,,
,,Ms4a6c,F8a,Samd5,Arhgap39,,,Tmc3,,Orc5,Cybc1,Timm44,Nme1,Arfip1,Mgat2,,
,,Kit,Zfp935,4632428C04Rik,Iffo1,,,Slco5a1,,Gtf2f2,Osgep,Ski,Eef1g,Rap1gds1,Rbfox2,,
,,Il1a,Mbnl3,Clcn6,Asic1,,,Igdcc4,,AW554918,Fbxo7,Ly6e,Zcchc14,Vps4a,Lta4h,,
,,Pdp1,Tnik,2810025M15Rik,Cav1,,,Crispld2,,Zbtb39,Pgm2,Ppif,Rab11b,Mto1,Sertad2,,
,,Zfp418,Cabyr,Tchp,Csrnp2,,,Smim22,,Mettl1,Pla2g12a,H2-Ke6,Vav2,Exoc2,Rft1,,
,,Pcdhgb6,Airn,Capn3,Rimbp2,,,5730435O14Rik,,Zfp952,Dtwd1,Psmd11,Eif6,Tsn,Nfkbia,,
,,Cdc14a,Ank2,Zfp94,Kif3a,,,Cyp2c53-ps,,Pgp,Utp4,Raf1,Cdh5,Atg12,Zfp280d,,
,,Gm5431,Pttg1,Adamtsl1,Bbc3,,,Clip4,,Vamp2,Get1,Mmp14,Rps20,Tsc22d2,Paip2b,,
,,Otulinl,Ccdc30,4921531C22Rik,Neto1,,,Card11,,Pip4p2,Fyn,Dgcr6,Tm6sf2,Dera,Bnip2,,
,,Me2,Ly96,Rian,Ccdc126,,,Atp5g2,,Smc2,4930556M19Rik,Clptm1l,Stk25,B230219D22Rik,Tppp,,
,,Nat8,0610043K17Rik,Lpin3,Map1a,,,Obp2a,,Rcsd1,Gemin4,Ankrd13a,A430005L14Rik,Xpo1,Zbtb8os,,
,,Ms4a6d,H2bc14,Trim35,Kcna2,,,Klf4,,Polr2k,Qtrt2,Pgghg,Copz1,Apool,Kdm3b,,
,,Olfr575,H2bc11,Fbxo36,B9d2,,,Perm1,,Cav2,Car2,Ppp2r5d,Ndufs2,Amd1,Kctd12,,
,,Dusp8,Uty,Fbxo44,Gm9895,,,Tmem45a,,Abi2,Zfp395,Sfxn5,Rnf40,Spg21,Sec24b,,
,,Vmn2r63,Ncapg2,Rab27a,Ssc4d,,,Ephb3,,Pitpnm1,Cep97,Psmd9,Eif2d,Aatf,Rsl24d1,,
,,Lrriq3,Ift74,Nupl2,Sox18,,,Hsd17b3,,Apbb3,Nup35,Spata2l,Gpd1,U2surp,Srbd1,,
,,Vmn2r20,Ino80dos,Prune2,Cdc42ep2,,,Cenpm,,Vamp1,Mylip,Nr1i2,Elof1,Rps6kb1,Spcs1,,
,,Slc2a4,Adgb,Wtip,Gfod1,,,Rnase2a,,Tbce,Nod1,Miga2,Agpat3,Ptpn9,Neo1,,
,,Ppm1h,Ttll8,Tnnt1,Chad,,,Tnnc1,,Mad2l1,Leng1,Mrpl2,Maea,Ddx47,Ddx52,,
,,8430429K09Rik,A230072C01Rik,Spata22,Trp53i13,,,,,Zfp729b,Efnb2,Ncln,Zfp592,Ints6,Zfp568,,
,,Zfp251,Hectd2,Fbln1,Prickle1,,,,,Amer1,Tmem106a,Rps9,Abcf2,Bmp5,Zcrb1,,
,,Cyp2d12,Pla2g4a,Zfp521,Ctps,,,,,Asic5,Hmgn2,Nacc1,Tpm1,Phlpp1,Zdhhc21,,
,,Snora64,Unc13b,Wfdc1,Gm4285,,,,,Impg2,Rbm41,Dhrs4,Dele1,Tmem170b,Fus,,
,,H3c13,Gpr137b,4931414P19Rik,Mapk7,,,,,Ralgps1,Lacc1,Fgfr4,Mrpl42,Msh3,Arhgef5,,
,,Gnpda2,Klhdc7b,Pomgnt2,Mcts2,,,,,Efl1,Blm,Sdc1,Plxnd1,Tet3,Tubgcp4,,
,,C130083M11Rik,Hscb,Spats2l,Bmp7,,,,,Adprm,Pik3c2b,Pcnx,Stk40,Tbca,Ubr7,,
,,Nucb2,Kctd12b,D11Wsu47e,Socs3,,,,,Mta3,Pola2,Txndc17,Kif13a,Gucy1a1,Napg,,
,,Adamts6,Tbc1d19,1700052K11Rik,N4bp3,,,,,Ssx2ip,Nedd9,Snap47,Edem2,Ccdc127,Pxk,,
,,Cyp26a1,B3galt2,Polm,Trim34b,,,,,Exd1,Zfp810,Suclg1,Acox2,Stx5a,Macir,,
,,Cryab,Ddit4,Zfp457,Sell,,,,,Spc24,Rfxap,Rpl18,Rhot2,Colgalt1,Pitpnb,,
,,Ttc30a1,4933431G14Rik,Ncf4,Tpgs1,,,,,Tmem72,Wdyhv1,Vps16,Vps25,Zc3h13,Dnajc5,,
,,H3c3,Xirp1,Clstn2,Tmem252,,,,,Nup133,Lmo4,Dhx16,Aagab,Ahr,Epc1,,
,,Cd180,2610037D02Rik,Egfem1,Bex3,,,,,Fli1,Zfp58,Igfbp2,Mesd,Brox,Tomm7,,
,,Trps1,Zfp182,Cntnap1,Fam187b,,,,,Gfod2,Suv39h1,Daglb,Cyp8b1,Tfg,Maf,,
,,Tlr2,Cers5,Snrnp25,Med31,,,,,N6amt1,Ccnyl1,Echdc3,Lmf1,Ttc19,Rnf146,,
,,Map3k8,Hsd3b5,Hlx,Fut10,,,,,Zfp354a,Atg10,Ndufs8,Glyr1,Fcgr2b,Ddhd1,,
,,Ugt2b37,Map3k12,Snord49b,Ctf1,,,,,Fam219a,Fam111a,Pdk2,Irf1,Myo9a,Garre1,,
,,Snora15,Fmr1nb,Coprs,Rac2,,,,,Ptprm,Cmpk2,Ywhag,AU040320,Tcerg1,Cep20,,
,,Vmn1r26,Tff3,Pus7l,Arhgap4,,,,,Cars2,Aldh3b1,Eif3l,Safb,Srpk2,Tmem184c,,
,,Snhg5,C1rb,Snrnp35,Zfp618,,,,,Zfp169,Mef2c,Krt8,Stim1,Strn3,Eva1a,,
,,Olfr1312,2310015A10Rik,E2f2,Prkg2,,,,,Tdrp,Xaf1,Pgam1,Mrps16,Pds5b,Rsbn1l,,
,,Serinc2,Dnase1l1,Nuak1,Lrrc61,,,,,Zfp709,Amigo1,Dnajc22,Ctbp1,2010315B03Rik,Fto,,
,,Pck2,Pycard,Renbp,Dph7,,,,,Rxylt1,Efna5,Ankrd52,Vkorc1,Spred1,Tead1,,
,,Gvin1,H4c1,Gja4,Rdh1,,,,,Eml5,Rnf41,Mars1,Golga4,Bmpr1a,Plekhb1,,
,,Tuba8,Naalad2,Sspo,Adgrd1,,,,,Ago4,Abraxas1,Tbc1d20,Kansl3,Cspp1,Fas,,
,,Rexo5,P2ry13,Zfp385a,Bcam,,,,,Rad51d,Inpp5e,Ppp2r1a,Tusc2,Lrrfip1,Prep,,
,,Raet1e,Gm19522,Cdt1,9530082P21Rik,,,,,2700049A03Rik,Cep192,Klhdc3,Vps35l,Uap1,Ap3s2,,
,,3110045C21Rik,Jchain,Mrnip,Cd300a,,,,,Nlk,Itga6,Odc1,Clpx,Rfwd3,Flt1,,
,,Nup43,Krt23,Myo1f,Gbp2b,,,,,Tfb1m,Urb2,Msra,Efna1,Immp2l,AI987944,,
,,Sp110,St3gal6,Dcaf4,Epb41l1,,,,,Wdcp,Cerkl,Abhd14b,Syngr2,Ramac,Ppp2r2a,,
,,Zfp551,Tmem14a,Vmn2r86,Patz1,,,,,5530601H04Rik,Rtca,Ogdh,Fdps,Tbccd1,Khnyn,,
,,H2bc12,Mospd3,B430010I23Rik,Fry,,,,,AI597479,Zfp2,Myo5b,Sgta,Ptk2b,Crebl2,,
,,Arl2bp,Marcksl1-ps4,Unc119,Rab2b,,,,,Prpsap2,Cenpc1,Grpel1,Psmc1,Emsy,Galnt4,,
,,Klf2,Gpr137b-ps,Porcn,Ptgfrn,,,,,Nip7,Slfn9,Ppm1f,Acy1,Ube2e1,Dkc1,,
,,Fam227a,Rnu12,Emp1,Gm15545,,,,,Trdmt1,Fdxacb1,Spp2,Snf8,Pts,Rhbdd1,,
,,Arid5a,Cenpq,Trim47,Lrrn3,,,,,Fam117b,Lcp2,Arhgef18,Swi5,Rars,Mcoln1,,
,,Slfn2,Kdm5d,Mfsd9,Gfra2,,,,,5031425E22Rik,Rassf4,Gprc5c,Gart,Synrg,Atpif1,,
,,Zfp429,Zfp619,Npnt,Eva1c,,,,,Apaf1,Nsun4,Use1,Hsd17b10,Atg5,Atf1,,
,,Snora16a,Fbxl21,9930111J21Rik1,Dpep1,,,,,Fastkd5,Myef2,Tacc2,Msrb1,Taf1d,Ubl3,,
,,Sult2a5,Kbtbd3,Kcnk10,Gm3336,,,,,Tubgcp3,Cbwd1,Acox3,Fgfr3,Zfp825,Synj1,,
,,H2bc3,1190007I07Rik,Cmklr1,Zfp458,,,,,Ttll5,Lsm3,2610005L07Rik,Mafg,Stom,Antxr2,,
,,Bub1b,Camk2b,Zfp11,Tlr6,,,,,Mios,Tifa,Ppfibp1,Rpl10a,Cript,Psmd6,,
,,Ssbp2,Pms2,Bglap3,Kctd5,,,,,Olfml1,Camk1,Cgnl1,Mrpl11,Mbd1,Kansl2,,
,,Zfp383,Fhit,Acap1,Arhgap10,,,,,Gm11437,Alg13,Sbk1,Ambra1,Zbtb4,Tmem140,,
,,Zfp821,Trmt61b,Glis2,Akna,,,,,Glt8d1,Prkcd,Pdap1,Fars2,Mtx2,Fbxo34,,
,,Zfp607a,Phospho1,Cd22,Tmem132a,,,,,Tia1,Zfp963,Cct7,Aph1a,Psma5,Nek6,,
,,Zfp979,Pvt1,Rapgef3,H2-T10,,,,,Pogk,Tmem241,Psmc5,Mlec,Ints13,Rgl1,,
,,Oas2,Syce2,Tubd1,Sdk2,,,,,Arhgdib,Myo19,Gstm7,Nlrp12,Mpp1,Vps53,,
,,Olfr639,Zfp446,Nxt1,Slc15a3,,,,,Ccn1,Zdhhc13,Rrp1,Mbl1,Enpp4,Msrb3,,
,,Gm6710,Fgf21,B4galnt3,Ammecr1,,,,,Lbh,Plekhm3,Selenbp1,Shisa5,Ncald,Fnbp1,,
,,Purg,Olfr46,Reep4,Armcx5,,,,,Scnm1,Itpripl2,Nedd4l,Gldc,Zmynd11,Tet2,,
,,Zfp668,Vmn2r115,Mcm5,Hdc,,,,,Tubgcp5,Thap1,Pitpnm2,Ndufa1,Clasp1,Kdm1a,,
,,Defb1,Thbs1,Astn2,Trmt44,,,,,Itga7,Dpt,Fxr2,Adar,Supt20,Fam135a,,
,,Cd24a,A830082K12Rik,Bmp6,Gar1,,,,,Klhl15,Mphosph9,Epha1,Gucd1,Fam98a,Acot13,,
,,Serpine1,H4c6,Gas7,Megf6,,,,,Zfp142,Dph5,Prelp,Srrt,Igfbp1,Zc3h12c,,
,,Vmn2r59,Chrna2,Cdc25a,Zfp784,,,,,Abcc5,Slc29a3,Plcg1,Inppl1,Cdkn1b,Pea15a,,
,,Rgs10,Syt11,Nck2,Ajuba,,,,,Tmem106c,Tbc1d4,Tmem176a,Zfp236,Pign,Zfp26,,
,,Ranbp3l,Fcgr4,Pde10a,Nudt6,,,,,Cyth3,Nkrf,Micu1,Gfer,Slc30a5,Tshz1,,
,,Sla,Lratd1,Smarcd1,Acot11,,,,,Pcbd2,Mettl21a,Lamtor1,Ppa1,Slc49a4,Myl12a,,
,,1810024B03Rik,Snrpf,Cdin1,Zfp454,,,,,Cwc22,Tex10,Ak2,Hsbp1,Cacybp,Lsm12,,
,,Sap30,2900076A07Rik,Plxdc2,Gmpr,,,,,Gm14325,C2cd5,Eif5a,Psmb1,Dnase2b,Setdb1,,
,,H1f5,Fam222a,Rnf186,Rgs8,,,,,Mtmr12,Hip1,Rapgef1,Ube2l3,Myadm,Mtpap,,
,,Zfp773,Rag2,Gas8,Lsm11,,,,,G6pdx,E130307A14Rik,Tln1,Vps33a,Utp6,Arhgap32,,
,,2810002D19Rik,Jrkl,Metrn,Evi5l,,,,,Katnal1,Gemin7,Wdr18,Celsr1,Tfdp2,Rybp,,
,,Fv1,Map2,Zc3h12a,Ift122,,,,,Csrp1,Zfp280c,Slc6a6,Mrps18a,Zfp369,C330018D20Rik,,
,,Pigw,Slc22a3,Ccr3,Mpp4,,,,,Snx12,Plscr4,Ppp1r11,Slc46a1,Srp9,Fbxo30,,
,,9230114K14Rik,Junb,Frem1,Rragd,,,,,2410006H16Rik,Rbm43,Mea1,Gatb,Klhdc2,Stxbp5,,
,,Ptprt,3110056K07Rik,Taf1c,Them6,,,,,Niban1,Ocrl,Hsd17b2,Srp68,Ik,Atp6v1g1,,
,,Olfr539,Sinhcaf,Antxr1,Ulk3,,,,,Ing5,Impdh1,Cnot8,Ppp1r37,Helz,Tbx3,,
,,4930412C18Rik,Zfp939,Tiam1,Vsig10,,,,,Pdf,AW146154,Rpl8,Cct3,Usp46,Tceal9,,
,,Grk4,Rec8,Fmod,Afap1l1,,,,,Nsmce2,Iqcb1,Coa3,Urgcp,Sall1,Ifih1,,
,,Slc28a2,Raet1d,Sort1,Tspyl2,,,,,Plscr1,Rpia,Tpcn1,Pnpla2,Mrpl32,Ccng1,,
,,Epsti1,Rgmb,Col6a6,Zfp414,,,,,Utp25,Zfp595,Tmem134,Psmb8,Tmem30b,Hexim1,,
,,Armcx1,Zfp420,Cdh13,Cep131,,,,,Npr3,Tmem47,Flt4,Ephb4,Chka,Zdhhc20,,
,,Olfr648,Ier5,Ppp3cc,Adprh,,,,,Ppwd1,Tpcn2,Puf60,Taok2,Dr1,Ttpal,,
,,Snora30,Il18rap,3110082I17Rik,Aif1,,,,,Gtf2b,Ppp1r16b,Cd82,Ndst1,Gypc,Appl1,,
,,Des,AA986860,Ppp1r35,Pcdh18,,,,,Cryl1,1110019D14Rik,Eefsec,Hcfc1r1,Kmt5b,Smc1a,,
,,Casp4,Slc16a9,Pkhd1l1,Nckap5,,,,,Cdkl5,Otud1,Slc26a1,Tmem254,Cdk8,Mkrn1,,
,,Terc,Rsad1,Ankrd42,Cep89,,,,,Il18,Fbn1,Retreg2,Ptpa,Lsm14a,Foxo3,,
,,Cd200r1,Slc22a28,Jmjd7,Gstcd,,,,,4930523C07Rik,Rnf144a,Pigt,Tprgl,Col3a1,Smap2,,
,,Spata7,Ly86,Aebp1,Lockd,,,,,Ccp110,Zfp965,Dhx30,Timm23,Selenos,Add1,,
,,Ppp1r1b,Serpina9,Adm,Tmco6,,,,,D17H6S53E,Pop4,Wbp2,Gstt1,Uevld,Mir22hg,,
,,Dubr,Spata1,Wdr19,Bbs4,,,,,Qpct,Cyp3a59,Naxe,Ost4,Yipf1,Elp3,,
,,Ccr2,Hacd4,Notch4,H2bc8,,,,,0610009B22Rik,Cmtr2,2900026A02Rik,Zzef1,Tspan7,Fktn,,
,,E130102H24Rik,4930503L19Rik,Palm,Pou2f2,,,,,Atpaf1,Stard8,Rpl37a,Slc36a1,Irf2bp2,Galk2,,
,,Gng2,Erich1,Praf2,Prss23,,,,,Actl6a,Osmr,Pi4k2a,Entr1,Togaram1,Cep170,,
,,Dact1,Scand1,Rilpl1,Selenon,,,,,Ropn1l,Zbp1,Ngef,Slc37a4,Wdfy1,Klf12,,
,,Evi2a,Isoc2b,Pisd-ps1,Lrfn4,,,,,Zfp324,Zxdb,Cs,Nsfl1c,Apmap,Tstd3,,
,,Zfp951,Dock11,Septin6,Tcaf2,,,,,Tmem67,Serpinb8,Cdc42ep4,Cdk5rap3,Washc5,Pabpc4,,
,,Gas2l3,Nipal2,Arhgap44,Spsb4,,,,,Setmar,Vrk2,Hax1,Jup,Gtf2e1,Mob1a,,
,,Fpr1,Hdgfl3,Cdc45,Ltb,,,,,Tmem175,Stambp,Ssu72,Mvp,Kat6b,Thumpd3,,
,,Synm,Gm10069,Cd52,Tnfrsf19,,,,,Gmfg,Lama2,Slc6a13,Rbm8a,Dph3,R3hcc1l,,
,,2310009B15Rik,Ifi207,Gpr183,Zfp346,,,,,Csnk1g1,Rpap3,Chmp4b,Extl3,Cstf2t,Gab1,,
,,Fos,Prelid2,Nckipsd,Pgm5,,,,,Zfp160,Znhit6,Shc1,Rad23a,Cdk12,Adgrl4,,
,,Irak1bp1,H2-Ea,Satb1,Tonsl,,,,,Tmem69,Nudt16,Rpl7l1,Tbc1d16,Repin1,Npc2,,
,,St8sia4,Zfp9,Tmem81,Clstn3,,,,,Kat5,Armcx4,Nectin2,H1f2,Snx27,Hspa13,,
,,Pitx3,Zfp992,Borcs6,Mcm3,,,,,Nup160,Rbm48,Kyat1,Mrpl10,Mmachc,Tbc1d14,,
,,B3gnt3,9330159M07Rik,Ramp1,Ttyh3,,,,,Ccpg1os,2310057M21Rik,Gpi1,Slc3a2,Hnmt,Jpt2,,
,,Eif2s3y,Sytl4,Kctd7,Med9,,,,,Wdr55,Mest,Dcaf5,Lmna,Appl2,Ncbp1,,
,,Ifi211,C730002L08Rik,Gpx7,Gemin6,,,,,Sned1,Tmtc2,Tst,Cyth1,Stard13,Brwd3,,
,,Cep128,Olfr1033,Crtap,Igsf10,,,,,Pramel12,Zfp687,Hnrnpul1,Exoc7,Gusb,Specc1l,,
,,Oas1g,Vmn1r76,Abcc1,Mustn1,,,,,Lrrc42,Ift80,5031439G07Rik,Ppp5c,Rnf2,Ercc6,,
,,H4c11,Dus4l,Iqcg,Wdpcp,,,,,Tyrobp,Mapk1ip1,Eif4a3,Man2b2,Slc17a5,Iffo2,,
,,Snora78,Zfp128,Rtn2,Maml3,,,,,Zfp955b,Ehd4,Ctdsp1,Echdc2,Pole3,Selenok,,
,,1810053B23Rik,Zfp667,Telo2,Nup107,,,,,Maoa,Scfd2,Tars,Septin11,Atm,Rnf19b,,
,,Cd46,Nsun6,Klhl26,Mfsd13a,,,,,Zfp787,Fam47e,Tkt,Notch1,Brix1,Mkks,,
,,Zfp85,Asns,Itpka,1110065P20Rik,,,,,Zbtb21,Pfdn4,Pard3,Hyal2,Capza1,Zcchc7,,
,,Mnd1,Dnai1,Fgd1,Enkd1,,,,,Zfp217,Lcmt2,Sf3b2,Nudc,Cfap97,Ap1ar,,
,,Tspan13,A630089N07Rik,Plek2,Rpusd1,,,,,Tbxas1,Zfp433,Itgb5,H2-T22,Ints8,Fbxl4,,
,,5430405H02Rik,Gon7,Mrgbp,Trim68,,,,,Inip,Zfp954,Afg3l1,Zswim8,Ubap2l,Them7,,
,,Slc38a1,Lin9,Wdsub1,Fermt3,,,,,Atp8a1,Cdkl2,Als2,Reep6,Dusp12,Gnptab,,
,,Gbp8,Rslcan18,Incenp,Plekho1,,,,,Zbtb46,Rilpl2,Calm3,Sphk2,Mettl16,Tob2,,
,,Hcrtr2,Vmn2r79,Ptpre,Zfp459,,,,,Ppih,Flrt1,Dmac2,Slc45a3,Aga,Syap1,,
,,Spc25,Itgb2l,Angpt2,Tulp3,,,,,Agk,Terf2,Sec16a,Tcea3,B3galt1,Ppp4r1,,
,,Dmac2l,Tmem181a,Tatdn3,Fndc10,,,,,Gpatch1,Gja1,Clcn2,Rnf44,Rchy1,Eif2ak3,,
,,Ugt1a2,Ints6l,Tspan18,H3c6,,,,,2610008E11Rik,Stx8,Gpat4,Impdh2,Rdh11,Dcaf12,,
,,Lair1,A2ml1,Cpsf4l,Rab11fip5,,,,,Rspo3,Shld1,Polr1a,Yap1,Manea,Aff1,,
,,Tbc1d9,Lad1,Ccdc149,Gna14,,,,,Cep44,Sacs,Gtf2i,Lamtor2,Cpsf2,Fzd7,,
,,Olfr1385,Atn1,Zfp213,Serpina5,,,,,Folr2,Wars2,Babam1,Psmc2,Aggf1,Mb21d2,,
,,Vmn2r114,1700007F19Rik,Zswim3,Alkbh7,,,,,Chsy3,Dimt1,Slc25a39,Gltpd2,Ctss,Atp2b4,,
,,Marchf1,Gpr17,Syde1,Bc1,,,,,Cox14,Slx1b,Smpd1,Nit1,Ifnar1,Magi1,,
,,1810014B01Rik,H4c14,Snhg20,Col4a3,,,,,Pot1a,Ifit3b,Crcp,Adipor1,Irgm1,Dlg3,,
,,Gins1,H2ac4,Hps1,Lilra5,,,,,Aida,Stxbp4,Rptor,Tmem94,Erc1,Slu7,,
,,Senp8,Capn8,Atp6v0c-ps2,Alkbh6,,,,,Abcc4,Cdk2,Prodh,Mrpl51,Sgk3,Senp3,,
,,Calhm6,Trim12a,Cntfr,Slc51b,,,,,Snx16,Armc7,Klb,U2af1,Pgap2,Stk24,,
,,Osgin2,Btbd10,Gpx8,Zkscan6,,,,,Tnfrsf11b,Pde4d,Qars,Ewsr1,Txndc15,Surf1,,
,,H3c15,2200002D01Rik,Pilrb2,Cenpo,,,,,Zfp384,Fahd2a,Tkfc,Fem1a,Wdr77,Wwc2,,
,,Prc1,Zfp54,Ddr1,Lins1,,,,,Cep57l1,Pus7,Lims2,Leap2,Mipep,Srgap2,,
,,Tafa2,Gm12191,Coro1a,Limch1,,,,,Agbl3,Bloc1s6,Rpl14,Mthfd1,Pik3cb,Il6ra,,
,,Ncam2,A830052D11Rik,Hmgb2,Gramd1b,,,,,Tfcp2,Mpg,Oaz1,Wsb2,Mapkapk5,Oit3,,
,,Ap1s2,F630028O10Rik,Kdm8,Gm2061,,,,,Mcam,Egln3,Rnaset2b,Limd1,Cnot10,Gsdme,,
,,5430402O13Rik,Zfp456,Gm20605,Adgrg3,,,,,Icam1,Mtfmt,Pacsin2,Hars,Ptpn3,Bicral,,
,,Taf4b,Ugt2b38,Zfp628,Dio3os,,,,,Ncf2,Gorab,Tpi1,Twnk,Agps,Trp53bp1,,
,,Adrb2,Eps8l1,D930048N14Rik,Atp8b5,,,,,Spats2,Zrsr2,Taf10,Hexa,Hspa4l,Tbc1d8,,
,,Ttn,Vav3,Ppic,Carmn,,,,,Morrbid,Tti2,Stat2,Tmem147,Ywhah,Mrpl57,,
,,Scara5,Vmn2r24,Kcnj2,Smad6,,,,,Prkch,Slc25a26,C8b,Madd,Gpatch8,Baz1a,,
,,Fam228b,Top2a,H4c2,Lzic,,,,,Gata6,Cep135,Sptan1,Myl6,Cnot7,Tgfbr2,,
,,Stx11,Zfp472,Zfp862-ps,Lrrc4c,,,,,Samd4,Tmem185b,Agrn,Ehmt1,Ipo11,Phf8,,
,,Tm6sf1,Nat8f4,Qtrt1,Gpr39,,,,,Zfp101,Stmn1,Plvap,Mical3,Mark3,Eif2s1,,
,,Napb,Zfp354b,Adamdec1,Zfp316,,,,,Ctnnbip1,Wwox,Lrp4,Ufc1,Alg5,Fam193a,,
,,Megf11,Fkbp7,Ntm,Nhlrc1,,,,,Fam76b,Phf7,Atad3a,Creb3l3,Lrrc8d,Tdp2,,
,,Cd300ld,Pim2,Slc6a8,Thbd,,,,,Zfp366,Mir99ahg,Itpr2,Cpsf1,Tmem126a,Jkamp,,
,,H3c10,Spag1,Mllt11,S1pr5,,,,,Rad52,Rnf24,Cox15,Mapkap1,Tbc1d5,N4bp1,,
,,0610040B10Rik,Micu3,Syt9,Ripor3,,,,,Slc9a6,Trappc2,Tns2,Nacc2,Odr4,Atp6v0a1,,
,,Skp2,Gm13544,Vmn1r208,Gnao1,,,,,Galnt11,Fabp5,Rorc,Uba1,Slc5a3,Utp3,,
,,Slc16a4,Etohd2,Rassf1,Epor,,,,,D16Ertd472e,Trim32,Eps8l2,Irak2,Rapgef2,Elp2,,
,,Vmn1r218,Zfp937,Pld4,Msln,,,,,Galc,Kitl,Poldip3,Atp6ap1,Aimp1,Pcsk5,,
,,Omd,Snora68,A530013C23Rik,Klhl36,,,,,Ing2,Pms1,Habp2,Ndufa5,Kat7,Dnajb9,,
,,Ccl27a,Tfec,Npdc1,Cntln,,,,,Zfp606,Fads3,Mroh1,Klc4,Zfp809,Ifi47,,
,,Kif24,Ly6a,Lpar1,Angel1,,,,,Fbxw7,Tipin,Arhgef19,Sipa1l1,Gnaq,Golga1,,
