module	feature	condition	score	h5_accession	mission	sex	strain	library_selection
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G2	GC	0.06865507364273071	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G3	GC	0.11488709598779678	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G4	GC	0.060600653290748596	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G5	GC	0.0831993967294693	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G6	GC	0.0570153146982193	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G7	GC	0.05267283320426941	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G8	GC	0.10334985703229904	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-463_RR23_LVR_GC_G9	GC	0.10894390195608139	OSD-463		Male	C57BL/6J	ribo-depletion
FLT_cluster_3_mixed_stress	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep2_G3	GC	0.13963986933231354	OSD-242		Male	C57BL/6J	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep3_G4	GC	0.13795728981494904	OSD-242		Male	C57BL/6J	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep4_G5	GC	0.14306551218032837	OSD-242		Male	C57BL/6J	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep1_G1	GC	0.15415449440479279	OSD-137		Female	BALB/c	Ribo-depletion
FLT_cluster_3_mixed_stress	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep2_G2	GC	0.13333451747894287	OSD-137		Female	BALB/c	Ribo-depletion
