FLT_cluster_01,FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,FLT_cluster_15,GC_cluster_01,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Mdm4,Rbm12b1,Lrrc9,Homer3,Tbcd,Wdr62,Rgs9,Zap70,Olfr509,Setd5,Slc1a2,Tmem268,Wif1,Hnf1b,Slc22a17,ENSMUSG00000066896,Vmn1r80,Sirt2,Rbm12b1,Rev3l,Maged2,Mthfd2,Mup14,Bccip,Gria4,Psmd13,Sod1,Tc2n,Tspan17
4833420G17Rik,Polr1has,Tnf,Vmn2r101,Cpt2,Ap3m2,Trat1,Rxrb,Angpt1,Rnf14,Ebp,Tgfb1,Slc8a3,Rmrp,Clps,Troap,5730405O15Rik,Psme3ip1,Polr1has,Tma7,Fbrsl1,1700067K01Rik,2310010J17Rik,Ndfip1,Bmx,Txn2,Ppp2r5a,E2f7,Isyna1
Ppa2,Mcm7,Olfr1414,Cdr1os,Tsc2,Ripk3,Ttk,Esrra,Fgfr1,Pikfyve,Mettl7a1,Adssl1,Ptprn2,Prkca,Gp2,Sorcs2,Gm10390,Rffl,Mcm7,Cisd2,Pelp1,Sirpb1b,Ddb2,Zmpste24,B020018J22Rik,Usp5,Psmd2,Olfr907,H2bc13
Dnajc25,Ttc30b,Snord67,Tmem191c,Bccip,Olfr667,Neurl1b,Ubl7,Sult5a1,Ppp1r15b,Sdhd,Vamp5,Fhl2,Col27a1,Icam4,Lrrc9,Usp35,Tbc1d23,Ppie,Fam169b,Pik3cd,Neurl1b,Haus1,Glrx3,Ttk,Gcgr,Ehhadh,Hnf4aos,Rbm38
Lims1,Tmem251,Gm16853,BC049352,Vcl,Elf5,Hpgds,Arfgap1,1500004A13Rik,Vdac1,Sardh,Ficd,Myoz3,Abhd17a,Stra8,Asb10,Ifi214,Prkag1,Tmem87a,Hnrnpa1,Dnttip1,Gp9,Hectd2os,Commd3,Six3os1,Supt5,Igf1,Lipt2,Gtpbp6
Morc2a,Ppie,Aknad1,Gria4,Nploc4,Alkbh2,9130230L23Rik,Dnttip1,Calhm2,Srr,Prdx6,Nbeal2,Niban3,Mup16,ENSMUSG00000032807,Tnf,Gulp1,Tmem63a,Pex12,Gpd1l,Nfkbie,Mzb1,Dclre1b,Ube2b,Vmn1r9,Fat1,Cyp2c50,Casp1,Abhd8
Rev3l,Tmem87a,Mir1898,Bmx,Psmd13,Tbc1d10c,Siah1b,Lrsam1,Gm20337,Cdc37l1,Sod1,Ctu2,Snord99,Abca3,Cpxm2,Olfr1414,Scn3a,Zap70,Nfrkb,Nae1,Rundc3a,Aplnr,Sult5a1,Lrat,Opalin,Dctn2,Cxcl12,Etv1,Smox
Gpatch2,Mblac2,Dnaaf1,B020018J22Rik,Txn2,Pik3cd,Tmem8b,Axin1,Pclo,Reps2,Serinc1,Lrrc32,Ddit4l,Serpine2,Rab25,Snord67,Chrdl1,Rxrb,Cdk7,Naa35,Trp53rka,Tgif2,Zfp72,Wasl,Shh,Ivd,Rnase4,Derl3,Crocc
Cisd2,Pex12,ENSMUSG00000035262,Sirpb1b,Usp5,Nfkbie,B630019K06Rik,Cox19,Trim13,Phldb2,Ehhadh,Pelo,Adcy2,Inhba,Slc5a9,Gm16853,Scn7a,Esrra,Snip1,Umps,Tbkbp1,Olfr39,Xk,Impa1,Prrg4,Acp5,Serp1,Rfc4,Sspo
Gpr107,Nfrkb,ENSMUSG00000025433,Gp9,Sirt2,Kif26a,Ubash3a,Mapkbp1,Gstp2,Rbm47,Igf1,Prxl2b,ccdc198,Mup17,Camk2a,Aknad1,Rgs9,Ubl7,Zfp637,Cog5,Gdpgp1,Sstr2,Olfm3,Chpt1,Olfr1387,Atp6v0b,Hpd,Tnfaip8,Trim47
Commd3,2310010J17Rik,Dlx4os,Six3os1,Umps,Tmem79,Mapk4,Tomm40,Gm15910,Prxl2c,Cyp2c50,Sars2,Hsd3b1,G0s2,Mfap5,Dnaaf1,Trat1,Arfgap1,Rwdd2b,Glrx,Kif21b,Elf5,Rps13,Rhobtb1,Cadps,Anxa6,Glo1,Med12l,Guca1a
Fam169b,Ddb2,Hoxc9,Vmn1r9,Gcgr,2310040G24Rik,D830005E20Rik,Tmem109,Map3k6,Smim10l1,Cxcl12,0610010K14Rik,Alpk3,Mrpl53,Ptpru,ENSMUSG00000035262,Mbd4,Eps15l1,Mrpl3,Dnajb4,Mapkbp1,Tbc1d10c,Ripk2,Rnf14,4930488L21Rik,Abcf1,Hspa5,Pdss1,Taf1c
Hnrnpa1,Haus1,Pitpnm3,Opalin,Supt5,Kif21b,Msl3l2,Atg4d,Fcgr1,Ppp2r5a,Rnase4,Endog,Pnlip,Aqp4,Ppfia3,ENSMUSG00000025433,B3gnt8,Cops7a,Lrsam1,Cog3,Rcc1l,Siah1b,Arrdc2,Gbe1,Gm12295,Myo1c,Otc,Disp2,Itpka
Gpd1l,Dclre1b,ENSMUSG00000073971,Mzb1,Fat1,Gm20752,Ttc26,Stx4a,Sox9,Ugdh,Serp1,Zswim4,Sebox,Rpl36,Hrc,Dlx4os,Bbs2,Atg13,Riox2,Setd5,Tmem109,Fabp12,Abracl,Slc1a2,Olfr699,Cog4,Il6st,Ccdc122,Cntfr
Nae1,Orm3,Cox6b2,Shh,Glrx,Abcb9,Olfr1489,Tmem53,Pln,Ncoa2,Hpd,Grwd1,ENSMUSG00000041984,Crybg3,Agbl1,Hoxc9,Olfr509,Ppm1l,Adpgk,Denr,Tmem268,Olfr482,Cox19,Pikfyve,Olfr1209,Hba-a2,Phyh,Vmn1r13,Gm20605
Rffl,Zfp72,Vwa5b2,Prrg4,Dctn2,1190005I06Rik,Ccna2,Arvcf,Snord118,Ppp4r3b,Glo1,Kcnn1,H2ac21,Mvd,Myh7b,Pitpnm3,Angpt1,Tnrc18,Aamdc,Oxsr1,Ctbp2,Gnb5,Ednra,Ebp,Vmn2r82,St3gal3,Abhd2,Gm16291,Zfp628
Naa35,Xk,1700110I01Rik,Olfr1387,Ivd,Tigd5,Vmn2r113,Lypla2,Snora17,Tnrc6b,Hspa5,Mnt,Klhl31,Rps2,Psmc3ip,ENSMUSG00000073971,Hpgds,Mrpl40,Gin1,Aak1,Tgfb1,D830005E20Rik,Gm16157,Ppp1r15b,Lrrc10b,Ip6k1,Sult2a8,B430010I23Rik,Qtrt1
Lrat,Olfm3,Olfr801,Tgif2,Gstp1,Cacna1d,Gpr4,Mrps24,Slc39a6,Dars,Otc,Adprs,Plekhn1,Extl1,Vwa1,Cox6b2,Wdr62,Flot2,Fhl1,Cdc26,Vamp5,Kcnab3,Vcam1,Mettl7a1,Vax2os,Larp1,Pzp,Pdgfd,Haghl
Impa1,Cdk7,Snord66,Cadps,Acp5,Zbtb12,Pole2,Nubp1,Klf1,Dicer1,Il6st,Lrrc14,Slco1a6,Rpl30,Slc35f2,Vwa5b2,Ap3m2,Axin1,Usp18,Mmadhc,Armcx2,Gm20752,Cacna1d,Sdhd,Hormad2,Ssr4,Uox,Susd4,Gipc3
Tbc1d23,Snip1,ENSMUSG00000028782,4930488L21Rik,Atp6v0b,Ctbp2,Nusap1,Tjp2,Nat8f6,Usp47,Atp5h,Slc9a1,Mylpf,Kpna2,Clba1,1700110I01Rik,Ripk3,Tomm40,Zfp322a,Dusp11,Ficd,Ccr7,Prim2,Nipsnap3b,Gm17746,Tm4sf4,B2m,Gm6225,Sema6b
Cog5,Zfp637,ENSMUSG00000040133,Gm12295,Anxa6,Srrm4os,Pih1d2,Tgm1,Trim80,Ywhaq,Sar1b,Mad2l1bp,Ctrl,Hao2,Sfrp5,Olfr801,Olfr667,Cry2,Ahcyl2,Smad2,Nbeal2,Slc25a35,Haus6,Vdac1,Olfr689,Apol9b,Azgp1,Fgf2,Gm13889
Dnajb4,Ripk2,Foxj1,Olfr1209,Cops7a,Ercc1,Slc9b2,Ppp1r12c,Ddx3y,Mrpl15,Bnip3,Gtf3c5,Nalf2,Cyp2c38,Smtnl1,Snord66,9130230L23Rik,Spry4,Eed,Srp14,Srrm4,Gpr4,Gstp2,Srr,Stil,Tpmt,Ugt1a1,Nat8f5,H2bc12
Cog3,Rwdd2b,Faxc,Fabp12,Abcf1,Cd1d2,Olfr643,Hmgxb3,Gm11127,Larp1b,Phyh,Gm15417,Snhg9,Rnf125,Cpz,ENSMUSG00000028782,Tmem8b,Adssl1,Lyrm2,Slc43a3,4933404O12Rik,Pih1d2,Alas2,Cdc37l1,Synpr,Smarcd2,Hectd1,Rpgr,Fam171a2
Denr,Riox2,ENSMUSG00000116611,Gnb5,Myo1c,Capn5,Cep72,Nol6,Vmn2r60,Hsd17b11,Abhd2,Cadm3,Cdc42ep5,Thrsp,Slc6a4,ENSMUSG00000040133,B630019K06Rik,Atg4d,Rab11fip2,Foxo1,Ctu2,Cd1d2,Gm15910,Reps2,Vmn1r60,Tmem176b,Chchd10,Olfr986,Bbc3
Eps15l1,Arrdc2,Ror2,Vmn2r82,Tnrc18,Teddm2,Emb,Vrk3,Fam241a,Vps4b,Sult2a8,Psph,Fbxl22,Nr1d2,Rhox5,Foxj1,Ubash3a,Stx4a,Spata2,Tmem131l,Lrrc32,Kcnj16,Vopp1,Clk1,Gm10653,Ncoa2,Cd302,Apbb1ip,B9d2
Oxsr1,Aamdc,Hsd11b2,Lrrc10b,Cog4,Adcy3,Olfr1310,Trmt1,Zfp40,Serpina7,Pzp,Adat1,Nckap5l,Fmc1,Lgals2,Faxc,Mapk4,Tmem53,Pde3a,Zfp260,Slc39a6,Hyal3,Mup20,Phldb2,Slc7a14,Rpl37,Angptl3,Gm5431,Sox18
Aak1,Gin1,Negr1,Vax2os,Flot2,Myc,Tmem26,E130309D02Rik,C920021L13Rik,Nudt12,Cmbl,Cntrob,Myh7,Snord22,Pof1b,ENSMUSG00000116611,2310040G24Rik,Dis3l,Cnst,Txndc9,Rnf113a2,Ccdc96,Nrros,Rbm47,Vmn1r201,Tnrc6b,Cox6c,Nat8,Trp53i13
Cdc26,Abracl,Gsdma2,Hormad2,Hba-a2,Kcnj16,Gm5141,Ifi35,C1ql3,6820431F20Rik,Uox,Psmb9,Lgi2,Asap2,Trdn,Ror2,Calhm2,Arhgef7,Fbxo45,Cntrl,Pelo,Wif1,Stau2,Prxl2c,Olfr1170,Sema4g,Actg1,C130083M11Rik,Mapk7
Mrpl3,Ednra,Mroh7,Car13,Tfr2,Fam216a,Noxo1,Prune1,Vmn1r229,Riok3,B2m,Trip6,Itgae,Gsta4,Cabp2,Hsd11b2,Msl3l2,Ttc33,Rbks,Uqcc1,Adcy7,Noxo1,Pln,Smim10l1,Zfp804b,Slc38a10,Eif4g1,Cyp26a1,N4bp3
Atg13,Gm16157,Olfr699,Gm17746,St3gal3,Scn1b,Ptger1,Sf3a3,Ugt1a7c,Gsk3b,Azgp1,Noc4l,Tmod1,Mup19,ENSMUSG00000017204,Negr1,Gm20337,Arvcf,Casp3,Hint3,Gm11127,Foxs1,Snord118,Kdr,Olfr462,Crat,2610507B11Rik,Map3k8,Tpgs1
Ppm1l,Vcam1,Arhgef33,Olfr689,Ftcd,Srrm4,Mterf1b,Xylt2,Clic5,Ubxn4,Ugt1a1,Col6a2,Cyp4f18,Srd5a1,Slc36a2,Gsdma2,Ttc26,Ubqln4,Kif2a,Nsd2,Fzd6,Ptger1,Nepro,Serinc1,Gm10421,Cox5b,Slc2a2,Arl2bp,Bcam
Mrpl40,Prim2,ENSMUSG00000020524,Radx,Ip6k1,Cbfa2t3,Zfp287,C1qtnf1,Zc3h8,Rnf141,Hectd1,Wnt5b,Abra,Atp2b2,Srpx,Mroh7,Abcb9,Lypla2,Dclre1a,Rnf115,Prxl2b,Mmp28,Mrps24,Ugdh,Btnl2,Sparc,Slc29a1,Oas2,Tmem132a
Adpgk,Usp18,Snord65,Stil,Larp1,Fam83g,Runx2,Thoc5,Acpp,Tbl1xr1,H3f3a,Snx21,Aldh1a3,Lepr,Lrrn1,Lep,Olfr1489,Rnf145,Slc7a6os,Pcgf3,Map3k21,Rufy4,Cyp2c40,Ppp4r3b,Cdkn3,Sympk,Lonp2,4930412C18Rik,Gmpr
Mmadhc,Lyrm2,Nxf7,Zdhhc1,Ssr4,Faap24,A630001G21Rik,Prr14,Zfp90,Asxl2,Atp5g3,Axin2,Poln,Atox1,Dmkn,Arhgef33,Pclo,Trappc12,Lysmd4,Saa2,Sars2,Slc22a17,Dut,Dars,Tmprss11g,Hsd17b11,Apoc4,Olfr648,Them6
Dusp11,Rab11fip2,3830403N18Rik,Hyal3,Tm4sf4,Pik3cg,Map3k15,Cog2,Pkib,Zhx1,Cd302,Plpp2,Grhl3,Selenbp2,Ccn5,ENSMUSG00000020524,Tigd5,Ifngr2,Isca2,Cmas,0610010K14Rik,Slc8a3,Rttn,Dicer1,Gm16998,Nmt1,Acsl1,Ppp1r1b,Zfp414
Smad2,Haus6,Olfr1122,Arv1,Apol9b,4933404O12Rik,Klrd1,Eml3,Cpeb1,Chchd3,Angptl3,Ubald1,Tmed6,Gm14403,Klhl38,Snord65,Zbtb12,Depdc5,Adh7,Skil,Zswim4,Snora17,Zfp119b,Usp47,4931403E22Rik,Ldhd,F2,Synm,Cep131
Nipsnap3b,Spata2,ENSMUSG00000036169,Synpr,Tpmt,Zfp775,Olfr157,Pltp,Snhg16,Arl6ip1,Cox6c,Clstn1,Dach2,Gm14327,Rbfox1,Nxf7,Trim13,Nubp1,Ccdc167,Dusp3,Rfx4,Lrrc8e,Emcn,Plbd1,Pwwp3b,Ankrd11,Glul,Gbp8,H2bc8
Zfp322a,Pde3a,D030047H15Rik,Vmn1r60,Smarcd2,Ell3,Ntrk3,Trp53bp2,Thsd4,Rfk,Eif4g1,Shank3,Serpina3i,Sulf2,Tbx15,3830403N18Rik,Ccna2,Tjp2,Gm14305,Ankle2,Grwd1,E030013I19Rik,Prmt6,Ywhaq,1700084J12Rik,Psen2,Marchf6,Fam187b,Lrfn4
Ahcyl2,Fbxo45,Rflna,Dpep2,Kdr,Sema6c,H2-Bl,H2az2,Ikzf1,Herc4,2610507B11Rik,Synpo,Snord8,Mug2,Gdpd3,Olfr1122,Vmn2r113,Chst15,Prmt9,Ncoa3,Zfp839,Stag3,Fastkd3,S100a10,Rorb,Stat6,Abat,Osgin2,Ltb
Eed,Rbks,Bex2,Mmp28,Psmd2,1110028F11Rik,Atp6v1g2,Hdac6,Snora44,Tpp2,Slc2a2,Rundc1,Itgb1bp2,Timm13,Cldn4,ENSMUSG00000036169,Srrm4os,Tgm1,Ppil4,Nemf,Hnf1b,Nat8f6,Ddx3y,Mrpl15,Glb1l2,Aspscr1,Eif3a,Scara5,Rpusd1
Srp14,Vopp1,Stmn1-rs1,Rufy4,Tmem176b,Jdp2,AV039307,Sgf29,Olfr1034,Thrb,Lonp2,Trex1,Cacnb1,Csad,Six1,D030047H15Rik,Ercc1,Ppp1r12c,Utp11,Kdm6a,Kcnn1,Doc2b,Zfp560,Larp1b,Sh3rf3,C1rl,Cyp2a5,0610040B10Rik,Fndc10
Clk1,Kif2a,ENSMUSG00000041248,Tshb,Ubqln4,Rnf113a2,Tmprss11g,Fam102a,Cep83os,Copb1,Apoc4,Mettl22,Adipoq,H4c4,Klk1,Rflna,Map3k6,Fkbp1a,Gimap4,Luc7l3,Clic5,Trim80,Pigf,Atp5h,Olfr1325,Prodh2,Hspd1,Omd,H3c6
Cnst,Nrros,Gcm2,Olfr133,Rpl37,Aatk,Olfr1423,Brpf3,Abcg3,Lnpep,Acsl1,Mrps11,Ackr3,Sco2,Pla2g4e,Bex2,Fcgr1,Hmgxb3,Smad1,Tomm22,Atp6v0d2,Ptprn2,Zfp40,Sar1b,Tnip3,Cenpb,Hao1,Ccl27a,Ripor3
Slc43a3,Stau2,Srsf12,Lrrc8e,Trappc12,Pigf,Rbmx2,Zgpat,C3ar1,Ak4,F2,Syne3,Clic3,Sqle,Fabp3,Stmn1-rs1,Car13,Map2k2,Sdccag8,Arhgef26,Tomm34,Olfr157,Rpa3,Pdcd6,Olfr1313,Stk11,Brap,E130008D07Rik,Epor
Cry2,Slc7a6os,ENSMUSG00000022132,E030013I19Rik,Sema4g,Zfp7,BC035044,Kri1,Olfr45,Hnrnph1,Glul,Phldb1,Gm9696,Slc2a5,Aldh1a2,ENSMUSG00000041248,Pole2,Nol6,Msrb2,Seh1l,9930104L06Rik,H2-Bl,Snapc1,Bnip3,Csrnp3,Gpc4,Selenop,Fhad1,H4c1
Foxo1,Armcx2,Grid2,Slc7a14,Slc38a10,Slc25a29,Hsd17b14,Nup62,Rmi2,Cebpg,Marchf6,Snx15,Gm16062,Cux2,Clcn1,Gcm2,Nusap1,Vrk3,Maml1,Tlk2,Zfp467,Fhl2,Dgkh,St3gal4,Olfr13,Aup1,Tspan31,Ect2,Klhl36
Casp3,Lysmd4,Gm12789,Stag3,S100a10,Apobr,Skida1,Ccdc9,Parp8,Ccni,Abat,Vps37c,Fxyd6,A930015D03Rik,Mcpt4,Srsf12,Sox9,H2-Ab1,Trmt1,Prepl,Nup62,Atp6v1g2,Zfp846,Vps4b,Nptx1,Mrpl12,Bbox1,Anxa3,Unc5a
Tmem131l,Ccdc167,ENSMUSG00000050198,Vmn1r201,Map2k2,Atp6v0e2,Adamts12,Rufy1,Btc,Cmpk1,Cyp2a5,Tsen34,Kcnab2,Mup12,Slc30a3,ENSMUSG00000022132,Capn5,Rbpms2,Zmym4,Naa15,Cyren,Sla2,Mettl23,Serpina7,Hnf4g,Tmem120a,Lamp2,Galnt7,Znrd2
Zfp260,Gm14305,ENSMUSG00000026220,Olfr1170,Crat,H2-M3,9130019P16Rik,Axl,Prr12,Itpr1,Fh1,Fzr1,Six4,Slc15a4,Rgma,Grid2,Slc9b2,Tap1,Thyn1,Cse1l,Ccdc9,Rbmx2,Cyp3a16,Fbxl5,6030440G07Rik,Dhrs1,Arhgef12,Zfp772,H2ac20
Dis3l,Nepro,ENSMUSG00000092673,Zfp804b,Cox5b,Rfx4,Trerf1,Dnajc16,Donson,Fggy,Hspd1,Ptprs,Cnn1,4930470H14Rik,Myoz1,Gm12789,Olfr643,Ifi35,Krba1,Fbxo11,Homez,Niban3,Vmn1r229,Nudt12,Mexis,Zfand3,Ctsl,4930481A15Rik,H3c7
Txndc9,Prmt9,4930519G04Rik,4930570G19Rik,Sparc,Rims3,Aldh1l2,Nmnat1,Greb1l,Papola,Rps8,Saysd1,P3h4,Wfdc17,Methig1,ENSMUSG00000050198,Teddm2,Pfkl,E130309D02Rik,Nxf1,Mnt,Rims3,Zfp612,6820431F20Rik,Olfr870,Mccc1,Vcp,Fam171b,Ckb
Dclre1a,Dut,Samd11,Olfr462,Sympk,Hmmr,Lrp2bp,Ptges2,Cxcl10,Gng5,Hao1,Ctdspl,Anxa9,Ntrk2,Gpx2,Cox6a2,Zdhhc1,Sf3a3,Poglut2,Zfp869,Pkig,Sfmbt2,Usp28,Cmbl,Lox,Selenow,Ctsh,Gm7609,H4c6
Cntrl,Rttn,ENSMUSG00000054459,Chrna1,Pfkl,Sfmbt2,Tal1,Dpp7,Fbxl12,Arcn1,Selenop,Tnfrsf14,Vill,Cry1,Myl2,ENSMUSG00000026220,Adcy3,Endog,Sfswap,Gsk3b,Adprs,Gm7854,Ugt1a7c,Riok3,Nxpe5,Tuba4a,Aldh1a1,Cd34,Ptch2
Isca2,Zfp119b,1700011B04Rik,Gm10421,St3gal4,Sirt6,Sycp1,Dynll1,Gpm6a,Utrn,BC005537,Piezo1,Myom1,Cyp2a4,Calml3,Sycn,Myc,Xylt2,Marveld1,9930021J03Rik,Lmo2,Cds1,Pltp,Ubxn4,Kcnmb1,Slc35e1,Gpx4,Ank2,Pkp3
Uqcc1,Emcn,Olfr523,Mks1,Dop1b,B3galnt1,Racgap1,P3h1,Xlr3a,Colec12,Cox6b1,Osbpl5,Chil3,Hddc3,Irx3,ENSMUSG00000092673,Cep72,C1qtnf1,Prune1,Habp4,Cnr2,Fcho1,Rnasel,Rnf141,Olfr392,Pcdh1,Apoh,Uty,1810021B22Rik
Arhgef7,Utp11,A2m,Btnl2,Nmt1,Rsph4a,Zfp105,Vps18,2500004C02Rik,Chmp3,Tspan31,Mrm2,Snord49a,Creld2,Rpl3l,4930519G04Rik,Arv1,Dop1b,Cep83,Asxl2,Lrrc14,Klra7,Ncoa7,Fads6,Ppfia3,Fam234a,Fetub,Ino80dos,Scarf2
Hint3,Prmt6,Slc16a8,Cdkn3,Ldhd,Tjap1,Styxl1,Blcap,Clec4n,Eif1a,Bbox1,Pgs1,Plcd3,Hspg2,Ankrd35,Samd11,Emb,Thoc5,Lyplal1,Srek1,Slc9a1,Snord99,Rmrp,Tbl1xr1,Sidt1,Tbc1d2b,Cfi,Adgb,Ccdc88b
Ttc33,Gimap4,1700028P15Rik,Sla2,Ankrd11,Pold1,Olfr49,Sharpin,Trim30d,Hipk1,Etnk2,Ripor1,Obscn,Morf4l1-ps1,Coro6,ENSMUSG00000054459,Olfr1310,Fam149b,Klhl20,1600012H06Rik,Fxyd5,Cpxm2,Zfp873,Zhx1,Olfr806,Col4a1,Trp53inp2,Pla2g4a,Scand1
Adh7,Smad1,ENSMUSG00000033027,Gm16998,Psen2,Gys1,Olfr147,Sorbs3,Cd300c2,Timd2,Lamp2,Iqce,Ace2,Pcp4l1,Kcnj14,1700011B04Rik,Fam216a,Mtres1,Trappc4,Pias2,Mad2l1bp,Ddit4l,Psmg4,H3f3a,Vsx2,Ndufa8,Saa4,Hscb,1700003E16Rik
Nsd2,Sdccag8,C130071C03Rik,4931403E22Rik,Stat6,Plppr2,Gm6377,Lysmd1,Slfn8,Gzf1,Arhgef12,Gga3,Rhbdl1,Rpl29,Ccl11,Olfr523,Tmem26,Prr14,Tefm,Trappc11,Gtf3c5,Adam8,Ikzf1,Atp5g3,Spock3,Mlycd,Scarb2,Tff3,Chst12
Rnf115,Msrb2,Gm20750,Pwwp3b,Aspscr1,Mylk3,Ltb4r2,Dpagt1,Gm15446,Atl3,Uqcrh,Tbc1d10a,Arg2,Srp54b,Dsg1b,A2m,Scn1b,Cog2,Pou2f1,Abhd18,Cyb5r1,C1qtnf12,Col27a1,Chchd3,9130008F23Rik,Abca3,Nat8f2,Pycard,Eva1b
