gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000111564	20	0	7	0
ENSMUSG00000096009	20	0	6	0
ENSMUSG00000045438	21	0	19	2
ENSMUSG00000030002	9	0	3	3
ENSMUSG00000032594	0	0	3	3
ENSMUSG00000033214	20	0	4	0
ENSMUSG00000075269	20	0	16	0
ENSMUSG00000097756	20	0	18	0
ENSMUSG00000041642	1	0	0	1
ENSMUSG00000112880	1	0	10	1
ENSMUSG00000056832	20	0	14	0
ENSMUSG00000031616	1	0	0	1
ENSMUSG00000090291	20	0	5	0
ENSMUSG00000027233	20	0	16	0
ENSMUSG00000106053	1	0	10	1
ENSMUSG00000029408	1	0	14	1
ENSMUSG00000037331	8	0	3	3
ENSMUSG00000043687	1	0	10	1
ENSMUSG00000033902	1	0	0	1
ENSMUSG00000041248	20	0	16	0
ENSMUSG00000115236	20	0	6	0
ENSMUSG00000046062	19	0	12	3
ENSMUSG00000054619	4	0	12	5
ENSMUSG00000024563	17	0	2	4
ENSMUSG00000021362	20	0	7	0
ENSMUSG00000054679	20	0	7	0
ENSMUSG00000045678	1	1	10	8
ENSMUSG00000061601	1	0	10	1
ENSMUSG00000086628	21	0	19	2
ENSMUSG00000027962	9	0	2	4
ENSMUSG00000022132	20	0	18	0
ENSMUSG00000103906	1	0	10	1
ENSMUSG00000071424	20	1	7	6
ENSMUSG00000015968	1	0	10	1
ENSMUSG00000078625	20	0	7	0
ENSMUSG00000050198	20	0	16	0
ENSMUSG00000075220	20	0	6	0
ENSMUSG00000000171	23	0	12	5
ENSMUSG00000030785	7	0	11	7
ENSMUSG00000049823	1	0	10	1
ENSMUSG00000026134	1	0	10	1
ENSMUSG00000075095	20	0	8	0
ENSMUSG00000015247	0	0	3	3
ENSMUSG00000009614	22	0	12	5
ENSMUSG00000020402	18	0	12	5
ENSMUSG00000026220	20	0	16	0
ENSMUSG00000002014	12	0	3	5
ENSMUSG00000061979	21	0	19	2
ENSMUSG00000035235	1	0	10	1
ENSMUSG00000027801	8	0	3	3
ENSMUSG00000001323	8	0	3	3
ENSMUSG00000084174	20	0	5	0
ENSMUSG00000085794	20	0	5	0
ENSMUSG00000024780	24	0	3	3
ENSMUSG00000030107	21	0	19	2
ENSMUSG00000046351	21	0	19	2
ENSMUSG00000002984	21	0	19	2
ENSMUSG00000034659	21	0	19	2
ENSMUSG00000077092	20	0	6	0
ENSMUSG00000050215	20	0	4	0
ENSMUSG00000092673	20	0	16	0
ENSMUSG00000029772	21	0	19	2
ENSMUSG00000030619	21	0	19	2
ENSMUSG00000045854	21	0	19	2
ENSMUSG00000040022	21	0	19	2
ENSMUSG00000038047	1	0	0	1
ENSMUSG00000068506	20	0	4	0
ENSMUSG00000067767	20	0	4	0
ENSMUSG00000029564	20	0	7	0
ENSMUSG00000055298	20	0	16	0
ENSMUSG00000046913	20	0	16	0
ENSMUSG00000087115	20	0	1	0
ENSMUSG00000038155	7	0	19	7
ENSMUSG00000045917	1	0	0	1
ENSMUSG00000040855	24	0	3	3
ENSMUSG00000009549	17	0	2	4
ENSMUSG00000027715	1	0	10	1
ENSMUSG00000047030	1	0	0	1
ENSMUSG00000026034	24	0	3	3
ENSMUSG00000090141	20	0	16	0
ENSMUSG00000020419	20	0	5	0
ENSMUSG00000041741	21	0	19	2
ENSMUSG00000038949	21	0	19	2
ENSMUSG00000026701	22	0	12	5
ENSMUSG00000037944	20	0	14	0
ENSMUSG00000030970	1	0	10	1
ENSMUSG00000059077	20	0	1	0
ENSMUSG00000025270	7	0	3	7
ENSMUSG00000096351	20	0	7	0
ENSMUSG00000092111	20	0	14	0
ENSMUSG00000087480	1	0	10	1
ENSMUSG00000033149	24	0	3	3
ENSMUSG00000086219	1	0	14	1
ENSMUSG00000027074	0	0	3	3
ENSMUSG00000078753	20	0	6	0
ENSMUSG00000068173	20	0	13	0
ENSMUSG00000018740	20	0	14	0
ENSMUSG00000044317	20	0	14	0
ENSMUSG00000003549	1	0	10	1
ENSMUSG00000022982	22	0	12	5
ENSMUSG00000028862	1	0	10	1
ENSMUSG00000066030	20	0	1	0
ENSMUSG00000054459	20	0	7	0
ENSMUSG00000015947	1	0	10	1
ENSMUSG00000035764	21	0	19	2
ENSMUSG00000102099	20	0	7	0
ENSMUSG00000027555	20	0	14	0
ENSMUSG00000068246	8	0	3	3
ENSMUSG00000031786	20	0	4	0
ENSMUSG00000091155	20	0	16	0
ENSMUSG00000047544	20	0	6	0
ENSMUSG00000070780	0	0	3	3
ENSMUSG00000046300	20	0	1	0
ENSMUSG00000021376	0	0	3	3
ENSMUSG00000099968	20	0	4	0
ENSMUSG00000020974	1	0	14	1
ENSMUSG00000068742	17	0	2	4
ENSMUSG00000051051	20	1	7	6
ENSMUSG00000027306	1	0	10	1
ENSMUSG00000065508	20	0	6	0
ENSMUSG00000000167	20	0	14	0
ENSMUSG00000078619	0	0	3	3
ENSMUSG00000112937	20	0	5	0
ENSMUSG00000002603	1	0	0	1
ENSMUSG00000030111	20	0	7	0
ENSMUSG00000032988	20	0	18	0
ENSMUSG00000000567	1	0	10	1
ENSMUSG00000020299	20	1	4	6
ENSMUSG00000086823	20	1	7	6
ENSMUSG00000032511	20	0	16	0
ENSMUSG00000024427	21	0	19	2
ENSMUSG00000011148	7	0	15	7
ENSMUSG00000033027	20	0	16	0
ENSMUSG00000029136	1	0	0	1
ENSMUSG00000073907	20	0	7	0
ENSMUSG00000002820	21	0	19	2
ENSMUSG00000044167	9	0	3	3
ENSMUSG00000041750	1	0	14	1
ENSMUSG00000116848	20	0	4	0
ENSMUSG00000042498	20	0	7	0
ENSMUSG00000028718	20	0	14	0
ENSMUSG00000035547	1	0	10	1
ENSMUSG00000062873	20	0	13	0
ENSMUSG00000021482	24	0	3	3
ENSMUSG00000030805	21	0	19	2
ENSMUSG00000037994	1	1	10	8
ENSMUSG00000037788	1	0	0	1
ENSMUSG00000047720	20	0	4	0
ENSMUSG00000050334	20	0	7	0
ENSMUSG00000096697	20	0	9	0
ENSMUSG00000031628	9	0	2	4
ENSMUSG00000090219	1	0	14	1
ENSMUSG00000077191	20	0	6	0
ENSMUSG00000078672	11	0	12	5
ENSMUSG00000045968	1	0	10	1
ENSMUSG00000033767	17	0	2	4
ENSMUSG00000039199	1	0	10	1
ENSMUSG00000104401	20	0	7	0
ENSMUSG00000070943	20	0	8	0
ENSMUSG00000020654	1	0	10	1
ENSMUSG00000021693	21	0	19	2
ENSMUSG00000048772	21	0	19	2
ENSMUSG00000072704	19	0	12	3
ENSMUSG00000049421	9	0	2	4
ENSMUSG00000032396	17	0	2	4
ENSMUSG00000022346	1	0	10	1
ENSMUSG00000095312	20	0	9	0
ENSMUSG00000062960	8	0	3	3
ENSMUSG00000021381	20	0	16	0
ENSMUSG00000022155	20	0	4	0
ENSMUSG00000058407	9	0	2	4
ENSMUSG00000025077	9	0	2	4
ENSMUSG00000044243	20	0	13	0
ENSMUSG00000026626	23	0	12	5
ENSMUSG00000051497	1	0	14	1
ENSMUSG00000052384	1	0	0	1
ENSMUSG00000057110	17	0	2	4
ENSMUSG00000025920	1	0	0	1
ENSMUSG00000036091	20	0	5	0
ENSMUSG00000038583	1	1	0	8
ENSMUSG00000033106	21	0	19	2
ENSMUSG00000019877	23	0	12	5
ENSMUSG00000058028	20	0	16	0
ENSMUSG00000055820	20	0	16	0
ENSMUSG00000074259	20	0	16	0
ENSMUSG00000029201	24	0	3	3
ENSMUSG00000021572	20	0	14	0
ENSMUSG00000021070	20	0	18	0
ENSMUSG00000110253	20	0	1	0
ENSMUSG00000073002	7	0	15	7
ENSMUSG00000050677	20	0	7	0
ENSMUSG00000033436	1	0	10	1
ENSMUSG00000031982	1	0	14	1
ENSMUSG00000115609	20	0	1	0
ENSMUSG00000021728	1	0	14	1
ENSMUSG00000040856	20	0	7	0
ENSMUSG00000064899	21	0	0	2
ENSMUSG00000108827	1	0	14	1
ENSMUSG00000060030	20	0	8	0
ENSMUSG00000032033	1	0	17	1
ENSMUSG00000006998	12	0	12	5
ENSMUSG00000029463	1	0	10	1
ENSMUSG00000043831	21	0	0	2
ENSMUSG00000021241	17	0	2	4
ENSMUSG00000039518	20	0	16	0
ENSMUSG00000055811	20	0	4	0
ENSMUSG00000060044	1	0	14	1
ENSMUSG00000005882	17	0	2	4
ENSMUSG00000022853	23	0	12	5
ENSMUSG00000031511	17	0	2	4
ENSMUSG00000066262	20	0	7	0
ENSMUSG00000044816	20	0	16	0
ENSMUSG00000109058	20	1	16	6
ENSMUSG00000019194	7	0	15	7
ENSMUSG00000056296	20	0	5	0
ENSMUSG00000032269	20	0	1	0
ENSMUSG00000019791	9	0	2	4
ENSMUSG00000004542	20	0	16	0
ENSMUSG00000091183	1	1	14	8
ENSMUSG00000022151	21	0	19	2
ENSMUSG00000080115	20	0	7	0
ENSMUSG00000105279	20	0	4	0
