FLT14_all,FLT14_and_GC8,FLT14_not_GC8,GC8_all,GC8_not_FLT14
F830016B08Rik,,,Samd5,Slc18a2
Rpl26,,,Snx16,Plac8
Tenm3,,,Tnfrsf11b,Cyria
Tsku,,,Cry1,Cd86
Erbb4,,,Cep57l1,Atad2
Eif4ebp3,,,Agbl3,Tagln
Serpinb6a,,,Olfr90,Eri2
Ces2c,,,Cyp4a12a,Zfp760
Gm7694,,,Mcam,Sft2d3
Gstm3,,,Bmf,Dock2
Coa6,,,Cyp2a4,Use1
Plxnb1,,,Ncf2,Hacd1
Rps29,,,Morrbid,Rbl1
Serpina1d,,,Prkch,Clec9a
Coq10b,,,Gata6,Plekha2
Hexb,,,Samd4,Med30
Apcs,,,Zfp101,Klf11
Vnn3,,,Fam76b,Recql
Fabp4,,,Ap1s3,Ggct
Rpl21,,,Olfr344,Prl8a1
Lonrf3,,,Rad52,Gt(ROSA)26Sor
Angptl8,,,Galc,Nfkbiz
Tpm3,,,Creld2,Siah1a
Slco1a4,,,Ing2,Olfr161
Serpina6,,,Spata22,Nxt1
Rtn4rl1,,,Dntt,Nemp1
Nipal1,,,Zfp949,Chchd4
Neb,,,Ggta1,Alpk1
Slc25a4,,,Jade3,Rbak
H2-Q7,,,Hspb1,Bzw2
Klhdc7a,,,Me3,Erc2
Ndufb7,,,Snora7a,Grem2
Rpl35a,,,A530072M11Rik,Abhd10
Mup1,,,Pcp4l1,Dgke
Zfp982,,,Zfp932,Cenpl
H2-K2,,,Uggt2,Hpf1
Ndufs4,,,B4galt6,Nckap1l
Hbb-bt,,,Clec1a,Slc16a5
,,,Rps6ka5,Rpp30
,,,1700028E10Rik,Sort1
,,,Slc18a2,Zfp867
,,,Plac8,Dzip3
,,,Cyria,Gm16548
,,,Cd86,Cyp4a31
,,,Atad2,Ccdc32
,,,Tagln,Ppp3cc
,,,Eri2,Zfp984
,,,Zfp760,Serpina3g
,,,Sft2d3,Adgrf1
,,,Serpina4-ps1,Mettl14
,,,Dock2,Dnajc24
,,,Use1,Utp23
,,,Hacd1,Igsf6
,,,Rbl1,Tex30
,,,Clec9a,Cfap418
,,,Plekha2,Tlr13
,,,Med30,Wdr19
,,,Klf11,Brca1
,,,Recql,Nr1h5
,,,Ggct,Ifit2
,,,Prl8a1,Trmt10a
,,,Cyp2b13,Zfp948
,,,Serpina1e,Ubxn2b
,,,Gt(ROSA)26Sor,Cd52
,,,Nfkbiz,9130409I23Rik
,,,Siah1a,Tmem50b
,,,Smad9,Cybc1
,,,Olfr161,Pgm2
,,,Tspan4,Dtwd1
,,,C730036E19Rik,Epb41l4aos
,,,Nxt1,Matn2
,,,Nemp1,Sec61a2
,,,Chchd4,Qtrt2
,,,Alpk1,Lipo3
,,,Rbak,Car2
,,,Bzw2,Glmn
,,,Erc2,Crcp
,,,Grem2,Brip1
,,,Abhd10,Cep97
,,,Dgke,Gbp5
,,,Cenpl,Nup35
,,,Hpf1,Clec12a
,,,Nckap1l,Haus8
,,,Srgap3,Efnb2
,,,Slc16a5,Tmem106a
,,,Rpp30,Hmgn2
,,,Sort1,Adamts5
,,,Zfp867,Rbm41
,,,Dzip3,Lacc1
,,,Gm16548,C8b
,,,Cyp4a31,Dlgap1
,,,Ccdc32,Blm
,,,Ppp3cc,Rrm2
,,,Zfp984,Nedd9
,,,Serpina3g,Zfp810
,,,Adgrf1,Wdyhv1
,,,Mettl14,Lmo4
,,,Dnajc24,Zfp58
,,,Utp23,Suv39h1
,,,Igsf6,Ccnyl1
,,,Tex30,Atg10
,,,Cfap418,Fam111a
,,,Tlr13,Cmpk2
,,,Wdr19,Cep70
,,,Brca1,Eps8l2
,,,Nr1h5,Mef2c
,,,Ifit2,Xaf1
,,,Trmt10a,Efna5
,,,Idi1,Abraxas1
,,,Zfp948,Lilrb4a
,,,Ubxn2b,Cep192
,,,Acmsd,Itga6
,,,Cd52,B4galt5
,,,9130409I23Rik,Vaultrc5
,,,Mug-ps1,Fitm1
,,,Tmem50b,Zfp2
,,,Cybc1,Cenpc1
,,,Pgm2,Slfn9
