gene	gene_cluster
ENSMUSG00000031539	5
ENSMUSG00000075145	2
ENSMUSG00000022221	4
ENSMUSG00000063386	3
ENSMUSG00000056782	4
ENSMUSG00000025410	6
ENSMUSG00000027332	6
ENSMUSG00000025268	0
ENSMUSG00000026519	0
ENSMUSG00000043323	11
ENSMUSG00000060803	6
ENSMUSG00000026117	0
ENSMUSG00000073906	2
ENSMUSG00000098912	5
ENSMUSG00000062175	1
ENSMUSG00000028035	6
ENSMUSG00000039656	11
ENSMUSG00000024955	6
ENSMUSG00000018921	1
ENSMUSG00000047751	1
ENSMUSG00000032257	3
ENSMUSG00000015342	1
ENSMUSG00000059623	3
ENSMUSG00000047904	9
ENSMUSG00000001348	14
ENSMUSG00000027965	5
ENSMUSG00000031891	0
ENSMUSG00000069089	1
ENSMUSG00000027186	4
ENSMUSG00000030934	6
ENSMUSG00000040037	5
ENSMUSG00000055720	11
ENSMUSG00000060688	10
ENSMUSG00000050213	4
ENSMUSG00000054423	5
ENSMUSG00000053914	10
ENSMUSG00000017211	3
ENSMUSG00000097520	3
ENSMUSG00000019944	13
ENSMUSG00000034893	8
ENSMUSG00000034269	8
ENSMUSG00000044339	9
ENSMUSG00000027575	11
ENSMUSG00000085162	3
ENSMUSG00000040247	14
ENSMUSG00000090862	6
ENSMUSG00000023106	11
ENSMUSG00000075201	10
ENSMUSG00000054598	3
ENSMUSG00000006276	8
ENSMUSG00000038199	10
ENSMUSG00000060187	1
ENSMUSG00000047502	3
ENSMUSG00000059689	4
ENSMUSG00000036737	8
ENSMUSG00000033379	6
ENSMUSG00000040749	1
ENSMUSG00000096714	3
ENSMUSG00000112223	9
ENSMUSG00000039936	14
ENSMUSG00000062433	4
ENSMUSG00000060450	5
ENSMUSG00000091204	2
ENSMUSG00000075113	3
ENSMUSG00000027530	1
ENSMUSG00000041135	4
ENSMUSG00000018340	6
ENSMUSG00000017299	4
ENSMUSG00000057230	5
ENSMUSG00000056901	2
ENSMUSG00000041079	9
ENSMUSG00000030127	0
ENSMUSG00000055971	2
ENSMUSG00000066149	13
ENSMUSG00000032563	11
ENSMUSG00000027244	11
ENSMUSG00000028523	9
ENSMUSG00000038762	11
ENSMUSG00000077972	10
ENSMUSG00000027784	5
ENSMUSG00000026792	1
ENSMUSG00000059201	7
ENSMUSG00000022724	1
ENSMUSG00000078716	5
ENSMUSG00000054901	5
ENSMUSG00000045648	9
ENSMUSG00000020524	5
ENSMUSG00000017774	6
ENSMUSG00000091863	2
ENSMUSG00000065422	2
ENSMUSG00000077457	10
ENSMUSG00000059031	3
ENSMUSG00000032192	0
ENSMUSG00000031410	9
ENSMUSG00000002910	4
ENSMUSG00000023947	14
ENSMUSG00000031125	3
ENSMUSG00000039477	6
ENSMUSG00000022707	0
ENSMUSG00000047594	3
ENSMUSG00000052364	4
ENSMUSG00000034730	5
ENSMUSG00000031753	6
ENSMUSG00000036169	1
ENSMUSG00000029865	13
ENSMUSG00000022706	1
ENSMUSG00000006575	5
ENSMUSG00000025236	0
ENSMUSG00000061981	11
ENSMUSG00000065401	10
ENSMUSG00000005089	5
ENSMUSG00000000889	0
ENSMUSG00000069917	7
ENSMUSG00000042345	0
ENSMUSG00000035642	1
ENSMUSG00000021294	1
ENSMUSG00000026333	4
ENSMUSG00000091468	3
ENSMUSG00000024558	5
ENSMUSG00000039725	4
ENSMUSG00000085886	3
ENSMUSG00000112707	3
ENSMUSG00000038517	13
ENSMUSG00000039555	10
ENSMUSG00000037962	3
ENSMUSG00000050973	9
ENSMUSG00000001420	4
ENSMUSG00000018470	1
ENSMUSG00000050217	7
ENSMUSG00000029716	12
ENSMUSG00000078453	13
ENSMUSG00000028538	0
