gene_cluster	tissue_inferred	n_paired_strata	mean_log2_flight_ground_ratio	median_log2_flight_ground_ratio	mean_flight_minus_ground	positive_strata	negative_strata	wilcoxon_p_value	sign_test_p_value	wilcoxon_fdr_bh	sign_test_fdr_bh
6	lung	3	-0.05743909006317457	-0.06696288287639618	-287.642578125	0	3	0.25	0.25	0.9375	1.0
6	mammary_gland	1	0.42775440216064453	0.42775440216064453	1720.38330078125	1	0				
6	retina	1	-0.07065516710281372	-0.07065516710281372	-370.0888671875	0	1				
6	skeletal_muscle	10	-0.03580583236180246	-0.01948578259907663	-168.0152587890625	5	5	0.625	1.0	1.0	1.0
6	skin	6	-0.005415911553427577	0.010792787885293365	-23.11665916442871	4	2	1.0	0.6875	1.0	1.0
6	spleen	5	0.006361156050115824	-0.006376828532665968	66.03133392333984	2	3	1.0	1.0	1.0	1.0
6	thymus	4	-0.4744373522698879	-0.2546633556485176	-205.58697509765625	1	3	0.625	0.625	1.0	1.0
7	adrenal_gland	3	0.03347192704677582	0.06558606773614883	442.0035705566406	2	1	0.5	1.0	1.0	1.0
7	brain	3	-0.1697137008110682	-0.0695868581533432	-829.1105346679688	1	2	0.75	1.0	1.0	1.0
7	cecum	1	0.9231597185134888	0.9231597185134888	2147.566162109375	1	0				
7	cerebellum	3	-0.05247138440608978	-0.07832256704568863	-188.380859375	1	2	0.5	1.0	1.0	1.0
7	colon	2	0.11158029921352863	0.11158029921352863	770.68359375	2	0				
7	eye	2	0.0019808984361588955	0.0019808984361588955	36.16796875	1	1				
7	heart	2	0.38037094101309776	0.38037094101309776	6364.2041015625	2	0				
7	hippocampus	2	0.22866514511406422	0.22866514511406422	1151.22607421875	2	0				
7	kidney	5	0.10473646596074104	0.06722508370876312	1119.291748046875	4	1	0.125	0.375	0.9375	1.0
7	liver	10	-0.0936465635895729	-0.08833416551351547	-1731.4921875	2	8	0.16015625	0.109375	0.9375	1.0
7	lung	3	-0.05144842776159445	-0.04487905278801918	-558.7841796875	0	3	0.25	0.25	0.9375	1.0
7	mammary_gland	1	0.4777921140193939	0.4777921140193939	5747.7421875	1	0				
7	retina	1	-0.12484761327505112	-0.12484761327505112	-1182.3125	0	1				
7	skeletal_muscle	10	-0.02182895578444004	-0.05403646640479565	-1049.544677734375	4	6	0.322265625	0.75390625	1.0	1.0
7	skin	6	-0.0072867777198553085	0.029294593259692192	-34.48388671875	3	3	1.0	1.0	1.0	1.0
7	spleen	5	-0.09057996459305287	-0.0808490663766861	-129.86929321289062	2	3	0.3125	1.0	1.0	1.0
7	thymus	4	-0.3870987556874752	-0.1463370844721794	40.630615234375	1	3	0.625	0.625	1.0	1.0
8	adrenal_gland	3	0.011324390769004822	-0.05239177495241165	-8.174967765808105	1	2	1.0	1.0	1.0	1.0
8	brain	3	-0.19910773634910583	-0.13362491130828857	-447.2757263183594	1	2	0.75	1.0	1.0	1.0
8	cecum	1	0.982043981552124	0.982043981552124	692.17431640625	1	0				
8	cerebellum	3	0.15278717557278773	0.0963413342833519	201.1965789794922	2	1	0.5	1.0	1.0	1.0
8	colon	2	0.003749847412109375	0.003749847412109375	-15.3353271484375	1	1				
8	eye	2	-0.019184935837984085	-0.019184935837984085	-119.857177734375	1	1				
8	heart	2	0.383256234228611	0.383256234228611	642.9866943359375	1	1				
8	hippocampus	2	0.43632741272449493	0.43632741272449493	779.5018920898438	2	0				
8	kidney	5	0.054551002010703085	0.05430108308792114	157.53915405273438	4	1	0.3125	0.375	1.0	1.0
8	liver	10	-0.21258616345003248	-0.11204984039068222	-135.15878295898438	2	8	0.048828125	0.109375	0.7436899038461539	1.0
8	lung	3	-0.0420994907617569	-0.06851466000080109	-133.4503631591797	1	2	0.5	1.0	1.0	1.0
8	mammary_gland	1	0.26662129163742065	0.26662129163742065	590.552490234375	1	0				
8	retina	1	-0.010308750905096531	-0.010308750905096531	-41.94384765625	0	1				
8	skeletal_muscle	10	-0.003762186411768198	0.027458399068564177	-26.95914077758789	6	4	0.921875	0.75390625	1.0	1.0
8	skin	6	-0.021511146798729897	-0.014520298689603806	-63.34159469604492	2	4	0.6875	0.6875	1.0	1.0
8	spleen	5	0.01088615283370018	-0.05438059940934181	43.772666931152344	2	3	0.8125	1.0	1.0	1.0
8	thymus	4	-0.616424354724586	-0.41049834340810776	-790.6552734375	1	3	0.25	0.625	0.9375	1.0
9	adrenal_gland	3	0.025851146628459293	-0.035973310470581055	1.145477294921875	1	2	1.0	1.0	1.0	1.0
9	brain	3	-0.12533600380023321	-0.10800284892320633	-11.41748046875	1	2	0.75	1.0	1.0	1.0
9	cecum	1	0.9363766312599182	0.9363766312599182	31.101409912109375	1	0				
9	cerebellum	3	0.12056480937947829	0.09482108801603317	9.739428520202637	3	0	0.25	0.25	0.9375	1.0
9	colon	2	-0.01672535203397274	-0.01672535203397274	-1.8789291381835938	1	1				
9	eye	2	-0.016857430338859558	-0.016857430338859558	-7.977012634277344	1	1				
9	heart	2	0.4136178269982338	0.4136178269982338	29.38406753540039	1	1				
9	hippocampus	2	0.39248283207416534	0.39248283207416534	43.33832550048828	2	0				
9	kidney	5	0.05868308171629906	0.06643709540367126	4.300454616546631	4	1	0.1875	0.375	0.9375	1.0
9	liver	10	-0.06757814595475793	-0.04117259383201599	-1.924703598022461	3	7	0.275390625	0.34375	0.9835379464285714	1.0
9	lung	3	-0.026648908853530884	-0.03984884172677994	-4.88329553604126	1	2	0.75	1.0	1.0	1.0
9	mammary_gland	1	0.28572264313697815	0.28572264313697815	25.60041046142578	1	0				
9	retina	1	-0.06616898626089096	-0.06616898626089096	-14.313690185546875	0	1				
9	skeletal_muscle	10	0.012581803672946989	-0.014769358444027603	-0.31881922483444214	4	6	0.921875	0.75390625	1.0	1.0
9	skin	6	-0.03926929497780899	-0.04756852984428406	-4.636077880859375	1	5	0.21875	0.21875	0.9375	1.0
9	spleen	5	-0.021182501781731845	-0.03054092824459076	0.4411556124687195	1	4	0.625	0.375	1.0	1.0
9	thymus	4	-0.36316481325775385	-0.044477807357907295	-1.8048696517944336	1	3	0.625	0.625	1.0	1.0
10	adrenal_gland	3	0.045301356663306556	0.022591490298509598	0.1873367577791214	2	1	0.75	1.0	1.0	1.0
10	brain	3	-0.0017163207133611043	-0.010195732116699219	-0.008383750915527344	1	2	1.0	1.0	1.0	1.0
10	cecum	1	0.7709736227989197	0.7709736227989197	3.9137825965881348	1	0				
10	cerebellum	3	0.057026579355200134	0.05783774331212044	0.36970648169517517	3	0	0.25	0.25	0.9375	1.0
10	colon	2	-0.10810929164290428	-0.10810929164290428	-0.96905517578125	0	2				
