gene_cluster	n_genes	id.accession	tissue_inferred	flight	ground_control	n_flight_samples	n_ground_samples	flight_minus_ground	log2_flight_ground_ratio
1	1802	OSD-612	brain	490.45117	806.15	4	5	-315.69885	-0.7157887
1	1802	OSD-613	brain	854.30145	694.32544	9	9	159.97601	0.29874462
1	1802	OSD-665	skeletal_muscle	355.37686	372.89844	10	10	-17.521576	-0.06924281
1	1802	OSD-666	skeletal_muscle	405.5622	427.3084	10	10	-21.746216	-0.07517391
1	1802	OSD-667	colon	516.4085	489.8998	9	10	26.508698	0.07587522
1	1802	OSD-770	skeletal_muscle	267.50977	310.21332	10	10	-42.703552	-0.21292922
1	1802	OSD-771	kidney	620.12555	608.849	20	20	11.27655	0.026432768
1	1802	OSD-899	cecum	237.7864	118.34839	10	10	119.43802	1.0005417
1	1802	OSD-900	lung	620.2186	637.3956	10	10	-17.177002	-0.039349645
1	1802	OSD-98	adrenal_gland	620.7324	559.1808	6	5	61.551636	0.15040134
1	1802	OSD-99	skeletal_muscle	508.29004	513.1503	6	6	-4.8602905	-0.013702749
2	1954	OSD-100	eye	1.6954111	1.3224156	6	6	0.3729955	0.21487921
2	1954	OSD-101	skeletal_muscle	2.426902	2.3790514	6	6	0.04785061	0.020286689
2	1954	OSD-102	kidney	0.7758444	0.7071819	6	6	0.068662524	0.056888383
2	1954	OSD-103	skeletal_muscle	1.0614978	0.92084616	6	6	0.14065164	0.10195083
2	1954	OSD-104	skeletal_muscle	0.87299556	0.8640396	6	6	0.0089559555	0.00691499
2	1954	OSD-105	skeletal_muscle	1.6026101	1.5602183	6	6	0.042391777	0.023692435
2	1954	OSD-137	liver	0.6585636	0.76168543	6	6	-0.10312182	-0.08702197
2	1954	OSD-161	adrenal_gland	1.096827	1.0898669	5	5	0.0069601536	0.0047968677
2	1954	OSD-162	eye	2.0825999	2.398874	5	5	-0.31627417	-0.14090925
2	1954	OSD-163	kidney	1.6993347	4.314995	6	6	-2.6156602	-0.9774644
2	1954	OSD-164	liver	0.13715455	0.1487547	1	3	-0.011600152	-0.014642361
2	1954	OSD-164	spleen	0.28420332	0.28215626	3	3	0.002047062	0.002301527
2	1954	OSD-168	liver	1.8107545	1.0008408	14	14	0.80991375	0.49035123
2	1954	OSD-173	liver	0.30348003	0.33930397	2	2	-0.03582394	-0.03911496
2	1954	OSD-194	retina	2.5186284	2.4042988	5	4	0.11432958	0.047655474
2	1954	OSD-238	skin	1.243219	1.2160525	12	6	0.027166486	0.01757831
2	1954	OSD-239	skin	1.1949847	1.1483282	11	6	0.04665649	0.030996421
