profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	dataset.study person.first name	dataset.study person.last name	dataset.study person.middle initials	dataset.study publication author list	id.accession_sample name	id.assay name	id.sample name	investigation.study.comment.data source accession	investigation.study.comment.doi	investigation.study.comment.project identifier	study.characteristics.organism	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence
Mmus_C57-6T_SPL_FLT_ISS-T_Rep3_F5	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_ISS-T_Rep3_F5	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_ISS-T_Rep3_F5		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T Flight 5	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_ISS-T_Rep4_F7	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_ISS-T_Rep4_F7	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_ISS-T_Rep4_F7		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T Flight 7	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_ISS-T_Rep5_F8	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_ISS-T_Rep5_F8	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_ISS-T_Rep5_F8		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T Flight 8	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_ISS-T_Rep6_F9	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_ISS-T_Rep6_F9	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_ISS-T_Rep6_F9		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T Flight 9	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_ISS-T_Rep7_F10	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_ISS-T_Rep7_F10	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_ISS-T_Rep7_F10		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T Flight 10	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep1_F3	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep1_F3	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep1_F3		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 3	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep2_F4	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep2_F4	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep2_F4		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 4	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep3_F5	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep3_F5	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep3_F5		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 5	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep4_F6	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep4_F6	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep4_F6		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 6	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep5_F7	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep5_F7	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep5_F7		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 7	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep6_F8	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep6_F8	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep6_F8		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 8	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep7_F9	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep7_F9	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep7_F9		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 9	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_FLT_LAR_Rep8_F10	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_FLT_LAR_Rep8_F10	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_FLT_LAR_Rep8_F10		10.26030/m33d-yq24	RR-6	Mus musculus	LAR Flight 10	flight	flight	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_ISS-T_Rep1_G3	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_ISS-T_Rep1_G3	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_ISS-T_Rep1_G3		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T GC 3	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_ISS-T_Rep2_G4	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_ISS-T_Rep2_G4	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_ISS-T_Rep2_G4		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T GC 4	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_ISS-T_Rep3_G5	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_ISS-T_Rep3_G5	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_ISS-T_Rep3_G5		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T GC 5	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_ISS-T_Rep4_G6	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_ISS-T_Rep4_G6	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_ISS-T_Rep4_G6		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T GC 6	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_ISS-T_Rep5_G8	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_ISS-T_Rep5_G8	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_ISS-T_Rep5_G8		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T GC 8	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_ISS-T_Rep6_G9	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_ISS-T_Rep6_G9	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_ISS-T_Rep6_G9		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T GC 9	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_ISS-T_Rep7_G10	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_ISS-T_Rep7_G10	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_ISS-T_Rep7_G10		10.26030/m33d-yq24	RR-6	Mus musculus	ISS-T GC 10	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_LAR_Rep1_G3	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_LAR_Rep1_G3	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_LAR_Rep1_G3		10.26030/m33d-yq24	RR-6	Mus musculus	LAR GC 3	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_LAR_Rep2_G4	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_LAR_Rep2_G4	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_LAR_Rep2_G4		10.26030/m33d-yq24	RR-6	Mus musculus	LAR GC 4	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_LAR_Rep3_G5	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_LAR_Rep3_G5	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_LAR_Rep3_G5		10.26030/m33d-yq24	RR-6	Mus musculus	LAR GC 5	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_LAR_Rep4_G6	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_LAR_Rep4_G6	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_LAR_Rep4_G6		10.26030/m33d-yq24	RR-6	Mus musculus	LAR GC 6	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_LAR_Rep5_G7	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_LAR_Rep5_G7	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_LAR_Rep5_G7		10.26030/m33d-yq24	RR-6	Mus musculus	LAR GC 7	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
Mmus_C57-6T_SPL_GC_LAR_Rep6_G8	OSD-246	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan San-Huei Amanda Homer Nicholas Marie Valery Yi-Chun Sylvain Samrawit	Galazka Lai Polo Saravia-Butler Fogle Bense Dinh Boyko Chen Costes Gebre	M M W T V G	"[""Andrea Ballerini"",""Corrine Ying Xuan Chua"",""Jessica Rhudy"",""Antonia Susnjar"",""Nicola Di Trani"",""Priya R. Jain"",""Grit Laue"",""Danuta Lubicka"",""Yasaman Shirazi\u201a\u00c4\u00eaFard"",""Mauro Ferrari"",""Louis S. Stodieck"",""Samuel M. Cadena"",""Alessandro Grattoni""]"	OSD-246_Mmus_C57-6T_SPL_GC_LAR_Rep6_G8	OSD-246_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6T_SPL_GC_LAR_Rep6_G8		10.26030/m33d-yq24	RR-6	Mus musculus	LAR GC 8	ground_control	ground_or_control	spleen	SPL->spleen	high_explicit_sample_token
