location	cluster	n_genes	variable	n_groups	eta_squared	p_value	fdr_bh	strong_batch_driver
FLT	3	2110	sex	2	0.00027192971918972916	0.8767083558629627	0.9323305311830624	False
FLT	3	2110	strain	5	0.10405586711226664	0.04857543413849047	0.0863563273573164	False
FLT	3	2110	sequencing_instrument	3	0.07471082254217704	0.03282533982885144	0.10504108745232461	False
FLT	4	1537	h5_accession	8	0.5905951117303586	8.290954216185771e-14	1.3265526745897234e-13	True
FLT	4	1537	mission	8	0.5905951117303586	8.290954216185771e-14	1.3265526745897234e-13	True
FLT	4	1537	library_selection	3	0.32093420555786484	4.0190334248338346e-08	9.186362113905908e-08	True
FLT	4	1537	library_layout	2	0.04748108234675395	0.03799430003999474	0.06754542229332398	False
FLT	4	1537	sex	2	0.004939482654264623	0.5079753692758964	0.9323305311830624	False
FLT	4	1537	strain	5	0.10819949642688247	0.04109209278941668	0.0863563273573164	False
FLT	4	1537	sequencing_instrument	3	0.04753894919989098	0.11729456810673296	0.14436254536213286	False
FLT	5	1496	h5_accession	8	0.544901186817586	5.519031075532352e-12	8.027681564410693e-12	True
FLT	5	1496	mission	8	0.544901186817586	5.519031075532352e-12	8.027681564410693e-12	True
FLT	5	1496	library_selection	3	0.26318535904534873	1.4580179364202883e-06	2.3328286982724613e-06	True
FLT	5	1496	library_layout	2	0.056626524303718256	0.023124124762188523	0.052855142313573765	False
FLT	5	1496	sex	2	0.0026985205790348668	0.6248235987339057	0.9323305311830624	False
FLT	5	1496	strain	5	0.09216026994502144	0.0776479052734327	0.09556665264422486	False
FLT	5	1496	sequencing_instrument	3	0.05667834772841149	0.07674168531923424	0.1165707797599189	False
FLT	6	1123	h5_accession	8	0.5974203769969041	4.24210537131627e-14	7.541520660117814e-14	True
FLT	6	1123	mission	8	0.5974203769969041	4.24210537131627e-14	7.541520660117814e-14	True
FLT	6	1123	library_selection	3	0.33284689063675915	1.844686783149321e-08	5.902285467438824e-08	True
FLT	6	1123	library_layout	2	0.06009661369351934	0.019176838549453925	0.05113823613187713	False
FLT	6	1123	sex	2	0.0027308277393144854	0.6227559702170418	0.9323305311830624	False
FLT	6	1123	strain	5	0.10587333039254605	0.04514938473458513	0.0863563273573164	False
FLT	6	1123	sequencing_instrument	3	0.06033314448904813	0.06469220751863419	0.11500836892201634	False
FLT	7	1086	h5_accession	8	0.6216953580162263	3.533669752913881e-15	9.423119341103684e-15	True
FLT	7	1086	mission	8	0.6216953580162263	3.533669752913881e-15	9.423119341103684e-15	True
