gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000055305	Zfp93	8	-0.5547269715552958	0.027863409660640204	-19.908797175634323	3.4141392056397086e-88	1.17048072433348e-85	3	5	101.66400073161799	93.11457354656025	4.888395974754636e-19	False	mixed
ENSMUSG00000039230	Tbcd	8	-0.3548253386946828	0.017862883228268085	-19.863833523424162	8.367343984549454e-88	2.82157812724889e-85	3	5	26.437519001135534	73.52247765874196	0.00042057466813765854	False	mixed
ENSMUSG00000086514	Gm11747	8	1.4227257425032804	0.07214558455269546	19.720205350392792	1.4464007542046101e-86	4.798784437740134e-84	2	6	152.87084209296242	95.42097112558376	1.0125762353189697e-29	True	mixed
ENSMUSG00000087305	A430035B10Rik	8	-0.4349086307887074	0.022546429131062962	-19.289468334900064	6.584695113344175e-83	2.1499552139918998e-80	4	4	76.24404513868485	90.81895512329221	8.013627968565257e-14	False	mixed
ENSMUSG00000010554	Mettl16	8	-0.4773743597837967	0.025065056524809674	-19.045413255353573	7.1717787550690085e-81	2.3050545154963985e-78	4	4	132.15036030696632	94.70300346988083	2.2331820412269515e-25	False	mixed
ENSMUSG00000024694	Keg1	8	-0.751935810249883	0.04041207261481219	-18.606712341061094	2.8348768186010468e-77	8.971294793634391e-75	3	5	126.78604914661112	94.47888782155721	2.9476603365784707e-24	False	mixed
ENSMUSG00000026442	Nfasc	8	-0.8930016293582836	0.04802673115740556	-18.59384571545186	3.603873048406375e-77	1.1232071000866534e-74	5	3	142.98646126755622	95.104431609856	1.2028389936972834e-27	False	mixed
ENSMUSG00000042015	Wdr41	8	-0.20865182328513626	0.011242715213138918	-18.558846268852662	6.917429672146028e-77	2.123754154567818e-74	4	4	26.04174023127042	73.12007593258097	0.0004950918243486173	False	mixed
ENSMUSG00000023286	Ube2j2	8	0.2421732764895397	0.013062862466537869	18.539066541494744	9.994128881490304e-77	3.0232239866508172e-74	5	3	54.39923302181087	87.1321715194157	1.9607538477099268e-09	False	mixed
ENSMUSG00000021893	Capn7	8	-0.21793550792542896	0.011929071111393795	-18.26927728826032	1.4536307745712646e-74	4.3335050772363646e-72	1	7	18.06727958373347	61.2559269503843	0.011670109911749379	False	mixed
ENSMUSG00000049488	Tmem67	8	-0.2689660357060838	0.014829100051373193	-18.13771805263241	1.605606794267939e-73	4.71819025115593e-71	3	5	46.400771548940824	84.9140439558924	7.304438684456097e-08	False	mixed
ENSMUSG00000024300	Myo1f	8	-0.814217814646423	0.04645434766958205	-17.52726828579635	8.873118804314739e-69	2.570704983165552e-66	2	6	53.63321678328723	86.94838680237191	2.779346167117923e-09	False	mixed
ENSMUSG00000017837	Nkiras2	8	-0.35775055704367076	0.020493946447928995	-17.456401477023626	3.0773140013875966e-68	8.791715140075398e-66	3	5	26.618273308149423	73.70227618086373	0.00039031945205151826	False	mixed
ENSMUSG00000062761	Zfp512	8	-0.2892983166295215	0.01672972267294201	-17.29247533178904	5.36003353250404e-67	1.5103546542960015e-64	2	6	42.017557742975676	83.34029778022919	5.159641553318882e-07	False	mixed
ENSMUSG00000024261	Syt4	7	0.7736743050627587	0.045420177180223786	17.033713937153486	4.617819260661544e-65	1.2836289485379456e-62	4	3	89.24520823408092	93.276949968829	4.3469837106578493e-17	False	mixed
ENSMUSG00000029310	Nudt9	8	-0.27135824802265723	0.01595593465829585	-17.006728457713503	7.321360233179982e-65	2.008005066620163e-62	4	4	21.586794801690036	67.57276814688595	0.0029921274738767736	False	mixed
ENSMUSG00000075054	Yae1d1	8	-0.327426981195823	0.019273205870734004	-16.988713937467693	9.954796893402104e-65	2.6943443697010695e-62	3	5	65.0906978642401	89.24577515730446	1.4420131513306357e-11	False	mixed
ENSMUSG00000039634	Zfp189	8	0.12870292744390188	0.0076303660107283795	16.86720234166279	7.842373976541876e-64	2.0950341908761865e-61	4	4	32.754345385941924	78.62878980630038	2.941670664282987e-05	False	mixed
ENSMUSG00000040345	Arhgap9	8	-0.5647369910308305	0.0335203908036247	-16.847565839529626	1.0932264396524992e-63	2.8830343414938347e-61	2	6	33.79895502117864	79.28930052537495	1.8782556595524615e-05	False	mixed
ENSMUSG00000037649	H2-DMa	8	-0.9183975861162402	0.05581108704262584	-16.455468523929877	7.662664603147172e-61	1.995202669452371e-58	0	8	45.75097714397255	84.69978033917859	9.77353329440255e-08	False	all_down
ENSMUSG00000032498	Mlh1	8	-0.37628256003121285	0.023081114145841148	-16.302616834422313	9.455560120505584e-60	2.4312608959849983e-57	3	5	66.11007969681718	89.41159951386807	8.994234212241347e-12	False	mixed
ENSMUSG00000020495	Smg8	8	-0.3862132416928065	0.023747956728909985	-16.26300932335131	1.806432687042233e-59	4.587446959562807e-57	1	7	26.64485724746274	73.72851378039724	0.0003860540397419712	False	mixed
ENSMUSG00000027710	Acad9	8	-0.4192584971851733	0.026384536260921344	-15.890311394486979	7.395926422802556e-57	1.8552952014274216e-54	3	5	84.47802093685532	91.71382103608667	1.6764192155943612e-15	False	mixed
ENSMUSG00000054021	Sirt5	8	-0.3263548685213988	0.02092878288891137	-15.593590427769707	8.048023382562471e-55	1.9945523009555426e-52	2	6	34.415303096912666	79.66021109769636	1.4400026786858963e-05	False	mixed
ENSMUSG00000025317	Car5a	8	-0.616828281204765	0.03972193600590219	-15.528656033107548	2.2198344800454582e-54	5.4359518160160806e-52	4	4	115.29602332733579	93.92867178070283	7.295947114197692e-22	False	mixed
ENSMUSG00000020534	Shmt1	8	-0.5333389408465197	0.03456883702987787	-15.42831598255835	1.0558954362923387e-53	2.5552669558274596e-51	3	5	84.34759278592621	91.70100797332063	1.782655014512284e-15	False	mixed
ENSMUSG00000022863	Btg3	8	0.4196165341978823	0.02731196726897359	15.363834104860214	2.861398763079325e-53	6.84406657634206e-51	3	5	103.22258656889764	93.21853846848941	2.3276479330671163e-19	False	mixed
ENSMUSG00000031833	Mast3	8	-0.6257072214672191	0.04109218847636585	-15.226914035671141	2.3439698576201e-52	5.542006893246604e-50	3	5	52.53216694839066	86.67483104803762	4.585351264491104e-09	False	mixed
ENSMUSG00000014959	Gorasp2	8	-0.3780725288005877	0.024921179263008995	-15.1707318827311	5.525721132400207e-52	1.2916373146985484e-49	5	3	66.30314215891846	89.44243097375073	8.2245175943423e-12	False	mixed
ENSMUSG00000039316	Rftn1	8	-0.4803053527966286	0.0317930597382501	-15.107239024835827	1.4509293722505155e-51	3.3534401333924837e-49	2	6	40.704812627135865	82.8030162818304	9.223856968432019e-07	False	mixed
ENSMUSG00000040616	Tmem51	8	-0.6025253970050035	0.040154755761083	-15.005081853566054	6.80070017476489e-51	1.5543378066101532e-48	2	6	47.95095321185603	85.40175005682843	3.640085188518458e-08	False	mixed
ENSMUSG00000000711	Rab5b	8	-0.47871908042926725	0.031909137878887536	-15.002570180562868	7.063044744123078e-51	1.596558575677052e-48	3	5	80.89751619843929	91.34707673492818	9.036653659760374e-15	False	mixed
ENSMUSG00000071713	Csf2rb	8	-0.5624967990969149	0.03753501089565892	-14.985923426546012	9.075534801776964e-51	2.0291712051364367e-48	1	7	25.461328806070245	72.50732648984476	0.0006283377782443514	False	mixed
ENSMUSG00000029299	Abcg3	8	-0.445267586953886	0.030144736699725914	-14.770989423103321	2.2537982242607257e-49	4.985013921832594e-47	0	8	19.597418930396394	64.28101055112562	0.006508152346738038	False	all_down
ENSMUSG00000038965	Ube2l3	8	-0.40160456154281104	0.027664002047979	-14.51722570170032	9.42481590163462e-48	2.062430458474725e-45	4	4	69.27263099854201	89.89499907958263	2.07224795380968e-12	False	mixed
ENSMUSG00000024818	Slc25a45	8	-0.6195980941206097	0.04279897131149785	-14.476938934141064	1.6947831778213317e-47	3.669651575556294e-45	1	7	58.2851477380793	87.99007933984062	3.31757415141957e-10	False	mixed
ENSMUSG00000038705	Gmeb2	8	0.10684732018292949	0.007385854950882484	14.466479628084635	1.9731571010451037e-47	4.227900163385186e-45	3	5	24.60172443961703	71.54670999920782	0.000892514062380258	False	mixed
ENSMUSG00000040212	Emp3	8	-0.7897324742180593	0.05480055217064887	-14.411031329736113	4.410744645160692e-47	9.353506943397467e-45	0	8	44.730509723979964	84.35072606327284	1.5425990759314886e-07	False	all_down
ENSMUSG00000022571	Pycrl	8	-0.4936704850122264	0.03456625164544752	-14.2818634220423	2.8390716770272437e-46	5.959153509841878e-44	3	5	72.46413561254306	90.34004898998845	4.687289414409875e-13	False	mixed
ENSMUSG00000078799	Sult2a5	5	0.8904184054722674	0.0624595852633476	14.255912870987006	4.118808301464232e-46	8.557968359709015e-44	1	4	70.35373911840533	94.3144457563684	1.9112198342302788e-14	False	mixed
ENSMUSG00000040264	Gbp2b	8	-1.03936783512334	0.072923010508456	-14.252947428751822	4.2975306958085965e-46	8.840020641278284e-44	0	8	157.03843861675827	95.54249261412804	1.346696360697501e-30	True	all_down
ENSMUSG00000074677	Sirpb1c	8	-0.8593103434381176	0.06064172737950023	-14.170281431142167	1.399385728420647e-45	2.850036082535912e-43	4	4	47.3698402533319	85.22266496453376	4.7274277275144646e-08	False	mixed
ENSMUSG00000053604	Rpia	8	-0.6642721717246485	0.046898138213760966	-14.16414802431829	1.5270769008856277e-45	3.0796050834526826e-43	2	6	125.01428076620925	94.40063970524233	6.905210827642443e-24	False	mixed
ENSMUSG00000039828	Wdr70	8	-0.4056026238369766	0.028691218798216074	-14.13682097960215	2.252315185505214e-45	4.498070229693423e-43	3	5	77.04947930969581	90.91492887075341	5.495911835828306e-14	False	mixed
ENSMUSG00000069844	Sco1	8	-0.4231812418872716	0.02997111570291522	-14.119635921531936	2.8747265456638077e-45	5.685877408106205e-43	3	5	107.19049075926384	93.46956996799175	3.511286639531905e-20	False	mixed
