gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000029644	Pdx1	4	0.008240048971467986	0.08046283816799024	0.10240813223943727	0.9184327290175186	0.9562746120616703	2	1	1.1653641747670467	0.0	0.7613228271881652	False	mixed
ENSMUSG00000047757	Fancb	8	-0.007173004180696147	0.07042986945440383	-0.10184605248118395	0.9188788710774175	0.9566513549978605	4	4	30.260476413776285	76.86751555301619	8.506039868531225e-05	False	mixed
ENSMUSG00000044542	Prop1	8	0.013823452471535764	0.13574351756502828	0.10183508368945576	0.9188875776396561	0.9566513549978605	4	4	7.423926490925172	5.710273282519294	0.38611320376977587	False	mixed
ENSMUSG00000053465	Hs6st3	8	-0.012063118896839128	0.11853675731703271	-0.10176690479709759	0.9189416953744232	0.9566592779924026	2	6	6.104725203281582	0.0	0.5275758217709428	False	mixed
ENSMUSG00000051176	Zfp42	8	0.012795067677987191	0.12584207266660702	0.10167559550521009	0.9190141737026529	0.9566863134141483	5	3	7.51990579378151	6.91372748594058	0.3768220961173868	False	mixed
ENSMUSG00000034829	Nxnl1	8	-0.015554013513034273	0.15316004340000536	-0.10155398998165685	0.9191107012329924	0.9567350280919475	3	5	5.180335121296333	0.0	0.6379665697901539	False	mixed
ENSMUSG00000098702	1500015A07Rik	8	-0.0070183286977363295	0.0691464687966717	-0.10149945210324536	0.9191539924721959	0.9567350280919475	3	5	8.959146472684303	21.867557123411014	0.25560249328267093	False	mixed
ENSMUSG00000047594	Olfr1122	7	-0.013559168456498122	0.13374422684736437	-0.10138133642188928	0.9192477515101172	0.9567667304490641	4	3	24.5338640331225	75.54400728764305	0.000416399851063205	False	mixed
ENSMUSG00000040978	Gm11992	8	-0.010072634819212377	0.0993906455619921	-0.10134389169380992	0.9192774749924795	0.9567667304490641	5	3	11.543163439649684	39.358044815031754	0.11661882596875123	False	mixed
ENSMUSG00000058690	Ccser2	8	-0.005654026542914263	0.055956200582379954	-0.1010437893221553	0.9195156991818071	0.9569220037220905	2	6	24.499547644702176	71.42804389078712	0.0009303804816623651	False	mixed
ENSMUSG00000031448	Adprhl1	8	0.017331712997941954	0.17153531807385117	0.10103874346436414	0.9195197046947419	0.9569220037220905	4	4	5.664943277989819	0.0	0.5793702761395333	False	mixed
ENSMUSG00000077972	Mir466f-1	6	-0.013551062529762828	0.1341982421801923	-0.10097794359755756	0.9195679691272676	0.9569238187356652	4	2	7.351791469558145	31.989365847716183	0.1957639603520879	False	mixed
ENSMUSG00000043460	Elfn2	5	0.00810059365744076	0.0804832435999926	0.10064944322698129	0.9198287459375643	0.9571237667791886	3	2	4.581629412544479	12.69481575598368	0.3329777723049031	False	mixed
ENSMUSG00000094721	Olfr1462	3	0.0035280314197541876	0.03506338598792471	0.10061867444773266	0.9198531718744667	0.9571237667791886	1	1	2.4555417758269322	18.551579138722786	0.2929448573307027	False	mixed
ENSMUSG00000054457	9430021M05Rik	8	-0.013605060154939728	0.13571046618269733	-0.10025063311347118	0.9201453490357906	0.9572307464720512	4	4	10.031008467084042	30.21638828269417	0.18682304577850697	False	mixed
ENSMUSG00000098284	A330093E20Rik	8	0.011412188431038589	0.11386644243775829	0.10022433463903752	0.920166227032219	0.9572307464720512	3	5	25.23297805864749	72.25852618850489	0.0006899019610748257	False	mixed
ENSMUSG00000030549	Rhcg	2	-0.004817218693965967	0.048083298537905966	-0.10018486336099348	0.9201975628391705	0.9572307464720512	1	1	0.2549714413416438	0.0	0.6135960836399873	False	mixed
ENSMUSG00000051111	Sv2c	8	0.010835482277117059	0.10816982525627229	0.10017102506587212	0.9202085489365058	0.9572307464720512	3	5	8.172135867719518	14.343078562234057	0.31766027479108144	False	mixed
ENSMUSG00000024087	Cyp1b1	8	-0.008915318467168722	0.08901505720555557	-0.1001551731476313	0.9202211336497372	0.9572307464720512	3	5	23.68581817841056	70.44645049930998	0.001293608948869478	False	mixed
ENSMUSG00000024936	Kcnk7	8	-0.01094874769431948	0.10933718404013179	-0.10013745817983373	0.9202351974470011	0.9572307464720512	3	5	8.935870790810135	21.664041883875843	0.25729312842708324	False	mixed
ENSMUSG00000020599	Rgs9	8	-0.007479128581159978	0.07484342026991996	-0.09993034196174873	0.9203996275099809	0.9573533746905495	4	4	13.041782529701358	46.32635543447992	0.07109688789231568	False	mixed
ENSMUSG00000099820	Olfr1036	6	0.006536313394138405	0.06547962680190317	0.09982209296813566	0.9204855680006206	0.9573943537327585	4	2	5.733413309691938	12.791914171827695	0.33302913708038845	False	mixed
ENSMUSG00000108534	Olfr1360	2	-0.004803787715338632	0.04846029019475804	-0.09912833158927842	0.9210363775122468	0.9578703819923615	1	1	2.987631233058464	66.52866696080523	0.08390281914465603	False	mixed
ENSMUSG00000050810	Oog3	2	-0.00480378771533862	0.04846029019475804	-0.09912833158927817	0.921036377512247	0.9578703819923615	1	1	2.987631233058465	66.52866696080523	0.08390281914465578	False	mixed
ENSMUSG00000069421	Olfr810	6	-0.009873841742716652	0.09967102654721086	-0.09906431271719411	0.9210872069933466	0.9578748153616349	2	4	7.763831389905812	35.598807484397746	0.169740635133194	False	mixed
ENSMUSG00000026726	Cubn	8	0.0122209206730199	0.12369141645608332	0.09880168748297051	0.9212957286336497	0.9580432302711781	3	5	14.247709127637854	50.86929458419861	0.04694697400252434	False	mixed
ENSMUSG00000109006	B230209E15Rik	4	0.006807380237520257	0.06898555085546158	0.0986783486267011	0.9213936602406885	0.9580818907519729	2	2	2.134792764847587	0.0	0.5449060816096287	False	mixed
