Cluster,Score,Type,Gene,Symbol,Network
4,1.4545454545454546,Clustered,329502,Pla2g4e,_FINAL_SUB1
4,1.4545454545454546,Clustered,16156,Il11,_FINAL_SUB1
6,1.4444444444444444,Clustered,18752,Prkcg,_FINAL_SUB1
6,1.4444444444444444,Clustered,66722,Spag16,_FINAL_SUB1
6,1.4444444444444444,Seed,140493,Kcnn3,_FINAL_SUB1
6,1.4444444444444444,Clustered,329421,Myo3b,_FINAL_SUB1
6,1.4444444444444444,Clustered,24084,Tekt2,_FINAL_SUB1
6,1.4444444444444444,Clustered,104601,Mycbpap,_FINAL_SUB1
6,1.4444444444444444,Clustered,238463,Tubal3,_FINAL_SUB1
6,1.4444444444444444,Clustered,66793,Clxn,_FINAL_SUB1
6,1.4444444444444444,Clustered,76670,Cfap70,_FINAL_SUB1
12,1.0,Clustered,17879,Myh1,_FINAL_SUB1
12,1.0,Seed,17882,Myh2,_FINAL_SUB1
12,1.0,Clustered,17884,Myh4,_FINAL_SUB1
13,1.0,Seed,12801,Cnr1,_FINAL_SUB1
13,1.0,Clustered,14704,Gng3,_FINAL_SUB1
13,1.0,Clustered,100503710,Gng14,_FINAL_SUB1
14,1.0,Seed,74376,Myo18b,_FINAL_SUB1
14,1.0,Clustered,11468,Actg2,_FINAL_SUB1
14,1.0,Clustered,11459,Acta1,_FINAL_SUB1
15,1.0,Clustered,16519,Kcnj3,_FINAL_SUB1
15,1.0,Clustered,16524,Kcnj9,_FINAL_SUB1
15,1.0,Seed,16522,Kcnj6,_FINAL_SUB1
16,1.0,Clustered,59091,Jph2,_FINAL_SUB1
16,1.0,Clustered,110880,Scn4a,_FINAL_SUB1
16,1.0,Seed,319984,Jph4,_FINAL_SUB1
17,1.0,Seed,16506,Kcnd1,_FINAL_SUB1
17,1.0,Clustered,16508,Kcnd2,_FINAL_SUB1
17,1.0,Clustered,56543,Kcnd3,_FINAL_SUB1
18,1.0,Clustered,56089,Ramp3,_FINAL_SUB1
18,1.0,Seed,12640,Cga,_FINAL_SUB1
18,1.0,Clustered,14652,Glp1r,_FINAL_SUB1
19,1.0,Seed,22353,Vip,_FINAL_SUB1
19,1.0,Clustered,12000,Avpr2,_FINAL_SUB1
19,1.0,Clustered,11541,Adora2b,_FINAL_SUB1
9,2.0,Clustered,64654,Fgf23,_FINAL_SUB2
9,2.0,Seed,14165,Fgf10,_FINAL_SUB2
9,2.0,Clustered,14176,Fgf5,_FINAL_SUB2
9,2.0,Clustered,14177,Fgf6,_FINAL_SUB2
9,2.0,Clustered,14179,Fgf8,_FINAL_SUB2
10,2.0,Clustered,216643,Gabrp,_FINAL_SUB3
10,2.0,Clustered,14409,Gabrr2,_FINAL_SUB3
10,2.0,Clustered,14405,Gabrg1,_FINAL_SUB3
10,2.0,Seed,14403,Gabrd,_FINAL_SUB3
10,2.0,Clustered,14407,Gabrg3,_FINAL_SUB3
11,1.5,Clustered,11447,Chrnd,_FINAL_SUB4
11,1.5,Clustered,11448,Chrne,_FINAL_SUB4
11,1.5,Clustered,11449,Chrng,_FINAL_SUB4
11,1.5,Seed,110834,Chrna3,_FINAL_SUB4
