gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000030093	1	0	5	0
ENSMUSG00000000194	0	0	2	11
ENSMUSG00000043207	17	0	13	3
ENSMUSG00000005667	5	0	18	6
ENSMUSG00000073830	15	0	10	13
ENSMUSG00000039703	17	0	22	3
ENSMUSG00000031068	17	0	13	3
ENSMUSG00000051154	17	0	13	3
ENSMUSG00000025487	13	0	22	3
ENSMUSG00000005354	3	0	22	9
ENSMUSG00000025892	9	0	18	2
ENSMUSG00000074071	0	0	8	11
ENSMUSG00000057182	9	0	24	2
ENSMUSG00000020390	17	0	13	3
ENSMUSG00000031131	4	0	12	1
ENSMUSG00000094612	1	0	5	0
ENSMUSG00000031283	2	0	24	8
ENSMUSG00000109219	1	0	5	0
ENSMUSG00000038429	13	0	22	3
ENSMUSG00000034810	2	0	24	8
ENSMUSG00000018733	19	0	17	4
ENSMUSG00000022037	12	0	11	9
ENSMUSG00000085260	1	0	5	0
ENSMUSG00000029610	8	0	15	12
ENSMUSG00000042185	19	0	17	4
ENSMUSG00000067525	1	0	5	0
ENSMUSG00000006021	8	0	1	12
ENSMUSG00000046408	7	0	18	2
ENSMUSG00000020599	2	0	18	8
ENSMUSG00000030775	2	0	24	8
ENSMUSG00000015149	18	0	2	5
ENSMUSG00000046434	16	0	8	7
ENSMUSG00000031377	9	0	4	2
ENSMUSG00000031774	10	0	2	5
ENSMUSG00000096840	1	0	5	0
ENSMUSG00000050627	17	0	22	3
ENSMUSG00000031878	0	0	17	11
ENSMUSG00000030322	6	0	23	10
ENSMUSG00000029541	1	0	5	0
ENSMUSG00000020696	0	0	17	11
ENSMUSG00000097162	14	0	7	4
ENSMUSG00000113189	9	0	18	2
ENSMUSG00000045201	1	0	5	0
ENSMUSG00000058513	4	0	6	1
ENSMUSG00000059479	11	0	0	6
ENSMUSG00000077239	4	0	14	1
ENSMUSG00000031755	11	0	0	6
ENSMUSG00000076253	1	0	5	0
ENSMUSG00000038379	9	0	4	2
ENSMUSG00000002109	6	0	23	10
ENSMUSG00000041840	19	0	7	4
ENSMUSG00000049691	1	0	5	0
ENSMUSG00000021555	16	0	8	7
ENSMUSG00000022814	16	0	22	3
ENSMUSG00000028782	4	0	6	1
ENSMUSG00000095028	9	0	4	2
ENSMUSG00000057223	1	0	5	0
ENSMUSG00000034413	5	0	18	6
ENSMUSG00000087579	17	0	13	3
ENSMUSG00000025127	3	0	10	9
ENSMUSG00000030222	6	0	23	10
ENSMUSG00000040133	4	0	21	1
ENSMUSG00000027845	14	0	7	4
ENSMUSG00000028003	17	0	13	3
ENSMUSG00000030054	4	0	6	1
ENSMUSG00000093980	1	0	5	0
ENSMUSG00000034227	4	0	6	1
ENSMUSG00000003435	13	0	22	3
ENSMUSG00000049280	6	0	23	10
ENSMUSG00000022309	6	0	23	10
ENSMUSG00000093460	9	0	6	2
ENSMUSG00000075064	1	0	5	0
ENSMUSG00000029684	17	0	13	3
ENSMUSG00000027531	17	0	8	3
ENSMUSG00000091541	9	0	18	2
ENSMUSG00000031565	6	0	23	10
ENSMUSG00000101078	1	0	5	0
ENSMUSG00000070047	17	0	22	3
ENSMUSG00000030057	3	0	10	9
ENSMUSG00000050121	9	0	4	2
ENSMUSG00000024353	7	0	18	2
ENSMUSG00000060002	3	0	10	9
ENSMUSG00000054406	1	0	12	0
ENSMUSG00000065569	1	0	5	0
ENSMUSG00000034471	8	0	1	12
ENSMUSG00000028246	4	0	6	1
ENSMUSG00000092815	1	0	5	0
ENSMUSG00000022749	0	0	17	11
ENSMUSG00000029919	2	0	24	8
ENSMUSG00000000739	6	0	23	10
ENSMUSG00000037020	11	0	0	6
ENSMUSG00000035933	16	0	8	7
ENSMUSG00000116611	4	0	21	1
ENSMUSG00000059639	1	0	5	0
ENSMUSG00000028359	19	0	7	4
ENSMUSG00000021464	4	0	14	1
