gene_id	gene_symbol	accession	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction
ENSMUSG00000020456	Ogdh	OSD-173	4093.30422738281	0.456787714632238	0.287765385746108	1.58736157042618	0.112430777781141	0.543779640414696	FALSE	up
ENSMUSG00000026525	Opn3	OSD-173	34.6208517534119	0.435407282803949	0.544199070018414	0.800088252244195	0.423659667112507	0.852001042570146	FALSE	up
ENSMUSG00000022464	Slc38a4	OSD-173	31306.9832243221	0.665487368575121	0.268018845348414	2.48298722319326	0.0130285760603378	0.17606457453797	FALSE	up
ENSMUSG00000022370	Mrpl13	OSD-173	1997.82324684404	0.266901459213269	0.329974975602697	0.808853637236505	0.418599339591864	0.849321089163698	FALSE	up
ENSMUSG00000067928	Zfp760	OSD-173	126.534143814944	-0.844294604719177	0.405404784516527	-2.08259654785786	0.0372880141536363	0.321082455208537	FALSE	down
ENSMUSG00000044982	Sft2d3	OSD-173	171.04949769119	0.698815499056195	0.320549448762459	2.18005522004204	0.0292533685674179	0.280103527589374	FALSE	up
ENSMUSG00000025885	Myo5b	OSD-173	842.23636070554	-0.533444852763342	0.277214682577185	-1.92430230536153	0.054316701793806	0.388892275379845	FALSE	down
ENSMUSG00000029198	Grpel1	OSD-173	6327.95784547017	0.722957748149335	0.330607822605735	2.18675330320751	0.0287605380807273	0.279424096269569	FALSE	up
ENSMUSG00000092075	Serpina4-ps1	OSD-173	329.866425806397	0.778180921027358	0.424995568581893	1.8310330237653	0.0670956141311748	0.426536404119611	FALSE	up
ENSMUSG00000026181	Ppm1f	OSD-173	843.767771959448	-0.651135553844305	0.270463326055108	-2.40748186950727	0.0160629597617389	0.199852722831513	FALSE	down
ENSMUSG00000029833	Trim24	OSD-173	1262.07640770509	0.0232789335460575	0.272130568532194	0.0855432510637022	0.931829512086114	0.991216209372419	FALSE	up
ENSMUSG00000028179	Cth	OSD-173	15775.2643648764	0.204937233186854	0.259385350689422	0.790087923786562	0.429476421954642	0.85525425893035	FALSE	up
ENSMUSG00000017776	Crk	OSD-173	3291.33953761432	0.420293796485324	0.252427102937779	1.66501057768319	0.0959106455157776	0.505959816853001	FALSE	up
ENSMUSG00000049807	Arhgap23	OSD-173	475.940522544541	-0.038902340673044	0.310542501285882	-0.125272194665654	0.90030806419464	0.983958402736072	FALSE	down
ENSMUSG00000039813	Tbc1d2	OSD-173	36.6807648475223	-0.389370704226976	0.508754986126867	-0.765340320674281	0.44406892016952	0.863699528413934	FALSE	down
ENSMUSG00000039456	Morc3	OSD-173	745.52977547287	0.0669019259513679	0.278686986728504	0.240061176651006	0.810282830779826	0.974185428900579	FALSE	up
ENSMUSG00000092162	Vmn2r86	OSD-173	13.3418397252273	-0.205133004047757	0.766472982399016	-0.267632400304186	0.788982288609351	NA	FALSE	down
ENSMUSG00000034990	Otoa	OSD-173	18.7282742604416	-0.0666659424298595	0.666201936256472	-0.100068671076625	0.920289807315568	0.988199400517386	FALSE	down
ENSMUSG00000035629	Rubcn	OSD-173	454.748308796713	-0.882497843982791	0.306237296215692	-2.88174515282169	0.00395479454323769	0.0847465902736329	FALSE	down
ENSMUSG00000026295	Spp2	OSD-173	4792.37541133542	0.305848480143083	0.299208027129833	1.02219343203105	0.306689358766073	0.785766621440372	FALSE	up
ENSMUSG00000026385	Dbi	OSD-173	28054.8087822579	-0.500982493296155	0.355857424632626	-1.40781801535643	0.159184964419496	0.636583230950118	FALSE	down
ENSMUSG00000032869	Psmf1	OSD-173	437.05516990368	0.428518382206516	0.281853335191394	1.52035945189553	0.128420659531138	0.581496477946491	FALSE	up
ENSMUSG00000032059	Alg9	OSD-173	430.467322152993	0.151756554145101	0.288013449200634	0.526907873803439	0.598257565739185	0.922841111503564	FALSE	up
ENSMUSG00000015714	Cers2	OSD-173	6281.83996585202	0.227595620262375	0.260988260968977	0.872053093182722	0.383179413888284	0.833398025640622	FALSE	up
ENSMUSG00000036053	Fmnl2	OSD-173	434.875921911039	0.108846235492186	0.29408378593394	0.370119811762203	0.711293221036512	0.955364424333355	FALSE	up
ENSMUSG00000023249	Parp3	OSD-173	234.997868202303	-0.998365884717921	0.31129582239843	-3.20712908071122	0.00134066825158949	0.0393898023894714	FALSE	down
ENSMUSG00000020994	Pnn	OSD-173	364.608356364149	0.0766670257178402	0.290104508690612	0.26427381657692	0.791568934615092	0.970107550483648	FALSE	up
ENSMUSG00000044103	Il36g	OSD-173	11.2876440318949	-0.691113530967493	0.852699110995474	-0.810501057237717	0.417652257654431	NA	FALSE	down
ENSMUSG00000030393	Zik1	OSD-173	21.4878070860855	0.225801666682957	0.633010590916149	0.356710724786068	0.72130837583911	0.956426432267824	FALSE	up
ENSMUSG00000069171	Nr2f1	OSD-173	19.3344566710337	-0.236398394421406	0.6631958258374	-0.356453381055153	0.721501058757965	0.956426432267824	FALSE	down
ENSMUSG00000039428	Tmem135	OSD-173	3019.38600935635	0.110042054526517	0.263794425218269	0.417150796251537	0.676568112305934	0.946072324573819	FALSE	up
ENSMUSG00000004568	Arhgef18	OSD-173	1016.44758711469	-0.255296016748868	0.290290424535268	-0.879450354442715	0.379157139918579	0.833032524384967	FALSE	down
ENSMUSG00000085247	4930545L23Rik	OSD-173	14.8040811141533	0.584397446023445	0.752821090978033	0.776276665235589	0.437585647889608	NA	FALSE	up
ENSMUSG00000025383	Il23a	OSD-173	11.5733085276086	0.0634918064318804	0.8320096481636	0.076311382412474	0.939171370395804	NA	FALSE	up
ENSMUSG00000020143	Dock2	OSD-173	246.948338873713	-0.363401197069346	0.301492871774829	-1.20533926699518	0.228072356669349	0.712649690484866	FALSE	down
ENSMUSG00000039748	Exo1	OSD-173	20.2062472297181	-0.353109933986462	0.658172138384782	-0.536500883876713	0.591612425212773	0.921385911434327	FALSE	down
ENSMUSG00000032376	Usp3	OSD-173	1277.05571076925	-0.0639269821248234	0.281566752158054	-0.227040236941536	0.820392454466986	0.974394105256339	FALSE	down
ENSMUSG00000032092	Mpzl2	OSD-173	1395.0623256449	-0.109880656191902	0.303871927808124	-0.361601866235188	0.717649569862615	0.955899192193015	FALSE	down
ENSMUSG00000051043	Gprc5c	OSD-173	1421.7646009794	0.0281677237068024	0.268687076256472	0.104834680176114	0.916506990861543	0.987415647183652	FALSE	up
ENSMUSG00000055943	Emc7	OSD-173	2686.32924375598	0.258321544020646	0.258843444759055	0.997983720472833	0.318287252801992	0.794338542199435	FALSE	up
ENSMUSG00000074643	Cpne1	OSD-173	673.79458578399	0.110998472824023	0.272818821203708	0.406857827235983	0.684112411829983	0.948628913051863	FALSE	up
ENSMUSG00000032998	Foxj3	OSD-173	366.298723795533	0.101604221275767	0.28305907656464	0.358950585541689	0.71963205606904	0.956426432267824	FALSE	up
ENSMUSG00000037730	Mynn	OSD-173	423.334872676764	0.151221888878909	0.281671246645776	0.536873716006528	0.591354847807355	0.921327643108941	FALSE	up
ENSMUSG00000002395	Use1	OSD-173	1799.21741657276	0.319994077961982	0.333916862588766	0.958304637511135	0.337909166012306	0.806444795691534	FALSE	up
ENSMUSG00000034177	Rnf43	OSD-173	226.384657656235	-0.523371340840205	0.37360757924002	-1.40085846733846	0.161256400641091	0.640358132044085	FALSE	down
