_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,1,0,0,0,0,0.0,-3.0235545947261477,0.0,0.0,0.0,0.0,GO:0055008,M010000,1,0,GO Biological Processes,19,cardiac muscle tissue morphogenesis,19_GO:0032502 developmental process,-3.0235545947261477,5.282898726500909,4.611810129417785,17423,68,291,6,2.0618556701030926,0.8330260289864774,17897|21393|21924|21956|140781|241431,Myl3|Tcap|Tnnc1|Tnnt2|Myh7|Xirp2,-1.4315980596464863,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,0,0.0,-2.602755871857021,0.0,0.0,0.0,0.0,GO:0060415,M010000,1,0,GO Biological Processes,19,muscle tissue morphogenesis,19_GO:0032502 developmental process,-2.602755871857021,4.380940407342217,3.9994368090188797,17423,82,291,6,2.0618556701030926,0.8330260289864774,17897|21393|21924|21956|140781|241431,Myl3|Tcap|Tnnc1|Tnnt2|Myh7|Xirp2,-1.1453044179195975,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,0,0.0,-2.3771362783960077,0.0,0.0,0.0,0.0,GO:0048644,M010000,1,0,GO Biological Processes,19,muscle organ morphogenesis,19_GO:0032502 developmental process,-2.3771362783960077,3.9476605868358434,3.674221184306699,17423,91,291,6,2.0618556701030926,0.8330260289864774,17897|21393|21924|21956|140781|241431,Myl3|Tcap|Tnnc1|Tnnt2|Myh7|Xirp2,-0.9973716379148193,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,0,0.0,-2.0733024728766543,0.0,0.0,0.0,0.0,GO:0003007,M010000,1,0,GO Biological Processes,19,heart morphogenesis,19_GO:0032502 developmental process,-2.0733024728766543,2.319018924543826,2.920847775068898,17423,284,291,11,3.7800687285223367,1.1179847377067793,14200|16147|17897|20190|21393|21924|21956|67888|68760|140781|241431,Fhl2|Ihh|Myl3|Ryr1|Tcap|Tnnc1|Tnnt2|Tmem100|Synpo2l|Myh7|Xirp2,-0.8162669666794182,0,1,0,0,-30.531613387434312,34.9258304696449,
1,1,0,1,0,1,-6.325606188622769,-18.671680726572596,0.0,-4.357044833475214,0.0,-3.405446038127467,GO:0030239,M110101,4,0,GO Biological Processes,19,myofibril assembly,19_GO:0032502 developmental process,-18.671680726572596,18.348132136126814,17.834160218408766,17423,62,291,19,6.529209621993127,1.448177411137348,11459|11472|16669|17929|17930|18175|20474|21393|21916|21956|21957|24131|50876|68760|68794|93689|109272|233199|415115,Acta1|Actn2|Krt19|Myom1|Myom2|Nrap|Six4|Tcap|Tmod1|Tnnt2|Tnnt3|Ldb3|Tmod2|Synpo2l|Flnc|Lmod1|Mybpc1|Mybpc2|Neurl2,-15.205629100873255,0,2,1,1,-18.671680726572596,19.957617411225655,
1,1,0,1,0,1,-5.6357117336946185,-17.113031459878048,0.0,-6.133462634798056,0.0,-2.436012062521269,GO:0055002,M110101,4,0,GO Biological Processes,19,striated muscle cell development,19_GO:0032502 developmental process,-17.113031459878048,9.719618869103405,14.16497246090952,17423,154,291,25,8.59106529209622,1.6427494829608844,11459|11472|14200|16669|17929|17930|18175|20190|20474|21393|21916|21956|21957|24052|24131|50876|68760|68794|93689|109272|116904|233199|237611|415115|433766,Acta1|Actn2|Fhl2|Krt19|Myom1|Myom2|Nrap|Ryr1|Six4|Tcap|Tmod1|Tnnt2|Tnnt3|Sgcd|Ldb3|Tmod2|Synpo2l|Flnc|Lmod1|Mybpc1|Alpk3|Mybpc2|Stac3|Neurl2|Trim63,-13.771918570787006,0,2,0,0,-18.671680726572596,19.957617411225655,
1,1,0,1,0,1,-5.175799196971307,-16.182662568213882,0.0,-6.7610219041374,0.0,-2.502716360034705,GO:0055001,M110101,4,0,GO Biological Processes,19,muscle cell development,19_GO:0032502 developmental process,-16.182662568213882,8.414563016624871,13.21354819118292,17423,185,291,26,8.934707903780069,1.6721303417808822,11443|11459|11472|14200|16669|17929|17930|18175|20190|20474|21393|21916|21956|21957|24052|24131|50876|68760|68794|93689|109272|116904|233199|237611|415115|433766,Chrnb1|Acta1|Actn2|Fhl2|Krt19|Myom1|Myom2|Nrap|Ryr1|Six4|Tcap|Tmod1|Tnnt2|Tnnt3|Sgcd|Ldb3|Tmod2|Synpo2l|Flnc|Lmod1|Mybpc1|Alpk3|Mybpc2|Stac3|Neurl2|Trim63,-12.979852377289122,0,2,0,0,-18.671680726572596,19.957617411225655,
1,1,0,1,0,0,-6.424787172560969,-14.534826366439324,0.0,-3.4558486479614086,0.0,0.0,GO:0031032,M110100,3,0,GO Biological Processes,19,actomyosin structure organization,19_GO:0009987 cellular process,-14.534826366439324,10.59696499711097,13.338778626118431,17423,113,291,20,6.8728522336769755,1.4830649112804428,11459|11472|12797|16669|17929|17930|18175|20474|21393|21916|21956|21957|24131|50876|68760|68794|93689|109272|233199|415115,Acta1|Actn2|Cnn1|Krt19|Myom1|Myom2|Nrap|Six4|Tcap|Tmod1|Tnnt2|Tnnt3|Ldb3|Tmod2|Synpo2l|Flnc|Lmod1|Mybpc1|Mybpc2|Neurl2,-11.404566842663176,0,2,0,0,-18.671680726572596,19.957617411225655,
1,1,0,1,0,1,-5.432770345903349,-14.475686429415978,0.0,-2.4179153553206563,0.0,-2.9440199974247,GO:0045214,M110101,4,0,GO Biological Processes,19,sarcomere organization,19_GO:0032502 developmental process,-14.475686429415978,19.957617411225655,16.031069102184002,17423,42,291,14,4.810996563573883,1.2544819557879208,11472|16669|17929|17930|20474|21393|21956|21957|24131|68760|68794|109272|233199|415115,Actn2|Krt19|Myom1|Myom2|Six4|Tcap|Tnnt2|Tnnt3|Ldb3|Synpo2l|Flnc|Mybpc1|Mybpc2|Neurl2,-11.37761158901123,0,2,0,0,-18.671680726572596,19.957617411225655,
1,1,0,1,0,0,-4.940024039594171,-14.38727922393265,0.0,-3.2071613997401816,0.0,0.0,GO:0030029,M110100,3,0,GO Biological Processes,19,actin filament-based process,19_GO:0009987 cellular process,-14.38727922393265,4.2470362311085745,10.346822825618952,17423,578,291,41,14.0893470790378,2.0394940808465734,11459|11472|12775|12797|14201|14726|16669|17885|17897|17901|17929|17930|18175|20377|20474|21393|21916|21924|21956|21957|22351|23969|24052|24131|50876|53318|54418|57028|57442|68760|68794|93689|109042|109272|140781|216459|223513|233199|241431|276829|415115,Acta1|Actn2|Ccr7|Cnn1|Fhl3|Pdpn|Krt19|Myh8|Myl3|Myl1|Myom1|Myom2|Nrap|Sfrp1|Six4|Tcap|Tmod1|Tnnc1|Tnnt2|Tnnt3|Vill|Pacsin1|Sgcd|Ldb3|Tmod2|Pdlim3|Fmn2|Pdxp|Kcne3|Synpo2l|Flnc|Lmod1|Cavin3|Mybpc1|Myh7|Myl6b|Abra|Mybpc2|Xirp2|Smtnl2|Neurl2,-11.326442797245843,0,2,0,0,-18.671680726572596,19.957617411225655,
