_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,1,0,0,0,0,0,-3.4,0,0,0,0,mmu05416,Viral myocarditis - Mus musculus (house mouse),M010000,1,0
0,1,0,0,0,0,0,-2.3,0,0,0,0,GO:0032272,negative regulation of protein polymerization,M010000,1,0
0,0,1,0,0,0,0,0,-5.1,0,0,0,GO:0051923,sulfation,M001000,1,0
0,0,1,0,0,0,0,0,-3.4,0,0,0,R-MMU-9018678,Biosynthesis of specialized proresolving mediators (SPMs),M001000,1,0
0,0,1,0,0,0,0,0,-2.9,0,0,0,mmu00062,Fatty acid elongation - Mus musculus (house mouse),M001000,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.2,GO:1905640,response to acetaldehyde,M000001,1,0
0,0,1,0,0,0,0,0,-2.1,0,0,0,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,M001000,1,0
0,1,0,0,0,0,0,-2.9,0,0,0,0,GO:2000095,"regulation of Wnt signaling pathway, planar cell polarity pathway",M010000,1,0
1,0,0,0,0,0,-2.8,0,0,0,0,0,GO:0051051,negative regulation of transport,M100000,1,0
0,1,0,0,0,0,0,-3,0,0,0,0,GO:0120255,olefinic compound biosynthetic process,M010000,1,0
0,0,1,0,0,0,0,0,-2,0,0,0,GO:0015986,proton motive force-driven ATP synthesis,M001000,1,0
0,0,0,1,0,0,0,0,0,-5.6,0,0,GO:0007155,cell adhesion,M000100,1,0
0,0,1,0,0,0,0,0,-8.6,0,0,0,R-MMU-8868773,rRNA processing in the nucleus and cytosol,M001000,1,0
