gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000030830	Itgal	6	-0.341856366363278	0.0598793884158214	-5.7090824640579	1.13586849559929e-08	1	5	24.9727830616171	79.9782027190836	0.000141029924455338	2.46498608458321e-06	TRUE	FALSE	mixed
ENSMUSG00000023044	Csad	6	0.529982450088108	0.0929672278300801	5.70074490181398	1.19285027590109e-08	4	2	108.192531583318	95.3786089235286	9.8716705895691e-22	2.55458303823238e-06	TRUE	FALSE	mixed
ENSMUSG00000017639	Rab11fip4	6	0.614805327965705	0.108282740460279	5.67777768970702	1.36455895192806e-08	5	1	11.5629920094581	56.7585967722699	0.0412921016082936	2.87736461090512e-06	TRUE	FALSE	mixed
ENSMUSG00000021884	Hacl1	6	0.37048346910447	0.065272101661871	5.67598498702686	1.37892872727082e-08	5	1	25.5996646396607	80.4684941370143	0.000106687582040807	2.87736461090512e-06	TRUE	FALSE	mixed
ENSMUSG00000059089	Fcgr4	6	-0.512968157249959	0.0905245241202316	-5.66662086584021	1.456411087299e-08	0	6	10.5929031879491	52.7985868341722	0.0600764064173748	2.97002747101424e-06	TRUE	FALSE	all_down
ENSMUSG00000044968	Napepld	6	0.313658010697923	0.0553675404100977	5.66501615160638	1.4701068807012e-08	6	0	6.7181170930377	25.5743844479618	0.242462410168554	2.97002747101424e-06	TRUE	FALSE	all_up
ENSMUSG00000050860	Phospho1	5	0.880697903321175	0.155545811660584	5.66198404135073	1.49632743071496e-08	4	1	14.3039760736719	72.0357474075865	0.00638549537433654	2.97002747101424e-06	TRUE	FALSE	mixed
ENSMUSG00000056131	Pgm3	6	0.328586105101804	0.0581566119752684	5.65002144969411	1.60427817567534e-08	6	0	27.7062335559798	81.953519629806	4.15413581641592e-05	3.1419810361119e-06	TRUE	FALSE	all_up
ENSMUSG00000033781	Asb13	6	0.229404799226883	0.0406157136972346	5.6481784596217	1.62156799602728e-08	4	2	21.5118737422057	76.757022377878	0.00064811660315693	3.1419810361119e-06	TRUE	FALSE	mixed
ENSMUSG00000015340	Cybb	6	-0.361480448371679	0.064086093481091	-5.64054428560754	1.69513461840689e-08	0	6	18.072739584551	72.3340228712523	0.00285660970658779	3.24588365284595e-06	TRUE	FALSE	all_down
ENSMUSG00000079588	Tmem182	2	4.7767329638339	0.847218859972763	5.63813341453171	1.71903306934252e-08	2	0	3.56098746174704	71.9179016847929	0.0591525404100494	3.25337002751383e-06	TRUE	TRUE	all_up
ENSMUSG00000063590	Slc22a28	6	-0.697435131067615	0.123963209939251	-5.62614610745719	1.84280276207261e-08	3	3	57.45317126243	91.2972602031637	4.07817656494281e-11	3.44752387994181e-06	TRUE	FALSE	mixed
ENSMUSG00000030739	Myh14	6	0.420441164627021	0.0748773186515333	5.61506704832321	1.96486040930106e-08	4	2	37.7213742445572	86.744915581326	4.29209328982497e-07	3.63409863883911e-06	TRUE	FALSE	mixed
ENSMUSG00000042828	Trim72	3	1.1853034196095	0.211735123544007	5.59804816399838	2.16778534140174e-08	3	0	21.5847542037887	90.7342007181673	2.05556009490105e-05	3.96436788951176e-06	TRUE	TRUE	all_up
ENSMUSG00000031791	Tmem38a	6	0.629316666007815	0.112832606450639	5.57743621993811	2.44089233805898e-08	5	1	22.1853264442677	77.4625808975107	0.000482780329708525	4.41421818824978e-06	TRUE	FALSE	mixed
ENSMUSG00000030498	Gas2	6	0.406950363253217	0.0731480325877469	5.56338084370277	2.64597557449682e-08	5	1	23.08639857583	78.3422261225504	0.00032496614370725	4.73251631324289e-06	TRUE	FALSE	mixed
ENSMUSG00000038608	Dock10	6	-0.278747923936774	0.050277874310938	-5.54414695841928	2.95390672351011e-08	1	5	28.8450124930932	82.6659808131571	2.48686467832405e-05	5.22584628607072e-06	TRUE	FALSE	mixed
ENSMUSG00000007877	Tcap	2	3.43141221429496	0.620042574819349	5.53415580421185	3.1273089586691e-08	2	0	39.1691888867344	97.4469729181993	3.88624912399423e-10	5.47312694745142e-06	TRUE	TRUE	all_up
ENSMUSG00000033196	Myh2	2	2.86834993017095	0.518580178228435	5.53115998372664	3.18120014383824e-08	2	0	7.51683492350293	86.6965283902498	0.00611249870313242	5.47613300458992e-06	TRUE	TRUE	all_up
