id.accession	study_title	project_identifier	n_local_profiles	n_official_sample_matches	official_match_fraction	official_material_types	official_tissues	final_tissues	material_field_present	official_sample_count	official_study_url	official_api_url
OSD-665	Transcriptional profiling of right extensor digitorum longus muscle from mice flown on the RR-23 mission	RR-23	30	30	1.0	Right extensor digitorum longus (30)	skeletal_muscle (30)	skeletal_muscle (30)	True	30	https://osdr.nasa.gov/bio/repo/data/studies/OSD-665	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-665
OSD-666	Transcriptional profiling of right quadriceps femoris muscle from mice flown on the RR-23 mission	RR-23	29	29	1.0	Right quadriceps femoris (29)	skeletal_muscle (29)	skeletal_muscle (29)	True	29	https://osdr.nasa.gov/bio/repo/data/studies/OSD-666	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-666
OSD-667	Transcriptional profiling of colon from mice flown on the RR-10 mission	RR-10	39	39	1.0	Colon (39)	colon (39)	colon (39)	True	39	https://osdr.nasa.gov/bio/repo/data/studies/OSD-667	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-667
OSD-686	Impact of spaceflight and artificial gravity on sulfur metabolism in mouse liver: sulfur metabolomic and transcriptomic analysis	MHU-2	9	9	1.0	Liver (9)	liver (9)	liver (9)	True	9	https://osdr.nasa.gov/bio/repo/data/studies/OSD-686	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-686
OSD-690	Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice	MHU-3	24	24	1.0	Bone Marrow (24)	bone_marrow (24)	bone_marrow (24)	True	24	https://osdr.nasa.gov/bio/repo/data/studies/OSD-690	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-690
OSD-714	Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice	MHU-1, MHU-4, MHU-5	21	21	1.0	Soleus (21)	skeletal_muscle (21)	skeletal_muscle (21)	True	21	https://osdr.nasa.gov/bio/repo/data/studies/OSD-714	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-714
OSD-719	Sexual Dimorphism during Integrative Endocrine and Immune Responses to Ionizing Radiation in Mice -- Blood data	Multiple_Radiation_Types, Heavy_Ion_HZE_Irradiation, Simplified_Galactic_Cosmic_Ray_Simulation_Irradiation, High_Dose_Irradiation	7	7	1.0	Blood (7)	blood (7)	blood (7)	True	12	https://osdr.nasa.gov/bio/repo/data/studies/OSD-719	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-719
OSD-720	Long-lasting sex-specific alteration in left ventricular cardiac transcriptome following gamma and simGCRsim radiation	Simplified_Galactic_Cosmic_Ray_Simulation_Irradiation, Gamma_Irradiation, Low_LET_Irradiation, Multiple_Radiation_Types, High_Dose_Irradiation, Heavy_Ion_HZE_Irradiation	80	80	1.0	Left ventricle (80)	heart (80)	heart (80)	True	60	https://osdr.nasa.gov/bio/repo/data/studies/OSD-720	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-720
OSD-758	Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Retina data	MHU-8	35	35	1.0	Right retina (35)	retina (35)	retina (35)	True	35	https://osdr.nasa.gov/bio/repo/data/studies/OSD-758	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-758
OSD-759	Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Optic nerve data	MHU-8	35	35	1.0	Right optic nerve (35)	optic_nerve (35)	optic_nerve (35)	True	35	https://osdr.nasa.gov/bio/repo/data/studies/OSD-759	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-759
OSD-770	Transcriptional profiling of soleus muscle from mice flown on the RR-23 mission	RR-23	30	30	1.0	Right soleus (30)	skeletal_muscle (30)	skeletal_muscle (30)	True	30	https://osdr.nasa.gov/bio/repo/data/studies/OSD-770	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-770
OSD-771	Transcriptional profiling of kidney tissue from mice flown on the Rodent Research Reference Mission-2 (RRRM-2)	RR-17	80	80	1.0	Right kidney (80)	kidney (80)	kidney (80)	True	80	https://osdr.nasa.gov/bio/repo/data/studies/OSD-771	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-771
OSD-792	Transcriptomic analysis of embryonic mouse hypothalamic N38 cells exposed to high-energy protons and/or simulated microgravity.	Proton_Irradiation, High_Dose_Irradiation, Low_LET_Irradiation, Simulated_Microgravity	12	12	1.0	Cells (12)	cells (12)	cells (12)	True	12	https://osdr.nasa.gov/bio/repo/data/studies/OSD-792	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-792
OSD-813	Impact of near continuous low dose rate neutron irradiation on pregnancy outcomes in mice.		30	30	1.0	Placenta (30)	placenta (30)	placenta (30)	True	30	https://osdr.nasa.gov/bio/repo/data/studies/OSD-813	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-813
OSD-825	Evaluating sex-specific responses to western diet across the lifespan: impact on cardiac function and transcriptomic signatures in C57BL/6J mice at 530 and 640/750 days of age		20	20	1.0	Left ventricle (20)	heart (20)	heart (20)	True	40	https://osdr.nasa.gov/bio/repo/data/studies/OSD-825	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-825
OSD-876	Zfp697 is an RNA-binding protein that regulates skeletal muscle inflammation and remodeling	Hindlimb_Unloading	9	9	1.0	Gastrocnemius (9)	skeletal_muscle (9)	skeletal_muscle (9)	True	9	https://osdr.nasa.gov/bio/repo/data/studies/OSD-876	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-876
OSD-880	Zfp697 is an RNA-binding protein that regulates skeletal muscle inflammation and remodeling - Zfp697 skeletal muscle knockout RNA-Seq of unloading-reloading protocol	Hindlimb_Unloading	18	18	1.0	Gastrocnemius (18)	skeletal_muscle (18)	skeletal_muscle (18)	True	18	https://osdr.nasa.gov/bio/repo/data/studies/OSD-880	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-880
OSD-881	Life long effects of radiation and high fat diet on the mouse right ventricular tissue	Simplified_Galactic_Cosmic_Ray_Simulation_Irradiation, Gamma_Irradiation, Multiple_Radiation_Types, High_Dose_Irradiation, High_LET_Irradiation, Low_LET_Irradiation	76	76	1.0	Right ventricle (76)	heart (76)	heart (76)	True	76	https://osdr.nasa.gov/bio/repo/data/studies/OSD-881	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-881
OSD-899	Transcriptional profiling of cecum from mice flown on the RR-10 mission	RR-10	64	64	1.0	Cecum (64)	cecum (64)	cecum (64)	True	64	https://osdr.nasa.gov/bio/repo/data/studies/OSD-899	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-899
OSD-900	Transcriptional profiling of lungs from mice flown on the RR-10 mission	RR-10	42	42	1.0	Right Lung (42)	lung (42)	lung (42)	True	42	https://osdr.nasa.gov/bio/repo/data/studies/OSD-900	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-900
OSD-901	Expression data from cultured mouse spermatogonia cryopreserved on the International Space Station (ISS) or on Earth	MELFI_MMUSCULUS_SPACEX-25	6	6	1.0	Cells, Cultured (6)	cultured_cells (6)	cultured_cells (6)	True	6	https://osdr.nasa.gov/bio/repo/data/studies/OSD-901	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-901
OSD-935	Long non‐coding RNAs Kcnq1ot1 and Lncpint are involved in skeletal muscle atrophy induced by the space exposome	Hindlimb_Unloading, X-Ray_Irradiation, Low_LET_Irradiation, High_Dose_Irradiation	20	20	1.0	Soleus (20)	skeletal_muscle (20)	skeletal_muscle (20)	True	20	https://osdr.nasa.gov/bio/repo/data/studies/OSD-935	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-935
OSD-949	Skeletal muscle-specific inducible AMPKa1/a2 knockout mice develop muscle weakness, glycogen depletion, and fibrosis that persists during disuse atrophy.	Hindlimb_Unloading	30	30	1.0	Soleus (30)	skeletal_muscle (30)	skeletal_muscle (30)	True	30	https://osdr.nasa.gov/bio/repo/data/studies/OSD-949	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-949
OSD-955	Gravitational and mechanical forces drive mitochondrial translation - mouse datasets		13	13	1.0	Soleus (13)	skeletal_muscle (13)	skeletal_muscle (13)	True	13	https://osdr.nasa.gov/bio/repo/data/studies/OSD-955	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-955
OSD-98	Rodent Research-1 (RR1) NASA Validation Flight: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data	RR-1	11	11	1.0	Adrenal glands- both sides (11)	adrenal_gland (11)	adrenal_gland (11)	True	21	https://osdr.nasa.gov/bio/repo/data/studies/OSD-98	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-98
OSD-99	Rodent Research-1 (RR1) NASA Validation Flight: Mouse extensor digitorum longus muscle transcriptomic and epigenomic data	RR-1	12	12	1.0	Extensor digitorum longus- both sides (12)	skeletal_muscle (12)	skeletal_muscle (12)	True	18	https://osdr.nasa.gov/bio/repo/data/studies/OSD-99	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-99
