condition	collection	age	sample	muscle_mean_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_score_robust_z_within_stratum	severe_muscle_composition_outlier
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI6	2.679077301185828	0	0.00035073002226132684	17.628173235215503	8	0.0	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI11	2.5704428548591967	0	0.0004330470133355756	16.5554172477512	8	1.4688136060787031	False
GC	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL4	2.480237059679519	0	0.0002799749002268956	16.513977320489573	8	0.11936789204432059	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI12	2.4424335246892057	0	0.0003035463857143152	17.441457498319096	8	0.31004661804958267	False
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL20	2.4062430254824543	0	0.00027807855111925875	16.919758315548414	8	-0.1630854363419246	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI6	2.36994332317483	0	0.0005825810462807241	17.11502562004226	8	0.6124165921687007	False
GC	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL11	2.285561473832142	0	0.00027241694562025727	16.913998847379194	8	0.0	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI14	2.279168340120941	0	0.0004319258149015546	17.068980843055172	8	1.0797304873306164	False
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL2	2.2672158739656036	0	0.00030902401814224213	16.796228606965542	8	0.7356406920902109	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI9	2.2290138532139436	0	0.0002913458862662442	16.939636348853767	8	0.7533985786941928	False
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL18	2.1469711608056494	0	0.00032474384104922067	17.25931409260071	8	-0.33558586093827963	False
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI12	2.130404943257529	0	0.00029067688988647876	17.134929129329038	8	-1.72879646737331	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI7	2.1120848805301624	0	0.00029921420762449476	17.1100508380734	8	0.6221974593478248	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI18	1.944412450724606	0	0.00034933499526004574	16.980615908201326	8	0.6325651540275683	False
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL12	1.9159708757464675	0	0.000295013696853855	17.279779681238978	8	2.671351669869275	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI11	1.8844761548878946	0	0.00024212896150219615	16.69189857141914	8	-0.2821271812589966	False
FLT	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL5	1.869579127468354	1	0.00031246796155274696	16.944169612831054	8	-0.5909625482229253	False
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL5	1.8313579110642664	0	0.00021812081565194717	16.975195535519006	8	0.2424711259413617	False
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL15	1.828751617965055	0	0.0003153795704219797	16.5370646529841	8	-0.5473057339113359	False
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL6	1.8198209051137568	0	0.00027654552626064124	17.10695287338557	8	0.10840515426779854	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI3	1.7824792750731042	0	0.00024069805365963144	17.046904717738155	8	0.0761938687433285	False
FLT	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL16	1.7450287792313	0	0.00020451313045065787	16.578756211585258	8	-0.452732328815587	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI2	1.7340948962319083	0	0.0002034553012657558	16.83690740422168	8	0.19807067619576676	False
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI7	1.6822243978578846	0	0.00023076162744287357	17.648991948371712	8	-0.393378095800534	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI15	1.6716219247038342	0	0.0002716119494713405	16.66336462332903	8	0.26817285995930545	False
GC	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL14	1.6651743084448256	0	0.00024852632054952665	17.32277590664096	8	-0.10840515426779854	False
GC	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL12	1.6527560265968368	0	0.0002551177546116908	17.446340480805212	8	-0.3880129703056942	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI8	1.6155293991463453	0	0.00022091106483845474	17.078362295279852	8	-0.0761938687433285	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI15	1.6031894118963321	0	0.0002523786148571447	16.576804550333428	8	-0.31004661804958267	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI20	1.5653974911607509	0	0.00021905538126730707	16.993474299998287	8	0.12627876418737805	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI14	1.5565042460950396	0	0.00022658795091674624	17.39932883302184	8	-0.34454093871060143	False
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI10	1.4767995077939329	0	0.0002392902342591475	17.249760579038423	8	0.0	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI17	1.4503327884126622	0	0.00016560094585248625	17.436860168721132	8	-0.4229879623740006	False
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL11	1.446430970516753	0	0.0003301584415372374	17.185647945023035	8	-0.8016737660886643	False
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL18	1.3888347814768378	0	0.00027845150799573796	17.047559655792092	8	-0.24247112594136191	False
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL12	1.3874805679099782	0	0.00022297824751955428	16.980757449027784	8	-0.8408950271092955	False
