gene_id	mean_log2_flight	mean_log2_ground	log2_mean_difference	welch_t	p_value	fdr_bh	significant_fdr05_abs_effect1	gene_symbol
ENSMUSG00000062545	5.9593546906319474	7.260940078801367	-1.3015853881694195	-5.964229543599322	6.660976865439957e-05	0.035709854717442056	True	Tlr12
ENSMUSG00000020889	7.277117669491693	10.57230432357889	-3.295186654087198	-5.298793752275668	7.455322043760139e-05	0.03704629401994882	True	Nr1d1
ENSMUSG00000043091	11.58383529370994	10.475774918162593	1.108060375547348	5.838599154555362	7.825627757557345e-05	0.03820416554553478	True	Tuba1c
ENSMUSG00000056749	9.847041307007041	8.2158208184637	1.6312204885433417	5.643339818959328	8.700160630761325e-05	0.041741270667619894	True	Nfil3
ENSMUSG00000031024	10.495591244078692	9.028529064366229	1.4670621797124639	5.350207311672172	0.0001197494385473704	0.04440257529862168	True	Dennd2b
ENSMUSG00000026614	10.836322648300337	9.766921137625557	1.0694015106747798	5.091349893130557	0.00011494243385901188	0.04440257529862168	True	Slc30a10
ENSMUSG00000083678	4.84289533057344	3.7768994517555186	1.0659958788179216	5.11519090608178	0.00010381635621181663	0.04440257529862168	True	
ENSMUSG00000081809	0.23075724612223059	1.535180097615731	-1.3044228514935003	-5.081126405655496	0.0001230161089387644	0.04440257529862168	True	Gm15539
ENSMUSG00000001995	7.126534616736013	8.794797590657117	-1.6682629739211041	-5.360759272411741	0.00011050427276979868	0.04440257529862168	True	Sipa1l2
ENSMUSG00000041135	6.3223841232031015	7.342506690347396	-1.0201225671442948	-6.016039316769695	0.0001262637507629099	0.044475207499740425	True	Ripk2
ENSMUSG00000023873	5.179085951018695	3.5170714992982965	1.662014451720398	5.019746699000619	0.00013899316255992046	0.04553029157534102	True	1700010I14Rik
ENSMUSG00000029188	5.2225621959970345	3.757254475716276	1.4653077202807587	5.22928051172017	0.00014071244027309186	0.04553029157534102	True	Slc34a2
ENSMUSG00000116164	3.496281005853706	2.392378226564424	1.1039027792892822	5.100667469044412	0.00014632188089203074	0.04580408541334764	True	
ENSMUSG00000036904	8.218915136070136	9.36128935958654	-1.1423742235164038	-5.11429434631837	0.0001541118701055278	0.04764967788251691	True	Fzd8
