gene_id	gene_symbol	official_log2_fold_change	official_fdr_bh	official_significant	all_samples_mean_log2_flight	all_samples_mean_log2_ground	all_samples_log2_mean_difference	all_samples_welch_t	all_samples_p_value	all_samples_fdr_bh	all_samples_significant_fdr05_abs_effect1	without_flagged_mean_log2_flight	without_flagged_mean_log2_ground	without_flagged_log2_mean_difference	without_flagged_welch_t	without_flagged_p_value	without_flagged_fdr_bh	without_flagged_significant_fdr05_abs_effect1
ENSMUSG00000033196	Myh2	10.7271812492178	1.69880838171673e-07	True	5.196050653371282	1.812088549519186	3.383962103852096	1.879828971861701	0.09008316717945088	0.5611656390434789	False	2.7820532402080964	1.812088549519186	0.9699646906889103	0.9908168214875583	0.34653503537636215	0.6872809146752342	False
ENSMUSG00000028116	Myoz2	9.34154182031944	0.0141266881043585	True	2.4835064573821626	0.360436978617407	2.1230694787647555	1.5786231662513264	0.14760762009197526	0.6375153247999202	False	0.5382821827806599	0.360436978617407	0.1778452041632529	0.41960703043440845	0.6833890094146435	0.9145265925257904	False
ENSMUSG00000026208	Des	3.94850821767676	0.0001588152462004	True	8.545657295929106	7.2108481083392135	1.334809187589892	1.5535444515642989	0.1518565756068061	0.6424985448396827	False	7.312877417634768	7.2108481083392135	0.10202930929555443	0.3601602477747894	0.7238886509779127	0.9322484357573244	False
ENSMUSG00000027470	Mylk2	10.1785928741224	0.0028081469441013	True	2.3901664701870327	0.249254867146189	2.1409116030408435	1.5344389044466027	0.15832762895441954	0.6436588623965334	False	0.32892131948356	0.249254867146189	0.07966645233737102	0.2878931927822861	0.7776706506526486	0.9573572323704006	False
ENSMUSG00000032366	Tpm1	3.99862865749395	0.0001615271436047	True	10.499930847836223	8.911241402694959	1.5886894451412648	1.998377680300859	0.07566862317872526	0.5465392555448029	False	9.333619813343054	8.911241402694959	0.4223784106480952	2.185073962649458	0.0487677789525627	0.40583052027378863	False
ENSMUSG00000018893	Mb	10.3607181762024	1.10607936540444e-05	True	4.41437803615532	1.2608345749475305	3.1535434612077893	1.8606675566944755	0.09321166525803505	0.5633798890389534	False	2.1045924818466153	1.2608345749475305	0.8437579068990848	0.9853475349600318	0.34876846050007826	0.6872809146752342	False
ENSMUSG00000030554	Synm	3.86450179157243	0.0003728711400009	True	6.681449594851341	5.400490923077536	1.2809586717738055	1.5159311639801016	0.16112775891018438	0.6436588623965334	False	5.461276736054602	5.400490923077536	0.0607858129770662	0.23728265662922463	0.8155758500184811	0.9715541828094812	False
ENSMUSG00000030592	Ryr1	9.3443081589768	4.95303932783392e-08	True	5.117030171982704	2.1973514438696786	2.9196787281130256	1.8649881163647037	0.09326647496447497	0.5634152307516995	False	2.9557369198766503	2.1973514438696786	0.7583854760069717	1.012821391430774	0.337748659692876	0.6872809146752342	False
ENSMUSG00000020061	Mybpc1	10.7736424851223	2.05990741052091e-05	True	4.106306591353242	0.6440614675739936	3.4622451237792484	2.272111417783477	0.047735062440461225	0.4646112565689802	False	1.9671949703361904	0.6440614675739936	1.3231335027621967	2.0409433057549458	0.07025820411980212	0.4619471183771169	False
ENSMUSG00000015568	Lpl	2.48639022228589	0.0163576001288179	True	9.133877972486962	8.120662758296746	1.0132152141902164	1.6768243958190074	0.1262335594435353	0.6082599582052391	False	8.253091435505999	8.120662758296746	0.1324286772092531	0.8944980149259999	0.38540177473796994	0.7159892273010584	False
