tissue	atlas_tissue	compartment	atlas_cells	rank	gene_id	atlas_log2cpm	specificity_log2_fold
skin	skin of body	immune	40	12	ENSMUSG00000027398	12.390377044677734	10.418776512145996
skin	skin of body	immune	40	13	ENSMUSG00000023349	11.095542907714844	10.330741882324219
skin	skin of body	immune	40	14	ENSMUSG00000030142	10.298015594482422	10.20447063446045
skin	skin of body	immune	40	15	ENSMUSG00000026656	10.5553617477417	10.03530502319336
skin	skin of body	immune	40	16	ENSMUSG00000033220	11.126683235168457	10.002765655517578
skin	skin of body	immune	40	17	ENSMUSG00000029373	10.023716926574707	9.920001983642578
skin	skin of body	immune	40	18	ENSMUSG00000015340	10.11994743347168	9.84783935546875
skin	skin of body	immune	40	19	ENSMUSG00000020120	9.994157791137695	9.826030731201172
skin	skin of body	immune	40	20	ENSMUSG00000036905	11.344915390014648	9.805473327636719
skin	skin of body	immune	40	21	ENSMUSG00000040747	10.71967887878418	9.756124496459961
skin	skin of body	immune	40	22	ENSMUSG00000068227	9.693094253540039	9.66612434387207
skin	skin of body	immune	40	23	ENSMUSG00000030144	9.563125610351562	9.550926208496094
skin	skin of body	immune	40	24	ENSMUSG00000048163	11.475022315979004	9.456305503845215
skin	skin of body	immune	40	25	ENSMUSG00000026358	12.086159706115723	9.439772605895996
skin	skin of body	immune	40	26	ENSMUSG00000024399	9.483980178833008	9.274063110351562
skin	skin of body	immune	40	27	ENSMUSG00000018930	9.218378067016602	9.150575637817383
skin	skin of body	immune	40	28	ENSMUSG00000015355	9.50069808959961	9.135825157165527
skin	skin of body	immune	40	29	ENSMUSG00000036896	9.934063911437988	9.13209342956543
skin	skin of body	immune	40	30	ENSMUSG00000036887	9.831683158874512	9.062881469726562
skin	skin of body	stromal	17	1	ENSMUSG00000036446	13.554108619689941	12.792515754699707
skin	skin of body	stromal	17	2	ENSMUSG00000026043	13.986710548400879	12.531139373779297
skin	skin of body	stromal	17	3	ENSMUSG00000009281	12.60447883605957	11.94260025024414
skin	skin of body	stromal	17	4	ENSMUSG00000020676	11.694513320922852	11.52748966217041
skin	skin of body	stromal	17	5	ENSMUSG00000027204	12.244728088378906	11.113335609436035
