tissue	accession	display_label	context_group	contrast_order	site	gravity	collection_context	term	short_label	pathway_order	n_flight	n_ground_control	flight_minus_ground
skin	OSD-240	RR-5 dorsal 30-day recovery	Recovery, endpoint, duration, and strain	4	dorsal skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	10	10	0.18501196939999998
skin	OSD-240	RR-5 dorsal 30-day recovery	Recovery, endpoint, duration, and strain	4	dorsal skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	10	10	0.20249767050000006
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-6805567_KERATINIZATION	Keratinization	0	9	10	-0.34563772333333453
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-73894_DNA_REPAIR	DNA repair	1	9	10	0.017854073677777804
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	9	10	-0.12563874333333352
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	9	10	-0.20768552222222225
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	9	10	-0.04451300066666666
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	9	10	-0.1354297773333335
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	9	10	-0.1585758877111111
skin	OSD-241	RR-5 femoral 30-day recovery	Recovery, endpoint, duration, and strain	5	femoral skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	9	10	-0.1555151008888889
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-6805567_KERATINIZATION	Keratinization	0	9	9	-1.9640143888888906
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-73894_DNA_REPAIR	DNA repair	1	9	9	-0.34436198166666665
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	9	9	-0.22064737777777788
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	9	9	-1.1985343685
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	9	9	-0.78643763
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	9	9	-0.3959088133333334
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	9	9	-0.3280584206666667
skin	OSD-243	RR-6 live return ~30 days	Recovery, endpoint, duration, and strain	6	dorsal skin	microgravity exposure	live return after approximately 30 days	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	9	9	-0.3367134198888889
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-6805567_KERATINIZATION	Keratinization	0	9	10	-2.9326657995555556
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-73894_DNA_REPAIR	DNA repair	1	9	10	-0.9308353324444445
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	9	10	-0.8674886591888886
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	9	10	-1.8594421555555556
skin	OSD-243	RR-6 terminal ~60 days	Recovery, endpoint, duration, and strain	7	dorsal skin	microgravity exposure	ISS terminal after approximately 60 days	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	9	10	-1.225374522222222
