tissue	method	accession	term	effect	project
thymus	expimap	OSD-244	R-MMU-500792_GPCR_LIGAND_BINDING	-0.20525767368421022	RR-6
thymus	expimap	OSD-244	R-MMU-512988_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	-0.0020449704115263166	RR-6
thymus	expimap	OSD-244	R-MMU-5173105_O_LINKED_GLYCOSYLATION	-0.4405086794736841	RR-6
thymus	expimap	OSD-244	R-MMU-5357801_PROGRAMMED_CELL_DEATH	-0.5978746028421051	RR-6
thymus	expimap	OSD-244	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	-0.06543689589473686	RR-6
thymus	expimap	OSD-244	R-MMU-556833_METABOLISM_OF_LIPIDS	0.09640198789473686	RR-6
thymus	expimap	OSD-244	R-MMU-5610787_HEDGEHOG_OFF_STATE	-0.012847705394736841	RR-6
thymus	expimap	OSD-244	R-MMU-5617833_CILIUM_ASSEMBLY	-0.6939875785263159	RR-6
thymus	expimap	OSD-244	R-MMU-5621481_C_TYPE_LECTIN_RECEPTORS_CLRS	-0.042062482105263144	RR-6
thymus	expimap	OSD-244	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	0.39843599578947364	RR-6
thymus	expimap	OSD-244	R-MMU-5663220_RHO_GTPASES_ACTIVATE_FORMINS	0.016238668740526315	RR-6
thymus	expimap	OSD-244	R-MMU-5668541_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	-0.22356298263157887	RR-6
thymus	expimap	OSD-244	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	-0.377556594736842	RR-6
thymus	expimap	OSD-244	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	0.011178738052631587	RR-6
thymus	expimap	OSD-244	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	0.24569927736842123	RR-6
thymus	expimap	OSD-244	R-MMU-5685942_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	-0.012941358790526313	RR-6
thymus	expimap	OSD-244	R-MMU-5688426_DEUBIQUITINATION	-0.1448856126315789	RR-6
thymus	expimap	OSD-244	R-MMU-5689880_UB_SPECIFIC_PROCESSING_PROTEASES	-0.010371716878947368	RR-6
thymus	expimap	OSD-244	R-MMU-5689901_METALLOPROTEASE_DUBS	-0.0034525406926315793	RR-6
thymus	expimap	OSD-244	R-MMU-5693532_DNA_DOUBLE_STRAND_BREAK_REPAIR	-0.0004595854752631589	RR-6
thymus	expimap	OSD-244	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	-0.04402357297894738	RR-6
thymus	expimap	OSD-244	R-MMU-5693565_RECRUITMENT_AND_ATM_MEDIATED_PHOSPHORYLATION_OF_REPAIR_AND_SIGNALING_PROTEINS_AT_DNA_DOUBLE_STRAND_BREAKS	-0.0052343433136842095	RR-6
thymus	expimap	OSD-244	R-MMU-5693567_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR_OR_SINGLE_STRAND_ANNEALING_SSA	-0.01064559316631579	RR-6
thymus	expimap	OSD-244	R-MMU-5693571_NONHOMOLOGOUS_END_JOINING_NHEJ	0.011996829249473684	RR-6
