tissue	term	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	absolute_attenuation_fraction	short_label	evidence_role	family_representative	curated_pathway
thymus	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.258391605250896	-0.03215478954127429	False	0.1244420828225138	0.8755579171774862			False	False
thymus	R-MMU-1640170_CELL_CYCLE	-0.5800206799283154	-0.4021973921990065	True	0.6934190557631738	0.30658094423682625			False	False
thymus	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	0.024501405359139784	0.03305446646586897	True	1.3490845109233145	-0.3490845109233145			False	False
thymus	R-MMU-166058_MYD88_MAL_TIRAP_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	3.9793661146954e-05	0.002857097306222823	True	71.79779954580829	-70.79779954580829			False	False
thymus	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	0.30722683773118276	0.1757311893711503	True	0.5719916614996751	0.42800833850032494	Innate TLR signaling	complementary	True	True
thymus	R-MMU-166520_SIGNALING_BY_NTRKS	-0.004913794217383512	-0.0008044170807669419	True	0.16370589511485006	0.83629410488515			False	False
thymus	R-MMU-166658_COMPLEMENT_CASCADE	0.03308601434408602	-0.0638874032997664	False	1.9309489089666068	-0.9309489089666068			False	False
thymus	R-MMU-168138_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	0.2840159981612903	0.07906458303357611	True	0.2783807375128073	0.7216192624871927			False	False
thymus	R-MMU-168142_TOLL_LIKE_RECEPTOR_10_TLR10_CASCADE	-0.004939462000430107	-0.0034671741070223575	True	0.7019335520185095	0.2980664479814905			False	False
thymus	R-MMU-168164_TOLL_LIKE_RECEPTOR_3_TLR3_CASCADE	0.006161308189091397	0.0051909928503387	True	0.8425147210667628	0.15748527893323716			False	False
thymus	R-MMU-168176_TOLL_LIKE_RECEPTOR_5_TLR5_CASCADE	-0.0014849657200716843	0.0016192135690318537	False	1.09040467880544	-0.09040467880544001			False	False
thymus	R-MMU-168179_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	0.005357521627419355	0.009100927841012615	True	1.698719757739253	-0.698719757739253			False	False
thymus	R-MMU-168181_TOLL_LIKE_RECEPTOR_7_8_TLR7_8_CASCADE	0.018249610498207884	0.012028223240267493	True	0.6590947922668633	0.3409052077331367			False	False
thymus	R-MMU-168188_TOLL_LIKE_RECEPTOR_TLR6_TLR2_CASCADE	-0.00047277895663082466	-0.007518551063366403	True	15.902888565400675	-14.902888565400675			False	False
thymus	R-MMU-168249_INNATE_IMMUNE_SYSTEM	0.2856654526702508	-0.002601996105377348	False	0.009108543161433256	0.9908914568385667			False	False
thymus	R-MMU-168256_IMMUNE_SYSTEM	0.37815664874551963	0.10611304247440712	True	0.2806060473256834	0.7193939526743166			False	False
