model	term	observed_direction	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_fdr	same_direction_as_pathway
liver_hvg	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	FLT_up	ENSMUSG00000022488	Nckap1l	-0.27968800278197037	0.043349331562771806	-0.31093640302143283	0.2201369108669028	False
liver_hvg	R-MMU-9769740_COAGULATION_PATHWAY	FLT_up	ENSMUSG00000037411	Serpine1	-0.4692273051977549	0.0009342803872877838	-0.2304226985290958	0.5698144387522766	False
liver_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	ENSMUSG00000058672	Tubb2a	0.9165747730022442	6.293171401278508e-05	0.4309008158176673	0.31321343181354155	True
liver_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	ENSMUSG00000036752	Tubb4b	0.4413108294768442	0.007272126203562575	0.24761602898084675	0.38418138986117456	True
liver_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	ENSMUSG00000031659	Adcy7	-0.337573691501297	0.012986289418208879	-0.3965777056248246	0.11901831701495891	False
liver_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	ENSMUSG00000043091	Tuba1c	0.3775845036230754	0.022719299039405103	0.13270256520200743	0.6295365179548765	True
liver_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	ENSMUSG00000020431	Adcy1	0.41008744041854706	0.025326090945140805	0.21936712163525926	0.55593167933766	True
liver_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	ENSMUSG00000026202	Tuba4a	0.3548393955938858	0.0397524426244841	0.09865361205745667	0.7270560897108289	True
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000032080	Apoa4	1.0377109178953727	0.0004965758822101273	1.0934571887521483	0.21040980121058556	True
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000029188	Slc34a2	0.7231263720118535	0.0009342803872877838	0.24667313386906653	0.5972065817143278	True
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000006641	Slc5a6	-0.4444833542855955	0.0012316765999045118	-0.22707546286599675	0.33563159020013866	False
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000010064	Slc38a3	-0.39483352273876093	0.01336146027361761	-0.26966682725476704	0.18576438944963505	False
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000026614		0.43873986811665233	0.01336146027361761	0.1327195257341113	0.6922230589614714	True
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000027075	Slc43a1	-0.2213528942481613	0.017669499755280833	-0.2178764036307089	0.21016561544643644	False
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000032204	Aqp9	-0.21885325529648547	0.02299128083321768	-0.13879475965994	0.24550600271691023	False
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000024589	Nedd4l	0.3218305476354111	0.02299128083321768	0.09133597220550234	0.7223027617691333	True
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000030302	Atp2b2	0.611953469425988	0.027631517110592557	0.18825683773895738	0.7879381032113771	True
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000026435	Slc45a3	0.45611684225068316	0.02797903450602367	0.18896920605188514	0.49472929667965254	True
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000027698	Nceh1	-0.25563118581763256	0.0397524426244841	-0.08812868155690275	0.7333572566055321	False
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000018900	Slc22a5	-0.3341168462313471	0.04282351565589374	0.057014446011003285	0.9105361060370271	False
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	ENSMUSG00000032193	Ldlr	-0.26452879554627984	0.04533486839431575	-0.26538941277415146	0.18576438944963505	False
liver_hvg	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	FLT_down	ENSMUSG00000048756	Foxo3	-0.29789023238169854	0.015763251977421917	-0.284990366522405	0.10205129431576236	True
liver_hvg	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	FLT_down	ENSMUSG00000027068	Dhrs9	0.4078545374755129	0.03755801391354824	0.07313320803139989	0.8557553916066182	False
liver_hvg	R-MMU-9013149_RAC1_GTPASE_CYCLE	FLT_down	ENSMUSG00000015340	Cybb	-0.3520342198140014	0.023492044557981272	-0.37269652981226625	0.18309321944587612	True
liver_hvg	R-MMU-9013149_RAC1_GTPASE_CYCLE	FLT_down	ENSMUSG00000015950	Ncf1	-0.262304331507178	0.023492044557981272	-0.2689952272759683	0.21040980121058556	True
liver_hvg	R-MMU-9013149_RAC1_GTPASE_CYCLE	FLT_down	ENSMUSG00000022488	Nckap1l	-0.27968800278197037	0.043349331562771806	-0.31093640302143283	0.2201369108669028	True
liver_hvg	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	FLT_down	ENSMUSG00000072115	Ang	-0.27232003191884857	0.025326090945140805	-0.21135477708257863	0.3009259525514778	True
liver_hvg	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	FLT_down	ENSMUSG00000038642	Ctss	-0.2914017105970572	0.035972138997241374	-0.37361204703281414	0.1535524900347801	True
liver_hvg	R-MMU-69306_DNA_REPLICATION	FLT_down	ENSMUSG00000026669	Mcm10	-0.40037027301417893	0.0397524426244841	-0.30512319355201895	0.24670991164976194	True
