model	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_p	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_p	accession_t_fdr	n_accessions_tested	n_accessions_same_direction	n_accessions_nonzero_direction	pooled_deg_fdr05	accession_deg_fdr05	any_deg_fdr05	nominal_p05
liver_hvg	ENSMUSG00000062410	Hsd3b3	0.01958906386595949	0.7902513221786435	0.9029503938982781	-0.11892459153107733	0.22019692334274554	0.45664538676588085	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000062515	Fabp4	0.21672753972129177	0.08784642348436625	0.30638743855124245	0.08484065528600489	0.24219462420449522	0.47744888862447427	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000062727	H2bc12	-0.2144956574778658	0.25083835459265846	0.522361709198699	-0.12837040878614112	0.11586021206939374	0.35002885076842427	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000062825	Actg1	0.008412696030037026	0.9333521663545685	0.9742985965630145	0.04154815922921403	0.7688344532804033	0.8706232319853191	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000062949	Atp11c	-0.06957589022232291	0.3989555744858307	0.6650542442624175	-0.09058125468907037	0.33246676416722815	0.566898456849248	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000062960	Kdr	-0.24395751759425277	0.018324805632987173	0.13647078782311783	-0.18449015383271106	0.05391526944177159	0.26948745280734726	12	11	12	False	False	False	True
liver_hvg	ENSMUSG00000062991		0.10975820798413682	0.21524905926178522	0.47873118531467285	0.0036757602171010317	0.9670373480486043	0.986269755370646	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000063011	Msln	-0.10316248661184235	0.43292672433628876	0.6948421681825391	-0.2582036038222183	0.12171890173977575	0.35624046981178376	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000063193	Cd300lb	-0.1218359206139914	0.11368057984279493	0.34730896904498604	-0.22978863242749167	0.06669407096868377	0.28403486058749006	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000063354	Slc39a4	-0.10838960793021624	0.3386366538275968	0.6086307426901402	-0.10899320089412368	0.18317059265545477	0.42675908905762705	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000063382	Bcl9l	0.03919345997047685	0.8171811607265329	0.9169158693191413	0.021308376340907726	0.7601448967996075	0.8687011740630135	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000063406	Tmed5	-0.09754868418066387	0.43848488585312506	0.7003821835684423	0.05773982376586839	0.7549076194215223	0.866208590776547	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000063415	Cyp26b1	0.48891260551789184	0.006103848528969491	0.07599392327385442	0.43663385644052255	0.19717623800403203	0.43610487230381806	12	9	12	False	False	False	True
liver_hvg	ENSMUSG00000063446	Plppr1	0.14041508293869054	0.28507101523091727	0.5580633003370012	0.10466763950678853	0.29044960086141797	0.5291753001995697	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000063506	Arhgap22	-0.024209626763553316	0.6328578813648447	0.820371327695169	-0.035273944524885185	0.7419545968479716	0.8585843507608488	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000063558	Aox1	0.13952182415176662	0.11621947773127626	0.3484227212803594	0.044500410002128156	0.7219483091996916	0.8470553876053717	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000063730	Hsd3b2	-0.05411882997861639	0.6403170747488678	0.8252148347054207	-0.15346962949232035	0.2001083498636307	0.4401501190495516	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000063838	Cdc42ep5	0.021504844392954636	0.8048899696524816	0.9108085589657974	-0.08222215437817641	0.20922451598991415	0.44546735261459847	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000063895	Nupl1	0.005626772552566812	0.5332442503959977	0.7572950859335906	0.0033211804204698707	0.7751608796422805	0.8727121641570822	12	2	4	False	False	False	False
liver_hvg	ENSMUSG00000063929	Cyp4a32	-0.0658781096010399	0.6048152542200838	0.804112089166955	0.10259793146499578	0.6741254933436223	0.8170597565130779	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000063954		0.03283590171083972	0.8933179856695675	0.9550746952898109	0.06022270215947575	0.5200822179428374	0.7087185961721042	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000064080	Fbln2	-0.08422819935859494	0.43092294311368906	0.6935384510429234	-0.027496064465505215	0.6979739772979742	0.8312005042690124	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000064147		0.009872814153689402	0.769822091230238	0.89394358091055	0.03964553702697965	0.4198551351581231	0.6452182245013333	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000064210	Ano6	-0.04958403189358762	0.4444748771898648	0.702832374062728	-0.183222789141293	0.09585833721544473	0.32413115719459706	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000064220	H2ac18	0.13285111175577224	0.695791661735762	0.8536927215023647	0.15262837370609236	0.24758594820506852	0.48346593231795226	12	6	10	False	False	False	False
liver_hvg	ENSMUSG00000064246	Chil1	0.06188873439220388	0.47308043625467233	0.7149965684303571	0.1432661858969959	0.25083806822621724	0.4874772667471157	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000064254	Ethe1	0.25209881421929925	0.028181007634242205	0.17088483352678782	0.10441069933778557	0.48737621779024126	0.6890141816495098	12	9	12	False	False	False	True
liver_hvg	ENSMUSG00000064267	Hvcn1	-0.2014589712317716	0.031104723428050728	0.17936327373339955	-0.1454710327662456	0.13348867433342773	0.3710571890427881	12	9	12	False	False	False	True
liver_hvg	ENSMUSG00000064288	H4c12	-0.08675194246586049	0.5428018450699739	0.7647525995159589	-0.09425319777474095	0.1981308315572532	0.43724669132380545	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000064325	Hhip	-0.09191358335782951	0.39979881444954385	0.6650542442624175	0.0019476241746770688	0.9818741163486168	0.9921146441524861	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000064345		0.20794445235139847	0.2578508303516091	0.5278215983439959	0.10247429450302088	0.11302354153307552	0.34944895013621224	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000064351		0.04278863262596744	0.6817963728713752	0.846831057445762	-0.04817049998078519	0.45759507825284	0.6747532742238952	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000064354		-0.03890953119934437	0.821692850607636	0.917848396955338	-0.21217329917162622	0.11998927471415491	0.3541103595484305	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000064356		0.09013267122071689	0.6624548076784083	0.8366062752074701	-0.012134769515753355	0.9482213395839586	0.9781290447104434	12	3	12	False	False	False	False
liver_hvg	ENSMUSG00000064357		0.05300207154104619	0.741511891675301	0.8821205866978089	0.05621994269901842	0.3303744001285014	0.5642953152879797	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000064360		-0.25922814770767566	0.1309481427728307	0.3658845165711446	-0.05724898420441171	0.7004566986098002	0.8327592686450473	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000064363		0.1532384673246412	0.38045255777264747	0.6459598746863249	0.05249359700382709	0.4595008985003624	0.6749574797083908	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000064367		0.19224487551783653	0.23290641332861622	0.5001596281922382	0.10206955706199983	0.2951816925653637	0.5335562690158631	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000064368		0.17391959800883328	0.3303114092122057	0.6034535360607604	0.0012248699336392388	0.9906856041668408	0.9976869158570658	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000064370		0.13912155710447038	0.3565262312079192	0.6217393629893346	0.02092751154061793	0.7750251068122749	0.8727121641570822	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000065947		0.05548051797450615	0.7883366247232751	0.9023621115269659	-0.09258603234750044	0.553829364794049	0.7362365486662732	12	4	12	False	False	False	False
liver_hvg	ENSMUSG00000066000	Zfp979	-0.008861002127500406	0.9545490654505153	0.9795912477231369	-0.18003220820063345	0.21483941413406699	0.4506883608806137	12	6	11	False	False	False	False
liver_hvg	ENSMUSG00000066007	Zfp600	0.0038699466663225275	0.7538454982475514	0.8866163741412985	-0.004966535357598023	0.7253436403613002	0.849213945141311	12	5	7	False	False	False	False
liver_hvg	ENSMUSG00000066009	Zfp987	0.016733508914184417	0.4158891296701877	0.6805308734830232	0.009047425284157208	0.6987083938141021	0.8312005042690124	12	5	10	False	False	False	False
liver_hvg	ENSMUSG00000066026	Dhrs3	0.06712488285355711	0.375062294744568	0.6417232229977815	-0.044291383310779565	0.660225285332932	0.8095571261457895	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000066071	Cyp4a12a	0.4079436527394371	0.4496918542548983	0.7032828349271634	-0.12215636122382567	0.18513220207575903	0.42718906696701364	12	6	12	False	False	False	False
liver_hvg	ENSMUSG00000066072		0.48678552651413654	0.002224833790349323	0.043945974373731676	0.8396695079114705	0.05002690672710232	0.26512292660041636	12	8	12	True	False	True	True
liver_hvg	ENSMUSG00000066278	Vps37b	0.10628794298070599	0.43525036408451667	0.6974493785932616	0.02548614588564931	0.732452003449844	0.8546822114458961	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000066357	Wdr6	-0.025193631303906727	0.8279048075431419	0.9194450762429227	-0.10164460490498206	0.2310980643003895	0.46853723402365555	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000066406	Akap13	-0.0400714458367224	0.5793653169654154	0.7891123946302969	-0.1361311258072936	0.19294976019842622	0.4316562061402223	12	7	12	False	False	False	False
