model	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_p	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_p	accession_t_fdr	n_accessions_tested	n_accessions_same_direction	n_accessions_nonzero_direction	pooled_deg_fdr05	accession_deg_fdr05	any_deg_fdr05	nominal_p05
soleus_hvg	ENSMUSG00000061816	Myl1	0.5646777575461517	6.857320188273976e-07	3.8675285861865224e-05	0.5993513349885783	0.10435335852409279	0.938821262490848	3	3	3	True	False	True	True
soleus_hvg	ENSMUSG00000061878	Sphk1	0.4867395016864213	0.2772909133985176	0.6379630105462398	0.05475408088190462	0.9524864351759573	0.988384909030258	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000062175	Tgif2	0.4165318071508639	0.13052803473494012	0.4338341708429767	0.2512750344055607	0.4078439234170155	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000062184	Hs6st2	0.4503032481984919	0.013463826621230015	0.11471313398351482	0.40218759783649527	0.34494721900419933	0.938821262490848	3	2	3	False	False	False	True
soleus_hvg	ENSMUSG00000062210	Tnfaip8	0.18207081385980306	0.5352006116409108	0.8318083048484649	0.04717093769039756	0.8533361141084845	0.9786999124617198	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000062345	Serpinb2	0.008474817056476763	0.9288500793960303	0.9889698256352555	0.01844901985560381	0.8610735070504727	0.9786999124617198	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000062380	Tubb3	0.3309746684320186	0.14445255929353712	0.45399905145981917	0.20418716988782926	0.5700010023256493	0.938821262490848	3	1	3	False	False	False	False
soleus_hvg	ENSMUSG00000062515	Fabp4	-0.33840860976412834	0.13421589533677875	0.4381332812264591	-0.3756213022784687	0.13121367368715356	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000062591	Tubb4a	0.19344538920096044	0.3883058774305015	0.7340982234116926	0.10525480970377599	0.7865630557957776	0.9738460519251219	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000062609	Kcnj15	0.5333696034208009	0.03519869622133679	0.21420209261155573	0.47719340902230334	0.10137356230699442	0.938821262490848	3	3	3	False	False	False	True
soleus_hvg	ENSMUSG00000062683	Atp5g2	-0.7387007734620257	0.43182347213927813	0.7651880915645737	-0.2373932300369599	0.36960406751734093	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000062727	H2bc12	0.7440233313143867	0.06981212651180756	0.3089890980589868	0.540447428020993	0.32201069109276537	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000062825	Actg1	0.2873869458981808	0.46040593518418715	0.7832577980941186	0.03798791650329184	0.938430054469026	0.9864478516158713	3	1	3	False	False	False	False
soleus_hvg	ENSMUSG00000062937		0.22511031003397575	0.44949556868462387	0.7776933890512027	0.12277321702964199	0.7274032523399789	0.9600765604685947	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000062960	Kdr	-0.34328672618007516	0.43656314784958883	0.7687561586575274	-0.4551476495491533	0.36517508159865497	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063011	Msln	0.29166231358440986	0.07916607516573536	0.33038865196017253	0.2620476805969524	0.32447415543364666	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063021	H2ac15	0.6614013050862084	0.06135977417953071	0.28770592453775207	0.4719333038419437	0.3743115433625706	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063060	Sox7	-0.08304813212447648	0.8212444685208913	0.9666884799405125	-0.2172313501010108	0.3470397207931232	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000063193	Cd300lb	0.3190779620273272	0.3573902030090459	0.7122273189165137	0.10741863795708333	0.843626163246222	0.9786999124617198	3	1	3	False	False	False	False
soleus_hvg	ENSMUSG00000063275	Hacd1	0.3433761881109403	0.0033585978239985604	0.04572325589360799	0.30566029057352306	0.16994801737160023	0.938821262490848	3	3	3	True	False	True	True
soleus_hvg	ENSMUSG00000063382	Bcl9l	0.09086815041502483	0.8515577725466545	0.9772157736458235	-0.03599402449295338	0.8427714175523724	0.9786999124617198	3	1	3	False	False	False	False
soleus_hvg	ENSMUSG00000063415	Cyp26b1	-0.8110388620662041	0.12142225005738888	0.4168247756303346	-0.7643790835337061	0.4512429319988662	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063506	Arhgap22	0.12147780164963695	0.7419760061131594	0.9340947934103166	-0.09208484003737068	0.6340683744686133	0.9438436824528861	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063558	Aox1	-0.3926174442063415	0.010803336765712535	0.10107007950481774	-0.2682550270839119	0.608464940055181	0.938821262490848	3	2	3	False	False	False	True
soleus_hvg	ENSMUSG00000063564	Col23a1	0.4208584150520873	0.09712918283714986	0.3759470723932036	0.3685729281291172	0.23739576402691653	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063727	Tnfrsf11b	-0.2783978291007303	0.30726263343344734	0.6640148857793883	-0.30057344401145175	0.37164797952972484	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063856	Gpx1	0.22898269971235408	0.34478610479199717	0.7031072013010355	0.11256927756544648	0.49876879295574106	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063873	Slc24a3	0.03915345058526887	0.9007365140324765	0.9857457136786789	-0.02564501899871489	0.9174843149408018	0.9864478516158713	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063895	Nupl1	0.17367807854671413	0.17819050737421474	0.5100627518835478	0.12336354766774148	0.4058156094154522	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000063954		0.14802745399716066	0.80338316032815	0.9613231930422492	-0.030194156577358616	0.5271230015182474	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000064080	Fbln2	-0.15318509212682585	0.656324083888201	0.906356361382875	-0.2531387136424262	0.42318718673259254	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000064147		0.5924881917239062	0.023693814942425204	0.1652706385029942	0.4968652850943544	0.4065547726743228	0.938821262490848	3	2	3	False	False	False	True
soleus_hvg	ENSMUSG00000064179	Tnnt1	-0.6187102363163088	0.002833878225016552	0.040536779827410684	-0.5323508220661619	0.006572420062679378	0.938821262490848	3	3	3	True	False	True	True
soleus_hvg	ENSMUSG00000064220	H2ac18	0.3476439390189663	0.6995546138079789	0.9214003014686913	0.06743461694958358	0.07009191367856274	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000064246	Chil1	0.032478383043661685	0.9234597334973127	0.9873992005763623	-0.09590376658307136	0.1429016730698738	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000064267	Hvcn1	-0.036342433290886156	0.8707456292627352	0.9810826805321373	-0.09847960310878179	0.3048846724525337	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000064288	H4c12	0.28093197311463536	0.5123991613461963	0.8143928699656937	0.09847503935930602	0.276494995925452	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000064345		-0.15357932325430212	0.6083452676789286	0.879906188929795	-0.04584177036919712	0.8490422434612845	0.9786999124617198	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000064351		-0.3456096499096084	0.2018252689724445	0.5435239849271561	-0.24423928186835772	0.21322782161336903	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000064354		-1.1054251673442295	0.005079472712463789	0.06076896445093043	-0.9723083215132379	0.43123881216270615	0.938821262490848	3	2	3	False	False	False	True
soleus_hvg	ENSMUSG00000064356		-0.31364352137499907	0.5863863715406177	0.8625385226685389	-0.06219749323904603	0.859758924809406	0.9786999124617198	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000064358		-0.2207283425260318	0.5600910333753593	0.8485185724351183	-0.3837240597380915	0.05844388233762495	0.938821262490848	3	3	3	False	False	False	False
soleus_hvg	ENSMUSG00000064360		-0.20040343816139838	0.5338227653435251	0.8303909683121501	-0.24397630553033997	0.38969423688969945	0.938821262490848	3	2	3	False	False	False	False
soleus_hvg	ENSMUSG00000064363		-0.16949076161012044	0.46356479594670447	0.7832577980941186	-0.06155204947161449	0.7456257197820544	0.961924996694287	3	2	3	False	False	False	False
