profile	id.accession	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
Mmus_BAL-TAL_LVR_FLT_Rep2_F2	OSD-137	flight	Mmus_BAL-TAL_LVR_FLT_Rep2_F2	RR3_FLT_F2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_FLT_Rep3_F3	OSD-137	flight	Mmus_BAL-TAL_LVR_FLT_Rep3_F3	RR3_FLT_F3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_FLT_Rep4_F4	OSD-137	flight	Mmus_BAL-TAL_LVR_FLT_Rep4_F4	RR3_FLT_F4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_FLT_Rep5_F5	OSD-137	flight	Mmus_BAL-TAL_LVR_FLT_Rep5_F5	RR3_FLT_F5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_FLT_Rep6_F6	OSD-137	flight	Mmus_BAL-TAL_LVR_FLT_Rep6_F6	RR3_FLT_F6	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_GC_Rep1_G1	OSD-137	ground_control	Mmus_BAL-TAL_LVR_GC_Rep1_G1	RR3_GC_G1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_GC_Rep2_G2	OSD-137	ground_control	Mmus_BAL-TAL_LVR_GC_Rep2_G2	RR3_GC_G2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_GC_Rep3_G3	OSD-137	ground_control	Mmus_BAL-TAL_LVR_GC_Rep3_G3	RR3_GC_G3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_GC_Rep4_G5	OSD-137	ground_control	Mmus_BAL-TAL_LVR_GC_Rep4_G5	RR3_GC_G5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
Mmus_BAL-TAL_LVR_GC_Rep5_G6	OSD-137	ground_control	Mmus_BAL-TAL_LVR_GC_Rep5_G6	RR3_GC_G6	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137
