method	term	description	query_size	universe_size	term_size	overlap	enrichment_ratio	p_value	overlap_gene_ids	fdr_bh
DESeq2_DEG	REACTOME_G1_S_TRANSITION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G1_S_TRANSITION	48	12962	101	2	5.347359735973597	0.053788457784427146	ENSMUSG00000023067,ENSMUSG00000031016	0.07123336301180892
DESeq2_DEG	REACTOME_CELL_CYCLE_CHECKPOINTS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CELL_CYCLE_CHECKPOINTS	48	12962	104	2	5.1931089743589745	0.056653754105572676	ENSMUSG00000023067,ENSMUSG00000031016	0.07177683900342138
DESeq2_DEG	REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	48	12962	106	2	5.095125786163521	0.05859333796197664	ENSMUSG00000026077,ENSMUSG00000055116	0.07177683900342138
DESeq2_DEG	REACTOME_SIGNALING_BY_PDGF	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_PDGF	48	12962	106	2	5.095125786163521	0.05859333796197664	ENSMUSG00000020431,ENSMUSG00000023067	0.07177683900342138
DESeq2_DEG	REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	48	12962	115	2	4.696376811594202	0.06759994315070378	ENSMUSG00000020431,ENSMUSG00000023067	0.08079017596059719
DESeq2_DEG	REACTOME_MITOTIC_G1_G1_S_PHASES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MITOTIC_G1_G1_S_PHASES	48	12962	122	2	4.426912568306011	0.0749025537984807	ENSMUSG00000023067,ENSMUSG00000031016	0.08738631276489416
DESeq2_DEG	REACTOME_SIGNALING_BY_GPCR	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_GPCR	48	12962	288	3	2.8129340277777777	0.09051271148001616	ENSMUSG00000020431,ENSMUSG00000029663,ENSMUSG00000033717	0.10298225221636906
DESeq2_DEG	REACTOME_GPCR_LIGAND_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GPCR_LIGAND_BINDING	48	12962	138	2	3.9136473429951693	0.09247385913306609	ENSMUSG00000029663,ENSMUSG00000033717	0.10298225221636906
DESeq2_DEG	REACTOME_PHOSPHOLIPID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHOSPHOLIPID_METABOLISM	48	12962	152	2	3.5531798245614032	0.10873190909613008	ENSMUSG00000024843,ENSMUSG00000041653	0.11839696768245275
DESeq2_DEG	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	48	12962	172	2	3.140019379844961	0.13314444204272752	ENSMUSG00000029663,ENSMUSG00000033717	0.14182777521942713
DESeq2_DEG	REACTOME_SIGNALLING_BY_NGF	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALLING_BY_NGF	48	12962	180	2	3.000462962962963	0.1432386847450123	ENSMUSG00000020431,ENSMUSG00000023067	0.14933394792565113
DESeq2_DEG	REACTOME_CELL_CYCLE_MITOTIC	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CELL_CYCLE_MITOTIC	48	12962	274	2	1.9711070559610706	0.2696726306893222	ENSMUSG00000023067,ENSMUSG00000031016	0.27529081049534976
DESeq2_DEG	REACTOME_CELL_CYCLE	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CELL_CYCLE	48	12962	316	2	1.7091244725738397	0.32742326510790876	ENSMUSG00000023067,ENSMUSG00000031016	0.32742326510790876
