gene_id	procrustes_latent_shift	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction	SYMBOL	entrez_id	is_deg	abs_log2_fold_change	latent_shift_rank
ENSMUSG00000075551	12.193578	38962.0152420804	0.323326794811911	0.161655597831904	2.00009649618271	0.0454898450574469	0.189397135918013	False	not_deg	Cyp3a41a	53973	False	0.323326794811911	23.0
ENSMUSG00000020609	12.064924	418253.422918068	0.109633752842127	0.0833047245067128	1.31605684421047	0.188154964253657	0.42830105714922	False	not_deg	Apob	238055	False	0.109633752842127	24.0
ENSMUSG00000028001	11.816057	113043.780388091	0.420245926815623	0.114004559055225	3.68622036081954	0.0002276092863392	0.0071765613067237	False	not_deg	Fga	14161	False	0.420245926815623	25.0
ENSMUSG00000033831	11.7438135	134356.531955775	0.364343080772968	0.105736448745833	3.44576619599518	0.0005694428088214	0.0132575582919094	False	not_deg	Fgb	110135	False	0.364343080772968	26.0
ENSMUSG00000079012	10.898587	18506.7498565375	0.551868773369035	0.165724610748781	3.33003511594065	0.0008683503203849	0.0176265844394155	False	not_deg	Serpina3m	20717	False	0.551868773369035	27.0
ENSMUSG00000019987	10.264021	29636.8699904176	0.0160737554642058	0.0867314317082277	0.185327915700496	0.852971843708438	0.932893659052716	False	not_deg	Arg1	11846	False	0.0160737554642058	28.0
ENSMUSG00000088088	10.20227	47383.6714966351	0.221630973260888	0.327088114276286	0.677587975800553	0.498032972106559	0.722681079034251	False	not_deg	Rmrp	19782	False	0.221630973260888	29.0
ENSMUSG00000033860	10.103768	80230.7366241945	0.456283345986211	0.106567194604687	4.28164922309161	1.85513255263691e-05	0.0012352151066429	False	not_deg	Fgg	99571	False	0.456283345986211	30.0
ENSMUSG00000061808	9.914242	89457.1992158053	-0.193454364736534	0.114778728649473	-1.68545484875801	0.0919008490476494	0.28542833374159	False	not_deg	Ttr	22139	False	0.193454364736534	31.0
ENSMUSG00000092837	9.901907	21559.0260417522	0.0681953833508226	0.357563202102282	0.190722599389059	0.848742931937564	0.931097523966168	False	not_deg	Rpph1	85029	False	0.0681953833508226	32.0
ENSMUSG00000023944	9.72661	17215.976911195	0.346116906126226	0.15249511506677	2.26969176012411	0.0232262917091123	0.12951703678355	False	not_deg	Hsp90ab1	15516	False	0.346116906126226	33.0
ENSMUSG00000001891	9.718583	13368.3676548306	-0.0091101408112777	0.107740549888499	-0.0845562865671826	0.932614152815271	0.970996729465558	False	not_deg	Ugp2	216558	False	0.0091101408112777	34.0
ENSMUSG00000020051	9.550274	30389.8176672799	0.0392623157318323	0.0785049850057079	0.500125128728801	0.616986973234739	0.805207526387496	False	not_deg	Pah	18478	False	0.0392623157318323	35.0
ENSMUSG00000021210	9.388141	29845.8302972241	0.0475311841772286	0.0946454868410343	0.502202331708236	0.615525202931256	0.804219842143975	False	not_deg	Akr1c6	83702	False	0.0475311841772286	36.0
ENSMUSG00000003617	9.384251	35571.4400502103	0.339856356418529	0.0920315462157969	3.69282458453571	0.0002217770051381	0.0070278668739347	False	not_deg	Cp	12870	False	0.339856356418529	37.0
ENSMUSG00000028967	9.373455	23700.5397187948	0.176966216937859	0.166216335266966	1.06467403852712	0.287023462314238	0.539752766499765	False	not_deg	Errfi1	74155	False	0.176966216937859	38.0
ENSMUSG00000056973	9.110765	15754.0056059033	-0.367265563980206	0.171494626791602	-2.14155726538594	0.0322291256937376	0.155169148186523	False	not_deg	Ces1d	104158	False	0.367265563980206	39.0
ENSMUSG00000030359	9.110272	145557.894392395	0.106663557687183	0.0840979612142926	1.26832513115735	0.204681865972228	0.448766541114977	False	not_deg	Pzp	11287	False	0.106663557687183	40.0
ENSMUSG00000016194	9.024848	21848.97533826	0.0671333223247326	0.0757526993617841	0.886216899071984	0.375500659017774	0.622572161332443	False	not_deg	Hsd11b1	15483	False	0.0671333223247326	41.0
ENSMUSG00000010064	8.999896	33096.5977762363	-0.25362350486447	0.130653157534512	-1.94119690369883	0.0522343985526686	0.205810506109433	False	not_deg	Slc38a3	76257	False	0.25362350486447	42.0
ENSMUSG00000021477	8.954167	21605.5888724564	0.338346913046996	0.0988001846873008	3.4245574956955	0.0006158015270161	0.013901841332851	False	not_deg	Ctsl	13039	False	0.338346913046996	43.0
ENSMUSG00000030934	8.935235	17984.7890200378	-0.425193855875848	0.140320218925078	-3.03016813352375	0.0024441763291292	0.0333796850311726	False	not_deg	Oat	18242	False	0.425193855875848	44.0
ENSMUSG00000020538	8.825794	5829.08755405255	0.250707461663665	0.245835029327867	1.01981992700194	0.307813870711656	0.560292623722781	False	not_deg	Srebf1	20787	False	0.250707461663665	45.0
ENSMUSG00000020532	8.802584	7099.67465153623	0.728274247167128	0.215040344967394	3.38668656468885	0.0007074215881701	0.0153232888819837	False	not_deg	Acaca	107476	False	0.728274247167128	46.0
ENSMUSG00000059481	8.719338	64416.2344474818	0.145654606647135	0.0892785901827095	1.63146176870683	0.102792920534381	0.30392340431985	False	not_deg	Plg	18815	False	0.145654606647135	47.0
ENSMUSG00000026385	8.693992	27925.2079568889	0.263410655364477	0.144567094973727	1.82206507927927	0.0684451115663511	0.239615544276799	False	not_deg	Dbi	13167	False	0.263410655364477	48.0
