library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
panglao	7	panglao_Mast_cells	/	8	343	140	4072	0.9145868380700106	0.67838400666389	ENSMUSG00000004267,ENSMUSG00000010830,ENSMUSG00000027221,ENSMUSG00000027230,ENSMUSG00000029123,ENSMUSG00000038665,ENSMUSG00000070547,ENSMUSG00000074109	0.9724720809858342
panglao	7	panglao_Macrophages	/	7	343	133	4072	0.9406115975275566	0.6248273745588461	ENSMUSG00000000318,ENSMUSG00000030144,ENSMUSG00000030427,ENSMUSG00000031779,ENSMUSG00000037944,ENSMUSG00000040950,ENSMUSG00000049307	0.9876421774039346
panglao	7	panglao_Endothelial_cells	/	10	343	185	4072	0.9575579296434256	0.6417146008982744	ENSMUSG00000024529,ENSMUSG00000026582,ENSMUSG00000027221,ENSMUSG00000030235,ENSMUSG00000031377,ENSMUSG00000031734,ENSMUSG00000038402,ENSMUSG00000060177,ENSMUSG00000063903,ENSMUSG00000090084	0.9930230381487376
panglao	7	panglao_Platelets	/	4	343	115	4072	0.990312458789656	0.4129293953606287	ENSMUSG00000016255,ENSMUSG00000046186,ENSMUSG00000047898,ENSMUSG00000053310	0.9996436917325459
panglao	7	panglao_Fibroblasts	/	5	343	159	4072	0.9982142548723942	0.37332453196912185	ENSMUSG00000003545,ENSMUSG00000003665,ENSMUSG00000006675,ENSMUSG00000020218,ENSMUSG00000024529	0.9996436917325459
panglao	7	panglao_Hepatocytes	/	4	343	162	4072	0.9996436917325459	0.29312889176834755	ENSMUSG00000046058,ENSMUSG00000070419,ENSMUSG00000074139,ENSMUSG00000094559	0.9996436917325459
panglao	8	panglao_Paneth_cells	/	15	48	67	4072	2.4229786299221785e-16	18.992537313432834	ENSMUSG00000060070,ENSMUSG00000061845,ENSMUSG00000061958,ENSMUSG00000063206,ENSMUSG00000074434,ENSMUSG00000074440,ENSMUSG00000074442,ENSMUSG00000074444,ENSMUSG00000079114,ENSMUSG00000079116,ENSMUSG00000079120,ENSMUSG00000082211,ENSMUSG00000094687,ENSMUSG00000094818,ENSMUSG00000095066	1.2114893149610893e-15
panglao	8	panglao_Neutrophils	/	15	48	89	4072	2.2548663355897097e-14	14.297752808988763	ENSMUSG00000060070,ENSMUSG00000061845,ENSMUSG00000061958,ENSMUSG00000063206,ENSMUSG00000074434,ENSMUSG00000074440,ENSMUSG00000074442,ENSMUSG00000074444,ENSMUSG00000079114,ENSMUSG00000079116,ENSMUSG00000079120,ENSMUSG00000082211,ENSMUSG00000094687,ENSMUSG00000094818,ENSMUSG00000095066	5.637165838974274e-14
panglao	8	panglao_Spermatocytes	/	6	48	33	4072	1.6944849646210074e-06	15.424242424242424	ENSMUSG00000026182,ENSMUSG00000071788,ENSMUSG00000080725,ENSMUSG00000093923,ENSMUSG00000093993,ENSMUSG00000096620	2.8241416077016787e-06
panglao	8	panglao_B_cells_memory	/	4	48	64	4072	0.006434177856515676	5.302083333333333	ENSMUSG00000095498,ENSMUSG00000100549,ENSMUSG00000100713,ENSMUSG00000101252	0.008042722320644595
