gene_cluster	gene
0	ENSMUSG00000031079
0	ENSMUSG00000031103
0	ENSMUSG00000031105
0	ENSMUSG00000031155
0	ENSMUSG00000031165
0	ENSMUSG00000031169
0	ENSMUSG00000031174
0	ENSMUSG00000031209
0	ENSMUSG00000031220
0	ENSMUSG00000031227
0	ENSMUSG00000031258
0	ENSMUSG00000031298
0	ENSMUSG00000031304
0	ENSMUSG00000031342
0	ENSMUSG00000031387
0	ENSMUSG00000031425
0	ENSMUSG00000031458
0	ENSMUSG00000031465
0	ENSMUSG00000031478
0	ENSMUSG00000031492
0	ENSMUSG00000031517
0	ENSMUSG00000031520
0	ENSMUSG00000031539
0	ENSMUSG00000031595
0	ENSMUSG00000031608
0	ENSMUSG00000031609
0	ENSMUSG00000031709
0	ENSMUSG00000031712
0	ENSMUSG00000031728
0	ENSMUSG00000031740
0	ENSMUSG00000031749
0	ENSMUSG00000031750
0	ENSMUSG00000031755
0	ENSMUSG00000031766
0	ENSMUSG00000031785
0	ENSMUSG00000031789
0	ENSMUSG00000031803
0	ENSMUSG00000031821
0	ENSMUSG00000031828
0	ENSMUSG00000031840
0	ENSMUSG00000031841
0	ENSMUSG00000031843
0	ENSMUSG00000031906
0	ENSMUSG00000031907
0	ENSMUSG00000031910
0	ENSMUSG00000031963
0	ENSMUSG00000031990
0	ENSMUSG00000031998
0	ENSMUSG00000032011
0	ENSMUSG00000032017
0	ENSMUSG00000032020
0	ENSMUSG00000032068
0	ENSMUSG00000032089
0	ENSMUSG00000032094
0	ENSMUSG00000032121
0	ENSMUSG00000032122
0	ENSMUSG00000032177
0	ENSMUSG00000032186
0	ENSMUSG00000032202
0	ENSMUSG00000032245
0	ENSMUSG00000032246
0	ENSMUSG00000032251
0	ENSMUSG00000032254
0	ENSMUSG00000032289
0	ENSMUSG00000032298
0	ENSMUSG00000032323
0	ENSMUSG00000032333
0	ENSMUSG00000032355
0	ENSMUSG00000032356
0	ENSMUSG00000032431
0	ENSMUSG00000032436
0	ENSMUSG00000032470
0	ENSMUSG00000032473
0	ENSMUSG00000032477
0	ENSMUSG00000032482
0	ENSMUSG00000032503
0	ENSMUSG00000032577
0	ENSMUSG00000032593
0	ENSMUSG00000032598
0	ENSMUSG00000032641
0	ENSMUSG00000032649
0	ENSMUSG00000032656
0	ENSMUSG00000032661
0	ENSMUSG00000032690
0	ENSMUSG00000032698
0	ENSMUSG00000032714
0	ENSMUSG00000032718
0	ENSMUSG00000032744
0	ENSMUSG00000032806
0	ENSMUSG00000032815
0	ENSMUSG00000032816
0	ENSMUSG00000032841
0	ENSMUSG00000032864
0	ENSMUSG00000032892
0	ENSMUSG00000032899
0	ENSMUSG00000032985
0	ENSMUSG00000033031
