gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000024976	1.2029616	-0.7194053	0.0041908687	0.44783553	0.0008427659	0.02497178	-0.74335575	0.038461022	-0.19546746	-0.77914613	-0.3346567	-0.59795475	-0.56285506	0.78252965	0.6387864	0.48750266
ENSMUSG00000086545	1.2661624	-0.7172713	0.015787628	0.60278744	0.0017841663	0.03481786	-0.6715079	0.054900642	-0.23891343	-0.8402489	-0.101815306	-0.54948515	-0.5429151	0.5001971	0.6030584	0.8899267
ENSMUSG00000022385	1.2660433	-0.71732634	0.015570178	0.60120386	0.001779458	0.034694694	-0.6727117	0.05470105	-0.23840514	-0.8396686	-0.1052602	-0.55020314	-0.5431465	0.5042161	0.60410833	0.88494086
ENSMUSG00000039114	0.90356934	-0.6798078	-0.014693856	0.09731637	-0.0017317655	0.008114973	-0.7998847	0.008388823	-0.11055654	-0.51357627	-0.5869115	-0.6327723	-0.55471325	1.1866318	0.5976189	-0.25466362
ENSMUSG00000028114	1.2600615	-0.71878093	0.013833663	0.5783397	0.0016952492	0.033133384	-0.68646884	0.05208594	-0.23173502	-0.83214396	-0.14774187	-0.5594318	-0.54758143	0.55036384	0.61158675	0.82342076
ENSMUSG00000080468	1.2661569	-0.7172731	0.015786827	0.6027695	0.0017840862	0.034816667	-0.67151827	0.054898657	-0.23890832	-0.84024364	-0.10184832	-0.5494926	-0.5429195	0.5002297	0.60306174	0.889882
ENSMUSG00000029254	1.2563723	-0.71889806	0.011333224	0.55896205	0.0015991763	0.03180682	-0.6986324	0.04988926	-0.22553629	-0.82472616	-0.18319228	-0.5667012	-0.5500403	0.59459364	0.6220255	0.76665556
ENSMUSG00000030079	1.2712783	-0.71500343	0.008016887	0.5737068	0.0016776007	0.032195613	-0.6984679	0.05084326	-0.2279508	-0.82601255	-0.17270496	-0.5628012	-0.5425636	0.5993072	0.63999	0.77450585
ENSMUSG00000090383	1.2659041	-0.7173459	0.015821304	0.602373	0.0017826846	0.03479714	-0.6716438	0.05486178	-0.23882285	-0.8401663	-0.10239365	-0.5496351	-0.5430654	0.5005612	0.6028727	0.88924456
ENSMUSG00000031390	1.266151	-0.7172819	0.015716862	0.6023351	0.0017825365	0.034782596	-0.671867	0.054843877	-0.23876205	-0.84007967	-0.10281876	-0.54969233	-0.54297656	0.50139683	0.6033987	0.88846517
ENSMUSG00000017631	1.2617224	-0.71835625	0.013515375	0.580217	0.0017057615	0.03319005	-0.68625075	0.05222122	-0.23200049	-0.83241415	-0.14591588	-0.55888313	-0.5468028	0.550034	0.61330366	0.8253625
ENSMUSG00000026937	1.2661852	-0.7172654	0.015777748	0.6027828	0.0017841528	0.034816407	-0.67152965	0.054898795	-0.23890758	-0.8402403	-0.10185796	-0.5494911	-0.5429067	0.50027823	0.60310835	0.88984954
ENSMUSG00000083649	1.2665583	-0.7171845	0.015412525	0.60149866	0.0017804438	0.03469897	-0.6728639	0.054715887	-0.23840284	-0.83963656	-0.10526241	-0.5501402	-0.54291785	0.5049044	0.6049029	0.884603
ENSMUSG00000029571	0.83135974	-0.6533277	-0.024942968	0.027954562	-0.0013339797	0.006411951	-0.80500007	0.0027739964	-0.09290775	-0.40435028	-0.61592287	-0.62696713	-0.5343029	1.2720356	0.6026292	-0.37282494
ENSMUSG00000027193	1.1878164	-0.7040028	-0.011680557	0.3937897	0.0001758216	0.021509109	-0.770089	0.032837648	-0.17868699	-0.7353226	-0.4088077	-0.6065233	-0.54804355	0.939751	0.6961406	0.28212738
ENSMUSG00000097471	1.2659261	-0.71735656	0.015633225	0.6013007	0.0017789607	0.034710474	-0.6725335	0.054723866	-0.23845144	-0.83974934	-0.104838856	-0.5501336	-0.54319197	0.50355387	0.6037807	0.88564587
ENSMUSG00000042529	1.263283	-0.7180737	0.016353708	0.59931314	0.0017761416	0.034671318	-0.6720947	0.054602697	-0.2382728	-0.83975816	-0.10568194	-0.55062354	-0.5444467	0.50113875	0.60006	0.8860824
ENSMUSG00000043439	1.2701964	-0.7161897	0.0141377365	0.602624	0.0017888052	0.03460832	-0.6748211	0.05464526	-0.23813894	-0.8389359	-0.10797116	-0.5502278	-0.54128397	0.51295716	0.61144793	0.87818795
ENSMUSG00000042626	1.2537236	-0.70461273	-0.010164987	0.4848472	0.0010344572	0.025803478	-0.750496	0.040543724	-0.19912304	-0.77763677	-0.3241163	-0.58931524	-0.5382331	0.8340889	0.712021	0.47295076
ENSMUSG00000020988	1.2119857	-0.70599324	-0.009932526	0.42773786	0.0005080532	0.023150595	-0.7624251	0.035770297	-0.1863904	-0.7539067	-0.3774202	-0.6009424	-0.54694164	0.8941939	0.69744116	0.36068067
ENSMUSG00000068735	1.2688868	-0.716401	0.011653782	0.58612347	0.0017276937	0.033322576	-0.6870182	0.0525844	-0.23266788	-0.8325613	-0.14278157	-0.55737233	-0.54331607	0.55531365	0.6230041	0.8256412
ENSMUSG00000063888	1.2734072	-0.6916154	-0.022257214	0.4854317	0.000910677	0.02531466	-0.76213455	0.03994571	-0.19483581	-0.7639986	-0.34271762	-0.5874407	-0.5209254	0.907369	0.7661522	0.4031276
ENSMUSG00000031736	1.2660861	-0.7172962	0.015766807	0.60248077	0.0017832061	0.034797214	-0.6716981	0.054865625	-0.23882437	-0.8401539	-0.10240168	-0.54961437	-0.5429823	0.50080836	0.6031519	0.8891158
ENSMUSG00000061387	1.2658055	-0.7173825	0.015738726	0.60164785	0.0017801295	0.034745526	-0.6721564	0.054775752	-0.23859826	-0.8399173	-0.103889406	-0.5499526	-0.54319096	0.50225115	0.6032627	0.88710934
ENSMUSG00000040498	1.2662543	-0.7172762	0.0154270185	0.60085034	0.0017776778	0.034657165	-0.67315817	0.054646708	-0.23823577	-0.8394759	-0.10631973	-0.5503964	-0.5431191	0.50578	0.60480744	0.8832553
ENSMUSG00000059820	1.2527229	-0.71974224	0.011980037	0.55487925	0.001583756	0.031594533	-0.69926983	0.049496178	-0.22497478	-0.8238812	-0.18784906	-0.56799114	-0.55143046	0.5962782	0.6187301	0.76089376
ENSMUSG00000034488	1.265731	-0.71739846	0.015811287	0.60190094	0.0017812252	0.03476775	-0.6718932	0.054810707	-0.23869553	-0.84003615	-0.10321929	-0.5498251	-0.5431902	0.5013367	0.60290533	0.88814443
ENSMUSG00000052299	1.1670339	-0.7200861	0.00404949	0.39870295	0.00038084108	0.022440886	-0.75439686	0.034148827	-0.18393628	-0.7581573	-0.38158754	-0.6079217	-0.5691794	0.8366541	0.6281857	0.38729572
ENSMUSG00000028459	1.2664942	-0.71723825	0.014437853	0.5957129	0.001761084	0.034232207	-0.67750955	0.053971004	-0.23645456	-0.8373641	-0.118211046	-0.5527757	-0.5435681	0.52077526	0.6095794	0.8653094
