gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
8	789	high	15	MHU-8_HGC10	2	7880.982421875	3.619696855545044
8	789	high	16	RRRM-2_FL_ISS_10	2	7879.859375	3.619002342224121
8	789	high	17	MHU-8_FLT12	2	7780.654296875	3.557666540145874
8	789	high	18	MHU-8_HGC02	2	7768.4716796875	3.5501344203948975
8	789	high	19	MHU-8_FLT03	2	7756.84033203125	3.542943000793457
8	789	high	20	RRRM-2_BL_LAR_01	2	7692.98095703125	3.50346040725708
8	789	low	1	EU190	1	26.640050888061523	-1.2364330291748047
8	789	low	2	A1402_2JR - CAPE17	1	29.617237091064453	-1.234592318534851
8	789	low	3	RR-10_VIV-07	1	166.35360717773438	-1.1500518321990967
8	789	low	4	A1402_3AL - GAMMA10	1	205.95184326171875	-1.1255693435668945
8	789	low	5	control_8w_3	1	206.60202026367188	-1.1251672506332397
8	789	low	6	RR-10_VIV-21	1	222.4093780517578	-1.1153939962387085
8	789	low	7	MMS_3d_3	1	232.2230682373047	-1.1093264818191528
8	789	low	8	MMS_1d_2	1	232.61976623535156	-1.1090812683105469
8	789	low	9	EU183	1	236.15716552734375	-1.1068941354751587
8	789	low	10	RR-4_NSG5-W	1	238.44740295410156	-1.1054781675338745
8	789	low	11	control_10w_1	1	244.4119110107422	-1.101790428161621
8	789	low	12	control_8w_1	1	259.87451171875	-1.0922303199768066
8	789	low	13	RR-10_BL-18	1	260.9036865234375	-1.0915939807891846
8	789	low	14	control_10w_2	1	261.94549560546875	-1.0909498929977417
8	789	low	15	EU191	1	274.0126647949219	-1.0834890604019165
8	789	low	16	MMS_14d_1	1	275.6552734375	-1.0824735164642334
8	789	low	17	A1402_4HL - CAPEg5	1	279.05450439453125	-1.0803718566894531
8	789	low	18	RR-4_NSF6-W	1	286.2230529785156	-1.0759397745132446
8	789	low	19	MMS_14d_2	1	287.1685791015625	-1.0753551721572876
8	789	low	20	A1402_1DL - SHAM20	1	291.5931701660156	-1.0726195573806763
0	263	high	1	M55	1	86083.28125	6.278217315673828
0	263	high	2	M44	1	75654.078125	5.434329032897949
0	263	high	3	M45	1	64083.40625	4.498077392578125
0	263	high	4	RR1_BSL_M10	2	62778.4609375	4.392486572265625
0	263	high	5	RR1_VIV_M18	2	59004.0234375	4.087074279785156
0	263	high	6	RR1_VIV_M16	2	56086.01953125	3.850961446762085
0	263	high	7	RR1_VIV_M17	2	54450.9765625	3.718660354614258
0	263	high	8	BL_ISS_08	1	52716.828125	3.5783402919769287
0	263	high	9	HC_LAR_15	1	52553.54296875	3.5651278495788574
0	263	high	10	RR1_BSL_M4	2	51901.421875	3.5123608112335205
0	263	high	11	RR1_BSL_M7	2	51540.6875	3.4831717014312744
0	263	high	12	VC_ISS_19	1	51263.6953125	3.460758686065674
0	263	high	13	RR1_VIV_M20	2	51200.0234375	3.455606460571289
0	263	high	14	HC_ISS_19	1	50729.4375	3.4175286293029785
0	263	high	15	RR1_BSL_M5	2	50357.34375	3.387420415878296
0	263	high	16	M70	2	50139.47265625	3.369791030883789
0	263	high	17	RR1_BSL_M8	2	49792.7890625	3.3417389392852783
0	263	high	18	BL_ISS_03	1	49481.109375	3.316519021987915
0	263	high	19	VC_ISS_08	1	47904.02734375	3.188908100128174
0	263	high	20	FL_ISS_07	1	47230.14453125	3.1343801021575928
0	263	low	1	EU190	1	6.007604598999023	-0.6868042945861816
0	263	low	2	A1402_2JR - CAPE17	1	10.646388053894043	-0.6864289045333862
0	263	low	3	EU183	1	35.45627212524414	-0.6844214200973511
0	263	low	4	EU226	1	37.3307991027832	-0.6842697262763977
0	263	low	5	EU230	1	39.935359954833984	-0.6840589642524719
0	263	low	6	EU191	1	49.235740661621094	-0.6833064556121826
0	263	low	7	EU181	1	54.828895568847656	-0.6828538775444031
0	263	low	8	EU231	1	58.34220504760742	-0.6825696229934692
0	263	low	9	MMS_3d_3	1	60.19391632080078	-0.6824197173118591
0	263	low	10	A1402_3AL - GAMMA10	1	60.34600830078125	-0.6824074983596802
0	263	low	11	EU189	1	65.2775650024414	-0.6820084452629089
0	263	low	12	EU228	1	67.42205047607422	-0.681834876537323
0	263	low	13	EU236	1	68.52851867675781	-0.6817453503608704
0	263	low	14	EU184	1	68.72623443603516	-0.6817293167114258
0	263	low	15	control_8w_1	1	69.794677734375	-0.6816428899765015
0	263	low	16	control_10w_1	1	72.36882019042969	-0.6814345717430115
0	263	low	17	MMS_1d_2	1	73.33079528808594	-0.6813567280769348
0	263	low	18	EU192	1	73.41064453125	-0.6813502907752991
0	263	low	19	MMS_14d_1	1	73.7224349975586	-0.6813250780105591
0	263	low	20	control_8w_3	1	73.73384094238281	-0.6813241839408875
6	417	high	1	RRRM-2_BL_LAR_01	2	43386.01953125	9.42889404296875
6	417	high	2	GCRerun_26	1	32704.458984375	6.925726413726807
6	417	high	3	GCRerun_27	1	27784.865234375	5.772845268249512
6	417	high	4	GCRerun_34	1	27568.99609375	5.722257614135742
6	417	high	5	GCRerun_20	1	26327.259765625	5.431262969970703
6	417	high	6	GCRerun_28	1	26228.021484375	5.4080071449279785
6	417	high	7	GCRerun_25	1	23984.029296875	4.882139205932617
6	417	high	8	GCRerun_21	1	23926.224609375	4.868593215942383
6	417	high	9	GCRerun_07	1	23739.26953125	4.8247809410095215
6	417	high	10	GCRerun_08	1	23463.43359375	4.760140419006348
6	417	high	11	GCRerun_01	1	23422.970703125	4.75065803527832
6	417	high	12	GCRerun_04	1	22920.814453125	4.6329803466796875
6	417	high	13	GCRerun_31	1	22660.638671875	4.572009563446045
6	417	high	14	GCRerun_12	1	21484.064453125	4.296285629272461
6	417	high	15	GCRerun_19	1	20807.41015625	4.137714862823486
6	417	high	16	GCRerun_06	1	20109.59375	3.9741854667663574
6	417	high	17	GCRerun_23	1	19939.390625	3.9342992305755615
6	417	high	18	GCRerun_24	1	19916.25390625	3.928877353668213
6	417	high	19	GCRerun_32	1	19282.662109375	3.780398368835449
6	417	high	20	GCRerun_35	1	19077.50390625	3.732320547103882
6	417	low	1	A1402_2JR - CAPE17	1	17.045562744140625	-0.734398365020752
6	417	low	2	EU190	1	19.66666603088379	-0.7337841391563416
6	417	low	3	A1402_3AL - GAMMA10	1	99.95443725585938	-0.7149691581726074
6	417	low	4	MMS_3d_3	1	100.36211395263672	-0.7148736119270325
6	417	low	5	EU183	1	114.38609313964844	-0.7115871906280518
6	417	low	6	EU231	1	120.50599670410156	-0.7101529836654663
6	417	low	7	control_8w_3	1	120.7553939819336	-0.7100945711135864
6	417	low	8	MMS_1d_2	1	125.2446060180664	-0.7090425491333008
6	417	low	9	control_8w_1	1	125.553955078125	-0.7089700102806091
6	417	low	10	MMS_14d_1	1	126.3836898803711	-0.7087755799293518
6	417	low	11	control_10w_1	1	127.39807891845703	-0.7085378766059875
6	417	low	12	EU230	1	131.0023956298828	-0.7076932191848755
6	417	low	13	MMS_14d_2	1	136.91127014160156	-0.7063084840774536
6	417	low	14	MMS_3d_1	1	139.2997589111328	-0.7057487964630127
6	417	low	15	RR-4_NSG5-W	1	140.02157592773438	-0.7055796384811401
6	417	low	16	MMS_3d_2	1	141.67385864257812	-0.7051924467086792
6	417	low	17	control_10w_2	1	144.93045043945312	-0.7044292688369751
6	417	low	18	EU236	1	145.70263671875	-0.704248309135437
6	417	low	19	MHU4_PG1	1	150.6690673828125	-0.7030844688415527
6	417	low	20	MMS_1d_3	1	150.90167236328125	-0.7030299305915833
