gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
8	789	low	1	OSD-955	273.0671691894531	-0.9377738350210152
8	789	low	2	OSD-289	361.8181457519531	-0.9008904089777541
8	789	low	3	OSD-719	362.4035949707031	-0.9006471060441054
8	789	low	4	OSD-420	362.9957275390625	-0.9004010256217957
8	789	low	5	OSD-421	446.9500427246094	-0.8655110120682196
8	789	low	6	OSD-288	458.84564208984375	-0.8605673993168836
8	789	low	7	OSD-318	463.7607727050781	-0.8585247529871016
8	789	low	8	OSD-141	487.8238830566406	-0.8485245255485035
8	789	low	9	OSD-426	561.7628784179688	-0.8177967119204238
8	789	low	10	OSD-881	565.4636840820312	-0.8162587187929363
8	789	low	11	OSD-419	578.3556518554688	-0.8109010319443997
8	789	low	12	OSD-714	582.9885864257812	-0.8089756615856064
8	789	low	13	OSD-825	654.0413208007812	-0.7794473298985036
8	789	low	14	OSD-686	655.6677856445312	-0.7787713982287922
8	789	low	15	OSD-720	666.0637817382812	-0.7744509955929988
8	789	low	16	OSD-294	689.324951171875	-0.7647840414285053
8	789	low	17	OSD-322	700.6640625	-0.7600716958266214
8	789	low	18	OSD-899	705.6375732421875	-0.7580047876894962
8	789	low	19	OSD-876	726.4397583007812	-0.7493597464306369
8	789	low	20	OSD-201	731.4243774414062	-0.7472882218283402
10	807	high	1	OSD-613	13932.6806640625	5.3725310020989365
10	807	high	2	OSD-352	11523.8193359375	4.327017806550601
10	807	high	3	OSD-612	9991.37890625	3.661895795613946
10	807	high	4	OSD-758	8190.51513671875	2.880270547017595
10	807	high	5	OSD-564	8050.93115234375	2.819687193444117
10	807	high	6	OSD-563	6052.8046875	1.9524444173750737
10	807	high	7	OSD-194	5869.28466796875	1.8727915955928587
10	807	high	8	OSD-562	4586.70166015625	1.3161146946033728
10	807	high	9	OSD-525	4321.99609375	1.2012250746067545
10	807	high	10	OSD-202	3778.197998046875	0.9652014902959806
10	807	high	11	OSD-100	3760.4052734375	0.9574789501286979
10	807	high	12	OSD-759	3119.466552734375	0.6792936174119394
10	807	high	13	OSD-561	3101.6484375	0.6715600570031963
10	807	high	14	OSD-162	2887.9462890625	0.5788073470402917
10	807	high	15	OSD-161	2763.808349609375	0.5249280090098845
10	807	high	16	OSD-397	2712.361083984375	0.502598456678333
10	807	high	17	OSD-98	2470.605224609375	0.39766965146793437
10	807	high	18	OSD-512	2346.903076171875	0.3439794589279785
10	807	high	19	OSD-99	2090.4638671875	0.23267766927376368
10	807	high	20	OSD-274	1765.1800537109375	0.09149539559230344
10	807	low	1	OSD-420	112.80873107910156	-0.6256799775131064
10	807	low	2	OSD-421	134.05838012695312	-0.6164570354446259
10	807	low	3	OSD-294	177.7566375732422	-0.5974907694129796
10	807	low	4	OSD-322	184.45555114746097	-0.5945832535440047
10	807	low	5	OSD-289	196.88888549804688	-0.5891868386585035
10	807	low	6	OSD-686	205.56202697753903	-0.5854224526567884
10	807	low	7	OSD-318	221.15451049804688	-0.578654878665823
10	807	low	8	OSD-419	224.13970947265625	-0.5773592188107491
10	807	low	9	OSD-955	229.9717712402344	-0.5748279408728855
10	807	low	10	OSD-173	232.8306427001953	-0.5735871106927222
10	807	low	11	OSD-141	253.6964111328125	-0.5645307835489186
10	807	low	12	OSD-242	255.4527282714844	-0.5637684927841453
10	807	low	13	OSD-48	257.4605407714844	-0.5628970459978869
10	807	low	14	OSD-288	257.7374267578125	-0.5627768697349411
10	807	low	15	OSD-426	261.2796630859375	-0.5612394400873458
10	807	low	16	OSD-235	272.29840087890625	-0.5564569996760487
10	807	low	17	OSD-719	275.7134094238281	-0.5549747904450983
10	807	low	18	OSD-899	299.6590881347656	-0.5445816960912058
10	807	low	19	OSD-47	314.7482604980469	-0.5380325732207775
10	807	low	20	OSD-379	317.9712829589844	-0.5366336913203894
13	122	high	1	OSD-236	303443.5	4.117523001002101
13	122	high	2	OSD-99	258272.046875	3.368370237212802
13	122	high	3	OSD-666	238233.046875	3.036030425340218
13	122	high	4	OSD-274	218555.75	2.709689333389597
13	122	high	5	OSD-665	194959.1875	2.318348590733293
13	122	high	6	OSD-105	189485.890625	2.227575874841267
13	122	high	7	OSD-101	187415.015625	2.1932311366850894
13	122	high	8	OSD-103	185919.609375	2.1684303466357813
13	122	high	9	OSD-576	183194.359375	2.123233027792238
13	122	high	10	OSD-104	166934.59375	1.8535704972814935
13	122	high	11	OSD-326	147713.34375	1.534792783375814
13	122	high	12	OSD-295	131948.25	1.2733342130365426
13	122	high	13	OSD-759	123010.015625	1.125096719615685
13	122	high	14	OSD-770	113811.1796875	0.9725372403544682
13	122	high	15	OSD-463	112997.7265625	0.9590464045577884
13	122	high	16	OSD-270	106760.0	0.8555958894475598
13	122	high	17	OSD-401	105275.8359375	0.8309815471490768
13	122	high	18	OSD-935	99465.0078125	0.7346109934344991
13	122	high	19	OSD-273	95058.1484375	0.6615247707868402
13	122	high	20	OSD-168	86699.984375	0.5229075407787838
13	122	low	1	OSD-308	817.213134765625	-0.9014282063680646
13	122	low	2	OSD-901	1593.6719970703125	-0.8885509074896206
13	122	low	3	OSD-289	2813.72216796875	-0.8683168017821751
13	122	low	4	OSD-318	3666.8212890625	-0.8541684509955607
13	122	low	5	OSD-421	4165.61328125	-0.84589616012041
13	122	low	6	OSD-141	4209.69189453125	-0.8451651317235092
13	122	low	7	OSD-288	4815.5810546875	-0.8351166717453683
13	122	low	8	OSD-202	5568.0693359375	-0.8226369165765999
13	122	low	9	OSD-420	5687.6220703125	-0.8206541762576698
