library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	0	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	3	132	87	5218	0.3785903851509285	1.3631138975966564	ENSMUSG00000010064,ENSMUSG00000022464,ENSMUSG00000031596	0.4857386073634555
reactome	0	REACTOME_DIABETES_PATHWAYS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_DIABETES_PATHWAYS	4	132	132	5218	0.43015135468130483	1.1978879706152434	ENSMUSG00000017493,ENSMUSG00000027249,ENSMUSG00000027792,ENSMUSG00000059481	0.5416720762653469
reactome	0	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	4	132	166	5218	0.6108799823593738	0.9525374224169406	ENSMUSG00000022875,ENSMUSG00000026874,ENSMUSG00000031980,ENSMUSG00000042770	0.7552697963715894
reactome	0	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	9	132	382	5218	0.6382034398541117	0.9313422179914326	ENSMUSG00000003617,ENSMUSG00000010064,ENSMUSG00000022464,ENSMUSG00000025194,ENSMUSG00000030236,ENSMUSG00000031596,ENSMUSG00000032083,ENSMUSG00000032204,ENSMUSG00000044749	0.7749613198228499
reactome	0	REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	4	132	181	5218	0.6786958573107065	0.8735978570232714	ENSMUSG00000020122,ENSMUSG00000022875,ENSMUSG00000027249,ENSMUSG00000031980	0.802012837884337
reactome	0	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	5	132	226	5218	0.6840697734895815	0.8745642263341379	ENSMUSG00000003617,ENSMUSG00000010064,ENSMUSG00000022464,ENSMUSG00000030236,ENSMUSG00000031596	0.802012837884337
reactome	0	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	3	132	153	5218	0.7503401805152432	0.7751039809863339	ENSMUSG00000027249,ENSMUSG00000031444,ENSMUSG00000031445	0.854347057218366
reactome	0	REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	5	132	246	5218	0.7538356387220877	0.8034614437053461	ENSMUSG00000022875,ENSMUSG00000026874,ENSMUSG00000027249,ENSMUSG00000031980,ENSMUSG00000042770	0.854347057218366
reactome	0	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	3	132	160	5218	0.7770409832121955	0.7411931818181818	ENSMUSG00000022875,ENSMUSG00000027249,ENSMUSG00000031980	0.8662096206299884
reactome	0	REACTOME_PHOSPHOLIPID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHOSPHOLIPID_METABOLISM	3	132	177	5218	0.8322842561135007	0.6700051361068311	ENSMUSG00000000301,ENSMUSG00000025137,ENSMUSG00000070644	0.9128278938019039
