_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,1,1,0,0,0,0,-4.7,-5.6,PGB:00039,M000011,2,0,PaGenBase,36,Tissue-specific: uterus,,-5.6,4.1,6,17423,37,1604,14,0.87,0.23,11687|13345|13371|14632|15484|17701|18667|20292|22264|56089|68553|107376|216643|242125,Alox15|Twist2|Dio2|Gli1|Hsd11b2|Msx1|Pgr|Ccl11|Prap1|Ramp3|Col6a4|E330013P04Rik|Gabrp|Mab21l3,-4,0
0,0,0,0,1,1,0,0,0,0,-4.1,-5,PGB:00035,M000011,2,0,PaGenBase,36,Tissue-specific: ovary,,-5,2.2,4.9,17423,169,1604,34,2.1,0.36,12814|13075|13380|13983|15427|15485|16846|20379|23968|26564|50786|67749|70861|73708|75568|75753|93884|94180|97402|98582|105349|110648|194227|226265|229277|233001|243874|244954|246729|268527|320082|320181|330490|768252,Col11a1|Cyp19a1|Dkk1|Esr2|Hoxc9|Hsd17b1|Lep|Sfrp4|Nlrp5|Ror2|Hs6st2|Mgarp|Akr1cl|Dppa3|Capsl|Klf17|Pcdhb13|Acsbg1|Misfadt|Khdc1b|Akr1c18|Lmx1a|Pramel25|Eno4|Stoml3|Nlrp9a|Nlrp9b|Prss35|Oas1h|Greb1|Fbxw21|Fndc7|Nlrp9c|Foxl2os,-3.4,0
0,0,0,1,0,1,0,0,0,-4.7,0,-2.3,PGB:00228,M000101,2,0,PaGenBase,36,Tissue-specific: cornea,,-4.7,11,7.3,17423,37,267,6,2.2,0.91,11670|57277|68468|70405|71740|71874,Aldh3a1|Slurp1|Ly6g6c|Calml3|Nectin4|Mab21l4,-3.2,0
0,1,0,0,1,1,0,-2.2,0,0,-4.5,-3.6,PGB:00258,M010011,3,0,PaGenBase,36,Cell-specific: medial olfactory epithelium,,-4.5,1.7,4.4,17423,475,1402,64,4.6,0.56,11519|11803|12386|12652|12810|13592|14048|14545|14598|17152|17341|17386|17843|17844|17986|18378|19242|20361|20745|21689|21785|22092|22255|26414|26950|57269|58187|58226|64176|66353|68947|69539|70487|71864|72413|72685|74180|74424|75124|75533|75563|75568|93670|104271|108096|209195|213043|213262|216225|226565|228801|229277|232983|235379|243634|244484|258316|258398|258464|258964|269643|269784|320709|338417,Add2|Aplp1|Ctnna2|Chga|Coch|Ebf2|Eya1|Gdap1|Ggt1|Mak|Bhlha15|Mmp13|Mup4|Mup5|Ndp|Omp|Ptn|Sema7a|Spock1|Tekt1|Tff2|Rsph1|Uncx|Mapk10|Vsnl1|Or4e5|Cldn10|Cacna1h|Sv2b|Riiad1|Chst8|Trnp1|5730403I07Rik|Fam217a|Kcnmb2|Dnajc6|Muc5b|Tmc5|Nxnl2|Nme5|Dnali1|Capsl|Tac4|Tex15|Slco1a5|Clic6|Aox2|Fstl5|Slc5a8|Fmo6|Bpifb1|Stoml3|Cxcl17|Gldn|Ano2|Wdr17|Or4k15|Or4k45|Or2y14|Or13a26|Ppp2r2c|Cntn4|Tmem117|Scgb1c1,-3,0
0,0,0,0,1,1,0,0,0,0,-4.4,-2.7,PGB:00015,M000011,2,0,PaGenBase,36,Tissue-specific: retina,,-4.4,2.3,4.6,17423,147,1402,27,1.9,0.37,12057|12075|12788|12959|14409|16873|17116|17152|17690|18072|19023|54652|57274|58869|63859|75124|75953|77490|114889|214111|231004|234404|242607|244484|320500|574418|100038570,Opn1sw|Bfsp1|Cnga1|Cryba4|Gabrr2|Lhx5|Mab21l1|Mak|Msi1|Nhlh2|Ppef2|Cacna1f|Slc16a8|Pex5l|Impg1|Nxnl2|Samd7|Zfp593os|Vsx1|Slc24a1|Samd11|Nxnl1|Slc1a7|Wdr17|Tmem215|Serinc4|Prcd,-2.9,0
0,0,0,1,0,0,0,0,0,-4.3,0,0,PGB:00225,M000100,1,0,PaGenBase,36,Tissue-specific: tongue epidermis,,-4.3,8.9,6.5,17423,44,267,6,2.2,0.91,11686|20248|21818|68678|71869|71872,Alox12b|Serpinb3a|Tgm3|Smtnl1|Serpinb12|Aox4,-2.8,0
0,0,0,0,1,1,0,0,0,0,-4,-3.9,PGB:00262,M000011,2,0,PaGenBase,36,Cell-specific: neuro2a,,-4,2,4.3,17423,213,1402,34,2.4,0.41,12069|12287|12801|12933|13380|15569|17150|18654|19132|19222|19716|20257|20965|22652|23964|53626|54376|57737|57754|58238|67077|67749|74068|75199|76183|103098|110834|170722|225362|230157|239408|319984|328789|434759,Bex2|Cacna1b|Cnr1|Crmp1|Dkk1|Elavl2|Mfap2|Pgf|Prph|Ptgir|Bex1|Stmn2|Syn2|Mkrn3|Tenm2|Insm1|Cacng3|Rhox4b|Cend1|Fam181b|Catsperz|Mgarp|Asz1|Rhox2a|Celf6|Slc6a15|Chrna3|Nxf7|Reep2|Tmeff1|Tmem74|Jph4|Lhfpl5|Rhox4c,-2.6,0
0,0,0,0,1,1,0,0,0,0,-3.2,-3.8,PGB:00238,M000011,2,0,PaGenBase,36,Tissue-specific: adipose white,,-3.8,3.1,4.6,17423,45,1604,13,0.81,0.22,11500|16846|17057|68348|74180|75019|78076|209351|209837|224344|242642|329421|627821,Adam7|Lep|Klrb1a|Serpina1f|Muc5b|Rnase10|Lcn8|Wfdc6a|Slc38a5|Rbm11|Hpdl|Myo3b|Eddm13,-2.5,0
0,0,0,1,0,0,0,0,0,-3.7,0,0,PGB:00267,M000100,1,0,PaGenBase,36,Cell-specific: mIMCD-3,,-3.7,5.1,5.2,17423,103,267,8,3,1,12740|17349|19378|20732|22422|53868|108897|194231,Cldn4|Mlf1|Aldh1a2|Spint1|Wnt7b|Rab25|Aif1l|Cnksr1,-2.4,0
0,0,0,1,1,1,0,0,0,-3.5,-2.7,-2.6,PGB:00221,M000111,3,0,PaGenBase,36,Tissue-specific: eye,,-3.5,2.9,4.3,17423,310,267,14,5.2,1.4,11670|13510|19273|20536|21384|57277|67855|70405|71740|209294|211480|269328|269615|329941,Aldh3a1|Dsg1a|Ptpru|Slc4a3|Tbx15|Slurp1|Asprv1|Calml3|Nectin4|Csta1|Kcnj14|Muc15|Plch2|Col8a2,-2.2,0
0,0,0,0,1,1,0,0,0,0,-3.3,-3,PGB:00293,M000011,2,0,PaGenBase,36,Cell-specific: granulo mono progenitor,,-3.3,8.3,5.3,17423,6,1402,4,0.29,0.14,13371|19152|50701|170813,Dio2|Prtn3|Elane|Ms4a3,-2,0
0,0,0,0,1,1,0,0,0,0,-2.5,-3.2,PGB:00216,M000011,2,0,PaGenBase,36,Tissue-specific: dorsal root ganglion,,-3.2,2.3,3.8,17423,85,1604,18,1.1,0.26,11567|14168|14226|14805|16506|19132|20618|57780|65086|67971|68039|75276|78376|107751|171209|193034|237178|238076,Avil|Fgf13|Fkbp1b|Grik1|Kcnd1|Prph|Sncg|Fxyd7|Lpar3|Tppp3|Nmb|Ppp1r1c|Sapcd1|Drgx|Asic3|Trpv1|Ppef1|Kcns3,-2,0
0,1,1,1,0,0,0,-3,-3.1,-2.3,0,0,PGB:00007,M011100,3,0,PaGenBase,36,Tissue-specific: adipose tissue,,-3.1,6.8,5,17423,46,278,5,1.8,0.8,11770|16625|18113|26874|76933,Fabp4|Serpina3c|Nnmt|Abcd2|Ifi27l2a,-1.9,0
0,1,0,0,0,0,0,-2.9,0,0,0,0,PGB:00215,M010000,1,0,PaGenBase,36,Tissue-specific: bladder,,-2.9,6.2,4.7,17423,48,291,5,1.7,0.76,12797|22268|53318|93689|230824,Cnn1|Upk1b|Pdlim3|Lmod1|Grhl3,-1.7,0
0,0,1,0,1,1,0,0,-2.4,0,-2.5,-2.9,PGB:00002,M001011,3,0,PaGenBase,36,Tissue-specific: kidney,,-2.9,1.6,3.3,17423,308,1604,45,2.8,0.41,11936|12000|12556|13142|14234|14348|14598|16519|16869|19214|19879|20464|20521|22337|22598|26944|56379|56727|57394|58200|65969|66601|68348|71781|74087|74438|76459|77397|77462|98303|100066|109342|114602|140494|192201|216225|224419|233836|240675|241612|246787|268379|393082|100042198|100043057,Fxyd2|Avpr2|Cdh16|Dao|Foxc2|Fut9|Ggt1|Kcnj3|Lhx1|Ptgdr|Slc22a8|Sim1|Slc22a12|Vdr|Slc6a18|Tinag|Kcnj1|Miox|Cltrn|Ppp1r1a|Cubn|Tmigd1|Serpina1f|Slc16a14|Slc7a13|Clvs1|Car12|Lyz3|Tmem116|D630023F18Rik|Cyp2j11|Slc5a10|Zmynd10|Atp6v0a4|Wfdc15b|Slc5a8|Map3k7cl|Slc5a11|Vwa2|Slc5a12|Slc5a2|Abca13|Tmt1a2|Gm3716|Tmem207,-1.7,0
0,0,0,0,1,1,0,0,0,0,-2.8,-2.5,PGB:00233,M000011,2,0,PaGenBase,36,Tissue-specific: iris,,-2.8,5.2,4.3,17423,12,1402,5,0.36,0.16,18505|22173|22293|269356|271127,Pax3|Tyr|Slc45a2|Slc4a11|Adamts16,-1.6,0
0,1,0,0,0,0,0,-2.7,0,0,0,0,PGB:00276,M010000,1,0,PaGenBase,36,Cell-specific: MEF,,-2.7,4.5,4.1,17423,79,291,6,2.1,0.83,11459|11468|12797|68655|68794|76293,Acta1|Actg2|Cnn1|Fndc1|Flnc|Mfap4,-1.6,0
0,0,0,1,0,1,0,0,0,-2.6,0,-2.3,PGB:00006,M000101,2,0,PaGenBase,36,Tissue-specific: small intestine,,-2.6,3.1,3.6,17423,190,267,9,3.4,1.1,14120|14776|15567|19692|58210|60363|67715|107753|228765,Fbp2|Gpx2|Slc6a4|Reg1|Sectm1b|Cldn15|2010106E10Rik|Lgals2|Sdcbp2,-1.5,0
0,0,0,0,1,1,0,0,0,0,-2.2,-2.5,PGB:00265,M000011,2,0,PaGenBase,36,Cell-specific: embryonic stem line V26_2_p16,,-2.5,3.1,3.5,17423,28,1604,8,0.5,0.18,13067|14632|21420|54419|54631|73708|104271|627821,Cyct|Gli1|Tfap2c|Cldn6|Nphs1|Dppa3|Tex15|Eddm13,-1.5,0
0,0,0,0,0,1,0,0,0,0,0,-2.5,PGB:00257,M000001,1,0,PaGenBase,36,Cell-specific: granulocytes mac1+gr1+,,-2.5,2.2,3.3,17423,68,1604,14,0.87,0.23,12796|16178|16995|17002|17843|18054|18602|21946|52024|58217|68891|69457|81904|268885,Camp|Il1r2|Ltb4r1|Ltf|Mup4|Ngp|Padi4|Pglyrp1|Ankrd22|Trem1|Cd177|Tmem45a2|Cacng7|Stfa2l1,-1.4,0
0,0,0,0,1,1,0,0,0,0,-2.3,-2.5,PGB:00234,M000011,2,0,PaGenBase,36,Tissue-specific: pituitary,,-2.5,2.6,3.4,17423,41,1604,10,0.62,0.2,12640|13386|20394|22094|53626|66793|70487|209268|237806|319888,Cga|Dlk1|Scg5|Tshb|Insm1|Clxn|5730403I07Rik|Igsf1|Dnah9|Oacyl,-1.4,0
0,0,0,0,0,1,0,0,0,0,0,-2.4,PGB:00268,M000001,1,0,PaGenBase,36,Cell-specific: embryonic stem line Bruce4 p13,,-2.4,2.6,3.3,17423,42,1604,10,0.62,0.2,11811|14120|20730|22702|50764|65969|66712|66991|71827|74446,Apobec2|Fbp2|Spink1|Zfp42|Fbxo15|Cubn|Spesp1|Khdc3|Lrrc34|Slc9b1,-1.4,0
0,0,0,1,0,0,0,0,0,-2.4,0,0,PGB:00263,M000100,1,0,PaGenBase,36,Cell-specific: C3H 10T1_2,,-2.4,6.1,4.2,17423,43,267,4,1.5,0.74,12409|18133|21922|117606,Cbr2|Ccn3|Clec3b|Boc,-1.4,0
0,0,0,1,0,0,0,0,0,-2.2,0,0,PGB:00217,M000100,1,0,PaGenBase,36,Tissue-specific: adipose brown,,-2.2,8.2,4.4,17423,24,267,3,1.1,0.65,94045|246049|319942,P2rx5|Slc36a2|A530016L24Rik,-1.3,0
0,1,0,1,0,0,0,-2.1,0,-2.2,0,0,PGB:00214,M010100,2,0,PaGenBase,36,Tissue-specific: epidermis,,-2.2,4.4,3.6,17423,75,267,5,1.9,0.83,13510|16664|18788|213121|244202,Dsg1a|Krt14|Serpinb2|Ankrd35|Nlrp10,-1.3,0
0,1,0,1,0,1,0,-2.1,0,-2.2,0,-2.2,PGB:00273,M010101,3,0,PaGenBase,36,Cell-specific: dendritic plasmacytoid B220+,,-2.2,3,3.3,17423,25,1604,7,0.44,0.16,12862|50795|93843|107889|170779|171283|278672,Cox6a2|Sh3bgr|Pnck|Gcm2|Cd209d|Havcr1|Duxbl1,-1.3,0
0,0,0,0,1,0,0,0,0,0,-2.2,0,PGB:00241,M000010,1,0,PaGenBase,36,Tissue-specific: hypothalamus,,-2.2,3.9,3.4,17423,16,1402,5,0.36,0.16,11604|18387|18429|64242|545192,Agrp|Oprk1|Oxt|Ngb|Baiap3,-1.2,0
0,0,1,0,0,0,0,0,-2.1,0,0,0,PGB:00279,M001000,1,0,PaGenBase,36,Cell-specific: RAW 264_7,,-2.1,7.2,4,17423,26,278,3,1.1,0.62,110557|231655|630499,H2-Q6|Oasl1|H2-K2,-1.2,0
0,0,0,0,0,1,0,0,0,0,0,-2,PGB:00281,M000001,1,0,PaGenBase,36,Cell-specific: stem cells HSC,,-2,4.3,3.4,17423,10,1604,4,0.25,0.12,12322|17480|22362|83691,Camk2a|Mpl|Vpreb1a|Crispld1,-1.1,0
