Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
PaGenBase,36,PGB:00259,Cell-specific: c2c12,,-31,8.5,18,17423,354,291,50,17,2.2,11443|11459|11468|11472|11733|11752|11937|12295|12715|16600|17189|17879|17884|17885|17901|17907|17929|17930|17965|18175|18772|19223|20190|20474|21916|21924|21925|21953|21956|21957|24053|24131|26549|53318|56012|56642|56741|68655|68760|68794|69454|109272|140781|223513|233199|237611|238161|244923|320078|378431,Chrnb1|Acta1|Actg2|Actn2|Ank1|Anxa8|Atp2a1|Cacnb1|Ckm|Klf4|Mb|Myh1|Myh4|Myh8|Myl1|Mylpf|Myom1|Myom2|Nbl1|Nrap|Pkp1|Ptgis|Ryr1|Six4|Tmod1|Tnnc1|Tnnc2|Tnni2|Tnnt2|Tnnt3|Sgcg|Ldb3|Itgb1bp2|Pdlim3|Pgam2|Ankrd2|Igdcc4|Fndc1|Synpo2l|Flnc|Clic3|Mybpc1|Myh7|Abra|Mybpc2|Stac3|Akap6|Klhl31|Olfml2b|Txlnb,-28,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00028,Tissue-specific: skeletal muscle,,-17,7,13,17423,266,291,31,11,1.8,11636|12295|12715|17879|17882|17884|17885|17907|18125|18175|20190|21953|21957|24053|24131|53318|56012|56642|68760|73284|76469|109272|116904|140781|219134|223513|233199|237611|241431|244923|276829,Ak1|Cacnb1|Ckm|Myh1|Myh2|Myh4|Myh8|Mylpf|Nos1|Nrap|Ryr1|Tnni2|Tnnt3|Sgcg|Ldb3|Pdlim3|Pgam2|Ankrd2|Synpo2l|Ddit4l|Cmya5|Mybpc1|Alpk3|Myh7|Shisa2|Abra|Mybpc2|Stac3|Xirp2|Klhl31|Smtnl2,-15,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00018,Tissue-specific: pancreas,,-4.9,7.4,6.7,17423,65,291,8,2.7,0.96,12613|13706|19693|67373|67868|69060|69187|109660,Cel|Cela2a|Reg2|Prss3b|Cela3b|Pnlip|Erp27|Ctrl,-3.3,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00023,Tissue-specific: heart,,-4.3,4.8,5.5,17423,126,291,10,3.4,1.1,14200|14734|17189|17897|21924|21956|22097|66402|140781|384061,Fhl2|Gpc3|Mb|Myl3|Tnnc1|Tnnt2|Tsix|Sln|Myh7|Fndc5,-2.8,FLT_cluster_13_muscle_contractile
TRRUST,34,TRR00810,Regulated by: Mef2c,,-4.1,11,6.8,17423,27,291,5,1.7,0.76,12715|17879|17884|17929|17930,Ckm|Myh1|Myh4|Myom1|Myom2,-2.7,FLT_cluster_13_muscle_contractile
TRRUST,34,TRR00694,Regulated by: Klf3,,-4.1,30,9.2,17423,6,291,3,1,0.59,11459|12715|20474,Acta1|Ckm|Six4,-2.6,FLT_cluster_13_muscle_contractile
TRRUST,34,TRR01360,Regulated by: Srebf1,,-3.6,8.8,5.9,17423,34,291,5,1.7,0.76,11450|12683|16846|56642|57264,Adipoq|Cidea|Lep|Ankrd2|Retn,-2.3,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00007,Tissue-specific: adipose tissue,,-3,6.5,4.9,17423,46,291,5,1.7,0.76,11450|11537|16846|57264|103968,Adipoq|Cfd|Lep|Retn|Plin1,-1.8,FLT_cluster_13_muscle_contractile
PaGenBase,36,PGB:00215,Tissue-specific: bladder,,-2.9,6.2,4.7,17423,48,291,5,1.7,0.76,12797|22268|53318|93689|230824,Cnn1|Upk1b|Pdlim3|Lmod1|Grhl3,-1.7,FLT_cluster_13_muscle_contractile
TRRUST,34,TRR01126,Regulated by: Pparg,,-2.8,5.9,4.5,17423,51,291,5,1.7,0.76,11450|12224|12683|57264|103968,Adipoq|Klf5|Cidea|Retn|Plin1,-1.6,FLT_cluster_13_muscle_contractile
