review_row	term	flight_minus_ground	signed_accession_mean_flt_minus_gc	mean_abs_accession_effect	category	category_label	matched_keyword	rationale	effect_direction
18	R-MMU-1296071_POTASSIUM_CHANNELS	-0.217190486025	-0.19539922135050858	0.2426672470171752	plausible_complementary	plausible/complementary	potassium channels	plausible complementary mechanism: potassium channels	FLT_down
19	R-MMU-983712_ION_CHANNEL_TRANSPORT	0.1655827802359154	0.12150493960756682	0.1280206852742335	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
20	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	0.4545104391366057	0.37224481780245533	0.4950860159226908	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
21	R-MMU-111465_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.2068466119007042	0.14725360645446575	0.1977837696665868	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
22	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	-0.354513398584507	-0.2729868426746412	0.3799989225534289	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
23	R-MMU-9012999_RHO_GTPASE_CYCLE	0.2744847327119719	0.2222503375315922	0.3040420286113902	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_up
24	R-MMU-1640170_CELL_CYCLE	0.3995991646355634	0.29761187380247195	0.4285376314893407	prior_literature_match	prior literature match	cell cycle	matches expected tissue/spaceflight biology: cell cycle	FLT_up
25	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	-0.5169589022114437	-0.4075693501595991	0.5480010241949526	prior_literature_match	prior literature match	gap junction	matches expected tissue/spaceflight biology: gap junction	FLT_down
26	R-MMU-1632852_MACROAUTOPHAGY	0.1964331914505281	0.1555100894402002	0.2097919542098971	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
27	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	0.4593319282447186	0.32538567878758645	0.5022197633784954	likely_artifact	likely artifact/junk	exact override	literature override: off-context visual pathway in skin	FLT_up
28	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.2858719766637322	0.23860609519519746	0.2864423165285307	plausible_complementary	plausible/complementary	protein modification	plausible complementary mechanism: protein modification	FLT_up
29	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.2562718151047536	0.1724987669437179	0.1953299213184653	prior_literature_match	prior literature match	extracellular matrix	matches expected tissue/spaceflight biology: extracellular matrix	FLT_up
30	R-MMU-1500931_CELL_CELL_COMMUNICATION	0.1766570805583979	0.15013789920736312	0.193367904407363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
31	R-MMU-1638074_KERATAN_SULFATE_KERATIN_METABOLISM	-0.2035778872028169	-0.14421872592483165	0.2278194351066498	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
32	R-MMU-428157_SPHINGOLIPID_METABOLISM	0.2847266149649647	0.19430572590622455	0.3149085370375377	prior_literature_match	prior literature match	lipid	matches expected tissue/spaceflight biology: lipid	FLT_up
33	R-MMU-948021_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	-0.17288586679375	-0.15320160048268652	0.1833254319139996	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
34	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.177598996130986	0.14011640837605885	0.2261615772851496	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
35	R-MMU-936837_ION_TRANSPORT_BY_P_TYPE_ATPASES	-0.0921276094644841	-0.07483590743276315	0.1033340649683186	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
36	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	-0.3036829719049296	-0.2601285887293992	0.3111427817293992	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_down
37	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	-0.2358262369695423	-0.19682953212206802	0.238849868502068	prior_literature_match	prior literature match	cell cell junction	matches expected tissue/spaceflight biology: cell cell junction	FLT_down
38	R-MMU-913709_O_LINKED_GLYCOSYLATION_OF_MUCINS	-0.2523637148130282	-0.18367991983152132	0.3200112221709152	plausible_complementary	plausible/complementary	glycosylation	plausible complementary mechanism: glycosylation	FLT_down
39	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	-0.2814158260725352	-0.1880948586401799	0.3175613633304829	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
40	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	-0.1031218589948239	-0.08600982926039291	0.1070149489371605	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
41	R-MMU-6805567_KERATINIZATION	1.368942748815141	1.220864622405193	1.4373883424051928	prior_literature_match	prior literature match	exact override	literature override: skin barrier/keratinization	FLT_up
42	R-MMU-3928665_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	0.2229021230028169	0.18705735805315346	0.2738284443761837	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
