gene	gene_cluster	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
ENSMUSG00000091034	1	3.8496053	0.4734687	0.27059472	0.52583444	-0.26286814	-0.011970565	-0.23961544	-0.03853159	-0.051879477	-0.03471519
ENSMUSG00000056204	8	-8.6453285	-0.42082086	-6.4607944	-1.1219155	-0.36590418	0.5875071	0.24734254	0.31224605	-0.09269187	-0.17372747
ENSMUSG00000065472	1	3.859771	0.48120105	0.26656547	0.5286601	-0.2679695	-0.009216959	-0.24081841	-0.040098164	-0.05231725	-0.035676487
ENSMUSG00000056197	1	3.8535764	0.4782243	0.26721337	0.526194	-0.2623733	-0.011634562	-0.2402293	-0.039112285	-0.051172975	-0.035284214
ENSMUSG00000031986	0	2.12746	-0.95107734	-0.24750018	-0.086751506	0.29154727	0.22185577	0.21696644	0.015824798	0.10253923	0.05176851
ENSMUSG00000086259	1	3.83943	0.47891724	0.27131918	0.50889874	-0.2350331	-0.014855845	-0.2375733	-0.03491354	-0.047936328	-0.033368837
ENSMUSG00000000244	1	3.5132048	0.10248681	0.34582937	0.45215335	-0.28565234	0.013926377	-0.15946099	-0.016128771	-0.06695332	0.0006102491
ENSMUSG00000027519	14	-2.911821	-1.9395882	-2.72388	-1.3215178	0.62189054	0.36167198	0.75199527	0.19820653	0.2478654	-0.056033693
ENSMUSG00000061086	1	3.7567594	0.39218393	0.2412686	0.47278702	-0.24426869	0.011757605	-0.20527332	-0.038027737	-0.041810498	-0.026894998
ENSMUSG00000056290	1	2.6310997	-0.787717	0.76285934	0.31515265	-0.05656111	-0.05055537	-0.027432198	0.097269714	-0.12819457	0.09447741
ENSMUSG00000068206	0	1.8385183	-0.41901678	-0.45290953	-0.5050965	0.8240243	-0.06458008	0.27826032	0.011988232	0.3064153	0.023198124
ENSMUSG00000077815	1	3.849159	0.48012835	0.26976418	0.52479845	-0.27470437	-0.01551089	-0.24029417	-0.039049	-0.051364157	-0.034996163
ENSMUSG00000021208	1	3.1213238	-0.34003466	-0.015746964	0.27316272	-0.39477488	0.25933793	0.021392467	-0.05564157	-0.027937125	0.019159572
ENSMUSG00000088054	1	3.8296523	0.4557848	0.26378566	0.5165751	-0.24639493	-0.009791534	-0.2348258	-0.03657087	-0.048747893	-0.033227764
ENSMUSG00000024998	14	-1.0574303	-2.1508453	0.23758338	-1.4721025	1.6078938	0.39308375	0.73524797	0.31912205	0.0072223586	0.16549902
ENSMUSG00000047248	0	1.0809968	-1.214802	-0.65111107	-0.40656048	1.0540591	-0.0076832883	0.35869926	0.05153043	0.2970518	0.034293517
ENSMUSG00000027981	14	-0.08502103	-2.775383	0.53507555	0.19579315	1.4881172	-0.46344796	0.3155684	0.17634295	0.067568615	0.12213398
ENSMUSG00000039683	1	3.6976118	0.38060194	0.2932165	0.43666717	-0.14674659	-0.025828505	-0.2063524	-0.017854737	-0.035559718	-0.019687545
ENSMUSG00000047117	1	3.825908	0.46670195	0.26989576	0.5110955	-0.23739041	-0.020089122	-0.23632234	-0.034767594	-0.04617372	-0.03316848
ENSMUSG00000030278	1	2.9520721	1.0807958	0.009175348	-0.028932065	-1.5263853	-0.6774179	-0.10235223	-0.120939225	0.17415422	-0.03383239
ENSMUSG00000037419	1	2.9212484	-0.6017895	0.065682985	0.18251102	-0.18822339	0.34872538	0.081773855	-0.020069223	-0.053857233	0.048575938
ENSMUSG00000099616	1	3.8273904	0.4643343	0.27374065	0.51529354	-0.24813706	-0.019848213	-0.23698072	-0.03521756	-0.04834296	-0.03308343
ENSMUSG00000022208	1	3.7548654	0.38278222	0.29588816	0.50462455	-0.24051218	-0.021069076	-0.22298026	-0.028419146	-0.051073298	-0.025647974
ENSMUSG00000055197	1	3.8519368	0.47316462	0.26909342	0.52773315	-0.2671495	-0.010286386	-0.23958375	-0.039323162	-0.05240231	-0.03495121
ENSMUSG00000059632	1	3.855436	0.4799409	0.2666065	0.5262884	-0.26236972	-0.011122621	-0.24043068	-0.039294165	-0.05118801	-0.035425026
ENSMUSG00000064823	1	3.8450165	0.47438428	0.27075678	0.5101227	-0.24799547	-0.0048355	-0.23544319	-0.036749523	-0.05143488	-0.03299388
ENSMUSG00000095629	1	3.7512648	0.37296537	0.30969462	0.510581	-0.23743282	-0.024712652	-0.22483021	-0.026270125	-0.05411762	-0.024752168
ENSMUSG00000034829	1	3.8137157	0.44351414	0.27743617	0.5142167	-0.25569728	-0.01532468	-0.23271608	-0.03496421	-0.050560422	-0.03133534
ENSMUSG00000029380	0	-0.0990471	4.865944	2.1786578	-2.2084565	1.045801	-4.4343863	-0.15502734	0.053731654	0.83402616	-0.009004935
ENSMUSG00000073001	1	3.840253	0.45934808	0.27805364	0.5279817	-0.26642507	-0.012649012	-0.23847741	-0.037472967	-0.05390782	-0.033533078
ENSMUSG00000031073	1	3.798272	0.4267172	0.28358594	0.51511174	-0.23841707	-0.020985426	-0.23220795	-0.0320769	-0.049518	-0.03026658
ENSMUSG00000028047	1	3.7946496	0.46114773	0.2335969	0.4242929	-0.20529766	0.03211277	-0.19371428	-0.043404467	-0.03559272	-0.027308052
ENSMUSG00000039196	3	-23.073402	20.767637	13.365816	1.3756545	-4.061745	-7.355109	1.2446678	-8.132929e-05	0.16472803	-0.27103886
ENSMUSG00000032673	14	-1.2838714	-1.7830534	2.792786	-1.3218002	-1.1091899	-0.9434251	0.45851746	0.39933494	-0.33436728	0.44968012
ENSMUSG00000096584	1	3.8466651	0.4684834	0.27237862	0.5280866	-0.26467082	-0.012964993	-0.23967452	-0.038312085	-0.05238007	-0.034530904
ENSMUSG00000022773	1	3.4078376	0.13305914	0.23317704	0.35679287	-0.03264787	-0.033767834	-0.14975509	0.0018459215	-0.0024653906	-0.0031622343
ENSMUSG00000078597	8	-7.3755603	4.951074	-3.3193204	2.0676928	-4.8755984	-8.138047	-0.26988646	-0.7535342	1.1174774	-0.36711633
ENSMUSG00000021494	0	1.387156	-0.3602806	-1.2291061	-0.9265559	-0.05929217	0.26671535	0.4920729	-0.067304105	0.3481653	0.004829451
ENSMUSG00000050248	1	3.6479526	0.22636205	0.116818406	0.38339996	-0.21117549	0.14157836	-0.12166273	-0.057896663	-0.02885107	-0.01700674
ENSMUSG00000003752	1	2.7662425	-0.13876183	-0.10101462	-0.02591456	0.1249586	-7.761829e-05	0.035883795	0.005658882	0.120738745	0.017602682
ENSMUSG00000037353	0	0.87814146	-0.94800484	-1.5877297	-0.5991179	0.11855701	0.14392272	0.500798	-0.09070573	0.41415027	-0.022993503
ENSMUSG00000022096	1	3.7690978	0.46301696	0.1913038	0.39741555	-0.21307793	0.03720516	-0.17993735	-0.049231593	-0.022721497	-0.028189069
ENSMUSG00000091311	1	3.843739	0.4674684	0.27207944	0.5254721	-0.2643723	-0.012787852	-0.23856251	-0.038248185	-0.051947616	-0.03424164
ENSMUSG00000096436	1	3.5757225	0.23307282	0.32740954	0.46222723	-0.10537838	-0.05812315	-0.20217265	-0.0018104963	-0.036123253	-0.011845822
ENSMUSG00000021661	0	2.0282073	-0.84996945	0.18694457	-0.09559236	0.048690356	-0.046689827	0.15084763	0.06370223	0.058220666	0.0788465
ENSMUSG00000039620	1	3.2608106	-0.22041818	-0.06474296	0.49866426	-0.30482134	0.077039585	-0.08631371	-0.06139819	0.014976819	-0.01785429
ENSMUSG00000033765	1	3.853755	0.51709145	0.2832395	0.48346213	-0.24023528	-0.011241399	-0.2336491	-0.035843246	-0.048871566	-0.03211068
ENSMUSG00000032584	1	3.785502	0.46412396	0.24945141	0.43368095	-0.16060671	0.0054321066	-0.20919518	-0.03148862	-0.03338762	-0.026997646
ENSMUSG00000072884	1	3.5399294	0.2645792	0.29478374	0.40388566	-0.19075243	-0.05252745	-0.18207087	-0.009000434	-0.027350772	-0.009500564
ENSMUSG00000066896	1	3.8217552	0.45339546	0.27255458	0.51713556	-0.24492972	-0.018283343	-0.23575667	-0.035016708	-0.048383277	-0.032746673
ENSMUSG00000094606	1	3.8209512	0.44980255	0.28042468	0.52171683	-0.24889544	-0.02123088	-0.237207	-0.03430141	-0.050309096	-0.032427948
ENSMUSG00000032783	1	3.8253517	0.45221424	0.2587874	0.51398075	-0.25507814	-0.007207227	-0.23159046	-0.03840343	-0.047950834	-0.03316589
ENSMUSG00000029093	1	3.7629595	0.39241752	0.2584924	0.48142943	-0.20690425	0.0022583157	-0.21042402	-0.034713436	-0.04193125	-0.027294282
ENSMUSG00000030254	1	3.243531	-0.0191709	0.38877666	0.33560237	-0.17534602	-0.06227448	-0.12863901	0.021731038	-0.03992249	0.020443067
ENSMUSG00000077991	1	3.8597114	0.4816529	0.26653257	0.5283451	-0.26732832	-0.009441959	-0.24085587	-0.0400256	-0.052182205	-0.035680752
ENSMUSG00000021090	1	3.753604	0.38763326	0.2920083	0.5048115	-0.22384135	-0.027747277	-0.22515167	-0.027270272	-0.047400407	-0.026551897
ENSMUSG00000094687	1	3.8582928	0.48131803	0.26658034	0.5275773	-0.2661354	-0.01006903	-0.24071926	-0.039800826	-0.05186028	-0.035588074
ENSMUSG00000055013	0	1.1578434	-0.49997476	-0.5820051	-0.8785127	1.5810583	-0.11524736	0.39248672	0.07421586	0.39361343	0.028488409
ENSMUSG00000038204	1	3.9149702	0.7378781	0.25270915	0.22719106	-0.051260147	0.076579675	-0.15120266	-0.057871453	-0.012224616	-0.025665464
ENSMUSG00000020629	4	-16.234312	-8.192874	-2.1702116	3.5886934	-5.2351084	1.0116786	0.712655	-0.92649275	-0.38524067	-0.10811305
ENSMUSG00000030881	0	2.3211296	0.05561538	-0.54919624	-0.35296825	-0.19623293	-0.12263201	0.16578655	-0.058727108	0.27629557	-0.0047372067
ENSMUSG00000030662	10	-10.110571	-0.85266083	-1.9880414	-2.50157	0.8172083	0.35916647	0.1554277	0.49406797	-0.15566231	-0.31677666
ENSMUSG00000020570	10	-11.206196	-6.112909	0.61045414	0.14162403	1.1790347	0.3944707	0.39459586	0.21054927	-0.45795462	-0.14523461
ENSMUSG00000024401	1	3.8145492	0.44647607	0.2685384	0.50722486	-0.2666638	-0.0077734357	-0.22902367	-0.037121672	-0.05017843	-0.031237165
ENSMUSG00000108885	1	3.83852	0.4594029	0.2758339	0.5264266	-0.26043263	-0.013365816	-0.23821075	-0.03718636	-0.05260187	-0.033621203
ENSMUSG00000029015	1	3.8241646	0.45451507	0.27211884	0.5187145	-0.24622603	-0.01800994	-0.236093	-0.03549776	-0.048564095	-0.0330243
ENSMUSG00000045179	1	3.8562138	0.47741506	0.26818052	0.52829283	-0.26762503	-0.00971312	-0.24030775	-0.03967298	-0.05248817	-0.035305385
ENSMUSG00000063779	1	3.8117805	0.4323195	0.28815237	0.5267793	-0.25929338	-0.020830747	-0.23579991	-0.034016363	-0.05332875	-0.031306718
ENSMUSG00000070531	1	3.8542366	0.47820035	0.26730528	0.52653134	-0.26363784	-0.011115648	-0.24018855	-0.039276972	-0.051436033	-0.03528771
ENSMUSG00000074183	1	3.1699634	-0.2749299	0.2476521	0.49708298	-0.3296403	-0.027261972	-0.10142432	-0.02315985	-0.032535966	0.007054538
ENSMUSG00000042849	1	3.7584858	0.41829887	0.2856026	0.48483843	-0.19143826	-0.03257531	-0.22642073	-0.024373576	-0.040899135	-0.02693178
ENSMUSG00000069939	1	3.765063	0.2027063	0.1118604	0.59740996	-0.4149948	0.11023804	-0.1849454	-0.07592752	-0.058515146	-0.03607112
ENSMUSG00000025873	8	-9.433446	0.5559144	-4.961693	-1.2686315	0.5893954	-1.275149	0.007407091	0.27895278	0.07766213	-0.16377708
ENSMUSG00000034456	2	-17.111486	2.2540298	-8.067014	0.82346135	-1.846432	4.5486803	-0.8931275	-0.08592164	-0.39030784	0.3286826
ENSMUSG00000070817	1	3.0696697	-0.19371167	0.5078179	0.3354227	0.080686025	-0.1326823	-0.12115178	0.057116825	-0.034592185	0.03433247
ENSMUSG00000024294	11	-17.091543	-2.3455548	1.2430605	0.8866672	3.6049926	-0.45234612	-0.7807824	-0.2301571	-0.11926187	-0.34692192
ENSMUSG00000066463	1	3.8317034	0.45387667	0.28027254	0.5255484	-0.26123258	-0.015658192	-0.23762384	-0.036216013	-0.05298878	-0.032887876
ENSMUSG00000035376	14	-3.055055	-3.34069	-1.4483829	-0.7736588	-3.222895	0.31431353	0.8841462	-0.008891116	-0.11192906	0.11878252
ENSMUSG00000044252	11	-16.630108	-0.7225907	1.1160626	-0.5196725	1.8762944	-0.84520453	-0.75387925	-0.094052106	-0.080742136	-0.35154092
ENSMUSG00000055917	14	-1.2441487	-3.4374928	1.7085049	-0.4195397	0.99254084	-0.23946974	0.5391257	0.33932996	-0.24777693	0.28815112
ENSMUSG00000071815	1	3.8583686	0.4809852	0.26671034	0.5280424	-0.2656992	-0.010193457	-0.24088538	-0.039734494	-0.05189958	-0.035612497
ENSMUSG00000068882	10	-10.915606	-2.6645005	0.4751595	-1.2966356	-0.34441298	-1.6708981	0.1910768	0.26064727	-0.25863022	-0.094570845
ENSMUSG00000022685	14	-0.1236375	-3.0081553	0.13262835	-0.072593935	0.50228107	0.16813375	0.5277121	0.118034296	-0.023152713	0.1509291
ENSMUSG00000036292	9	-10.341254	-6.411061	0.118586	1.1249539	1.1546861	-0.9645056	0.48304406	-0.0006007202	-0.37465718	-0.028055921
ENSMUSG00000041202	1	3.7133143	0.39292604	0.27238303	0.45340332	-0.1393802	-0.032379456	-0.21310374	-0.020682964	-0.030039346	-0.02391387
ENSMUSG00000116360	1	3.8444378	0.47480264	0.26850444	0.52128816	-0.25370693	-0.014979174	-0.23905541	-0.037635684	-0.049428027	-0.03461079
ENSMUSG00000024528	0	2.5331576	-0.086199686	0.17186695	-0.2481886	0.027620472	-0.100666516	0.07017847	0.050590217	0.096979216	0.05351176
ENSMUSG00000029861	1	3.8306875	0.46065852	0.27372023	0.5154234	-0.25061443	-0.01344213	-0.23477882	-0.036625408	-0.049901295	-0.032860648
ENSMUSG00000077221	1	3.8334887	0.46583998	0.27643242	0.51667523	-0.26332447	-0.014810074	-0.23662639	-0.03645216	-0.051515255	-0.032860484
ENSMUSG00000070469	1	3.7170384	0.41462305	0.26032257	0.38766217	-0.16686454	0.015222171	-0.17710148	-0.035282303	-0.029328873	-0.020040633
ENSMUSG00000115791	1	3.5725837	0.22817448	0.35276356	0.4693482	-0.14387305	-0.064874105	-0.20196784	-0.0030236852	-0.04286699	-0.010439109
ENSMUSG00000097665	1	3.8143618	0.45181307	0.26520723	0.50533193	-0.2337442	-0.01371234	-0.23184979	-0.034359157	-0.045860395	-0.03189641
ENSMUSG00000046650	1	3.3682268	0.07432236	0.36206153	0.4224878	0.0051525054	-0.11366993	-0.17553812	0.019668495	-0.017069591	0.00092993304
ENSMUSG00000046667	0	1.5757791	-1.2086533	-0.02159151	-0.13564438	0.18957545	-0.036300227	0.22083624	0.07419895	0.10263968	0.07930125
ENSMUSG00000106902	1	3.8522866	0.47656626	0.26843056	0.52588624	-0.2625523	-0.011500558	-0.23991096	-0.03893888	-0.051463835	-0.03506898
ENSMUSG00000037169	1	3.7055306	0.42826182	0.26058334	0.43221188	-0.20507562	-0.040725835	-0.21162565	-0.023072312	-0.02723152	-0.02393365
ENSMUSG00000049565	1	3.7377193	0.396177	0.27581054	0.48594964	-0.18142648	-0.035698205	-0.22286397	-0.024365436	-0.036567807	-0.026801137
ENSMUSG00000033862	0	1.7063894	-0.33036876	-0.73404837	-0.85041	0.42680132	0.23350517	0.4095008	-0.0039132982	0.28677738	0.0339863
ENSMUSG00000033774	1	3.6474	0.28248647	0.35045648	0.49088928	-0.24418941	-0.04361828	-0.2078127	-0.0168538	-0.055933423	-0.01486834
ENSMUSG00000084592	1	3.8148594	0.43544796	0.27728522	0.5188787	-0.2511892	-0.011737654	-0.23395176	-0.03395407	-0.052288335	-0.031161537
ENSMUSG00000077998	1	3.8591487	0.4800934	0.26739487	0.5290236	-0.2682154	-0.009372245	-0.240845	-0.03996694	-0.052544374	-0.035581745
ENSMUSG00000021278	1	3.8013415	0.48298618	0.26572698	0.47426885	-0.16261566	-0.03320518	-0.23233071	-0.027270118	-0.033011332	-0.031474467
ENSMUSG00000027971	1	3.360228	0.027360596	0.44540617	0.43382958	-0.13343094	-0.09366691	-0.16779768	0.018870963	-0.052135587	0.010812978
ENSMUSG00000024758	10	-12.008097	-4.066674	-4.0682755	0.7115938	0.23130749	0.5560835	0.17795837	0.03812114	-0.38597986	-0.225316
ENSMUSG00000044921	1	3.5523198	0.22280824	0.31010085	0.3945986	-0.13936204	-0.006502539	-0.16302048	-0.013321536	-0.036455527	-0.0059203287
ENSMUSG00000054387	10	-11.014747	-3.586281	-2.9533582	1.7810541	3.7143188	-2.0387278	0.15519372	-0.30183905	-0.022981457	-0.14873026
ENSMUSG00000062822	14	-1.1438471	-3.5552762	-0.18077417	-0.014507346	0.27771145	0.011784405	0.61239207	0.09270113	0.018237742	0.13502862
ENSMUSG00000028013	9	-6.847836	-3.4756944	1.5548747	-2.4893224	-0.62797827	0.56564784	0.71252024	0.60841364	-0.41041514	0.1502034
ENSMUSG00000042846	1	3.6941428	0.32825083	0.32956895	0.49310315	-0.23221527	-0.03389074	-0.2147156	-0.020343358	-0.053670827	-0.019140083
ENSMUSG00000025403	2	-13.343608	3.4561129	-11.043534	1.4391687	-2.9152613	-0.45564482	-0.07952615	-0.45465544	-0.30260652	0.5155961
ENSMUSG00000031831	1	3.8319144	0.45541093	0.26501885	0.5199291	-0.25508282	-0.009588796	-0.23483612	-0.037769556	-0.04976467	-0.03352254
ENSMUSG00000087045	1	3.8547513	0.47743964	0.26849833	0.5273917	-0.26628283	-0.010652575	-0.2401717	-0.03944616	-0.05210186	-0.035229184
ENSMUSG00000030739	0	1.8551826	-1.7724937	-2.4548507	-0.18915905	0.8107168	1.6487987	0.8583416	-0.341494	0.25107136	-0.041492097
ENSMUSG00000037235	2	-11.829877	2.9043884	-6.373764	-1.4526799	-0.76495564	-1.1024637	-0.21434288	0.12831812	-0.07675521	-0.005778859
ENSMUSG00000021559	2	-12.232352	-0.051161814	-5.7595806	-1.3249426	-0.021135533	2.1705678	-0.32684523	0.4255453	-0.24197699	-0.20213534
ENSMUSG00000049252	1	3.6753836	0.3218059	0.32859865	0.4952334	-0.16945182	-0.056151252	-0.220137	-0.013853787	-0.04409797	-0.019990686
ENSMUSG00000035805	1	3.8464475	0.43836483	0.26236475	0.5403013	-0.26730058	0.003027326	-0.23600033	-0.04110606	-0.055451345	-0.03469523
ENSMUSG00000050870	1	3.8544219	0.4773945	0.26838255	0.52741426	-0.26500043	-0.011084706	-0.24033701	-0.039276853	-0.05190554	-0.03524613
ENSMUSG00000022931	1	3.8531365	0.47650942	0.26821506	0.5271	-0.26499292	-0.011339166	-0.24016522	-0.039175667	-0.051753066	-0.0351679
ENSMUSG00000067360	1	3.845404	0.47044563	0.272633	0.5254367	-0.26092896	-0.013990139	-0.23948811	-0.037827265	-0.05163356	-0.034387592
ENSMUSG00000035262	1	3.8428297	0.47110865	0.2540054	0.51910233	-0.2554901	-0.008751513	-0.23600584	-0.03978231	-0.04717182	-0.035153434
ENSMUSG00000087223	1	3.703068	0.37009	0.25516492	0.45532852	-0.12979354	-0.02248834	-0.2108453	-0.020002248	-0.028913429	-0.023597704
ENSMUSG00000046791	1	3.2149405	0.08118088	-0.115344286	0.1755689	-0.19640714	0.0784596	-0.037250347	-0.046338852	0.06634034	-0.007738861
ENSMUSG00000086745	1	3.8569016	0.4795278	0.26677534	0.5276996	-0.26578346	-0.010192387	-0.24050994	-0.039697547	-0.051843476	-0.035501145
ENSMUSG00000055826	1	3.856917	0.481919	0.2658879	0.5261695	-0.2628259	-0.010969169	-0.24060741	-0.039494492	-0.051079858	-0.0355737
ENSMUSG00000022451	10	-12.605921	-3.0335712	0.5051227	-1.4488603	-2.2447176	-0.49509102	0.079522274	0.24632716	-0.33279094	-0.16988093
ENSMUSG00000092734	1	3.8528297	0.47716132	0.26575664	0.52514994	-0.2664272	-0.009833595	-0.23927937	-0.039584335	-0.051398896	-0.035157602
ENSMUSG00000026700	1	3.848467	0.47348845	0.2691999	0.5239419	-0.2584885	-0.011719888	-0.2390629	-0.03836509	-0.051085025	-0.03467019
ENSMUSG00000041852	11	-14.589781	-0.5109431	0.62205905	-1.515189	0.92862904	-1.2671697	-0.4772072	0.10736447	-0.113266125	-0.34727994
ENSMUSG00000075086	1	3.828538	0.45077145	0.28032613	0.5240435	-0.2578932	-0.015297089	-0.23698051	-0.035662867	-0.052763645	-0.032546837
ENSMUSG00000024776	1	3.5007286	0.041309506	0.2616672	0.41256875	-0.20064418	0.09875134	-0.13251474	-0.017841922	-0.061665427	0.003327427
ENSMUSG00000056035	6	-25.470339	3.6194048	5.4706063	29.271797	7.2990885	-1.4021444	3.2399447	0.09011848	2.0120208	-0.17082132
ENSMUSG00000020000	13	-3.462561	9.615881	3.3607366	1.3039517	-8.842148	-9.006508	0.038049463	-0.5396552	0.45039478	-0.415378
ENSMUSG00000037946	1	3.5266523	0.28854308	0.21566932	0.2890006	-0.13653964	0.028602164	-0.1344138	-0.018872561	-0.011633914	-0.0050795907
ENSMUSG00000001656	1	3.846746	0.4696533	0.2717593	0.526578	-0.26334962	-0.012532555	-0.23941764	-0.038235556	-0.052106217	-0.034471262
ENSMUSG00000053146	1	3.6968527	0.38204432	0.29492876	0.45580128	-0.14012742	-0.045742642	-0.21694733	-0.015009173	-0.03306042	-0.021718465
ENSMUSG00000073982	1	3.1825705	0.1415523	-0.59215486	-0.017653616	-0.5632071	0.32852238	0.115068644	-0.15251482	0.120923564	-0.02711155
ENSMUSG00000024393	2	-10.000119	4.161648	-11.597151	0.27195373	-0.8684441	0.06464838	0.019801905	-0.20633714	0.026349172	0.41530624
ENSMUSG00000025433	1	3.841365	0.46239245	0.2745066	0.52485096	-0.26356074	-0.010872749	-0.23786199	-0.037623316	-0.053050425	-0.0336185
ENSMUSG00000086552	1	3.817534	0.44579473	0.26687616	0.5115402	-0.24409135	-0.010093434	-0.23227116	-0.03516979	-0.0486792	-0.031880513
ENSMUSG00000070972	14	-1.6483585	-3.6316037	-0.3040321	-0.5062734	0.45205295	0.45905378	0.7636731	0.17455418	-0.067503005	0.15380639
ENSMUSG00000036139	1	3.3192136	-0.10718808	0.5575853	0.50361925	-0.25973633	-0.09176212	-0.1628242	0.018077414	-0.09327621	0.021109395
ENSMUSG00000073768	1	3.1055934	-0.1492882	0.37566203	0.35016587	0.21017155	-0.13469471	-0.13369729	0.05117065	0.003042502	0.019219095
ENSMUSG00000003573	1	3.6455748	0.32929352	0.15343642	0.38470045	-0.21223512	0.04556612	-0.1606618	-0.04035772	-0.016165879	-0.020700268
ENSMUSG00000115744	1	3.0879526	-0.27018514	0.5449201	0.40685445	-0.04454764	-0.11049449	-0.12415671	0.04857778	-0.06380889	0.036626153
ENSMUSG00000019920	9	-3.230942	-4.234109	2.6976643	-1.4647176	1.5927701	0.6277644	0.90788573	0.5198697	-0.55386823	0.38073054
ENSMUSG00000094892	1	3.3941302	0.15881948	0.34044823	0.38598037	0.072209574	-0.12801571	-0.18237256	0.023554653	-0.0008004215	-0.0024531398
ENSMUSG00000027495	2	-12.4468	2.2255862	-6.395842	-1.5708331	-3.4512172	-0.3667287	-0.17346787	0.12808026	-0.2533594	-0.057461653
ENSMUSG00000045989	1	3.8530455	0.47483426	0.269045	0.52766865	-0.26874092	-0.01031467	-0.23965435	-0.039566327	-0.052445233	-0.03504876
