sample	strain	sex	condition	location	project_identifier	h5_accession	z_0	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32	z_33	z_34	z_35	z_36	z_37	z_38	z_39	z_40	z_41	z_42	z_43	z_44	z_45	z_46	z_47	z_48	z_49	z_50	z_51	z_52	z_53	z_54	z_55	z_56	z_57	z_58	z_59	z_60	z_61	z_62	z_63
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	-1.1277	-1.6	-5.0313	0.1882	0.3858	0.5307	1.6646	-1.2093	-0.3868	1.151	4.2703	1.0874	0.7513	-2.4584	2.8712	-0.8529	3.0784	6.8603	3.4648	-0.7221	-1.8198	3.6229	1.8	1.2248	0.1491	4.9284	-1.4406	-0.3293	-4.4304	0.3141	-0.1495	-0.3667	-0.682	0.7068	-1.0865	-1.2306	0.5675	3.6872	-1.6917	4.4181	4.2063	1.2351	1.8513	0.4317	1.8207	-3.7164	-2.4807	1.33	3.9915	-1.7784	1.7179	-0.5289	3.4912	-1.1359	2.2181	2.4271	-0.8254	3.6137	-7.1943	-3.9962	2.9596	2.8605	-0.845	2.2348
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	-0.742	-2.036	-2.9897	2.4392	-2.6939	-2.2695	2.7176	-0.8015	1.3202	0.2801	3.0069	-0.0543	-0.6757	0.0603	3.3416	0.7067	2.8843	3.2184	1.8477	0.1743	-0.1475	4.0614	1.4699	1.5576	1.7245	2.5163	-1.8173	-1.2346	-1.2851	-0.7024	0.1169	-1.0647	3.6065	-1.3873	0.478	0.5916	2.5428	3.0892	0.3253	2.9754	2.3382	2.8958	-0.7385	-1.6819	0.3165	-2.9534	-3.7781	0.8114	4.1891	-1.3989	-1.1049	0.4504	2.2754	-0.5639	2.0034	0.8335	-0.7924	0.6801	-5.8737	-3.56	-0.855	-0.2444	1.4976	2.6229
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	1.1235	-1.0543	-3.7695	0.2373	-0.0884	-0.6137	2.2654	-0.3641	-1.6767	0.2367	2.2798	2.5992	1.722	-1.7571	0.4315	-1.2821	0.4089	6.0479	1.7968	-0.251	-1.2401	3.9164	2.8817	0.2686	-0.8173	3.7982	-1.3435	-0.6611	-2.5784	0.4349	0.8441	-0.0788	0.5507	-0.2149	-1.0432	-2.121	2.4519	0.9208	-1.9698	3.9192	3.7356	0.1997	2.2067	0.9391	1.1131	-0.7952	-1.0974	1.0319	2.1485	-1.5459	-0.0931	-1.2841	4.1105	-1.8162	1.7276	0.7618	-0.2124	3.0395	-4.2448	-3.3005	2.1966	0.9093	-1.0042	3.3494
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	0.623	0.3493	2.0143	9.9607	-8.4655	-2.3221	8.1442	-0.8412	8.1639	0.8311	-3.1692	3.1553	-10.2189	11.9536	7.7474	7.9506	-0.5222	-0.7732	2.4408	8.6763	4.1225	1.4731	1.1674	3.9806	-0.8238	-0.8712	2.7975	-1.789	5.3447	-5.1495	-2.5294	-3.8904	10.7463	-2.6689	2.14	12.1219	1.3395	3.0442	4.6712	-5.9582	-1.6887	5.6017	-3.1519	-6.1026	1.6073	0.6612	-3.9231	-4.5962	2.9787	3.2248	-6.5564	6.728	-4.3586	1.624	-3.7633	-3.4098	3.1736	-10.3653	-7.0313	1.944	-8.9319	-6.9545	5.545	-3.1936
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	-0.7338	-1.5768	0.9538	8.3066	-9.2142	-3.3734	7.8535	-2.4761	6.5642	-0.2011	-1.0626	2.5157	-8.8495	9.448	5.7792	6.9237	1.1109	-1.4078	-1.3552	6.8963	4.8189	-0.4455	0.1144	4.9963	5.9119	-0.7475	2.4846	-4.5827	5.9749	-4.8178	-3.5192	-3.0546	12.5645	-4.1495	2.1522	12.6613	2.8699	4.7772	2.7849	-3.6806	-1.5008	8.2798	-2.92	-5.5531	-1.1186	1.0314	-4.6259	-6.3541	3.082	3.1933	-7.0859	7.1193	-6.5749	3.9187	-5.1461	-1.2053	1.005	-7.5738	-7.4878	1.7141	-6.7841	-3.4663	5.0822	-4.2443
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	1.9442	-1.3398	1.9667	8.2773	-7.436	-6.6859	5.9806	-2.8355	6.4681	0.0862	0.2419	1.1008	-9.097	5.0308	5.4726	13.2272	-0.0536	-0.932	-0.2208	7.7698	3.9576	-1.1086	0.2561	3.8866	1.5912	-6.5299	-0.6417	-3.0883	6.2386	-4.9559	-3.7482	-4.1679	8.311	-4.0073	0.8553	11.5355	3.5309	3.7393	3.3369	-4.0388	-1.3078	7.6804	-4.1316	-7.2471	-0.5845	-0.3148	-3.8088	-4.14	2.7407	2.688	-7.3965	6.0286	-4.8143	2.8563	-3.5957	-3.3224	2.9788	-9.1935	-4.6139	4.5701	-6.4412	-4.9087	3.6398	-2.7701
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	-1.1632	-2.3273	2.5	8.3412	-5.9712	-7.4381	6.9374	0.4137	6.4386	-1.7469	3.5154	3.3518	-8.9461	10.5441	7.0795	4.3474	-1.6675	-2.0039	-0.3953	6.3425	4.8607	-1.3288	0.6953	2.2953	2.6216	-3.3215	2.9825	-4.7416	6.8593	-3.6615	-2.4878	-2.7108	6.9102	-3.7968	2.1681	10.8653	5.0336	5.0047	3.6189	-5.0844	-2.5042	5.4985	-3.9376	-4.6826	-1.0018	1.4138	-4.4413	-3.8281	4.6615	1.5386	-6.299	6.6925	-4.6565	1.7892	-2.6035	-1.4329	1.2931	-9.0062	-6.0266	2.9924	-8.2648	-7.3859	1.7029	-2.7756
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	2.7064	-3.2858	-5.9166	-0.0295	0.5234	-0.2132	2.3044	-1.0244	0.417	0.9474	4.9189	1.5883	2.5165	-3.281	5.6448	-3.2985	4.4367	6.5815	2.3159	-1.4966	-1.4883	5.4159	2.4305	2.2375	0.7802	5.8368	0.0243	-0.6546	-4.9937	-0.6143	2.1412	0.2872	-2.5712	0.1677	-0.9651	-2.674	0.5221	2.7808	-2.2864	5.0535	4.3794	1.3529	2.1086	-1.3313	1.7008	-3.1518	-4.0272	3.1934	4.5766	-2.1563	-0.6177	-0.1967	3.9631	-1.0366	1.0247	2.8339	0.2024	2.6532	-8.2231	-5.2038	2.2392	2.0068	-0.575	1.9811
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	1.9025	-1.3253	-4.3443	-0.2204	-2.3141	0.4558	1.7527	-0.8642	1.6507	0.3254	4.7195	0.4381	3.5925	-2.7595	1.6447	0.7324	1.7209	4.1585	2.7509	-1.9258	-3.9344	3.6224	0.6868	2.6704	-1.3892	4.8999	-1.9806	0.6647	-3.6964	-1.3294	0.5773	0.7576	0.5691	-0.3418	-2.1375	-0.97	0.6101	2.8218	-1.7597	3.6549	5.788	0.1386	-0.4884	1.1589	1.9145	-3.81	-0.3557	3.1813	3.7399	-1.2032	-0.9393	-0.7763	2.4516	0.4527	-0.1728	3.0618	-1.2919	2.788	-8.1635	-4.1204	4.0251	0.0582	1.4597	5.468
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	C57BL/6NTac	Female	GC	GC	RR-6	OSD-245	1.486	-3.0317	-5.6202	1.1902	-1.1184	1.2337	2.9452	-1.3947	1.3166	0.4838	5.2939	1.1877	2.9895	-3.0036	2.8665	0.2437	2.4636	5.7757	3.0191	-1.5522	-2.4586	4.153	3.0941	2.2646	-1.1429	5.5278	-2.8657	-0.4409	-4.6371	0.5869	1.5424	0.162	-0.4529	0.9609	-1.8858	-1.5395	0.9108	3.5411	-1.1293	3.719	5.481	0.3371	0.2977	-1.5663	1.7346	-4.8221	-3.5478	2.3356	4.2719	-2.11	-0.3625	-0.627	3.0121	-1.3561	1.2523	1.7003	-0.3753	3.0568	-8.3396	-4.257	2.7504	1.6644	2.0689	3.3557
