_MEMBER_FLT14_all,_MEMBER_FLT14_and_GC8,_MEMBER_FLT14_not_GC8,_MEMBER_GC8_all,_MEMBER_GC8_not_FLT14,_LogP_FLT14_all,_LogP_FLT14_and_GC8,_LogP_FLT14_not_GC8,_LogP_GC8_all,_LogP_GC8_not_FLT14,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,1,1,1,0,-16.838337709519728,-8.900498813647092,-8.14384896764817,-2.269682733727759,0.0,WP163,M11110,4,0,WikiPathways,27,Cytoplasmic ribosomal proteins,,-16.838337709519728,15.073171842273018,15.963700154692182,17423,79,278,19,6.83453237410072,1.5134200687354544,11837|16898|19933|19941|19942|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rps13|Rpl10,-12.895164829100723,0,2,1,1,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-13.629155957280965,-7.747688492361602,-6.329218307678415,0.0,0.0,mmu03010,M11100,3,0,KEGG Pathway,24,Ribosome - Mus musculus (house mouse),,-13.629155957280965,8.306015428620958,12.043553256172148,17423,166,278,22,7.913669064748201,1.6190644207663911,11837|16898|19933|19941|19942|19943|19944|19946|20084|20090|20115|27367|54217|57808|66489|67186|67248|68028|68052|68463|68499|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rps18|Rps29|Rps7|Rpl3|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl22l1|Rps13|Mrpl14|Mrpl53|Rpl10,-10.230051121212236,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-13.27848047265079,-6.585828105377716,-7.02097879115046,0.0,0.0,R-MMU-9954714,M11100,3,0,Reactome Gene Sets,6,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,,-13.27848047265079,13.194244604316546,13.566011069977984,17423,76,278,16,5.755395683453237,1.396829643692159,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.98852010600713,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-13.090010493364025,-6.497400716836809,-6.931755091105629,0.0,0.0,R-MMU-1799339,M11100,3,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-13.090010493364025,12.855930640103301,13.362830421573614,17423,78,278,16,5.755395683453237,1.396829643692159,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.887200302439265,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-12.729759933840555,-6.327950032713717,-6.760712463026657,0.0,0.0,R-MMU-975956,M11100,3,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-12.729759933840555,12.228812072293385,12.977956927971672,17423,82,278,16,5.755395683453237,1.396829643692159,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.631685093435808,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-12.729759933840555,-6.327950032713717,-6.760712463026657,0.0,0.0,R-MMU-9954716,M11100,3,0,Reactome Gene Sets,6,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,,-12.729759933840555,12.228812072293385,12.977956927971672,17423,82,278,16,5.755395683453237,1.396829643692159,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.631685093435808,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-12.226786052939055,-6.090475881614981,-6.520852110943082,0.0,0.0,R-MMU-72689,M11100,3,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-12.226786052939055,11.395029431000653,12.44823545491189,17423,88,278,16,5.755395683453237,1.396829643692159,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-9.15867443591175,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-12.162381346360466,-5.401941039468914,-7.077230912593634,0.0,0.0,GO:1901740,M11100,3,0,GO Biological Processes,19,negative regulation of myoblast fusion,19_GO:0048519 negative regulation of biological process,-12.162381346360466,16.294892086330936,13.791028863937125,17423,50,278,13,4.676258992805756,1.266273211328985,11837|19933|19941|19942|19943|19944|19946|54217|57808|66489|67186|67248|110954,Rplp0|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl10,-9.122298452933405,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-11.581599683273176,-5.155997347039254,-6.7828170709031665,0.0,0.0,GO:0034242,M11100,3,0,GO Biological Processes,19,negative regulation of syncytium formation by plasma membrane fusion,19_GO:0048519 negative regulation of biological process,-11.581599683273176,14.81353826030085,13.06513893486832,17423,55,278,13,4.676258992805756,1.266273211328985,11837|19933|19941|19942|19943|19944|19946|54217|57808|66489|67186|67248|110954,Rplp0|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rpl30|Rpl36|Rpl35a|Rpl35|Rplp2|Rpl39|Rpl10,-8.592669312293497,0,2,0,0,-16.838337709519728,16.294892086330936,
1,1,1,0,0,-11.472719105095925,-5.732648661940646,-6.1590525405673695,0.0,0.0,R-MMU-156827,M11100,3,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-11.472719105095925,10.232271325796505,11.670450839914384,17423,98,278,16,5.755395683453237,1.396829643692159,11837|16898|19933|19941|19942|19943|19944|20084|20090|20115|27367|67186|67248|68028|68052|110954,Rplp0|Rps2|Rpl21|Rpl26|Rpl27|Rpl28|Rpl29|Rps18|Rps29|Rps7|Rpl3|Rplp2|Rpl39|Rpl22l1|Rps13|Rpl10,-8.550735523746859,0,2,0,0,-16.838337709519728,16.294892086330936,
