FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Myh14,Tsc2,Twf1,Anxa6,Prdx6,Mrpl15,Cds1,Cyp3a16,Azgp1,Slc2a2,Tmem161a,Atox1,Cavin1,Chil4,Arfip2,Atxn7l3,Mxd4,Tfr2,Abcf1,Kdr,Hspa5,Atp6v0e2,Mylk3,Tuba4a,Hectd1,Agpat1
Dnajc25,Vcl,Prrc2a,Gbe1,Smim10l1,Sparc,Glb1l2,Psen2,Rmrp,Glul,Mylpf,Prdx5,Rilpl1,ENSMUSG00000069939,Parn,Gpatch2,Dapk1,Ftcd,Ppm1l,Usp47,Otc,Myoz3,Pkig,Alpk3,Chchd10,Abcc1
Morc2a,Psmd13,Stat5b,Larp1,Serinc1,Hsd17b11,Rab25,C1rl,Cox6c,Hspd1,Myh7,Rtn4,Rtn2,Vmn1r85,Srfbp1,Gulp1,Twf1,Ebp,Mmadhc,S100a10,Sar1b,Adcy2,Cyb5r1,Hrc,Uqcr11,Slc25a19
Tbcd,Sirt2,Tma7|Tma7-ps,Ppp1r15b,Ehhadh,Pdcd6,Mfap5,H3f3a,Apoc4,Lamp2,Pdk4,Col3a1,Timp2,Vmn1r217,Rbm12b1,Mup14,Tcf20,Tmt1a,Pikfyve,Serpina7,Bnip3,Trim55,Nctc1,Klhl31,Acsl1,Pola2
Gpatch2,Hnrnpa1,Zmpste24,Tm4sf4,Rpl37|Rpl37rt,St3gal4,Frem2,Arcn1,Acsl1,Aldh1a1|E030003E18Rik,Ankrd23,Txndc17,Coq10a,Amn,Rhog,Scn7a,Prrc2a,Sdhd,Dusp11,Psen2,Abhd2,Camk2a,Synpo2,Mylpf,Glul,Polr3d
Anxa2,Gpd1l,Nploc4,Srr,Cyp2c40,Ankrd11,Cdh3,Slc29a1,F2,Cfi,Cacna2d1,Ndufa6,Pdlim3,Ndst4,Mcm7,Bbs2,Fam210b,Tm4sf4,Vcam1,Prodh2,Sult2a8,Asb12,Slc41a1,Myh7,Cyp2a5,Csnk1e
Gpr107,Naa35,Commd3,Apol9b,Serp1,Nudt12,Lox,Atf5,Rps8|Gm15501,Nat8f2,Tmod4,Cops9,Dpt,Rassf9,Lrrcc1,Ddb2,Stat5b,Smim10l1,Srp14,Copb1,Pzp,Mfap5,Dusp18,Trak2,Selenop,Snapin
Fam169b,Cog5,Ube2b,Kdr,Il6st,Ubxn4,Spock3,Atl3,Selenop,Itm2b,Lynx1,Pomp,Tmtc1,Lrrtm3,Ift70b,Haus1,Tma7|Tma7-ps,Ppp2r5a,Alas2,Pcdh1,Uox,Spsb1,Col6a2,Pdk4,Ctsl,Golm1
Psme3ip1,Glrx,Usp5,Tmem176b,Cox5b,Cenpb,Apol11b,Marchf6,Ctsl,Sephs2,Tpm2,Snord17,Jph2,Dnaaf1,Lyset,Wdr62,Bccip,Serinc1,Mup20,Ccni,B2m,Gpm6a,Prkg1,Abra,Gpx4,Afap1l1
Nae1,Dnajb4,Umps,Usp47,Atp5pd,Arl6ip1,Agbl1,Eif3a,Apoh,Ugt2b34,Pbxip1,Ppp1r3c,Myl3,Lrp1b,Ppie,Aplnr,Zmpste24,Psmd2,Ugdh,Itpr1,Rmrp,Serpine2,Aqp4,Ankrd23,Nat8f2,Sugp2
