FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Tjp2,Pepd,Epn1,Ppara,Sult1d1,Eif3l,Hcar2,Erbb3,Cfh,Ces3a,Smyd1,,,Mir9-2hg,Fzd6,Spindoc,Tbl1xr1,Ddx3x,Rnf123,Ndufa6,Rpl31,Mapkapk3,Sh3bgr,Mb,Cycs,
Nemf,Tmem234,Polr2l,Gfm1,Ubr4,Krt8,Mrgprf,Rdh16f2,Lifr,C4bp,Hk2,,,Barx1,Zfp40,Pold1,Zhx1,Aldh8a1,Hmbs,Psme4,Idh1,Plxdc2,Mapt,Synm,Hsd17b13,
Chst15,Pdpr,Eif1a,Nsa2,Ttc36,Odc1,Map6,Slc22a30,C4b,Cyp2d26,Nrap,,,Pln,Snapc1,Zfp90,Cenpb,Iigp1,Snord22,Npm1,Ldha,Fmod,Kcnj2,Plec,Creb3l3,
Tgm1,Cib1,Gzf1,Ssr1,Hsd17b4,Pbrm1,Tafa3,Vwa8,Xist,Ubb,Igfbp5,,,Cep72,Sfswap,Snhg16,Stk11,Ap1g1,Ktn1,Cops9,Cyp2c37,Col6a6,Slc6a8,Golga4,Serpinf2,
Gimap4,Rela,Tbc1d9b,Osbpl8,Myh9,Tmem135,H3c2,Ddi2,Vtn,Fmo3,Gsn,,,Emb,Cep83,Zfp688,Arl6ip1,Acot4,Pop5,Rdh16f2,Dbi,Cdh13,Coq10a,Idh2,Cyp3a44,
Hmgxb3,Fgfrl1,Ormdl3,Ern1,Lect2,Gprc5c,Scube2,Habp2,Gsta3,Dmgdh,Krt5,,,Dlk1,Lyplal1,Nedd1,Rfk,Lactb2,Capn7,Nt5e,Rpl7,Ppp3cc,Prkcq,Ryr1,Fga,
Msrb2,Phactr4,Xrn2,Slc25a1,Sdc4,Cdip1,Duox1,Tm9sf2,Cyp2c39,Rida,Pfkm,,,Snord118,Map3k21,Slc7a8,Herc4,Birc6,Gna13,Sel1l,Psap,Fbp2,Fitm1,Mybpc1,Gpam,
Maml1,Rptn,Nsmf,Atrx,Mpc1,Prelp,Sema7a,4931406C07Rik,Serpina1a,Afm,Sln,,,Fam216a,Sars2,Lrp2,Aup1,Atp1a1,Ssrp1,Abcd2,Ctsb,Kcnma1,Ogn,Lpl,Tmem205,
Nol6,Eloc,Ankhd1,Rhoa,Gclc,Bcap31,A530013C23Rik,Pbld1,Adh1,Pygl,Myom2,,,Cldn17,Klhl20,Cyren,Tpp2,Lpp,Mink1,Tmem59,Igfbp4,Pkhd1l1,Pdlim3,Ttn,Rgn,
Tomm22,Abcf3,Nufip2,Kmt2c,Enpep,Afdn,Ncapg,Pttg1ip,Crot,Slc22a1,Fbxo32,,,Tmem26,Atg4c,Homez,Mrpl12,Afmid,Cobl,Golgb1,C3,Tspan8,Nol3,Map3k20,Ak3,
Vrk3,Lamc1,Naxd,Tnks2,Cald1,2900026A02Rik,Wfikkn2,Acadl,Mgst1,Ugp2,Ahnak,,,D630023F18Rik,Zswim4,Mnt,Tmem120a,St6gal1,Tcim,Hmgb1,Prpf8,Kcnj12,Pdp1,Cfl2,Fbp1,
Zmym4,Gtf2h5,Keap1,Dhrs4,Pklr,Snrk,Tacstd2,Furin,Rpl9,Acadvl,Actn2,,,Eef1akmt3,Dgkh,Pdgfb,Thrb,Cnot1,Csnk1g2,Akap1,Mia2,Aebp1,Cavin4,Srl,Gnmt,
Thyn1,Pgd,Rreb1,Hspg2,Fabp2,Setd2,Sobp,Ccs,Lrp1,Gstm1,Flnc,,,Wif1,Grwd1,Adam19,Mccc1,Slc25a13,Polr2k,Zcchc24,Stard10,Fgf2,Trim54,Sptb,Ttr,
Ucp1,Mrpl53,Clptm1,Uggt1,Pabpc1,Dazap2,Tmprss13,Sec62,Car3,Pemt,Pde4dip,,,Noxo1,Thoc5,Dbn1,Hnrnph1,Atf6,Sema4a,Lrp6,Cyb5a,Palm,Dpt,Atp2a1,Apoc1,
Rbpms2,Apeh,Gtf3c1,Marf1,Rps9,Alcam,Ptgs2,Cflar,Aldh1l1,Gapdh,Ldb3,,,Snord2,Prdm15,Arid3b,Rnf139,Ap3m1,Selenbp2,Adgrf5,Rpl37a,Fndc1,Tmtc1,Tnnt3,Aldh2,
Zfp560,Fam162a,Pfdn1,Csnk2a1,Cmah,Sf3b2,Slc10a6,Gpt2,Mup3,Acox1,Nipsnap2,,,Fam83g,Zfp839,Caln1,Slc35e1,Agpat2,Amd1,Ndufa10,Rxra,Satb1,Tbc1d4,Oxct1,Gstm1,
Rpa3,Gps1,Hectd3,Psmd1,Rgs5,Itgb5,Rab15,Srrm2,Cfhr2,Ahcy,Cmya5,,,Faap24,Zfp612,ENSMUSG00000097164,Fam234a,Sf3b1,Trio,Gatd3a,Rps11,Hhatl,Jph2,Ppp1r3a,Bche,
Sfswap,Srrm1,Dpp3,Echdc3,Suclg1,Cyp2j6,ENSMUSG00000085614,Ces2e,Itih2,Adipor2,Serpinb6a,,,Slc22a6,Celf2,Snx32,Col4a1,H2-T23,Timm17b,Slc25a20,Atp5f1a,Lmod1,Myl3,Pdlim7,Ces1b,
Ifi35,Sdhaf2,Psma1,Ndufs8,Fmo1,Rnf103,Pax3,Taok1,Acly,Agt,Scn4a,,,Spesp1,Txndc16,Cd248,Cebpg,Cyp4a14,U2surp,Sec62,Apoc3,Ddr1,Acyp2,Pgam2,Acox1,
Marveld1,Eif3g,Fuca1,Dnajc22,Rpl18,Gtf2i,Plb1,Hipk3,Rps3,Ugt2b36,Ank1,,,Dpep2,Hnf1b,Abcg3,Ndufa8,Cox7a2l,Arap1,Vps13c,Gcdh,Musk,Tead1,Atp2a2,Apoa2,
Tlk2,Arid4b,Vcpip1,Msra,Lap3,A1bg,Tmprss4,Aars1,Eef2,Cyp2a12,Ppp1r12b,,,Trim50,Rnasel,C3ar1,Cmpk1,Zfp445,Tbca,Prelid1,Cfhr4,Mllt11,Ipo13,Bin1,Ahcy,
Prxl2b,Dync1i2,Wdr81,Crk,Rpl24,Dsc2,Elovl7,Hsd3b3,Rps23,Hsd3b7,Tnnc2,,,Dock3,Ncoa7,Mansc1,Mlycd,Gabarapl1,Colgalt1,Taok1,Slc7a2,A530013C23Rik,Asb11,Pkia,Man1a,
Prune1,Becn1,Anxa4,Spp2,Pgam1,Sos1,Tns4,Tomm70a,Rps15,Cyp2j5,Myh1,,,Zfp287,Sgf29,Wnt2,Ttc39c,Pbld2,Ahr,Calu,Cp,Krt19,Nxn,Ptp4a3,Bsg,
Lyplal1,Tpd52l2,Kpna1,Hacd3,Cyp2c37,C1galt1,Plekha4,Plxnb2,Rpph1,Hgd,Cox7a1,,,Lrrc63,Zgpat,Fmnl1,Bag1,Bhmt2,Pds5b,Aars1,Ces1f,Cavin3,Sacs,Usp13,Ahnak,
Sf3a3,Sfmbt1,N4bp2l2,Ppm1b,Grpel1,Itpr2,Frat2,Entpd5,Serpinf2,Hsp90ab1,Eef1a2,,,ENSMUSG00000074250,Hat1,Parp8,Sptssa,Oaf,Lrrfip1,Acaa1a,Inhca,Cdc14a,Tspan3,Atp1a2,Hc,
Prepl,Metap1,Snx2,Ncl,Cth,Rorc,Tecrl,1600014C10Rik,Tdo2,Acaa2,Fabp4,,,Cela3a,Pip5k1a,4933431E20Rik,Cdc34,Zfp871,Ptk2b,Igfals,Bhmt,Tbx1,Pde4d,Hbb-b1|Hbb-bs,Cyp2j5,
Trappc4,Wasf2,Rtf2,Ubr5,Cers2,Slc25a11,Tenm2,Eef1g,Uba52,Canx,Tpm3,,,Slc7a14,Kri1,Frem2,Fggy,Kif1b,Sco2,Morf4l1|Morf4l1b,Rpl7a,Rflnb,Egln3,Fem1a,Pah,
Tefm,Dnajc7,Ranbp10,Cct7,Cyp7a1,Amt,Insyn1,Amfr,Cyp3a44,Cyp2c29,Neb,,,Slc44a5,Itga4,Col8a1,Polr2m,Cox6a1,Nudt9,Tef,Slc25a15,Tecrl,Klhl33,Actn3,Adh5,
Endog,Hdhd2,Fis1,Srsf5,Selenbp1,Metap2,Itga2,Col14a1,Fga,Fah,Slc25a4,,,Glb1l3,Tomm34,Vstm4,Ddrgk1,Sirt3,Tm2d2,Slc25a22,Acsl5,Obsl1,Cav1,Hba-a1,Acaa2,
Xylt2,Plin5,Irak1,H2bc4,Atp11c,Dlg1,Cacna1g,Copa,Rgn,Plin2,Perm1,,,4930570G19Rik,Airim,Rap1gap2,Arel1,Sec23a,Cript,Tor1aip2,Ptprb,Kcnq4,Pcnt,Agl,Slc27a2,
Pou2f1,Sugt1,Ssr2,Hbp1,Ak2,Sumo3,Relt,Nckap1,Fbp1,Itih1,Ybx3,,,Zfp286,Zfp467,Donson,Pam,Rtn4,Zmiz1,Ran,Rps27,Rp1,Col6a1,Pdlim5,Pgrmc1,
C1qtnf1,Afg3l2,Cpped1,Fgf1,C1s1,Mfsd1,Ptges,Arhgap5,Gnmt,Ghr,Hbb-bt,,,Trim80,Zfp873,Tmem41a,Clip1,Retsat,Sars1,Pfdn5,Cbs,Plat,Kif13a,Xirp2|Gm1322,Ndufb8,
Myoz3,Adcy9,Golph3,Tmem176a,Prpf8,Sacm1l,Sox2,Qsox1,Trf,Ttpa,,,,Ddx3y,Nup62,Pinx1,Papola,Txndc5,Cacybp,Klf9,Fgl1,Hspa1a,Mllt3,Aldoa,Errfi1,
Dop1b,Lig3,Pdpk1,Ube4a,Mia2,Itfg1,Opn1mw,Hnrnpa2b1,Ttr,Gjb1,,,,Fam241a,Zdhhc16,H2bc21,Plaa,Rpl6,Klhdc2,Snora74a,Rpl23a|Gm46442,Eln,Trim63,Pvalb,Tle5,
Thoc5,Nhsl3,Mtfr1l,Nr3c1,Rpl8,Zeb2,Dnm1,Papss2,Apoc1,Got2,,,,Map3k15,Ccdc9,Adat1,Mrps33,Atp5pf,Pja1,Cd81,Ass1,Pde4a,Trim72,Smyd1,Itih1,
Anp32e,Ube2v2,Trim56,Rock1,Gdi2,Bckdhb,Rp1,Etnppl,Aldh2,Csde1,,,,Ptprn2,Ikzf1,Fbxl12,Colec12,Atg3,Ik,Vps13b,Acat3,Cib2,Stac3,Hk2,Atp5mc1,
Fam149b,Mtmr2,Ikbkb,Nucks1,Slc26a1,Tmem19,Mgst2,Ndufs2,Ambp,Insig2,,,,C920021L13Rik,Col27a1,Cntrob,Chmp3,Mtus1,Sall1,Angptl4,Hspa9,Tmcc2,Smtnl2,Nrap,Hsd11b1,
Ifrd1,Arpc4,Ubxn7,Slc6a6,Eif1,Lima1,Gdpd2,Ces3b,Rpl10,Apof,,,,Gm4265,Msh6,Smn1,Apeh,Slc25a5,Tmem242,Atrn,Alb,Lgi1,Gpx3,Igfbp5,Col18a1,
Mtres1,Ftsj3,Slc30a9,Anks4b,Selenot,Diaph1,Arl2bp,Met,Cat,Aass,,,,Ntrk3|E430016F16Rik,Eogt,Pfkp,Epn1,Crp,Selenos,Nampt,H2-Q10,Ssbp2,Phka1,Asph,Atp5f1c,
Prr14,Dnaaf9,Snx9,Hsd17b2,Aplp2,Dpp8,Aqp3,Pecr,Scd1,Comt,,,,Slc25a29,Klhl13,Dagla,Polr2l,Echs1,Washc5,Scarna6,Serpinf1,Eya1,Tmem65,Tmem182,Csde1,
Rhobtb3,Nudcd3,Acsf2,Tpr,Rxra,Hook1,Fhl5,Wapl,Rpsa,Fmo5,,,,Col9a2,Arl6ip6,Nek8,Eif1a,Ppara,Med8,Eef1g,Ubc,Card19,Twf2,Gsn,Apof,
Cog2,Trak2,Map2k3,Sntb1,Myo1b,Slc23a1,Eya1,Gpd1,Hamp,Tmprss6,,,,Mks1,Dnajc16,A430033K04Rik,Gzf1,Nsa2,Dph3,Ndufb5,Mdh1,Cd24a,Adprhl1,Filip1l,Abcb11,
Nxf1,Camk2n1,Setx,Laptm4a,Nrn1,Acaa1a,Zp2,Ppp1ca,Cox7b,Tmbim6,,,,H2-Bl,Adprs,Rhbdf1,Qprt,Ubr4,Capza1,Nucb1,Rpl4,Prrx1,Fundc2,Pfkm,Serpina6,
Eml3,Fbxo22,Elob,Set,Tmem106b,Tef,Ano9,Agpat3,Fasn,Sult1a1,,,,Mmel1,Lmo2,Clec4n,Rab18,Ecm1,Ubap2l,Fxyd1,Rps24,Serpine1,Ap1s2,Sln,Tmbim6,
Zfp869,Uaca,Ifi27,Ccdc47,Akr1a1,Adtrp,Scn3b,Lpin2,Ces1b,Abcd3,,,,Syn2,Cnr2,Cd300c2,Tbc1d9b,Son,Timm44,Nckap1,Mttp,Pknox2,2210416O15Rik|Cuedc1,Myom2,Malat1,
Mettl23,Ext2,Pmvk,Retreg2,Caprin1,Jmjd1c,Garin5a,Acox2,Mug1,Ech1,,,,Cdkn3,Rpp40,Zfp449,Suds3,Slc25a1,Ctss,Hnrnpa2b1,Mpc2,Art5,Epdr1,Fbxo32,Serpina1c,
Gbp3,Kcnk5,Pmpca,Mtdh,Rps11,Pcnp,H1f5,Cyp8b1,Fgg,AI182371,,,,ENSMUSG00000099923,Lrrc14,Gem,Becn1,Hsd17b4,Ifnar1,Osbpl9,Aadac,Bves,Apol6,Actn2,,
Tra2a,Nop53,Mapk1ip1l,Nr1i3,Als2,Cyp2d9,Osr1,Abcc6,Apoa4,,,,,Rsph1,Slc9a1,Mpzl1,Tpd52l2,Baat,Erc1,Wwp1,Ephx2,Snca,Mbp,Ehbp1l1,,
Celf2,Brd3,Ssrp1,Ptprj,Tkfc,Angptl4,Art5,Cyp2c69,Itih4,,,,,Bcat1,Fxyd5,Zscan2,Ormdl3,Myh9,Dgcr6,Etnppl,F10,Ly6c1,Bcam,Acta1,,
Ugt1a7c,Marchf2,Ssh2,Ywhaz,Arl1,Nampt,Dkk2,Pm20d1,Apoa2,,,,,Tmprss11g,Mad2l1bp,Wdr25,Xrn2,Lect2,Mapkapk5,Mmd,Macf1,Crhr2,Vegfb,Flnc,,
Hnf1b,Atp9b,Hp1bp3,Ube2r2,Rpl14,Dlc1,Gypa,Ybx1,Serpinc1,,,,,Spo11,Gtf3c5,Tk2,Nsmf,Gstk1,Ptpn3,Ces2a,Tlcd4,Rapsn,Mafk,Mgst3,,
Pltp,Uba3,Lrba,Aadat,Oaz1,Chd9,Grhl2,Lgals8,Hc,,,,,Rbmx2,Snx17,Plcl1,Samm50,Rpn2,Hspa4l,Gpcpd1,Rplp1,Mfap3l,Fndc5,Pde4dip,,
Trp53bp2,Pigq,Mink1,Iigp1c,Rnaset2b,Svil,Rapsn,Steap4,Serpina3m,,,,,Pwwp3b,P3h1,Plpp2,Plin5,Gclc,Mrpl2,Nsd1,Slc10a1,Thbs4,Mkrn2,Ldb3,,
Rad17,Tmcc1,Top1,Ctdsp1,Gckr,Synj2bp,Sncg,Ubqln1,Pck1,,,,,Eya2,Vps18,Dancr,Ankhd1,Mbnl1,Tmem126a,Cst3,Serpind1,Frzb,S100a6,Amotl1,,
H2az2,Ptpmt1,Ammecr1l,Ptges3,Tpi1,Acot13,Bnc2,Golga4,Pah,,,,,Alox12b,Zbtb26,4833418N02Rik,Ddx1,Ly6e,Odr4,Pecr,Apob,Map1a,Slc27a1,Smpx,,
Ddit4l,Ubxn2a,Taldo1,Tars1,Sptan1,Zfr,Apod,Idh2,Ndrg2,,,,,Slc7a13,Yeats2,Pira2,Afg3l2,Enpep,Creld2,Igf2r,Rpl13a,Kcng4,Akr1b1,Myh4,,
Hdac6,Nup210,B230219D22Rik,Tkt,Mgam,Cops2,Thbs4,Eif2s3x,Atp5pb,,,,,Reg3g,Sema6a,Il10ra,Cldn2,Cald1,Ccar1,Mup2,Nedd4,Egf,Gmpr,Nipsnap2,,
Clic5,Gas2,Xpo1,Phf3,Slc7a2,Eif2s2,Capns2,Tcn2,Arg1,,,,,Vmn1r229,Blcap,Gngt2,Nufip2,Pklr,Nptn,Wapl,Plg,Plaat1,Sspn,Btbd1,,
Atp6v0d2,Nup155,Sema4a,Itga1,Calm1,Cebpa,2310015D24Rik,Mtch2,Slc27a2,,,,,Inava,Slc1a4,Tada2a,Naxd,Kmt2c,Mars1,Eif3i,Hnf4a,Vgll2,Nexn,Cmya5,,
Cltb,Rnf187,Selenbp2,Gpat4,Ghitm,Thrap3,Nfatc4,Pcyox1,Hamp2,,,,,Fkbp10,Prr12,Dll1,Keap1,Nipsnap1,Mpzl2,Akr1c13,Rps27a,Fos,Dmpk,Art1,,
Eeig1,Zfp292,Stard5,Csnk1a1,Dnajc3,Nrdc,Atp1b2,Immt,Cyp3a41a,,,,,Rorb,Thap11,Zfp511,Calcrl,Nr1i2,Use1,Ythdf3,Kng2,Atf3,Rragd,Zfp106,,
Habp4,Dhcr7,Bptf,Hykk,Rpl36al,Dhx15,Nfatc2,Acbd5,Prdx1,,,,,Hsd17b14,Cadm3,Zfp39,Ell2,Tspan12,Fxr2,Qki,Rps27l,Mlip,Tomm40l,Scn4a,,
Brpf3,Ubl4a|Gm44504,Dpp9,Galm,Hadhb,Dap,Scrn1,Wnk1,Slc38a3,,,,,Skida1,Olfml3,Slc25a24,Rnf4,Pabpc1,Plcg1,Cyc1,Lgals9,Srpk3,Mapk12,Ank1,,
Ptpn4,Itga9,Fam32a,Prodh,Apom,Slc39a1,Arhgef28,Fermt2,Eif4g2,,,,,Alkal2,Psph,Ankrd13b,Rreb1,Dhrs4,Kif16b,Cyp2c69,Asl,Dtx3,Ucp3,Ppp1r12b,,
Srek1,Hhex,Pon3,Slc16a2,Dstn,Cst3,Ptn,Hnrnpa3,Pgrmc1,,,,,Klra7,Bcl2,Fkbp14,Clptm1,Cmah,Wtap,Lrp5,Akr1c14,Tmem233,Cav3,Pacsin3,,
Kdm4a,Ilk,Psmd7,Pdcd4,Ifitm3,Ppip5k2,Cpa3,Azin1,Errfi1,,,,,Adamts12,Sde2,Tle2,Nop53,Sdc1,Prg4,Epb41,Dgat2,Slc41a3,Eml1,Coq9,,
Prps2,Tor1a,Eif3k,Larp4b,Tmem256,Pds5a,Ube2c,Tm9sf3,Atp5me,,,,,Gstt4,Gm14391,Rai2,Gtf3c1,Uggt1,Fkbp15,Lgals8,Rpl39,Wnk2,Usp2,Tnnc2,,
1600012H06Rik,Mix23,Bmpr1a,Npm1,Ugt2b1,Fabp5,Serpinb2,Msrb1,Ces1c,,,,,Pgf,Lysmd1,Cd37,Tuba1b,Rgs5,Ppp1r11,Decr2,Iqgap2,Angptl1,Pdlim1,Myh1,,
Ccdc186,Pmm2,Psmb2,C8b,Acadm,Cd47,Angptl1,Acads,Rps29,,,,,Trerf1,S1pr3,Ror1,Rab5c,Marf1,Sec11c,Ugt1a6a,Cfh,Mybph,Cd34,Cox7a1,,
Mylk3,Arnt,Timm13,Nt5e,Pebp1,Pxmp4,Shox2,Bltp1,Cyp2e1,,,,,Gpr152,Lamb3,Pde8b,Pfdn1,Ranbp2,Cetn3,Ctsa,Lifr,Shox2,Fstl1,Eef1a2,,
Pias2,Ero1b,Irs1,Sel1l,Gulo,Zfp148,Nectin4,Kynu,Cfb,,,,,Aldh1l2,Myg1,Dync2i2,Ninj1,Suclg1,Tpcn1,Ubqln1,Sult2a1,Scara5,Prss23,Ppp2r3a,,
Prkca,Mrps5,Stom,Magt1,Rpl13,Mavs,Tceal7,Copb2,Hpx,,,,,H2bc27,Nmnat3,Flt3l,Hectd3,Fmo1,Cfdp1,Notch2,Cd164,Tceal7,Tnik,Fabp4,,
Psmg4,Sfr1,Iars2,Abcd2,Flnb,Glyr1,Lgals12,Bckdha,Apcs,,,,,Lrp2bp,Cyba,Zfp791,Dpp3,Rpl18,Prex2,Bgn,Lamp1,Medag,Trip10,Tpm3,,
Coa4,Ormdl1,Psma5,Tmem59,Paics,Mlxipl,Slitrk4,Prkd3,Hsd11b1,,,,,Tal1,Ikbip,Vwa1,Kdm5c,F12,Pcf11,Clpx,Mbl2,Adgrd1,Lrrc14b,Cpt1b,,
Esco1,Dennd1b,Atp2b1,Golgb1,Glyat,Ddc,Myo5c,Mbl1,Col18a1,,,,,Spag4,Trip6,Cyp2j9,Gnpnat1,Cryz,Timm8a1,Mtch2,Aldh6a1,Gpc3,Akap6,Neb,,
Rufy1,Farsb,A730008H23Rik|Hjurp,Syne1,Abcb4,Tnks1bp1,Sertad4,Suox,Khk,,,,,Ret,Noc4l,Arhgap11a,Psma1,Lap3,Snrpe,Prdx2,Fads1,Neu2,Casq2,Slc25a4,,
Pkig,Ube2q2,Ociad1,Ywhae,Ddx5,Sar1a,Asb15,Eif4b,Rps14,,,,,Racgap1,Tnfsf10,Prr5l,Rnf187,Igfbp2,Ssu72,Klhl24,Rack1,Fry,Ank2,Mfn1,,
Msh6,Spr,Igfbp1,Lrrc3,Cbs,Vkorc1,Tmem132a,Pipox,Tpt1,,,,,Mep1a,Oas1a,Brms1l,Fuca1,Psmd1,Chmp4b,Fermt2,Asgr1,Tmem100,Ppargc1a,Perm1,,
Rhob,Usp6nl,Brk1,Hmgb1,Acat3,Optn,0610009L18Rik,Cyp2c67,Abcb11,,,,,Zfp105,AU041133,Miga1,Vcpip1,Echdc3,Zfhx4,Hnrnpa3,C4b,Plau,Ano5,Ybx3,,
Klhl2,Pdia5,Csf1r,Akap1,F13b,Zdhhc5,ENSMUSG00000087221,Insr,Serpina6,,,,,Pkib,Slfn8,Smco4,Wdr81,Rpl24,Vldlr,Hsd17b10,Ces1d,Klhdc1,Castor2,Tnnc1,,
Snora44,Tnfaip1,Trak1,Zcchc24,Cpn1,Swi5,Zim1,Surf4,Atp5f1b,,,,,Plppr2,Wnt5b,Mcm8,Numa1,Pgam1,C1qbp,Bltp1,Vtn,Arhgap10,Tln2,Hbb-bt,,
Cux1,Emc6,Srp9,Aifm1,C1ra,Trpm7,Dio2,Ndst1,Rps25,,,,,Cchcr1,Tatdn1,Vash1,Anxa4,Cyp2c68,Rbl2,Ndufs5,Haao,Islr,Alpl,,,
Hsd3b2,Fmc1,AU022252,Trp53inp1,Sdhb,Cyp2d13,Cma1,C9,Hspa8,,,,,Cpeb1,Gm15446,Tspan17,Zfp292,Msra,Rbm33,Kynu,Gsta3,Pmepa1,Lnpk,,,
Camk2a,Egln2,Sall1,Nisch,Pdia3,Pkp4,Tubb2b,Bzw1,Malat1,,,,,Erv3,Snx21,Dtwd2,Kpna1,Grpel1,A1bg,Gne,Rarres2,Uckl1os,Mstn,,,
Dnajc16,Rnf123,Mgat1,Lrp6,Hpn,Syncrip,Tmem255a,Tram1,Serpina1c,,,,,Tarm1,Axin2,Bambi,N4bp2l2,Cth,Lysmd3,Car8,Cyp2d10,Ecm2,Coq7,,,
Plrg1,Hmbs,Fxr1,Psma4,Alad,Poldip2,Dnajc6,Nfib,Gstz1,,,,,Mcub,Arsb,Sema5a,Etnk1,Crk,Smpd1,Aldh1a7,Rpl5,Enah,Prr33,,,
Hltf,Elavl1,Ggnbp2,Adgrf5,Serpinf1,Pfn1,Mall,Eif5,,,,,,Ccr1l1,Trit1,Dipk1b,Rnh1,Spp2,Ube4b,Ndufa1,Acat1,Rab3a,Zbtb17,,,
Nmnat1,Bag4,Naa60,Ndufa10,Hadh,Pglyrp2,Nkain4,Ganab,,,,,,Thsd4,Ghdc,Mrc2,Snx2,Cers2,Rptor,Suox,Ppia,Pi16,1700025G04Rik,,,
Efcab14,Snord22,Ergic2,Cep350,Aldh9a1,Hsbp1,Espl1,Npc1,,,,,,Serpinb5,Wars1,Isyna1,Ccny,Cgnl1,4930453N24Rik,Gucd1,Aldh4a1,Zfp641,Fhl3,,,
Idnk,Ktn1,Naprt,Gatd3a,Ugt3a2,Hsd17b12,Rtl6,Sptbn2,,,,,,C1ql1,Tmem144,Sufu,Ildr2,Cct7,Qars1,Fcgrt,Adk,Mmp2,Slc44a2,,,
Lum,Pop5,Zfp706,Bmpr2,Masp1,Tubb5,Myog,Actn4,,,,,,Slc5a9,Cyp4f17,Myct1,Pdcd6ip,Cyp7a1,Eif2a,Psmb1,Elovl5,Mmrn1,Mrps36,,,
Ptges2,Usp16,Mccc2,Vps13c,Acsm1,Kif13b,Mc5r,Hmgcs1,,,,,,Tnip3,Ubald1,Cebpd,Anp32a,Selenbp1,Bach1,Dynlt3,Cox7a2,Zfp462,Camk2g,,,
Uxt,0610040J01Rik,Rlim,Prelid1,Mpc2,Cpox,Sema3g,Hspa4,,,,,,Gm6377,Arsk,Zfp503,Rtf2,Atp11c,Ppp3ca,Cyp2c67,Mgst1,Sema3g,Nos1,,,
Cxxc5,Srd5a1,Sgms2,H1f0,Aadac,Dynlrb1,AW551984,Trip12,,,,,,Ppp1r3f,Zfp976,Prag1,Ranbp10,Kmo,Msn,Cct3,Tmt1b,C1qtnf9,Mypn,,,
Cyb5r1,Capn7,Xpo7,Tmem183a,Ephx2,Rsrp1,Cntnap2,Epas1,,,,,,B230319C09Rik,Zfp866,Bcl6b,Fis1,Yme1l1,Nid1,Herc2,Elovl2,Map2k3os,Phtf2,,,
Emp2,Nceh1,Itgav,Mup10,Tlcd4,Rab10,Hoxc4,Dsg2,,,,,,Sh3bp1,Shank3,Gadd45b,Cul1,Fgf1,Nap1l1,Tram1,Dhcr24,Kcnc1,Xirp1,,,
Dpp7,Gna13,Cdc37,Top2b,Rpl18a,Supt6,Neurl2,Nfe2l1,,,,,,Gm14496,Vmac,Tdg,Irak1,Tmem176a,Dynlt1b,Akap9,Rpl9,Popdc3,Limch1,,,
Nctc1,Tnpo2,Rdh11,Calu,H6pd,Mpdz,Dusp26,Pcmtd1,,,,,,ENSMUSG00000118193,Pphln1,Hapln4,Mapk14,Ptp4a2,Sin3a,Mcl1,Lrp1,Ifi205,Gpc1,,,
Abhd17a,Ddx21,Hsd17b8,Psmb6,Txn1,Timm23,Il1rl1,Tax1bp1,,,,,,Adgrg2,Rundc1,Plekhh2,Ccdc50,Bcap31,Cmtm4,Prrc2c,Car3,Spock2,Fastk,,,
Zfand1,Gbp7,Psmd11,Igfals,Rpl28,Zzef1,Il12a,Slc38a2,,,,,,Csrnp3,Mpzl3,Mark1,Ssr2,Ak2,Ndufb2,Gk,Mup3,Dusp26,Rps6ka2,,,
Ago3,Lepr,Tjp1,Morf4l1|Morf4l1b,Serpina11,Ltbr,Mmp23,Cyp27a1,,,,,,Slc5a10,Zfp426,Metrnl,Cpped1,Eif5a,Itsn1,Sec63,Itih2,Trpt1,Map7d1,,,
Gm15417,Cobl,Irgm1,Slc25a22,Hebp1,Selenoo,Fosb,Ehd3,,,,,,Tbx19,Mvd,Nt5c,Bag4,Ube4a,Cmtm6,Uqcrq,Hspe1,Pmp22,Myadml2,,,
P4ha1,Tcim,Erc1,Tor1aip2,Hint1,Anxa7,Clca2,Cd1d1,,,,,,Sv2b,Amigo2,Wnt4,Golph3,Il1rap,Bud31,H3f3b,Dpyd,Slc2a12,Ppip5k1,,,
Slc30a4,Csnk1g2,Pdzd8,Sgpl1,Uqcrc2,Gk,Meox2,Hoga1,,,,,,Rmi2,Fbf1,Zfp882,Pdpk1,Nr3c1,Litaf,Snrnp200,Hsd17b6,Asb14,Smarcd3,,,
Sharpin,Prpf6,Ptpn3,Klf9,Etfa,Pdzk1,Mafa,Plpp3,,,,,,Traf1,Fzd5,AI662270,Mtfr1l,Anks4b,Pdxk,Ivns1abp,ENSMUSG00000089617,Trpm4,Sema4d,,,
