FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14
ENSMUSG00000033623,ENSMUSG00000025437,ENSMUSG00000020307,ENSMUSG00000067212,ENSMUSG00000003585,ENSMUSG00000021248,ENSMUSG00000046618,ENSMUSG00000030108,ENSMUSG00000020609,ENSMUSG00000039197,ENSMUSG00000024381,,
ENSMUSG00000118669,ENSMUSG00000009013,ENSMUSG00000032199,ENSMUSG00000047036,ENSMUSG00000063077,ENSMUSG00000070407,ENSMUSG00000048327,ENSMUSG00000018501,ENSMUSG00000074129,ENSMUSG00000032349,ENSMUSG00000027499,,
ENSMUSG00000028670,ENSMUSG00000029068,ENSMUSG00000042350,ENSMUSG00000024298,ENSMUSG00000041697,ENSMUSG00000029250,ENSMUSG00000032184,ENSMUSG00000036427,ENSMUSG00000050708,ENSMUSG00000025347,ENSMUSG00000059895,,
ENSMUSG00000019189,ENSMUSG00000014349,ENSMUSG00000026335,ENSMUSG00000056999,ENSMUSG00000029614,ENSMUSG00000040029,ENSMUSG00000029769,ENSMUSG00000044986,ENSMUSG00000028307,ENSMUSG00000021364,ENSMUSG00000007097,,
ENSMUSG00000015757,ENSMUSG00000066839,ENSMUSG00000049550,ENSMUSG00000030062,ENSMUSG00000022890,ENSMUSG00000028199,ENSMUSG00000032878,ENSMUSG00000026924,ENSMUSG00000059481,ENSMUSG00000034926,ENSMUSG00000006457,,
ENSMUSG00000022965,ENSMUSG00000024187,ENSMUSG00000028577,ENSMUSG00000020986,ENSMUSG00000045636,ENSMUSG00000030560,ENSMUSG00000056569,ENSMUSG00000030738,ENSMUSG00000017950,ENSMUSG00000022877,ENSMUSG00000069919,,
ENSMUSG00000037426,ENSMUSG00000017843,ENSMUSG00000029918,ENSMUSG00000038991,ENSMUSG00000016319,ENSMUSG00000027357,ENSMUSG00000068748,ENSMUSG00000018677,ENSMUSG00000033022,ENSMUSG00000033308,ENSMUSG00000027022,,
ENSMUSG00000030282,ENSMUSG00000037410,ENSMUSG00000096688,ENSMUSG00000022663,ENSMUSG00000037942,ENSMUSG00000038967,ENSMUSG00000012819,ENSMUSG00000022253,ENSMUSG00000025533,ENSMUSG00000060613,ENSMUSG00000030695,,
ENSMUSG00000022503,ENSMUSG00000035949,ENSMUSG00000053119,ENSMUSG00000032591,ENSMUSG00000025465,ENSMUSG00000001833,ENSMUSG00000049929,ENSMUSG00000040850,ENSMUSG00000040660,ENSMUSG00000021091,ENSMUSG00000005716,,
ENSMUSG00000024812,ENSMUSG00000063931,ENSMUSG00000035203,ENSMUSG00000022383,ENSMUSG00000029273,ENSMUSG00000033047,ENSMUSG00000045502,ENSMUSG00000018166,ENSMUSG00000026365,ENSMUSG00000069922,ENSMUSG00000055027,,
ENSMUSG00000020982,ENSMUSG00000028797,ENSMUSG00000038489,ENSMUSG00000027774,ENSMUSG00000066036,ENSMUSG00000049382,ENSMUSG00000031070,ENSMUSG00000074639,ENSMUSG00000054263,ENSMUSG00000026405,ENSMUSG00000000628,,
ENSMUSG00000030930,ENSMUSG00000033624,ENSMUSG00000057561,ENSMUSG00000060739,ENSMUSG00000039438,ENSMUSG00000011179,ENSMUSG00000055407,ENSMUSG00000052562,ENSMUSG00000073418,ENSMUSG00000022445,ENSMUSG00000049134,,
ENSMUSG00000022218,ENSMUSG00000030538,ENSMUSG00000027439,ENSMUSG00000021427,ENSMUSG00000024507,ENSMUSG00000042323,ENSMUSG00000055865,ENSMUSG00000058997,ENSMUSG00000086503,ENSMUSG00000019505,ENSMUSG00000026185,,
ENSMUSG00000054435,ENSMUSG00000024927,ENSMUSG00000036644,ENSMUSG00000020189,ENSMUSG00000022443,ENSMUSG00000039428,ENSMUSG00000069267,ENSMUSG00000078515,ENSMUSG00000017344,ENSMUSG00000026691,ENSMUSG00000026879,,
ENSMUSG00000024622,ENSMUSG00000008090,ENSMUSG00000038150,ENSMUSG00000020715,ENSMUSG00000021539,ENSMUSG00000051043,ENSMUSG00000007279,ENSMUSG00000025075,ENSMUSG00000025934,ENSMUSG00000042102,ENSMUSG00000061527,,
ENSMUSG00000023094,ENSMUSG00000066043,ENSMUSG00000027433,ENSMUSG00000003528,ENSMUSG00000017009,ENSMUSG00000004071,ENSMUSG00000033268,ENSMUSG00000025544,ENSMUSG00000025003,ENSMUSG00000022323,ENSMUSG00000033065,,
ENSMUSG00000050567,ENSMUSG00000041984,ENSMUSG00000006476,ENSMUSG00000031229,ENSMUSG00000023861,ENSMUSG00000041577,ENSMUSG00000038264,ENSMUSG00000031938,ENSMUSG00000066366,ENSMUSG00000029369,ENSMUSG00000042045,,
