x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
-2.6792803,-1.1471595,-10.886615,AT1G02260,FLT,17,6,12,2
9.968718,4.979949,-17.08822,AT1G02270,FLT,9,7,3,14
-1.2812605,11.321466,-1.730194,AT1G02280,FLT,15,13,2,5
13.359628,4.412181,-15.93215,AT1G02290,FLT,9,7,14,14
21.436218,3.9046512,-5.0504594,AT1G02300,FLT,9,9,17,4
-6.003714,-23.930414,-4.1593523,AT1G02305,FLT,13,4,10,5
0.47988865,4.7311106,19.749096,AT1G02310,FLT,0,14,9,6
7.584336,-8.890231,10.10235,AT1G02330,FLT,12,4,5,12
13.3754,-7.734923,-6.084906,AT1G02335,FLT,17,7,20,2
13.376031,-2.4443576,6.990332,AT1G02340,FLT,0,11,17,6
-19.926422,-0.1765564,-6.1535707,AT1G02350,FLT,8,13,7,1
14.723193,-4.270471,-6.8505325,AT1G02360,FLT,9,8,20,4
18.230715,3.6564364,-11.557591,AT1G02370,FLT,9,8,14,4
-5.399322,7.306408,16.25095,AT1G02380,FLT,0,14,9,6
0.94373214,14.013372,14.732791,AT1G02390,FLT,0,14,2,6
18.22946,5.8113112,11.072464,AT1G02400,FLT,0,11,15,6
-16.50036,2.4855452,-6.487745,AT1G02405,FLT,8,13,7,1
-1.3705883,2.0657928,-9.852666,AT1G02410,FLT,17,6,22,2
8.013508,5.493825,18.196714,AT1G02420,FLT,0,12,0,6
-17.882607,8.847514,0.06798927,AT1G02430,FLT,8,13,1,1
-21.927324,-4.0045815,-3.7914703,AT1G02440,FLT,8,13,8,1
-7.899482,14.281244,4.659274,AT1G02450,FLT,0,13,2,1
10.230117,-1.1329224,12.958546,AT1G02460,FLT,0,11,0,6
-7.200434,13.501674,3.385669,AT1G02470,FLT,0,13,2,1
13.19583,12.291601,2.4409316,AT1G02475,FLT,4,10,11,3
-19.532717,-6.201651,-4.74726,AT1G02490,FLT,8,13,19,1
-4.103353,14.985037,-9.343072,AT1G02500,FLT,11,2,13,0
10.893829,-5.253277,-12.410616,AT1G02520,FLT,17,7,3,14
-3.9873297,3.3553586,17.531488,AT1G02530,FLT,0,14,9,6
-3.9077175,10.09496,-15.837903,AT1G02560,FLT,11,1,4,9
-3.9854186,1.641678,16.567682,AT1G02570,FLT,0,14,9,6
-18.353577,7.183358,6.1056943,AT1G02575,FLT,0,13,1,1
-16.930584,-7.45168,-4.131508,AT1G02580,FLT,8,13,19,1
-14.23468,8.787347,11.345834,AT1G02610,FLT,0,13,1,1
-13.520019,-2.758533,8.407146,AT1G02620,FLT,8,13,23,1
-13.787979,-3.8446841,-3.87439,AT1G02630,FLT,8,13,19,1
4.2328167,-22.773216,-0.99099153,AT1G02640,FLT,14,4,16,10
-10.093536,14.016128,3.669718,AT1G02650,FLT,0,13,1,1
2.2379267,13.781313,6.9456844,AT1G02660,FLT,0,14,2,6
7.766537,5.891816,12.482573,AT1G02670,FLT,0,12,0,6
21.188587,4.0658627,-5.906227,AT1G02680,FLT,9,8,14,4
-1.4865248,-4.4195266,6.4573154,AT1G02690,FLT,12,4,6,12
-13.671108,7.4642863,-2.759705,AT1G02700,FLT,8,13,7,1
-10.097048,9.794631,-0.33284244,AT1G02705,FLT,0,13,1,1
2.6161287,1.5050468,-16.04927,AT1G02720,FLT,17,6,3,2
-15.268511,-1.0227436,-17.617311,AT1G02730,FLT,7,3,24,13
20.275131,11.004007,-2.3687398,AT1G02740,FLT,9,10,11,4
20.4353,10.872616,-2.1716256,AT1G02750,FLT,9,10,11,4
-16.30197,10.851174,7.942128,AT1G02770,FLT,0,13,1,1
