x,y,gene_id,Location,gmm,hdbscan,spectral,consensus
-10.421406,40.288254,AT1G58170,0,20,12,3,8
36.22042,25.744564,AT1G58180,0,24,4,10,11
-9.272894,-12.641193,AT1G58190,0,20,13,5,8
10.186781,-50.635098,AT1G58200,0,2,14,7,5
-13.675562,53.67381,AT1G58210,0,20,11,12,14
-49.140675,-35.935467,AT1G58215,0,2,13,9,12
-56.08429,52.017887,AT1G58220,0,14,10,11,6
-6.4754605,-68.31013,AT1G58225,0,2,15,7,5
29.595526,48.628212,AT1G58230,0,24,6,13,4
36.44201,6.5333004,AT1G58235,0,9,4,10,11
-58.96677,68.48934,AT1G58250,0,14,9,8,10
73.54467,32.34271,AT1G58270,0,21,6,14,4
67.6616,48.162033,AT1G58280,0,5,6,13,4
17.029303,-30.950607,AT1G58290,0,20,14,17,9
-24.936804,-50.539402,AT1G58300,0,2,13,16,12
-23.352612,-38.213333,AT1G58320,0,2,13,16,12
-29.739622,39.62137,AT1G58340,0,20,12,12,14
14.453871,71.16948,AT1G58350,0,7,6,2,2
-58.506992,44.492268,AT1G58360,0,14,11,11,6
-5.0367985,73.30711,AT1G58370,0,14,8,8,10
28.342907,-21.713924,AT1G58380,0,15,5,15,7
-16.78336,-75.969,AT1G58390,0,2,15,18,5
-56.575336,54.142174,AT1G58400,0,14,10,11,6
-27.940355,52.495964,AT1G58410,0,20,11,12,14
-36.40833,-6.7316513,AT1G58420,0,2,13,1,12
-7.0880404,-78.736946,AT1G58430,0,2,15,7,5
54.700695,51.577877,AT1G58440,0,24,6,13,4
-2.7845047,92.61938,AT1G58470,0,14,8,8,10
-14.345631,-18.434917,AT1G58520,0,20,13,17,12
-65.4692,-14.198917,AT1G58590,0,2,13,1,12
-40.000263,-11.382151,AT1G58602,0,2,13,1,12
-43.862324,59.728138,AT1G58643,0,20,10,12,14
-58.513397,-31.164509,AT1G58684,0,2,13,9,12
-54.038498,-69.48181,AT1G58807,0,2,13,0,12
-16.746637,-54.94261,AT1G58808,0,2,15,16,5
-68.940285,-39.483086,AT1G58848,0,2,13,9,12
12.307669,-48.584324,AT1G58936,0,2,14,7,5
23.91587,-3.706264,AT1G58983,0,15,5,15,7
-54.03851,-69.4818,AT1G59124,0,2,13,0,12
-47.200775,-19.322302,AT1G59171,0,2,13,1,12
9.616339,-66.884834,AT1G59218,0,2,14,7,5
-43.862328,59.728146,AT1G59312,0,20,10,12,14
-58.513412,-31.164486,AT1G59359,0,2,13,9,12
-2.5966516,25.517246,AT1G59510,0,20,12,3,8
8.4531355,81.41873,AT1G59520,0,7,7,2,2
-48.521732,-43.207153,AT1G59530,0,2,13,16,12
-29.419477,75.50401,AT1G59540,0,14,9,12,10
-10.562129,49.703354,AT1G59560,0,20,12,3,8
73.61271,-38.83465,AT1G59580,0,1,2,19,13
-9.1437025,38.35603,AT1G59590,0,20,12,3,8
60.391766,42.39926,AT1G59600,0,24,6,13,4
49.92633,-30.456873,AT1G59610,0,13,3,4,1
8.547208,-38.439095,AT1G59620,0,2,15,17,9
-33.939648,35.577923,AT1G59640,0,20,12,11,8
46.79573,57.97961,AT1G59650,0,7,6,13,4
-0.19044366,-4.8594694,AT1G59660,0,20,12,5,8
11.608228,-48.7221,AT1G59670,0,2,14,7,5
-37.853325,-17.753008,AT1G59700,0,2,13,1,12
7.7194934,64.26013,AT1G59710,0,0,7,2,2
-14.906291,-43.92562,AT1G59720,0,2,15,16,5
-48.072243,-49.884148,AT1G59725,0,2,13,9,12
-30.658335,30.204948,AT1G59730,0,20,12,3,8
-29.254755,36.425587,AT1G59740,0,20,12,3,8
-30.1638,79.9041,AT1G59750,0,14,9,8,10
83.270195,-26.950907,AT1G59760,0,19,1,6,0
-47.4791,64.57584,AT1G59780,0,14,9,8,10
8.905232,-59.25022,AT1G59790,0,2,14,7,5
-46.512047,66.891136,AT1G59820,0,14,9,8,10
65.50453,-44.160053,AT1G59830,0,1,2,19,13
-14.269891,-17.429287,AT1G59840,0,20,13,17,12
0.6103748,-38.85013,AT1G59850,0,2,15,17,9
-61.12369,-28.527721,AT1G59860,0,2,13,9,12
-32.45969,-74.72661,AT1G59865,0,2,13,0,12
80.33008,-35.440884,AT1G59870,0,19,1,6,0
-33.933002,-91.469124,AT1G59885,0,2,13,18,12
-2.6215477,92.26997,AT1G59890,0,14,8,8,10
45.13951,-33.801964,AT1G59900,0,13,3,4,1
-19.113125,45.53003,AT1G59910,0,20,11,12,14
-7.7523246,26.66149,AT1G59940,0,20,12,3,8
45.44856,-31.657068,AT1G59960,0,13,3,4,1
-36.37681,42.22365,AT1G59970,0,20,11,11,8
-3.7033002,30.258018,AT1G59980,0,20,12,3,8
-53.06802,39.869427,AT1G59990,0,14,11,11,6
-18.706196,7.984125,AT1G60000,0,20,12,5,8
80.72006,-31.587593,AT1G60010,0,19,1,6,0
-32.412964,-4.5121846,AT1G60030,0,20,13,1,12
-26.975594,-57.447014,AT1G60050,0,2,13,16,12
0.51709723,-67.20334,AT1G60060,0,2,15,7,5
55.861553,-36.90913,AT1G60070,0,13,2,19,13
20.887194,75.85072,AT1G60080,0,7,6,2,2
-14.8849,6.493487,AT1G60095,0,20,12,5,8
