feature	cohort	age	profile	animal_number	location
LAR_YNG_rep05	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL13	13	FLT
LAR_YNG_rep06	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL14	14	FLT
LAR_YNG_rep07	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL17	17	FLT
ISS-T_OLD_rep01	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI11	11	GC
ISS-T_OLD_rep02	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI12	12	GC
ISS-T_OLD_rep03	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI13	13	GC
ISS-T_OLD_rep04	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI14	14	GC
ISS-T_OLD_rep05	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI15	15	GC
ISS-T_OLD_rep06	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI16	16	GC
ISS-T_OLD_rep07	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI17	17	GC
ISS-T_OLD_rep08	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI18	18	GC
ISS-T_OLD_rep09	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI19	19	GC
ISS-T_OLD_rep10	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI20	20	GC
ISS-T_YNG_rep01	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI1	1	GC
ISS-T_YNG_rep02	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI2	2	GC
ISS-T_YNG_rep03	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI3	3	GC
ISS-T_YNG_rep04	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI4	4	GC
ISS-T_YNG_rep05	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI5	5	GC
ISS-T_YNG_rep06	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI6	6	GC
ISS-T_YNG_rep07	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI7	7	GC
ISS-T_YNG_rep08	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI8	8	GC
ISS-T_YNG_rep09	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI9	9	GC
LAR_OLD_rep02	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL4	4	GC
LAR_OLD_rep04	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL8	8	GC
LAR_OLD_rep05	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL11	11	GC
LAR_OLD_rep06	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL12	12	GC
LAR_OLD_rep07	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL15	15	GC
LAR_YNG_rep01	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL1	1	GC
LAR_YNG_rep02	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL2	2	GC
LAR_YNG_rep04	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL6	6	GC
LAR_YNG_rep05	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL13	13	GC
LAR_YNG_rep06	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL14	14	GC
LAR_YNG_rep07	LAR	YNG	RR8_LVR_GC_LAR_YNG_GL17	17	GC
