profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
RR8_LVR_BSL_LAR_OLD_BL19	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1647	baseline_control	RR8_LVR_BSL_LAR_OLD_BL19	BL_LAR_19	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_OLD_BL20	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1648	baseline_control	RR8_LVR_BSL_LAR_OLD_BL20	BL_LAR_20	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL1	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1649	baseline_control	RR8_LVR_BSL_LAR_YNG_BL1	BL_LAR_01	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL10	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1650	baseline_control	RR8_LVR_BSL_LAR_YNG_BL10	BL_LAR_10	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1651	baseline_control	RR8_LVR_BSL_LAR_YNG_BL2	BL_LAR_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL4	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1652	baseline_control	RR8_LVR_BSL_LAR_YNG_BL4	BL_LAR_04	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL5	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1653	baseline_control	RR8_LVR_BSL_LAR_YNG_BL5	BL_LAR_05	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL6	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1654	baseline_control	RR8_LVR_BSL_LAR_YNG_BL6	BL_LAR_06	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL7	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1655	baseline_control	RR8_LVR_BSL_LAR_YNG_BL7	BL_LAR_07	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL8	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1656	baseline_control	RR8_LVR_BSL_LAR_YNG_BL8	BL_LAR_08	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_BSL_LAR_YNG_BL9	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1657	baseline_control	RR8_LVR_BSL_LAR_YNG_BL9	BL_LAR_09	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI11	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1658	flight	RR8_LVR_FLT_ISS-T_OLD_FI11	FL_ISS_11	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI12	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1659	flight	RR8_LVR_FLT_ISS-T_OLD_FI12	FL_ISS_12	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI13	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1660	flight	RR8_LVR_FLT_ISS-T_OLD_FI13	FL_ISS_13	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI14	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1661	flight	RR8_LVR_FLT_ISS-T_OLD_FI14	FL_ISS_14	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1662	flight	RR8_LVR_FLT_ISS-T_OLD_FI15	FL_ISS_15	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
