gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000042708	-0.6512	-0.040041484	-0.07990833	0.5273339	-0.15371065	-0.327578	1.1474522	-0.0240575	-0.23056015	0.46017423	-0.46080175	0.013548508	1.2742695	-0.5696032	1.1041172	0.44501463
ENSMUSG00000025132	-0.6554451	0.02492907	-0.069098026	0.5061032	-0.1315164	-0.35224983	1.0203	-0.00030580515	-0.19016019	0.5646644	-0.49686506	0.05382517	1.2996057	-0.4608714	1.204951	0.21809548
ENSMUSG00000103144	-0.65136504	-0.039431095	-0.07973009	0.5274558	-0.15334529	-0.32815152	1.1458943	-0.023906022	-0.23038913	0.4621863	-0.46170288	0.013673	1.2750294	-0.56817496	1.1052303	0.44098732
ENSMUSG00000034424	-0.6568376	0.019554803	-0.060392845	0.4748109	-0.11137005	-0.36517495	0.924329	0.0056924	-0.19929518	0.66151214	-0.53209955	0.049545176	1.2803688	-0.3469547	1.1968983	-0.013056672
ENSMUSG00000066392	-0.65133	-0.03970474	-0.079874106	0.52689016	-0.15358709	-0.32768285	1.1468093	-0.023814688	-0.23026367	0.46111158	-0.46106794	0.014037184	1.2744371	-0.5689798	1.1050931	0.44349095
ENSMUSG00000079487	-0.6560663	-0.004390723	-0.07581461	0.5067599	-0.14378783	-0.33768764	1.0882504	-0.00766705	-0.20411445	0.51601565	-0.47727588	0.045229778	1.2881662	-0.51983297	1.1725268	0.33915463
ENSMUSG00000040043	-0.6530909	-0.021798162	-0.07693117	0.52616763	-0.14779347	-0.33602494	1.1155683	-0.01847012	-0.22022025	0.4893942	-0.4723521	0.022693623	1.2862068	-0.54390776	1.1336243	0.38438952
ENSMUSG00000054013	-0.65119755	-0.040037073	-0.07990842	0.5273408	-0.15371202	-0.32757735	1.147454	-0.024058595	-0.2305574	0.46015918	-0.4607968	0.013546675	1.27427	-0.5696096	1.1041151	0.4450375
ENSMUSG00000029878	-0.6512015	-0.040052556	-0.07990823	0.52733374	-0.15370995	-0.32757893	1.147457	-0.024060298	-0.23056974	0.46018392	-0.46080694	0.013541542	1.2742683	-0.5696017	1.1041044	0.4449985
ENSMUSG00000067225	-0.6184706	0.18565194	-0.046175282	0.32964838	-0.06997458	-0.35701287	0.5492827	0.07574074	-0.015189697	0.7118981	-0.5191917	0.16796096	1.1441177	0.021531343	1.3478334	-0.26414758
ENSMUSG00000051000	-0.64948857	-0.02117876	-0.076122314	0.54537165	-0.14844672	-0.3387525	1.1188842	-0.024519548	-0.2243701	0.4731428	-0.47077233	0.00896107	1.290372	-0.5517312	1.1172256	0.4022664
ENSMUSG00000034382	-0.65323853	-0.023272362	-0.07783243	0.52208143	-0.1491533	-0.3333496	1.1209916	-0.017613245	-0.21919282	0.4844898	-0.46902335	0.025600422	1.2831013	-0.54844713	1.1342953	0.39778405
ENSMUSG00000020775	-0.6575557	-0.013634317	-0.07528313	0.5057093	-0.14236051	-0.3392962	1.0883597	-0.0096089095	-0.21263283	0.52867746	-0.4832743	0.03959194	1.287766	-0.5142461	1.1628585	0.31524515
ENSMUSG00000027162	-0.6616357	0.018164765	-0.0710819	0.46459335	-0.13074967	-0.34467068	1.0165362	0.011036776	-0.18526211	0.5940268	-0.49802104	0.0795051	1.285222	-0.44418165	1.2274647	0.1859944
ENSMUSG00000026966	-0.65333027	-0.03807183	-0.07792761	0.5282097	-0.14951451	-0.3338336	1.1321412	-0.023511635	-0.23257867	0.48495334	-0.47209617	0.012064714	1.2812326	-0.55325276	1.1102235	0.39549145
ENSMUSG00000016554	-0.65854067	0.023825733	-0.068289414	0.4834	-0.12754628	-0.35194206	1.0008824	0.0063107535	-0.18828744	0.5951662	-0.50385374	0.0660069	1.2925133	-0.43392003	1.2174333	0.16275585
ENSMUSG00000039384	-0.6512461	-0.035162162	-0.07858746	0.5321807	-0.15161292	-0.33164662	1.1376851	-0.024134876	-0.22960728	0.46827018	-0.46559364	0.011965685	1.2798482	-0.56218904	1.108467	0.42481026
ENSMUSG00000050270	-0.65319204	-0.028703269	-0.07874803	0.5204748	-0.15069634	-0.33080447	1.1297181	-0.018627614	-0.22189435	0.47854546	-0.4662277	0.024274249	1.2794945	-0.55482006	1.1276261	0.41217363
ENSMUSG00000004038	-0.65197736	-0.037689812	-0.07942779	0.52595484	-0.15254717	-0.3290716	1.1420416	-0.022888152	-0.22921379	0.4674788	-0.46352598	0.015524693	1.2763178	-0.5644981	1.1097136	0.43153393
ENSMUSG00000046731	-0.6515247	-0.038067468	-0.07939554	0.52805316	-0.15274228	-0.3291792	1.1430444	-0.023673356	-0.22993432	0.46505368	-0.46309608	0.01380232	1.276453	-0.5658289	1.1071721	0.43471014
ENSMUSG00000028977	-0.65059495	-0.037600346	-0.078953855	0.53383064	-0.15254776	-0.33056283	1.142432	-0.025380747	-0.23128171	0.46235302	-0.46359876	0.009649023	1.2782831	-0.566504	1.1028858	0.43548703
ENSMUSG00000013646	-0.65295106	-0.028475625	-0.07749933	0.5273648	-0.14890547	-0.33465928	1.1237732	-0.020639809	-0.22507733	0.4849736	-0.47120485	0.018334761	1.2838365	-0.5494284	1.1235646	0.39387208
ENSMUSG00000048747	-0.6511935	-0.040018167	-0.07989961	0.52739704	-0.15370071	-0.32760522	1.1474082	-0.024070447	-0.2305665	0.46018776	-0.46082547	0.013511352	1.2743069	-0.56957823	1.1041039	0.44493753
ENSMUSG00000035678	-0.6511997	-0.03998593	-0.07989775	0.52737147	-0.15369396	-0.32761073	1.147365	-0.024053294	-0.23053871	0.4602338	-0.46083608	0.013547499	1.2743182	-0.5695427	1.1041753	0.44486362
ENSMUSG00000031883	-0.6514462	-0.039316226	-0.079823665	0.5265546	-0.15344697	-0.32783428	1.1460775	-0.023589043	-0.22996975	0.46205994	-0.46137023	0.014470663	1.2746712	-0.5683082	1.1060622	0.44184098
ENSMUSG00000057715	-0.6512019	-0.040044192	-0.07990049	0.52737385	-0.15369758	-0.3276048	1.147416	-0.024070429	-0.23058347	0.46023464	-0.46084085	0.013510875	1.2742999	-0.56956506	1.1040938	0.4448741
ENSMUSG00000026994	-0.6512382	-0.039875593	-0.079808444	0.52768046	-0.153537	-0.3279044	1.146803	-0.024109619	-0.23065916	0.46099603	-0.46126807	0.013313364	1.2746769	-0.56900924	1.1042372	0.443157
ENSMUSG00000079507	-0.6514326	-0.037124857	-0.079404384	0.5279842	-0.15278333	-0.32911468	1.142604	-0.023412617	-0.22911285	0.46443808	-0.4627193	0.014453497	1.2765595	-0.5658827	1.108356	0.43582872
ENSMUSG00000054693	-0.65734565	0.00582117	-0.07079666	0.5054765	-0.13413882	-0.34918576	1.0434427	-0.004778721	-0.20356873	0.56190073	-0.49657798	0.04523071	1.2959682	-0.4752293	1.1847471	0.2338829
ENSMUSG00000038235	-0.65959996	0.016941195	-0.07110825	0.48127043	-0.13251066	-0.3461606	1.0270048	0.0055901706	-0.18934874	0.5777378	-0.49573395	0.06824755	1.2903528	-0.45843607	1.2150211	0.21225055
ENSMUSG00000061615	-0.6512007	-0.039770104	-0.07982235	0.5276993	-0.15357625	-0.32785124	1.146864	-0.024090625	-0.23054715	0.4606867	-0.46112576	0.013382517	1.2746398	-0.56915176	1.1043059	0.44371653
ENSMUSG00000057400	-0.069683895	0.5339773	0.034697287	0.101991035	0.07972586	-0.26420787	-0.55504143	0.08993833	0.44382566	0.35993904	-0.3200824	0.055595465	0.24377045	1.1672007	0.75782496	-0.59911144
ENSMUSG00000006403	-0.6511988	-0.03980461	-0.07986421	0.5274878	-0.15364084	-0.32771426	1.1470858	-0.024038242	-0.23046549	0.46042335	-0.46094373	0.01354878	1.2744734	-0.56935024	1.1043673	0.44438705
ENSMUSG00000015291	-0.6593643	-0.0010059475	-0.0727745	0.4930995	-0.13659403	-0.3439221	1.0558926	-0.0023228906	-0.20389359	0.5598224	-0.49261737	0.052332126	1.2900752	-0.48295012	1.1874659	0.25068194
ENSMUSG00000051671	-0.6554692	-0.046089508	-0.07826942	0.52106297	-0.14895846	-0.33309513	1.1349279	-0.02340059	-0.23756212	0.49621525	-0.47552055	0.012033179	1.278291	-0.5501876	1.1064681	0.3802873
ENSMUSG00000085385	-0.6521348	-0.035730354	-0.07869101	0.5283745	-0.15130116	-0.33136228	1.136806	-0.023057811	-0.22928096	0.47290564	-0.46656048	0.014319785	1.2792315	-0.56007695	1.111389	0.4188093
ENSMUSG00000045594	-0.6535691	-0.026286071	-0.077666074	0.52287143	-0.14877203	-0.3340026	1.121632	-0.018633904	-0.22217876	0.4876218	-0.4708787	0.022964425	1.2832422	-0.5474653	1.1302088	0.39156964
ENSMUSG00000038599	-0.6512063	-0.040025894	-0.07990748	0.5273084	-0.15370592	-0.3275805	1.1474257	-0.02404483	-0.23054436	0.4602148	-0.4608112	0.013575241	1.2742745	-0.56957704	1.1041652	0.44495398
ENSMUSG00000042367	-0.65111566	-0.039841134	-0.079803035	0.528151	-0.15359396	-0.32791036	1.1469862	-0.024253692	-0.23071517	0.4603106	-0.4610997	0.013007432	1.2747095	-0.56933737	1.103798	0.44410262
ENSMUSG00000024772	-0.65811944	0.0035145173	-0.07202384	0.49964368	-0.13592792	-0.34600273	1.0512416	-0.003334052	-0.20250556	0.557395	-0.49312758	0.049661666	1.2930979	-0.48157313	1.1873759	0.2494309
ENSMUSG00000034310	-0.6511781	-0.03999184	-0.07989047	0.52749556	-0.15369433	-0.3276337	1.1473765	-0.024094498	-0.23057713	0.4601534	-0.46083814	0.013450481	1.274347	-0.569576	1.1040577	0.44492543
ENSMUSG00000053646	-0.65279615	-0.021297077	-0.07689676	0.52746266	-0.14787762	-0.33615494	1.1157029	-0.01877497	-0.22009073	0.48788238	-0.4720119	0.022065781	1.2865193	-0.5445849	1.1330351	0.3864342
ENSMUSG00000036887	-0.6552897	-0.02798702	-0.07562213	0.5241852	-0.14458427	-0.33987123	1.1076288	-0.019336239	-0.22736637	0.51179737	-0.48217514	0.018471397	1.2881472	-0.5308292	1.1293452	0.34097877
ENSMUSG00000037720	-0.6587715	0.014248097	-0.06522758	0.48522216	-0.12140227	-0.35835984	0.97932106	0.0025427453	-0.2006828	0.6239442	-0.51777893	0.052072085	1.2903191	-0.40537748	1.1984624	0.091444924
ENSMUSG00000021754	-0.65313697	-0.010688133	-0.07530972	0.527153	-0.14489621	-0.34017208	1.0982126	-0.015839744	-0.21382037	0.50055116	-0.4768593	0.026956312	1.2917538	-0.53111035	1.1478401	0.357869
ENSMUSG00000079608	-0.65121365	-0.039925568	-0.07986056	0.5275036	-0.15362944	-0.32773265	1.1471266	-0.024074472	-0.23057751	0.46053848	-0.46100965	0.013456795	1.2744704	-0.5693241	1.1042145	0.4441755
ENSMUSG00000028386	-0.65120727	-0.04003976	-0.07987949	0.52746004	-0.15366533	-0.32767057	1.1473051	-0.024091398	-0.23063071	0.4603836	-0.46093693	0.013436131	1.2743794	-0.5694571	1.1040697	0.44451028
ENSMUSG00000045319	-0.6524113	-0.026346896	-0.078341275	0.52469724	-0.15044682	-0.33199406	1.1276734	-0.01934818	-0.22135155	0.4763962	-0.46635973	0.022431206	1.2814165	-0.5546826	1.1271085	0.4127429
ENSMUSG00000004455	-0.65920556	0.008342253	-0.06681054	0.48972017	-0.12505962	-0.35576946	1.000043	0.00025915727	-0.20451917	0.60976726	-0.51309335	0.04965038	1.292418	-0.4255098	1.1927124	0.12731297
ENSMUSG00000033900	-0.65158445	-0.03704287	-0.07967704	0.5258509	-0.1531198	-0.3282162	1.1435132	-0.022730818	-0.22818832	0.46362537	-0.46170193	0.016263098	1.2755075	-0.5666162	1.1099546	0.43894887
ENSMUSG00000016200	-0.6511966	-0.040029474	-0.07990621	0.5273538	-0.15370904	-0.32758436	1.1474406	-0.024060544	-0.23055713	0.46016696	-0.46080366	0.013540313	1.2742797	-0.56960076	1.1041168	0.44501224
ENSMUSG00000024069	-0.653602	-0.034120273	-0.07836639	0.5231187	-0.14998677	-0.3322587	1.1308764	-0.020849995	-0.22761297	0.4835815	-0.46968713	0.018594377	1.2801088	-0.55329543	1.1192491	0.40124875
ENSMUSG00000034317	-0.65088594	-0.038668454	-0.079445705	0.5305271	-0.15315184	-0.32903022	1.1449486	-0.024668874	-0.23076275	0.46111038	-0.4620961	0.011746176	1.2762631	-0.56812686	1.1037143	0.44061935
ENSMUSG00000019850	-0.6515527	-0.03530968	-0.07898875	0.5289513	-0.15205614	-0.33038604	1.139085	-0.023182748	-0.22848812	0.46762022	-0.46432596	0.014507245	1.2783166	-0.56311	1.1106142	0.42857468
ENSMUSG00000028865	-0.65120685	-0.040018506	-0.07990847	0.52729684	-0.15370715	-0.32757655	1.1474231	-0.024038995	-0.23053391	0.46021083	-0.46080568	0.013589151	1.274271	-0.5695776	1.1041842	0.4449676
ENSMUSG00000031153	-0.65397036	-0.02650682	-0.07787027	0.5201958	-0.1488795	-0.3333419	1.1218921	-0.017827114	-0.22153883	0.48871207	-0.47059885	0.024890773	1.2823532	-0.547169	1.132173	0.39137155
ENSMUSG00000009114	-0.65101945	-0.03959667	-0.07973407	0.52880174	-0.15353487	-0.32812423	1.1466811	-0.024393333	-0.23074122	0.46016598	-0.46121284	0.01264251	1.2750177	-0.5692525	1.1036012	0.44386205
ENSMUSG00000046191	-0.65126586	-0.039902516	-0.079815045	0.5275522	-0.15353306	-0.32788545	1.1468034	-0.024076106	-0.23064986	0.4611179	-0.4612849	0.01339186	1.2746463	-0.5689659	1.1043193	0.44302893
ENSMUSG00000056629	-0.66669506	-0.009888928	-0.073871024	0.44564852	-0.13368593	-0.33759156	1.0435154	0.010405291	-0.20134093	0.60392696	-0.4987308	0.07945052	1.274705	-0.45447028	1.21112	0.18900822
ENSMUSG00000034892	-0.60098827	-0.13985854	-0.018695053	0.43858674	-0.03715536	-0.39031738	0.54572695	-0.048327856	-0.33244544	0.8343339	-0.62520534	-0.16350101	1.0447667	0.16825923	0.7570441	-0.543074
ENSMUSG00000043789	-0.6573281	-0.015624165	-0.07871648	0.4949	-0.14803058	-0.32964942	1.1097629	-0.0068282983	-0.20639071	0.50407463	-0.4691792	0.049870573	1.2783375	-0.5355082	1.1671698	0.37630832
ENSMUSG00000052139	-0.6557623	-0.027879318	-0.07842398	0.5101817	-0.14877377	-0.3315406	1.1215987	-0.014968735	-0.22002627	0.4961133	-0.47101778	0.031482346	1.2795408	-0.5441601	1.1390659	0.38430375
ENSMUSG00000032131	-0.6511557	-0.03987754	-0.079855196	0.5277313	-0.15365098	-0.32774445	1.1471786	-0.02413619	-0.23058343	0.46023244	-0.46093673	0.013325088	1.2745017	-0.5694582	1.1040474	0.44458333
ENSMUSG00000067616	-0.6510876	-0.039738376	-0.07974499	0.5285299	-0.15352139	-0.3280927	1.1466982	-0.0243388	-0.23079404	0.46048674	-0.46129006	0.012755189	1.2749473	-0.569139	1.1036897	0.44345263
ENSMUSG00000016409	-0.6548742	-0.018611265	-0.078500755	0.50930005	-0.14914532	-0.3309076	1.1170573	-0.012329071	-0.21186936	0.49027473	-0.4674386	0.03794553	1.2804497	-0.5444897	1.1507365	0.39474186
