gene_id	pc1	pc2	pc3	inspection_cluster
ENSMUSG00000018733	-0.32063928	-0.066573046	-0.0145305395	0
ENSMUSG00000022037	6.885509	0.12668356	0.3329487	0
ENSMUSG00000085260	-0.39537346	-0.07409559	-0.017273339	0
ENSMUSG00000029610	-0.34367135	-0.028233666	0.01503913	0
ENSMUSG00000042185	-0.30431965	-0.06693333	-0.011932351	0
ENSMUSG00000006021	-0.3308305	-0.06451708	-0.0133969905	0
ENSMUSG00000046408	-0.3956871	-0.07556477	-0.018248692	0
ENSMUSG00000020599	-0.39046517	-0.075141534	-0.01891488	0
ENSMUSG00000030775	-0.39402798	-0.075422265	-0.018742675	0
ENSMUSG00000015149	-0.14948554	-0.019355947	0.029470116	0
ENSMUSG00000046434	-0.049095724	0.03269409	0.046477135	0
ENSMUSG00000031377	-0.3936678	-0.07434438	-0.017763538	0
ENSMUSG00000031774	-0.28609684	-0.06963346	-0.0016022233	0
ENSMUSG00000050627	-0.039297033	-0.01784147	0.025973145	0
ENSMUSG00000031878	-0.2482173	-0.038695075	-0.017037792	0
ENSMUSG00000030322	-0.38526818	-0.07363718	-0.01821925	0
ENSMUSG00000020696	-0.25312656	-0.067122586	-0.013534523	0
ENSMUSG00000097162	-0.3619138	-0.06624836	-0.024130367	0
ENSMUSG00000045201	-0.39557946	-0.0748527	-0.017720655	0
ENSMUSG00000059479	-0.39287066	-0.07325647	-0.017091822	0
ENSMUSG00000077239	-0.39508834	-0.07564131	-0.018416965	0
ENSMUSG00000031755	-0.37161002	-0.07044251	-0.014437264	0
ENSMUSG00000038379	-0.39327818	-0.07567704	-0.018136516	0
ENSMUSG00000002109	-0.3644636	-0.07229991	-0.020135071	0
ENSMUSG00000041840	-0.36936286	-0.067273356	-0.015053992	0
ENSMUSG00000021555	-0.19818486	-0.08375101	-0.002630637	0
ENSMUSG00000022814	-0.098791406	-0.052576825	-0.009371998	0
ENSMUSG00000028782	-0.3952317	-0.075001396	-0.017757375	0
ENSMUSG00000095028	-0.39535946	-0.07571328	-0.018234663	0
ENSMUSG00000057223	-0.3958139	-0.075577535	-0.018328872	0
ENSMUSG00000034413	-0.38943318	-0.07445336	-0.016453665	0
ENSMUSG00000087579	0.43117523	0.052788608	-0.108215265	0
ENSMUSG00000025127	0.652687	0.012974622	-0.055476084	0
ENSMUSG00000030222	-0.38719943	-0.07394078	-0.019405693	0
ENSMUSG00000040133	-0.39551225	-0.07550617	-0.018351726	0
ENSMUSG00000027845	-0.35818467	-0.07284396	-0.015841536	0
ENSMUSG00000028003	-0.060501896	-0.03376656	-0.046525486	0
ENSMUSG00000030054	-0.39417064	-0.07447667	-0.01758426	0
ENSMUSG00000034227	-0.39396977	-0.07557133	-0.018537443	0
ENSMUSG00000003435	-0.06757866	-0.00033676493	0.03892653	0
ENSMUSG00000049280	-0.39583415	-0.07560321	-0.018292733	0
ENSMUSG00000022309	-0.36501694	-0.020401733	0.021240283	0
ENSMUSG00000093460	-0.3958317	-0.075596	-0.018303975	0
ENSMUSG00000029684	0.09688921	-0.12484962	0.024212543	0
ENSMUSG00000027531	-0.033096746	-0.09499335	0.02020579	0
ENSMUSG00000031565	-0.3799524	-0.047397975	0.0020370483	0
ENSMUSG00000070047	0.16086237	-0.11763543	0.03406443	0
ENSMUSG00000030057	1.218773	0.34781596	0.21246435	0
ENSMUSG00000024353	-0.39365724	-0.07415676	-0.018263308	0
ENSMUSG00000060002	0.58330876	0.35074714	-0.021646533	0
ENSMUSG00000034471	-0.3118607	-0.06591709	-0.009289918	0
ENSMUSG00000028246	-0.39506948	-0.075316645	-0.018077768	0
ENSMUSG00000022749	-0.20385042	-0.04563702	0.00095470465	0
ENSMUSG00000029919	-0.38708425	-0.07443101	-0.019422475	0
ENSMUSG00000000739	-0.3822938	-0.07506769	-0.017623391	0
ENSMUSG00000037020	-0.37671685	-0.074515864	-0.019297775	0
ENSMUSG00000035933	-0.16395822	-0.063253745	0.013720416	0
ENSMUSG00000059639	-0.3957641	-0.07555318	-0.01837553	0
ENSMUSG00000028359	-0.33268481	-0.06542718	-0.029150292	0
ENSMUSG00000021464	-0.3954116	-0.07455114	-0.017736213	0
ENSMUSG00000044338	-0.39266104	-0.066582404	-0.01079469	0
ENSMUSG00000002633	-0.3952207	-0.07555584	-0.018478988	0
ENSMUSG00000067713	-0.23006205	-0.019977786	0.01479228	0
ENSMUSG00000021591	-0.11731052	-0.051025357	-0.039079342	0
ENSMUSG00000069184	-0.36007464	-0.071291395	-0.012167807	0
