direction	term	clean_term	study_count	accessions	best_dgea_fdr_bh	best_glare_fdr_bh	mean_wald_stat_shift_mean	example_glare_clusters
down_in_flight	REACTOME_INFLUENZA_LIFE_CYCLE	Influenza Life Cycle	3	OSD-168,OSD-245,OSD-48	7.799668671270545e-14	1.3002958640543978e-42	-0.8238305092146413	GC7;FLT8;FLT10;GC3;GC8;FLT7;FLT4;GC5
down_in_flight	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	Nonsense Mediated Decay Enhanced By The Exon Junction Complex	3	OSD-168,OSD-245,OSD-48	1.6695951046214945e-12	1.636503945093515e-48	-0.9608674009600037	GC7;FLT8;FLT10;GC3;GC8;FLT7;FLT4;GC5
up_in_flight	REACTOME_MRNA_PROCESSING	Mrna Processing	3	OSD-137,OSD-245,OSD-379	5.420625924961364e-12	9.54204164430161e-09	0.5638348943709515	FLT1;GC2;FLT3;GC9;GC5;GC6;FLT7;FLT10;GC1;GC5;FLT4;FLT9;GC4;FLT7;FLT3;FLT2;FLT5;GC6;FLT3;GC4;FLT9;GC7;GC5;FLT6
down_in_flight	REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	Transmembrane Transport Of Small Molecules	3	OSD-137,OSD-168,OSD-379	8.288336725781526e-12	9.83576460378113e-07	-0.2975538491969461	FLT7;GC8;FLT4;GC5;FLT8;GC9;GC5;FLT6;FLT3;GC10;GC6;FLT8
up_in_flight	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Processing Of Capped Intron Containing Pre Mrna	3	OSD-137,OSD-245,OSD-379	2.0681370999532982e-11	1.4043175324247372e-08	0.5916595934594248	FLT5;GC6;FLT3;GC4;GC5;FLT9;FLT6;GC7;FLT1;FLT3;GC9;GC2;GC5;GC6;FLT10;GC12;GC5;FLT4;GC1;FLT9;FLT3;GC4;GC6;GC7
up_in_flight	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Metabolism Of Amino Acids And Derivatives	3	OSD-137,OSD-463,OSD-48	3.467864997127987e-11	1.7085321679474868e-51	0.5877775737235774	GC4;FLT6;FLT4;GC3;FLT10;FLT7;GC9;FLT5;GC10;FLT3;GC6;FLT8;GC8;GC7
up_in_flight	REACTOME_MRNA_SPLICING	Mrna Splicing	3	OSD-137,OSD-245,OSD-379	1.2404774902069659e-08	2.8209413871576353e-08	0.5814851704632328	FLT5;GC6;GC5;FLT3;GC4;FLT6;FLT3;FLT1;GC9;GC2;GC5;FLT10;GC6;GC12;FLT4;GC5;FLT3;GC1;FLT9;GC4;GC8;GC6
down_in_flight	REACTOME_HEMOSTASIS	Hemostasis	3	OSD-137,OSD-168,OSD-245	3.812234600974038e-07	4.2188387651941144e-08	-0.24162413906304167	FLT3;GC10;GC9;FLT8;GC7;FLT4;GC5;FLT7;GC8;GC6;GC5;GC7;FLT8;FLT4;FLT10;GC3
down_in_flight	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Post Translational Protein Modification	3	OSD-137,OSD-168,OSD-245	8.118206906032012e-07	0.0001739622586704	-0.3629129744824661	GC6;FLT8;GC1;FLT3;FLT7;GC7;FLT1;FLT8;FLT9;GC2;GC8;FLT4;GC5;FLT7;FLT5;GC9
down_in_flight	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Integrin Cell Surface Interactions	3	OSD-137,OSD-168,OSD-463	8.118206906032012e-07	0.0018877836307226	-0.8151037594797671	FLT7;GC7;FLT2;FLT3;GC8;GC3;GC5;GC7
