accession	direction	term	clean_term	description	query_genes	overlap	term_genes_in_universe	universe_genes	p_value	overlap_genes	fdr_bh	glare_best_fdr_bh	glare_cluster_count	glare_locations	glare_example_clusters
OSD-379	down_in_flight	REACTOME_BIOLOGICAL_OXIDATIONS	Biological Oxidations	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BIOLOGICAL_OXIDATIONS	571	13	132	15073	0.0015064999422302583	ENSMUSG00000005547,ENSMUSG00000022562,ENSMUSG00000025479,ENSMUSG00000026691,ENSMUSG00000027597,ENSMUSG00000028712,ENSMUSG00000029269,ENSMUSG00000029630,ENSMUSG00000053907,ENSMUSG00000061292,ENSMUSG00000061740,ENSMUSG00000063929,ENSMUSG00000118516	0.021090999191223616	3.4207557163639916e-19	4	FLT,GC	FLT8;GC9;GC5;FLT6
OSD-379	down_in_flight	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	Nuclear Receptor Transcription Pathway	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	571	6	41	15073	0.004185560118314627	ENSMUSG00000005677,ENSMUSG00000021055,ENSMUSG00000021775,ENSMUSG00000022383,ENSMUSG00000022809,ENSMUSG00000026610	0.0455760990660926	0.0045811630389552	2	FLT,GC	FLT6;GC5
OSD-379	up_in_flight	REACTOME_STRIATED_MUSCLE_CONTRACTION	Striated Muscle Contraction	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_STRIATED_MUSCLE_CONTRACTION	1051	14	23	15073	2.663421406818049e-11	ENSMUSG00000007877,ENSMUSG00000013936,ENSMUSG00000017300,ENSMUSG00000020061,ENSMUSG00000026208,ENSMUSG00000026418,ENSMUSG00000031097,ENSMUSG00000032366,ENSMUSG00000038670,ENSMUSG00000052374,ENSMUSG00000059741,ENSMUSG00000061816,ENSMUSG00000064179,ENSMUSG00000091898	6.631919302976942e-09	0.0076592120811289	2	FLT,GC	GC2;FLT3
OSD-379	up_in_flight	REACTOME_MUSCLE_CONTRACTION	Muscle Contraction	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MUSCLE_CONTRACTION	1051	15	42	15073	6.686945546312781e-08	ENSMUSG00000007877,ENSMUSG00000013936,ENSMUSG00000017300,ENSMUSG00000020061,ENSMUSG00000026208,ENSMUSG00000026418,ENSMUSG00000029761,ENSMUSG00000031097,ENSMUSG00000032366,ENSMUSG00000038670,ENSMUSG00000052374,ENSMUSG00000059741,ENSMUSG00000061816,ENSMUSG00000064179,ENSMUSG00000091898	8.325247205159413e-06	0.0125665829785191	2	FLT,GC	FLT6;GC5
OSD-379	up_in_flight	REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	Loss Of Nlp From Mitotic Centrosomes	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	1051	14	50	15073	5.142504485154541e-06	ENSMUSG00000001525,ENSMUSG00000009013,ENSMUSG00000019971,ENSMUSG00000020849,ENSMUSG00000026202,ENSMUSG00000027012,ENSMUSG00000031592,ENSMUSG00000035198,ENSMUSG00000036403,ENSMUSG00000036752,ENSMUSG00000039298,ENSMUSG00000040407,ENSMUSG00000043987,ENSMUSG00000063810	0.0004268278722678269	0.0030073596034478	2	GC	GC7;GC5
OSD-379	up_in_flight	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Cholesterol Biosynthesis	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CHOLESTEROL_BIOSYNTHESIS	1051	8	18	15073	1.2666302457416604e-05	ENSMUSG00000001467,ENSMUSG00000006517,ENSMUSG00000027952,ENSMUSG00000031349,ENSMUSG00000033105,ENSMUSG00000058454,ENSMUSG00000059743,ENSMUSG00000093930	0.0007884773279741836	0.0003159100386595	3	FLT,GC	FLT5;GC5;GC6
OSD-379	up_in_flight	REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	Recruitment Of Mitotic Centrosome Proteins And Complexes	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	1051	14	57	15073	2.66497493329127e-05	ENSMUSG00000001525,ENSMUSG00000009013,ENSMUSG00000019971,ENSMUSG00000020849,ENSMUSG00000026202,ENSMUSG00000027012,ENSMUSG00000031592,ENSMUSG00000035198,ENSMUSG00000036403,ENSMUSG00000036752,ENSMUSG00000039298,ENSMUSG00000040407,ENSMUSG00000043987,ENSMUSG00000063810	0.0012758085017674618	0.0029571867397523	3	FLT,GC	GC7;GC5;FLT6
OSD-379	up_in_flight	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	Post Chaperonin Tubulin Folding Pathway	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	1051	7	15	15073	3.0742373536565345e-05	ENSMUSG00000006095,ENSMUSG00000023004,ENSMUSG00000026202,ENSMUSG00000036752,ENSMUSG00000039233,ENSMUSG00000043091,ENSMUSG00000058672	0.0012758085017674618	0.0257045809088556	1	GC	GC5
OSD-379	up_in_flight	REACTOME_REGULATION_OF_APOPTOSIS	Regulation Of Apoptosis	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_APOPTOSIS	1051	13	54	15073	6.442623171840916e-05	ENSMUSG00000002102,ENSMUSG00000017428,ENSMUSG00000018286,ENSMUSG00000020720,ENSMUSG00000021559,ENSMUSG00000028837,ENSMUSG00000030591,ENSMUSG00000030603,ENSMUSG00000031628,ENSMUSG00000032301,ENSMUSG00000032380,ENSMUSG00000039067,ENSMUSG00000040760	0.0022917330996976974	2.0060167084001145e-18	3	FLT,GC	GC5;FLT6;FLT5
OSD-379	up_in_flight	REACTOME_PROTEIN_FOLDING	Protein Folding	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PROTEIN_FOLDING	1051	12	48	15073	8.258056006310379e-05	ENSMUSG00000001289,ENSMUSG00000006095,ENSMUSG00000022234,ENSMUSG00000023004,ENSMUSG00000026202,ENSMUSG00000028086,ENSMUSG00000029580,ENSMUSG00000036752,ENSMUSG00000039233,ENSMUSG00000043091,ENSMUSG00000055401,ENSMUSG00000058672	0.0025703199319641054	1.4542075458601968e-06	3	FLT,GC	GC5;FLT6;FLT8
