gene_id	location	flight_probability	mean_absolute_shap	sum_signed_shap
ENSMUSG00000086859	FLT	1.0	0.9906235	17.973095
ENSMUSG00000033576	GC	1.5206474e-07	0.990523	-15.700612
ENSMUSG00000062077	FLT	1.0	0.9902563	23.985073
ENSMUSG00000091898	GC	1.0214311e-06	0.98931634	-13.795946
ENSMUSG00000087410	GC	3.306506e-08	0.98882306	-17.226448
ENSMUSG00000046008	GC	0.0037530737	0.98822904	-5.583065
ENSMUSG00000030137	FLT	1.0	0.98790133	24.438133
ENSMUSG00000001508	GC	1.3307528e-09	0.98744726	-20.439184
ENSMUSG00000024049	FLT	1.0	0.9872068	20.283314
ENSMUSG00000026839	FLT	0.9999782	0.98652935	10.730219
ENSMUSG00000032845	GC	6.141827e-08	0.9861714	-16.607216
ENSMUSG00000025172	GC	8.903699e-10	0.9857603	-20.841042
ENSMUSG00000007097	FLT	1.0	0.98511136	23.189854
ENSMUSG00000020882	GC	1.1130054e-10	0.9847203	-22.920446
ENSMUSG00000086859	GC	6.43569e-10	0.9841611	-21.165636
ENSMUSG00000028464	FLT	1.0	0.98384255	17.77049
ENSMUSG00000001334	GC	5.840065e-11	0.9829849	-23.565332
ENSMUSG00000005628	GC	2.861776e-09	0.98216707	-19.673473
ENSMUSG00000028240	FLT	0.99853253	0.9818489	6.5211396
ENSMUSG00000024302	GC	4.890331e-10	0.9814044	-21.440252
ENSMUSG00000032648	GC	2.4051225e-09	0.98122525	-19.847342
ENSMUSG00000001508	FLT	1.0	0.98068464	22.873869
ENSMUSG00000039376	GC	4.502403e-09	0.97935134	-19.220312
ENSMUSG00000031636	GC	3.010562e-08	0.975225	-17.320206
ENSMUSG00000022490	GC	5.4455626e-08	0.97497016	-16.727528
ENSMUSG00000022519	GC	8.638548e-06	0.97448426	-11.660917
ENSMUSG00000007097	GC	7.8236556e-11	0.973777	-23.272951
ENSMUSG00000031636	FLT	1.0	0.97348034	24.2603
ENSMUSG00000028396	FLT	1.0	0.9732796	22.313469
ENSMUSG00000027533	FLT	0.9999449	0.97271085	9.804481
ENSMUSG00000089255	GC	1.09662544e-07	0.9727049	-16.027502
ENSMUSG00000062694	GC	3.1689238e-09	0.97194606	-19.571543
ENSMUSG00000026418	FLT	1.0	0.9717156	25.61647
ENSMUSG00000058579	GC	0.0001720906	0.97137016	-8.668959
ENSMUSG00000028348	FLT	1.0	0.97093093	24.491516
ENSMUSG00000074218	FLT	1.0	0.97088134	22.933853
ENSMUSG00000031382	FLT	1.0	0.9691758	24.369246
ENSMUSG00000054146	FLT	1.0	0.96809036	25.100536
ENSMUSG00000031448	GC	2.1880224e-07	0.9679938	-15.3367405
ENSMUSG00000042828	FLT	1.0	0.96729755	25.064827
ENSMUSG00000027887	FLT	1.0	0.9670217	21.644753
ENSMUSG00000031791	GC	3.0603587e-07	0.9615317	-15.001196
ENSMUSG00000073940	FLT	1.0	0.9613957	24.414133
ENSMUSG00000079278	GC	6.248333e-09	0.95865345	-18.892618
ENSMUSG00000048416	FLT	1.0	0.9585383	23.140078
ENSMUSG00000006435	GC	6.0356024e-07	0.9580824	-14.322068
ENSMUSG00000041698	GC	0.011562279	0.9579694	-4.450029
ENSMUSG00000025141	GC	1.4583006e-07	0.9578175	-15.74247
ENSMUSG00000030554	GC	2.2114215e-09	0.9577834	-19.93129
ENSMUSG00000032060	GC	5.4690247e-08	0.9572529	-16.72324
ENSMUSG00000026475	FLT	0.99979657	0.95711887	8.498493
ENSMUSG00000089281	FLT	1.0	0.95698905	17.024815
ENSMUSG00000026564	FLT	1.0	0.9538802	22.808607
ENSMUSG00000062515	FLT	0.9999994	0.9531568	14.250705
ENSMUSG00000027401	FLT	1.0	0.9527951	24.68476
ENSMUSG00000074001	GC	3.6478905e-08	0.95253044	-17.128199
ENSMUSG00000002808	GC	1.0076837e-07	0.951677	-16.112082
ENSMUSG00000040752	FLT	1.0	0.95112294	18.30805
ENSMUSG00000023433	GC	5.499775e-06	0.9502958	-12.112441
ENSMUSG00000026971	GC	0.00023884828	0.95010954	-8.341091
ENSMUSG00000031312	FLT	1.0	0.9496144	24.456577
ENSMUSG00000065176	GC	2.3933777e-11	0.94929385	-24.457376
ENSMUSG00000020122	FLT	0.9999771	0.9489984	10.683572
ENSMUSG00000022594	GC	2.589726e-10	0.94871086	-22.07595
ENSMUSG00000060600	GC	3.046956e-08	0.9473306	-17.308195
ENSMUSG00000049173	GC	4.5573165e-07	0.94637483	-14.603007
ENSMUSG00000032845	FLT	1.0	0.94610125	17.606384
ENSMUSG00000077714	GC	5.6582465e-08	0.94582987	-16.689192
ENSMUSG00000002500	FLT	1.0	0.94506955	22.308052
ENSMUSG00000038132	GC	3.9431665e-08	0.94492537	-17.050352
ENSMUSG00000087090	GC	4.6214122e-08	0.94428414	-16.891644
ENSMUSG00000030137	GC	3.385112e-07	0.9439162	-14.900344
ENSMUSG00000022525	GC	1.998183e-05	0.9435217	-10.822315
ENSMUSG00000024059	GC	3.8583363e-09	0.9430107	-19.374687
ENSMUSG00000035923	GC	1.8871193e-08	0.9424219	-17.787292
ENSMUSG00000056900	FLT	1.0	0.9420071	24.194788
ENSMUSG00000040583	FLT	0.9942597	0.9399464	5.152829
ENSMUSG00000020067	FLT	1.0	0.9394697	22.077782
ENSMUSG00000001333	GC	1.8761092e-07	0.9393016	-15.490545
ENSMUSG00000029862	GC	8.7877635e-07	0.9391998	-13.946384
ENSMUSG00000024617	GC	2.5033367e-07	0.9365851	-15.202113
ENSMUSG00000027499	FLT	1.0	0.9358803	26.28906
ENSMUSG00000040666	FLT	1.0	0.93509436	24.301952
ENSMUSG00000024413	FLT	0.9940661	0.9340915	5.119477
ENSMUSG00000032355	GC	7.509444e-07	0.93407416	-14.10358
ENSMUSG00000031596	FLT	0.99926275	0.93379503	7.2101955
ENSMUSG00000022358	GC	3.9950844e-08	0.93373215	-17.037268
ENSMUSG00000039376	FLT	1.0	0.933685	21.86709
ENSMUSG00000064901	GC	4.1447628e-09	0.9335763	-19.303076
ENSMUSG00000064225	GC	0.0024720621	0.9324309	-6.0018787
ENSMUSG00000042451	GC	2.4907274e-07	0.93186	-15.207171
ENSMUSG00000024210	GC	2.1905793e-08	0.93153673	-17.63817
ENSMUSG00000061603	GC	2.4665627e-09	0.9310124	-19.822088
ENSMUSG00000057604	GC	1.6654872e-09	0.9304824	-20.21482
ENSMUSG00000044594	FLT	1.0	0.9304489	23.878931
ENSMUSG00000066705	FLT	1.0	0.930117	23.896658
ENSMUSG00000033044	FLT	1.0	0.92977875	21.497013
ENSMUSG00000042451	FLT	1.0	0.9295408	21.20352
ENSMUSG00000062410	FLT	0.9999497	0.92874396	9.895204
ENSMUSG00000030621	FLT	0.9999999	0.9281312	15.816688
ENSMUSG00000000628	FLT	1.0	0.92798996	24.861189
ENSMUSG00000054106	GC	3.40624e-06	0.92608654	-12.591548
ENSMUSG00000003555	GC	5.1041858e-05	0.9260862	-9.884468
ENSMUSG00000060600	FLT	1.0	0.9257335	18.20137
ENSMUSG00000050445	GC	0.0042584045	0.9247393	-5.456249
ENSMUSG00000044461	GC	6.774821e-09	0.9240662	-18.811718
ENSMUSG00000041889	FLT	1.0	0.9234288	21.667698
ENSMUSG00000042102	GC	0.0029730105	0.9230857	-5.8168573
ENSMUSG00000052974	FLT	0.99955446	0.9221491	7.714157
ENSMUSG00000031957	GC	7.218063e-06	0.92194355	-11.840564
ENSMUSG00000041889	GC	2.7438107e-08	0.91970664	-17.412992
ENSMUSG00000093930	FLT	0.99144626	0.91888165	4.7511415
ENSMUSG00000020722	GC	4.863718e-07	0.9187042	-14.537941
ENSMUSG00000025537	GC	2.147382e-06	0.9186373	-13.05291
ENSMUSG00000074001	FLT	1.0	0.9185445	21.126823
ENSMUSG00000021898	GC	5.3321138e-08	0.9181669	-16.748592
ENSMUSG00000042686	GC	9.492432e-06	0.9175419	-11.566646
ENSMUSG00000028328	GC	4.6538804e-07	0.91742826	-14.582041
ENSMUSG00000019689	FLT	1.0	0.9146756	18.959843
ENSMUSG00000005628	FLT	1.0	0.91463655	21.215427
ENSMUSG00000068587	FLT	0.9987878	0.91375387	6.712499
ENSMUSG00000020836	GC	8.836201e-09	0.9136559	-18.546066
ENSMUSG00000029158	GC	3.7985825e-07	0.9131509	-14.785115
ENSMUSG00000047205	GC	6.031207e-08	0.91276604	-16.625391
ENSMUSG00000035202	FLT	0.99759394	0.91264963	6.0256844
ENSMUSG00000089281	GC	1.7935746e-09	0.91255647	-20.14069
ENSMUSG00000057163	GC	1.0771349e-05	0.9123864	-11.440257
ENSMUSG00000035686	GC	0.00012676882	0.91206074	-8.9746685
ENSMUSG00000001435	GC	0.0013072	0.9119041	-6.6402116
ENSMUSG00000061482	FLT	1.0	0.91081053	17.359983
ENSMUSG00000005514	FLT	0.9999715	0.91068524	10.464025
ENSMUSG00000009614	GC	0.0114242295	0.909258	-4.462179
ENSMUSG00000030246	GC	6.542057e-08	0.90907097	-16.544067
ENSMUSG00000056035	FLT	0.99621224	0.9088734	5.570529
