sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-379_RR8_LVR_GC_LAR_OLD_GL11	OSD-379_RR8_LVR_GC_LAR_OLD_GL11	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_OLD_GL12	OSD-379_RR8_LVR_GC_LAR_OLD_GL12	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_OLD_GL15	OSD-379_RR8_LVR_GC_LAR_OLD_GL15	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_OLD_GL3	OSD-379_RR8_LVR_GC_LAR_OLD_GL3	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_OLD_GL4	OSD-379_RR8_LVR_GC_LAR_OLD_GL4	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_OLD_GL7	OSD-379_RR8_LVR_GC_LAR_OLD_GL7	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_OLD_GL8	OSD-379_RR8_LVR_GC_LAR_OLD_GL8	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL1	OSD-379_RR8_LVR_GC_LAR_YNG_GL1	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL13	OSD-379_RR8_LVR_GC_LAR_YNG_GL13	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL14	OSD-379_RR8_LVR_GC_LAR_YNG_GL14	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL17	OSD-379_RR8_LVR_GC_LAR_YNG_GL17	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL18	OSD-379_RR8_LVR_GC_LAR_YNG_GL18	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL2	OSD-379_RR8_LVR_GC_LAR_YNG_GL2	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL5	OSD-379_RR8_LVR_GC_LAR_YNG_GL5	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_LAR_YNG_GL6	OSD-379_RR8_LVR_GC_LAR_YNG_GL6	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6001
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6002
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6003
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6004
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6005
OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	GC	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6006
OSD-463_RR23_LVR_GC_G1_techrep1	OSD-463_RR23_LVR_GC_G1_techrep1	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G1_techrep2	OSD-463_RR23_LVR_GC_G1_techrep2	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G2	OSD-463_RR23_LVR_GC_G2	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G3	OSD-463_RR23_LVR_GC_G3	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G4	OSD-463_RR23_LVR_GC_G4	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G5	OSD-463_RR23_LVR_GC_G5	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G6	OSD-463_RR23_LVR_GC_G6	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G7	OSD-463_RR23_LVR_GC_G7	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G8	OSD-463_RR23_LVR_GC_G8	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-463_RR23_LVR_GC_G9	OSD-463_RR23_LVR_GC_G9	GC	OSD-463	RR-23	ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep1_G1	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep1_G1	GC	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep2_G3	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep2_G3	GC	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep3_G4	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep3_G4	GC	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep4_G5	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep4_G5	GC	OSD-242	RR-9	Ribo-depletion	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep1_G1	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep1_G1	GC	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep2_G2	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep2_G2	GC	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep3_G3	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep3_G3	GC	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep4_G5	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep4_G5	GC	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep5_G6	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep5_G6	GC	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-137_Mmus_BAL-TAL_LVR_GC_Rep6_G7	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep6_G7	GC	OSD-137	RR-3	Ribo-depletion	PAIRED	Female	BALB/c	Illumina HiSeq 4000
OSD-47_Mmus_C57-6T_LVR_GC_Rep1_G2	OSD-47_Mmus_C57-6T_LVR_GC_Rep1_G2	GC	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
OSD-47_Mmus_C57-6T_LVR_GC_Rep2_G3	OSD-47_Mmus_C57-6T_LVR_GC_Rep2_G3	GC	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
OSD-47_Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47_Mmus_C57-6T_LVR_GC_Rep3_G5	GC	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
OSD-686_GSM7708682	OSD-686_GSM7708682	GC	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-686_GSM7708683	OSD-686_GSM7708683	GC	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-686_GSM7708684	OSD-686_GSM7708684	GC	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-173_Mmus_C57-6CR_LVR_GC_Rep1_G40	OSD-173_Mmus_C57-6CR_LVR_GC_Rep1_G40	GC	OSD-173	BSP135	Ribo-depletion	PAIRED	Female	C57BL/6NCrl	Illumina HiSeq 4000
OSD-173_Mmus_C57-6CR_LVR_GC_Rep2_G44	OSD-173_Mmus_C57-6CR_LVR_GC_Rep2_G44	GC	OSD-173	BSP135	Ribo-depletion	PAIRED	Female	C57BL/6NCrl	Illumina HiSeq 4000
