sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	FLT	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	FLT	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
