gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000020024	0	12	0	0	14
ENSMUSG00000039246	0	0	0	0	14
ENSMUSG00000032038	8	4	13	11	7
ENSMUSG00000020831	0	3	3	0	0
ENSMUSG00000009907	12	6	4	0	12
ENSMUSG00000087519	0	3	3	0	0
ENSMUSG00000101500	0	3	3	0	0
ENSMUSG00000031271	12	6	6	0	7
ENSMUSG00000079451	0	12	3	0	0
ENSMUSG00000067529	0	3	3	0	0
ENSMUSG00000094893	0	3	3	0	0
ENSMUSG00000097069	0	3	3	0	0
ENSMUSG00000039753	12	6	6	0	12
ENSMUSG00000016206	0	3	3	0	0
ENSMUSG00000034731	0	12	0	0	14
ENSMUSG00000031430	0	3	3	0	0
ENSMUSG00000053801	0	3	3	0	0
ENSMUSG00000015749	0	12	0	0	14
ENSMUSG00000030378	7	14	1	5	13
ENSMUSG00000014039	0	12	0	0	14
ENSMUSG00000020936	12	2	5	0	9
ENSMUSG00000096918	0	3	3	0	0
ENSMUSG00000021589	0	12	0	0	14
ENSMUSG00000106589	0	3	3	0	0
ENSMUSG00000043410	0	3	3	0	0
ENSMUSG00000043243	0	3	3	0	0
ENSMUSG00000031979	0	0	0	0	14
ENSMUSG00000032890	0	3	3	0	0
ENSMUSG00000042515	0	3	3	0	0
ENSMUSG00000043301	0	3	3	0	0
ENSMUSG00000022235	8	11	6	11	12
ENSMUSG00000044676	0	12	0	0	14
ENSMUSG00000036192	0	3	3	0	0
ENSMUSG00000022812	12	6	4	0	1
ENSMUSG00000048500	0	3	3	0	0
ENSMUSG00000020679	0	3	3	0	0
ENSMUSG00000067599	0	3	3	0	0
ENSMUSG00000017754	12	0	8	0	14
ENSMUSG00000006356	12	12	8	0	14
ENSMUSG00000080615	0	3	3	0	0
ENSMUSG00000041126	0	0	0	0	14
ENSMUSG00000064043	0	12	3	0	0
ENSMUSG00000065500	0	3	3	0	0
ENSMUSG00000023959	0	3	3	0	0
ENSMUSG00000054431	0	3	3	0	0
ENSMUSG00000025473	0	3	3	0	0
ENSMUSG00000079049	0	3	3	0	0
ENSMUSG00000023571	0	3	3	0	0
ENSMUSG00000026384	0	9	11	0	3
ENSMUSG00000027018	0	12	0	0	14
ENSMUSG00000023015	0	3	3	0	0
ENSMUSG00000035047	0	3	3	0	0
ENSMUSG00000040563	0	3	3	0	0
ENSMUSG00000068267	12	2	5	0	9
ENSMUSG00000079701	0	3	3	0	0
ENSMUSG00000001076	0	3	3	0	0
ENSMUSG00000057417	0	3	3	0	0
ENSMUSG00000027009	0	9	11	0	3
ENSMUSG00000025586	0	3	3	0	0
ENSMUSG00000020812	0	3	3	0	0
ENSMUSG00000038102	12	6	4	0	1
ENSMUSG00000030654	8	4	13	11	2
ENSMUSG00000053338	0	3	3	0	0
ENSMUSG00000024712	12	6	6	0	12
ENSMUSG00000020064	12	11	6	0	12
ENSMUSG00000071451	0	12	0	0	14
ENSMUSG00000019988	0	0	0	0	14
ENSMUSG00000109511	0	3	3	0	0
ENSMUSG00000049098	0	12	3	0	0
ENSMUSG00000000248	0	3	3	0	0
ENSMUSG00000097424	0	3	3	0	0
ENSMUSG00000057156	0	3	3	0	0
ENSMUSG00000000489	0	3	3	0	0
ENSMUSG00000020130	12	6	6	0	12
ENSMUSG00000028229	12	6	6	0	7
ENSMUSG00000062825	8	4	13	11	2
ENSMUSG00000020375	0	12	0	0	14
ENSMUSG00000046532	12	9	11	0	3
ENSMUSG00000039556	0	3	3	0	0
ENSMUSG00000005370	0	12	0	0	14
ENSMUSG00000094196	0	3	3	0	0
ENSMUSG00000021779	12	6	4	0	1
ENSMUSG00000035245	0	12	3	0	0
ENSMUSG00000031605	12	7	8	0	3
ENSMUSG00000029705	12	0	8	0	14
ENSMUSG00000063730	12	2	4	0	1
ENSMUSG00000031204	0	3	3	0	0
ENSMUSG00000119508	0	3	3	0	0
ENSMUSG00000091749	0	3	3	0	0
ENSMUSG00000002428	0	0	0	0	14
ENSMUSG00000032698	0	3	3	0	0
ENSMUSG00000050345	0	3	3	0	0
ENSMUSG00000056481	0	3	3	0	0
ENSMUSG00000034210	12	0	11	0	3
ENSMUSG00000041193	0	3	3	0	0
ENSMUSG00000095377	0	3	3	0	0
ENSMUSG00000033728	0	12	3	0	0
ENSMUSG00000054457	0	3	3	0	0
ENSMUSG00000041571	12	7	8	0	7
ENSMUSG00000086355	0	3	3	0	0
ENSMUSG00000043605	0	3	3	0	0
ENSMUSG00000019731	12	2	5	0	5
ENSMUSG00000051375	8	2	5	11	9
ENSMUSG00000046006	0	3	3	0	0
ENSMUSG00000009013	0	12	0	0	14
ENSMUSG00000098702	0	3	3	0	0
ENSMUSG00000017843	12	7	8	0	5
ENSMUSG00000039795	0	0	0	0	14
ENSMUSG00000031502	12	7	8	0	5
ENSMUSG00000050714	0	12	0	0	14
ENSMUSG00000020839	0	3	3	0	0
ENSMUSG00000041215	0	12	0	0	14
ENSMUSG00000068196	0	3	3	0	0
ENSMUSG00000028842	12	9	11	0	3
ENSMUSG00000067787	0	12	0	0	14
ENSMUSG00000075153	0	3	3	0	0
ENSMUSG00000075202	0	3	3	0	0
ENSMUSG00000061048	0	3	3	0	0
ENSMUSG00000052135	0	3	3	0	0
ENSMUSG00000019916	0	12	0	0	14
ENSMUSG00000040663	0	3	3	0	0
ENSMUSG00000078675	6	8	14	5	6
ENSMUSG00000042942	0	3	3	0	0
ENSMUSG00000022856	0	3	3	0	0
ENSMUSG00000021958	0	3	3	0	0
ENSMUSG00000024459	0	3	3	0	0
ENSMUSG00000034855	0	3	3	0	0
ENSMUSG00000046008	0	3	3	0	0
ENSMUSG00000032046	12	0	0	0	14
ENSMUSG00000057143	0	0	0	0	14
ENSMUSG00000008090	12	0	0	0	14
ENSMUSG00000066899	0	3	3	0	0
ENSMUSG00000047014	0	3	3	0	0
ENSMUSG00000047205	0	3	3	0	0
ENSMUSG00000024424	8	5	12	11	11
ENSMUSG00000028416	12	2	5	0	9
ENSMUSG00000032782	0	3	3	0	0
ENSMUSG00000055194	0	3	3	0	0
ENSMUSG00000029229	0	0	11	0	3
ENSMUSG00000065532	0	3	3	0	0
ENSMUSG00000084845	0	3	3	0	0
ENSMUSG00000032899	0	3	3	0	0
ENSMUSG00000063434	0	3	3	0	0
ENSMUSG00000032199	12	2	4	0	1
ENSMUSG00000017405	0	3	3	0	0
ENSMUSG00000036223	0	3	3	0	0
ENSMUSG00000043859	0	3	3	0	0
ENSMUSG00000037600	0	3	3	0	0
ENSMUSG00000038765	0	3	3	0	0
ENSMUSG00000021239	0	3	3	0	0
ENSMUSG00000068523	12	4	10	0	7
ENSMUSG00000032096	8	4	13	11	2
ENSMUSG00000023348	0	12	3	0	0
