gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
6	1496	high	9	OSD-163	8022.113	1.5181046998171317
6	1496	high	10	OSD-236	7850.849	1.449456712381971
6	1496	high	11	OSD-194	7462.6284	1.2938457090720485
6	1496	high	12	OSD-270	7457.5977	1.2918292465907915
6	1496	high	13	OSD-613	7441.407	1.285339505780309
6	1496	high	14	OSD-464	7242.173	1.20548026432468
6	1496	high	15	OSD-273	7238.8545	1.2041501053519623
6	1496	high	16	OSD-900	7224.101	1.1982364394173544
6	1496	high	17	OSD-253	7107.422	1.151467833487637
6	1496	high	18	OSD-771	6998.1025	1.1076491461837201
6	1496	high	19	OSD-666	6846.0776	1.0467127939729135
6	1496	high	20	OSD-612	6544.798	0.9259504726720551
6	1496	low	1	OSD-420	724.9902	-1.4068111861088324
6	1496	low	2	OSD-955	740.0731	-1.4007654863138623
6	1496	low	3	OSD-289	830.73047	-1.3644271665463412
6	1496	low	4	OSD-421	879.8717	-1.3447298189450454
6	1496	low	5	OSD-719	886.79285	-1.3419556047597125
6	1496	low	6	OSD-426	1021.3383	-1.288025564815194
6	1496	low	7	OSD-419	1113.0148	-1.2512787457516459
6	1496	low	8	OSD-288	1149.1733	-1.2367852838818176
6	1496	low	9	OSD-255	1207.9968	-1.2132069785234691
6	1496	low	10	OSD-318	1214.7413	-1.2105035712034462
6	1496	low	11	OSD-714	1352.8396	-1.1551494374496094
6	1496	low	12	OSD-141	1407.9358	-1.1330651509368275
6	1496	low	13	OSD-202	1454.823	-1.1142712893169315
6	1496	low	14	OSD-203	1508.8777	-1.0926044686984049
6	1496	low	15	OSD-322	1622.8242	-1.046931134545982
6	1496	low	16	OSD-294	1635.6914	-1.0417735568651754
6	1496	low	17	OSD-876	1636.0483	-1.0416305001415462
6	1496	low	18	OSD-899	1685.5476	-1.021789626843893
6	1496	low	19	OSD-457	1771.6066	-0.987294478122139
6	1496	low	20	OSD-308	1841.0062	-0.959476939884067
7	857	high	1	OSD-236	52644.98	3.469779884160267
7	857	high	2	OSD-99	46812.566	2.938038903950561
7	857	high	3	OSD-274	42982.3	2.588833686813385
7	857	high	4	OSD-463	41988.7	2.498247209595484
7	857	high	5	OSD-666	41644.434	2.466860490426908
7	857	high	6	OSD-576	34981.58	1.8594083244877002
7	857	high	7	OSD-665	34477.664	1.8134663204078534
7	857	high	8	OSD-273	34335.734	1.8005265672762747
7	857	high	9	OSD-105	32867.01	1.6666230516106313
7	857	high	10	OSD-104	32793.03	1.6598782976003852
7	857	high	11	OSD-101	31624.182	1.5533144663572407
7	857	high	12	OSD-103	31466.014	1.5388942953340916
7	857	high	13	OSD-168	28070.99	1.2293700761007733
7	857	high	14	OSD-326	27633.334	1.1894689939014198
7	857	high	15	OSD-512	27176.455	1.1478153514649898
7	857	high	16	OSD-759	26283.553	1.066409507382041
7	857	high	17	OSD-270	25971.307	1.037942050492568
7	857	high	18	OSD-245	24720.531	0.9239088463574061
7	857	high	19	OSD-295	24001.533	0.85835782386675
7	857	high	20	OSD-161	23777.334	0.8379176088850913
7	857	low	1	OSD-202	1478.8514	-1.1950342691731304
7	857	low	2	OSD-289	1523.0703	-1.1910028336080634
7	857	low	3	OSD-288	2168.3513	-1.1321725874268596
7	857	low	4	OSD-318	2320.041	-1.1183430427879302
7	857	low	5	OSD-421	2412.426	-1.1099203055719726
7	857	low	6	OSD-255	2517.825	-1.1003110824315845
7	857	low	7	OSD-420	2629.1675	-1.0901599906042556
7	857	low	8	OSD-203	2834.5225	-1.0714377824429413
7	857	low	9	OSD-141	2901.3892	-1.0653415477446861
7	857	low	10	OSD-901	3282.2412	-1.0306192842368442
7	857	low	11	OSD-955	3498.1658	-1.0109334460135306
7	857	low	12	OSD-899	3743.7136	-0.9885468616832112
7	857	low	13	OSD-457	3948.9636	-0.9698342263682211
7	857	low	14	OSD-201	4415.343	-0.927314432796363
7	857	low	15	OSD-352	4755.1567	-0.8963336296629287
7	857	low	16	OSD-566	4889.082	-0.8841236647501363
7	857	low	17	OSD-525	5082.0215	-0.8665333772892033
7	857	low	18	OSD-599	5102.248	-0.864689327992255
7	857	low	19	OSD-308	5106.3745	-0.8643131151317077
7	857	low	20	OSD-419	5356.521	-0.8415072674833708
8	1000	high	1	OSD-758	7458.322	3.2508915314345104
8	1000	high	2	OSD-161	6972.8716	2.9340428220758583
8	1000	high	3	OSD-194	5904.8535	2.236957895260101
8	1000	high	4	OSD-244	5755.923	2.1397524202844105
8	1000	high	5	OSD-162	5555.272	2.008789482811246
8	1000	high	6	OSD-759	5291.1523	1.8364011480582112
8	1000	high	7	OSD-525	4939.2637	1.60672691409317
8	1000	high	8	OSD-243	4931.649	1.6017568741732249
8	1000	high	9	OSD-515	4902.147	1.5825012084584595
8	1000	high	10	OSD-464	4733.536	1.472450464378999
8	1000	high	11	OSD-248	4716.0938	1.461066111706974
8	1000	high	12	OSD-512	4709.296	1.456629254395747
8	1000	high	13	OSD-900	4314.006	1.1986273528165505
8	1000	high	14	OSD-163	4245.3457	1.1538134491938983
8	1000	high	15	OSD-254	4182.2705	1.1126448855001843
8	1000	high	16	OSD-246	4152.1284	1.0929714328006717
8	1000	high	17	OSD-98	4107.1772	1.0636322259442708
8	1000	high	18	OSD-247	3981.3088	0.9814791571878363
8	1000	high	19	OSD-211	3854.4495	0.8986793377312203
