library	gene_cluster	term	description	overlap	cluster_genes_in_universe	term_genes_in_universe	universe_genes	p_value	enrichment_ratio	overlap_genes	fdr_bh
reactome	3	REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	4	257	21	5218	0.01772603791972108	3.86733370390958	ENSMUSG00000000183,ENSMUSG00000020327,ENSMUSG00000031073,ENSMUSG00000057967	0.08641497078840903
reactome	3	REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	3	257	12	5218	0.01865777778386104	5.075875486381324	ENSMUSG00000000183,ENSMUSG00000031073,ENSMUSG00000057967	0.08641497078840903
reactome	3	REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS	3	257	14	5218	0.028707086361918297	4.3507504168982765	ENSMUSG00000074677,ENSMUSG00000078780,ENSMUSG00000078783	0.12631117999244051
reactome	4	REACTOME_GPCR_LIGAND_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GPCR_LIGAND_BINDING	64	446	339	5218	3.467627371106785e-10	2.208764898077966	ENSMUSG00000000125,ENSMUSG00000000394,ENSMUSG00000000617,ENSMUSG00000007480,ENSMUSG00000011171,ENSMUSG00000017311,ENSMUSG00000019464,ENSMUSG00000019772,ENSMUSG00000020081,ENSMUSG00000020676,ENSMUSG00000021070,ENSMUSG00000021367,ENSMUSG00000021675,ENSMUSG00000024107,ENSMUSG00000024211,ENSMUSG00000025804,ENSMUSG00000026322,ENSMUSG00000027400,ENSMUSG00000027524,ENSMUSG00000027643,ENSMUSG00000027840,ENSMUSG00000028681,ENSMUSG00000029193,ENSMUSG00000029371,ENSMUSG00000030790,ENSMUSG00000030898,ENSMUSG00000031390,ENSMUSG00000031616,ENSMUSG00000031861,ENSMUSG00000032860,ENSMUSG00000034855,ENSMUSG00000034881,ENSMUSG00000034997,ENSMUSG00000035283,ENSMUSG00000035383,ENSMUSG00000035448,ENSMUSG00000036381,ENSMUSG00000036437,ENSMUSG00000036904,ENSMUSG00000039106,ENSMUSG00000040552,ENSMUSG00000040899,ENSMUSG00000041046,ENSMUSG00000043895,ENSMUSG00000044199,ENSMUSG00000044338,ENSMUSG00000045875,ENSMUSG00000046159,ENSMUSG00000047415,ENSMUSG00000047898,ENSMUSG00000048521,ENSMUSG00000049130,ENSMUSG00000049511,ENSMUSG00000050232,ENSMUSG00000050288,ENSMUSG00000050541,ENSMUSG00000050558,ENSMUSG00000052270,ENSMUSG00000059077,ENSMUSG00000060509,ENSMUSG00000061762,ENSMUSG00000066090,ENSMUSG00000074037,ENSMUSG00000081683	8.426334511789488e-08
reactome	4	REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	49	446	246	5218	8.234199180642905e-09	2.3303984833570306	ENSMUSG00000007480,ENSMUSG00000017311,ENSMUSG00000019464,ENSMUSG00000020081,ENSMUSG00000020676,ENSMUSG00000021070,ENSMUSG00000021367,ENSMUSG00000021675,ENSMUSG00000024107,ENSMUSG00000025804,ENSMUSG00000026322,ENSMUSG00000027400,ENSMUSG00000027524,ENSMUSG00000029193,ENSMUSG00000029371,ENSMUSG00000030898,ENSMUSG00000031390,ENSMUSG00000031616,ENSMUSG00000031861,ENSMUSG00000032860,ENSMUSG00000034855,ENSMUSG00000034881,ENSMUSG00000034997,ENSMUSG00000035283,ENSMUSG00000035383,ENSMUSG00000035448,ENSMUSG00000036381,ENSMUSG00000036437,ENSMUSG00000039106,ENSMUSG00000040552,ENSMUSG00000040899,ENSMUSG00000043895,ENSMUSG00000044199,ENSMUSG00000044338,ENSMUSG00000045875,ENSMUSG00000046159,ENSMUSG00000047415,ENSMUSG00000047898,ENSMUSG00000048521,ENSMUSG00000049130,ENSMUSG00000049511,ENSMUSG00000050232,ENSMUSG00000050541,ENSMUSG00000050558,ENSMUSG00000052270,ENSMUSG00000060509,ENSMUSG00000061762,ENSMUSG00000066090,ENSMUSG00000074037	1.000455200448113e-06
reactome	4	REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	12	446	26	5218	4.185764825077645e-07	5.399793032080028	ENSMUSG00000020363,ENSMUSG00000026810,ENSMUSG00000026856,ENSMUSG00000032059,ENSMUSG00000032123,ENSMUSG00000035704,ENSMUSG00000035845,ENSMUSG00000039427,ENSMUSG00000039887,ENSMUSG00000052395,ENSMUSG00000070284,ENSMUSG00000075419	3.3904695083128925e-05
reactome	4	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	32	446	153	5218	1.2062044698267747e-06	2.446965034145198	ENSMUSG00000007480,ENSMUSG00000017311,ENSMUSG00000020081,ENSMUSG00000020676,ENSMUSG00000021070,ENSMUSG00000021367,ENSMUSG00000021675,ENSMUSG00000025804,ENSMUSG00000027400,ENSMUSG00000027524,ENSMUSG00000029193,ENSMUSG00000029371,ENSMUSG00000030898,ENSMUSG00000031390,ENSMUSG00000031616,ENSMUSG00000034855,ENSMUSG00000035383,ENSMUSG00000035448,ENSMUSG00000036437,ENSMUSG00000040552,ENSMUSG00000040899,ENSMUSG00000044338,ENSMUSG00000047898,ENSMUSG00000048521,ENSMUSG00000049130,ENSMUSG00000050232,ENSMUSG00000050558,ENSMUSG00000052270,ENSMUSG00000060509,ENSMUSG00000061762,ENSMUSG00000066090,ENSMUSG00000074037	7.327692154197657e-05
reactome	4	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	26	446	153	5218	0.00046612058233275487	1.988159090242973	ENSMUSG00000020363,ENSMUSG00000021120,ENSMUSG00000021592,ENSMUSG00000023791,ENSMUSG00000024145,ENSMUSG00000026698,ENSMUSG00000026810,ENSMUSG00000026828,ENSMUSG00000026856,ENSMUSG00000031443,ENSMUSG00000032059,ENSMUSG00000032123,ENSMUSG00000035704,ENSMUSG00000035845,ENSMUSG00000036412,ENSMUSG00000039427,ENSMUSG00000039887,ENSMUSG00000046605,ENSMUSG00000050808,ENSMUSG00000052395,ENSMUSG00000052544,ENSMUSG00000059479,ENSMUSG00000060038,ENSMUSG00000070284,ENSMUSG00000075419,ENSMUSG00000090588	0.022653460301371886
reactome	4	REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	30	446	192	5218	0.0007624191015683105	1.828054932735426	ENSMUSG00000004500,ENSMUSG00000005267,ENSMUSG00000015843,ENSMUSG00000017688,ENSMUSG00000018263,ENSMUSG00000018347,ENSMUSG00000020801,ENSMUSG00000023284,ENSMUSG00000030353,ENSMUSG00000030393,ENSMUSG00000031907,ENSMUSG00000033961,ENSMUSG00000037001,ENSMUSG00000039153,ENSMUSG00000039634,ENSMUSG00000045248,ENSMUSG00000045466,ENSMUSG00000049086,ENSMUSG00000049321,ENSMUSG00000052763,ENSMUSG00000055835,ENSMUSG00000055991,ENSMUSG00000059975,ENSMUSG00000063972,ENSMUSG00000071078,ENSMUSG00000072623,ENSMUSG00000073802,ENSMUSG00000074194,ENSMUSG00000075000,ENSMUSG00000089857	0.030877973613516574
reactome	4	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	10	446	39	5218	0.0012384374391099197	2.9998850178222374	ENSMUSG00000020676,ENSMUSG00000025804,ENSMUSG00000029371,ENSMUSG00000034855,ENSMUSG00000035448,ENSMUSG00000040899,ENSMUSG00000047898,ENSMUSG00000048521,ENSMUSG00000050232,ENSMUSG00000060509	0.042991471100530074
