gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
3	1721	low	20	GSM7594876	1	7.883788585662842	-1.220761775970459
4	2310	high	1	RR-4_NSG3-W	1	1247.161865234375	6.695016860961914
4	2310	high	2	RRRM-2_BL_LAR_01	2	1150.845458984375	6.043166160583496
4	2310	high	3	RR-4_NSF4-W	1	906.4415283203125	4.389088153839111
4	2310	high	4	MHU-8_FLT20	2	854.6593017578125	4.038636207580566
4	2310	high	5	MHU-8_FLT12	2	849.0376586914062	4.000589370727539
4	2310	high	6	MHU-8_HGC10	2	831.3406982421875	3.8808202743530273
4	2310	high	7	MHU-8_FLT21	2	819.8218994140625	3.802863359451294
4	2310	high	8	MHU-8_FLT18	2	813.6201171875	3.7608909606933594
4	2310	high	9	MHU-8_HGC03	2	787.9127807617188	3.5869083404541016
4	2310	high	10	MHU-8_FLT14	2	780.7000122070312	3.5380935668945312
4	2310	high	11	RRRM-2_FL_ISS_16	1	780.3251342773438	3.5355565547943115
4	2310	high	12	MHU-8_FLT03	2	772.6387329101562	3.4835364818573
4	2310	high	13	MHU-8_FLT10	2	769.21533203125	3.4603676795959473
4	2310	high	14	MHU-8_HGC02	2	745.1112670898438	3.297236204147339
4	2310	high	15	MHU-8_FLT17	2	741.1205444335938	3.2702276706695557
4	2310	high	16	MHU-8_HGC04	2	737.31884765625	3.2444984912872314
4	2310	high	17	RR3_BSL_B10	1	734.6060791015625	3.2261390686035156
4	2310	high	18	MHU-8_HGC11	2	733.3006591796875	3.217304229736328
4	2310	high	19	MHU-8_HGC08	2	730.7123413085938	3.199787139892578
4	2310	high	20	MHU-8_HGC05	2	730.4588623046875	3.1980714797973633
4	2310	low	1	A1402_2JR - CAPE17	1	5.162770748138428	-1.7105906009674072
4	2310	low	2	EU190	1	16.860172271728516	-1.6314247846603394
4	2310	low	3	RR-10_VIV-07	1	35.84588623046875	-1.502933144569397
4	2310	low	4	EU191	1	39.423377990722656	-1.4787214994430542
4	2310	low	5	EU183	1	39.8186149597168	-1.4760465621948242
4	2310	low	6	EU230	1	40.42727279663086	-1.471927285194397
4	2310	low	7	MMS_3d_3	1	41.985713958740234	-1.4613800048828125
4	2310	low	8	20	1	42.775325775146484	-1.45603609085083
4	2310	low	9	RR-10_BL-18	1	44.45930862426758	-1.4446392059326172
4	2310	low	10	control_8w_1	1	51.20173263549805	-1.399007797241211
4	2310	low	11	RR-10_VIV-21	1	51.520347595214844	-1.3968514204025269
4	2310	low	12	EU181	1	55.5506477355957	-1.3695752620697021
