gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000044309	Apol7c	5	-0.790361968882696	0.161423254988349	-4.89620884512421	9.77032301360501e-07	1	4	17.8052367403415	77.5346991543384	0.00134707572425871	8.49286634150532e-05	TRUE	FALSE	mixed
ENSMUSG00000036957	Lrfn3	6	0.511254418722138	0.104505480311658	4.89213022319466	9.97504065324284e-07	6	0	19.120475946411	73.8500233257084	0.00182529809184823	8.62469605417353e-05	TRUE	FALSE	all_up
ENSMUSG00000022546	Gpt	6	0.324075456586141	0.0663434957719193	4.88481128127876	1.03527964799568e-06	4	2	48.2366518830778	89.6344381195452	3.17796277770699e-09	8.90395273977241e-05	TRUE	FALSE	mixed
ENSMUSG00000024679	Ms4a6d	6	-0.397952879338925	0.0815511859826316	-4.8797926669476	1.06197423347413e-06	0	6	4.62952303871943	0	0.462742891479353	9.08546903427472e-05	TRUE	FALSE	all_down
ENSMUSG00000029417	Cxcl9	6	-0.409909003623861	0.084153314979034	-4.87097868605634	1.11046819850693e-06	1	5	46.8093866241552	89.3183817165854	6.2131886015901e-09	9.45060762656025e-05	TRUE	FALSE	mixed
ENSMUSG00000039067	Psmd7	6	0.21464421010535	0.0441999122556301	4.85621348893083	1.1965169831573e-06	6	0	10.9850531964662	54.4836068558278	0.0516771412506816	0.000100774008089233	TRUE	FALSE	all_up
ENSMUSG00000024427	Spry4	6	-0.40505416516383	0.083500434127934	-4.85092286518214	1.22888334401144e-06	0	6	30.4560498184653	83.5829005081003	1.19928267831913e-05	0.000102966488437659	TRUE	FALSE	all_down
ENSMUSG00000021591	Glrx	6	0.270353784279554	0.0557857360930631	4.84628873281412	1.25792407145414e-06	4	2	48.9281579861933	89.7809355475615	2.29556320040099e-09	0.000104859260417883	TRUE	FALSE	mixed
ENSMUSG00000032690	Oas2	6	-0.415992328552971	0.0859366806644304	-4.84068415648212	1.29392884745669e-06	1	5	38.9419492346095	87.160375640477	2.43959283841645e-07	0.000107021439882162	TRUE	FALSE	mixed
ENSMUSG00000053862	Slc51b	4	0.682670710294604	0.14104159285678	4.84020845530169	1.297030061937e-06	4	0	14.7104079303628	79.6062759496431	0.0020816185511502	0.000107021439882162	TRUE	FALSE	all_up
ENSMUSG00000022841	Ap2m1	6	0.201907660790143	0.0417339520204292	4.8379712683646	1.31171096855061e-06	4	2	11.9886890187864	58.2940220388991	0.0349430962048283	0.000107686170675708	TRUE	FALSE	mixed
ENSMUSG00000022371	Col14a1	6	-0.218302579729301	0.045235106201263	-4.82595484042891	1.39334080876109e-06	1	5	5.32322801756802	6.07203028878885	0.377718969572215	0.000113542349787102	TRUE	FALSE	mixed
ENSMUSG00000032463	Faim	6	0.2212523844937	0.0458569745322423	4.82483606366435	1.40118470474103e-06	4	2	14.4646715647063	65.4330208768793	0.0129121985130073	0.000113542349787102	TRUE	FALSE	mixed
ENSMUSG00000042215	Bag2	6	0.358792595714965	0.0744914569761311	4.81656031818428	1.46054028554794e-06	5	1	13.0548088119992	61.6999369963635	0.0228705282820736	0.00011753011060189	TRUE	FALSE	mixed
ENSMUSG00000034194	R3hcc1	6	0.27741118885335	0.0576310007108734	4.81357577400196	1.4825335078194e-06	4	2	29.7830298585893	83.2119162363932	1.62720078600072e-05	0.000118712227436475	TRUE	FALSE	mixed
ENSMUSG00000017221	Psmd3	6	0.278946144805134	0.0579749835245365	4.81149157527707	1.4980805049323e-06	5	1	19.1267465825612	73.858596502979	0.00182039109279897	0.000119369110821934	TRUE	FALSE	mixed
ENSMUSG00000016520	Lnx2	6	0.316334142816141	0.0658079791751613	4.80692686177391	1.53268029158267e-06	5	1	13.3865623518674	62.6491113358725	0.0200133958482918	0.000121530332388665	TRUE	FALSE	mixed
ENSMUSG00000027022	Xirp2	2	2.18667672631543	0.456379353891437	4.79135768888353	1.65656499051668e-06	2	0	23.0699835452676	95.6653631848596	1.56210428831732e-06	0.000130715844275964	TRUE	TRUE	all_up
ENSMUSG00000032796	Lama1	6	-0.258263619964617	0.0539498285418954	-4.78710733555083	1.69202351915524e-06	0	6	11.5456789196258	56.6937549986706	0.0415721863611659	0.00013286880340033	TRUE	FALSE	all_down
ENSMUSG00000054203	Ifi205	6	-0.439837741025153	0.091947986273754	-4.78354947019326	1.7222647889332e-06	1	5	30.2178653517676	83.4534969899602	1.33614388030121e-05	0.000134593337231294	TRUE	FALSE	mixed
ENSMUSG00000020123	Avpr1a	6	0.366475442490846	0.0767614932747055	4.77420939662213	1.80414590495191e-06	4	2	33.4467923128301	85.0508833455996	3.06771342621751e-06	0.000140317663564561	TRUE	FALSE	mixed
ENSMUSG00000069893	9930111J21Rik1	6	-0.319283537589665	0.0669414728725701	-4.76959236014202	1.84599091646684e-06	2	4	21.0211126657354	76.2143894116983	0.00080265324950929	0.000142888487367469	TRUE	FALSE	mixed
ENSMUSG00000074874	Ctla2b	6	-0.424256104410805	0.0889937771390264	-4.7672558469794	1.8675209668379e-06	0	6	4.01238544600495	0	0.547634129397729	0.000143869920928673	TRUE	FALSE	all_down
ENSMUSG00000039046	Usp6nl	6	0.247165564867844	0.0519012848069378	4.7622243994007	1.91470594621604e-06	4	2	18.5966722320219	73.1134692399943	0.00228448523426542	0.000146809175262933	TRUE	FALSE	mixed
ENSMUSG00000022718	Dgcr8	6	0.155189910314807	0.0326001255190209	4.76040836788372	1.93201637198774e-06	5	1	10.322261932537	51.5610044321838	0.0666023734137062	0.000147440967730801	TRUE	FALSE	mixed
ENSMUSG00000004707	Ly9	6	-0.31164388235748	0.0655580569168773	-4.75370834667387	1.99719086926046e-06	0	6	12.025017417102	58.4200186447215	0.0344465874321395	0.000151702512055275	TRUE	FALSE	all_down
ENSMUSG00000037580	Gch1	6	-0.21799588039942	0.0459131761485033	-4.7480026146378	2.05435381324217e-06	2	4	31.8188219982887	84.2860304499365	6.45276866518265e-06	0.000155318703415123	TRUE	FALSE	mixed
ENSMUSG00000026077	Npas2	6	0.888295946616318	0.187167773125467	4.74598768678437	2.07491334688647e-06	4	2	44.26625785021	88.7047149616324	2.04512445122988e-08	0.000156146835433517	TRUE	FALSE	mixed
ENSMUSG00000028268	Gbp3	6	-0.330699193306776	0.0697846656513674	-4.73885186982043	2.1493254696484e-06	1	5	15.4652373674282	67.6694260734036	0.00854886924475787	0.000160572020168861	TRUE	FALSE	mixed
ENSMUSG00000035498	Cdcp1	6	0.344579458142665	0.0727368606960993	4.73734300387731	2.16538489484901e-06	4	2	22.8547449133762	78.1227048520955	0.00035984563415245	0.000160572020168861	TRUE	FALSE	mixed
